Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,48.07,48.07,48.07,48.07,000,47.84044
2015-10-08,48.07,48.07,48.07,48.07,000,47.84044
2015-10-07,48.07,48.07,48.07,48.07,000,47.84044
2015-10-06,48.07,48.07,48.07,48.07,000,47.84044
2015-10-05,48.07,48.07,48.07,48.07,000,47.84044
2015-10-02,48.07,48.07,48.07,48.07,000,47.84044
2015-10-01,48.07,48.07,48.07,48.07,000,47.84044
2015-09-30,48.07,48.07,48.07,48.07,000,47.84044
2015-09-29,48.07,48.07,48.07,48.07,000,47.84044
2015-09-28,48.07,48.07,48.07,48.07,000,47.84044
2015-09-25,48.07,48.07,48.07,48.07,000,47.84044
2015-09-24,48.07,48.07,48.07,48.07,000,47.84044
2015-09-23,48.07,48.07,48.07,48.07,000,47.84044
2015-09-22,48.07,48.07,48.07,48.07,000,47.84044
2015-09-21,48.07,48.07,48.07,48.07,000,47.84044
2015-09-18,48.07,48.07,48.07,48.07,000,47.84044
2015-09-17,48.07,48.07,48.07,48.07,000,47.84044
2015-09-16,48.07,48.07,48.07,48.07,000,47.84044
2015-09-15,48.07,48.07,48.07,48.07,000,47.84044
2015-09-14,48.07,48.07,48.07,48.07,000,47.84044
2015-09-11,48.07,48.07,48.07,48.07,000,47.84044
2015-09-10,48.07,48.07,48.07,48.07,000,47.84044
2015-09-09,48.07,48.07,48.07,48.07,000,47.84044
2015-09-08,48.07,48.07,48.07,48.07,000,47.84044
2015-09-07,48.07,48.07,48.07,48.07,000,47.84044
2015-09-04,48.07,48.07,48.07,48.07,000,47.84044
2015-09-03,48.07,48.07,48.07,48.07,000,47.84044
2015-09-02,48.07,48.07,48.07,48.07,000,47.84044
2015-09-01,48.07,48.07,48.07,48.07,000,47.84044
2015-08-31,48.07,48.07,48.07,48.07,000,47.84044
2015-08-28,48.07,48.07,48.07,48.07,000,47.84044
2015-08-27,48.07,48.07,48.07,48.07,000,47.84044
2015-08-26,48.07,48.07,48.07,48.07,000,47.84044
2015-08-25,48.07,48.07,48.07,48.07,000,47.84044
2015-08-24,48.07,48.07,48.07,48.07,000,47.84044
2015-08-21,48.07,48.07,48.07,48.07,000,47.84044
2015-08-20,48.07,48.07,48.07,48.07,000,47.84044
2015-08-19,48.07,48.07,48.07,48.07,000,47.84044
2015-08-18,48.07,48.07,48.07,48.07,000,47.84044
2015-08-17,48.07,48.07,48.07,48.07,000,47.84044
2015-08-14,48.07,48.07,48.07,48.07,000,47.84044
2015-08-13,48.07,48.07,48.07,48.07,000,47.84044
2015-08-12,48.07,48.07,48.07,48.07,000,47.84044
2015-08-11,48.07,48.07,48.07,48.07,000,47.84044
2015-08-10,48.07,48.07,48.07,48.07,000,47.84044
2015-08-07,48.07,48.07,48.07,48.07,000,47.84044
2015-08-06,48.07,48.07,48.07,48.07,000,47.84044
2015-08-05,48.07,48.07,48.07,48.07,000,47.84044
2015-08-04,48.07,48.07,48.07,48.07,000,47.84044
2015-08-03,44.60,44.60,44.60,44.60,000,44.38701
2015-07-31,44.60,44.60,44.60,44.60,000,44.38701
2015-07-30,44.60,44.60,44.60,44.60,000,44.38701
2015-07-29,44.60,44.60,44.60,44.60,000,44.38701
2015-07-28,44.60,44.60,44.60,44.60,000,44.38701
2015-07-27,44.60,44.60,44.60,44.60,000,44.38701
2015-07-24,44.60,44.60,44.60,44.60,000,44.38701
2015-07-23,44.60,44.60,44.60,44.60,000,44.38701
2015-07-22,44.60,44.60,44.60,44.60,000,44.38701
2015-07-21,44.60,44.60,44.60,44.60,000,44.38701
2015-07-20,44.60,44.60,44.60,44.60,000,44.38701
2015-07-17,44.60,44.60,44.60,44.60,000,44.38701
2015-07-16,44.60,44.60,44.60,44.60,000,44.38701
2015-07-15,44.60,44.60,44.60,44.60,000,44.38701
2015-07-14,44.60,44.60,44.60,44.60,000,44.38701
2015-07-13,44.60,44.60,44.60,44.60,000,44.38701
2015-07-10,44.60,44.60,44.60,44.60,000,44.38701
2015-07-09,44.60,44.60,44.60,44.60,000,44.38701
2015-07-08,44.60,44.60,44.60,44.60,000,44.38701
2015-07-07,44.60,44.60,44.60,44.60,000,44.38701
2015-07-06,44.60,44.60,44.60,44.60,000,44.38701
2015-07-03,44.60,44.60,44.60,44.60,000,44.38701
2015-07-02,44.60,44.60,44.60,44.60,000,44.38701
2015-07-01,44.60,44.60,44.60,44.60,000,44.38701
2015-06-30,44.60,44.60,44.60,44.60,000,44.38701
2015-06-29,44.60,44.60,44.60,44.60,000,44.38701
2015-06-26,44.60,44.60,44.60,44.60,000,44.38701
2015-06-25,44.60,44.60,44.60,44.60,000,44.38701
2015-06-24,44.60,44.60,44.60,44.60,000,44.38701
2015-06-23,44.60,44.60,44.60,44.60,300,44.38701
2015-06-22,41.65,41.65,41.65,41.65,000,41.4511
2015-06-19,41.65,41.65,41.65,41.65,000,41.4511
2015-06-18,41.65,41.65,41.65,41.65,000,41.4511
2015-06-17,41.65,41.65,41.65,41.65,000,41.4511
2015-06-16,41.65,41.65,41.65,41.65,000,41.4511
2015-06-15,41.65,41.65,41.65,41.65,000,41.4511
2015-06-12,41.65,41.65,41.65,41.65,000,41.4511
2015-06-11,41.65,41.65,41.65,41.65,000,41.4511
2015-06-10,41.65,41.65,41.65,41.65,000,41.4511
2015-06-09,41.65,41.65,41.65,41.65,000,41.4511
2015-06-08,41.65,41.65,41.65,41.65,000,41.4511
2015-06-05,41.65,41.65,41.65,41.65,000,41.4511
2015-06-04,41.65,41.65,41.65,41.65,000,41.4511
2015-06-03,41.65,41.65,41.65,41.65,000,41.35158
2015-06-02,41.65,41.65,41.65,41.65,000,41.35158
2015-06-01,41.65,41.65,41.65,41.65,000,41.35158
2015-05-29,41.65,41.65,41.65,41.65,000,41.35158
2015-05-28,41.65,41.65,41.65,41.65,000,41.35158
2015-05-27,41.65,41.65,41.65,41.65,000,41.35158
2015-05-26,41.65,41.65,41.65,41.65,000,41.35158
2015-05-25,41.65,41.65,41.65,41.65,000,41.35158
2015-05-22,41.65,41.65,41.65,41.65,000,41.35158
2015-05-21,41.65,41.65,41.65,41.65,000,41.35158
2015-05-20,41.65,41.65,41.65,41.65,000,41.35158
2015-05-19,41.65,41.65,41.65,41.65,000,41.35158
2015-05-18,41.65,41.65,41.65,41.65,000,41.35158
2015-05-15,41.65,41.65,41.65,41.65,000,41.35158
2015-05-14,41.25,41.25,41.25,41.25,000,40.95444
2015-05-13,41.25,41.25,41.25,41.25,000,40.95444
2015-05-12,41.25,41.25,41.25,41.25,000,40.95444
2015-05-11,41.25,41.25,41.25,41.25,000,40.95444
2015-05-08,41.25,41.25,41.25,41.25,000,40.95444
2015-05-07,41.25,41.25,41.25,41.25,000,40.95444
2015-05-06,41.25,41.25,41.25,41.25,000,40.95444
2015-05-05,41.25,41.25,41.25,41.25,000,40.95444
2015-05-04,41.25,41.25,41.25,41.25,000,40.95444
2015-05-01,41.25,41.25,41.25,41.25,000,40.95444
2015-04-30,41.25,41.25,41.25,41.25,000,40.95444
2015-04-29,41.25,41.25,41.25,41.25,100,40.95444
2015-04-28,41.23,41.25,41.23,41.25,800,40.95444
2015-04-27,40.82,40.82,40.82,40.82,400,40.52752
2015-04-24,42.33,42.33,42.33,42.33,000,42.02671
2015-04-23,42.33,42.33,42.33,42.33,000,42.02671
2015-04-22,42.33,42.33,42.33,42.33,000,42.02671
2015-04-21,42.33,42.33,42.33,42.33,000,42.02671
2015-04-20,42.33,42.33,42.33,42.33,000,42.02671
2015-04-17,42.33,42.33,42.33,42.33,300,42.02671
2015-04-16,42.95,42.95,42.95,42.95,000,42.64226
2015-04-15,42.95,42.95,42.95,42.95,000,42.64226
2015-04-14,42.73,42.73,42.73,42.73,000,42.42384
2015-04-13,42.73,42.73,42.73,42.73,000,42.42384
2015-04-10,42.73,42.73,42.73,42.73,000,42.42384
2015-04-09,42.73,42.73,42.73,42.73,000,42.42384
2015-04-08,42.73,42.73,42.73,42.73,000,42.42384
2015-04-07,42.73,42.73,42.73,42.73,000,42.42384
2015-04-06,7.48,7.48,7.48,7.48,000,7.42641
2015-04-03,7.48,7.48,7.48,7.48,000,7.42641
2015-04-02,7.48,7.48,7.48,7.48,000,7.42641
2015-04-01,7.48,7.48,7.48,7.48,000,7.42641
2015-03-31,7.48,7.48,7.48,7.48,000,7.42641
2015-03-30,7.48,7.48,7.48,7.48,000,7.42641
2015-03-27,7.48,7.48,7.48,7.48,000,7.42641
2015-03-26,7.48,7.48,7.48,7.48,000,7.42641
2015-03-25,7.48,7.48,7.48,7.48,000,7.42641
2015-03-24,7.48,7.48,7.48,7.48,000,7.42641
2015-03-23,7.48,7.48,7.48,7.48,000,7.42641
2015-03-20,7.48,7.48,7.48,7.48,000,7.42641
2015-03-19,7.48,7.48,7.48,7.48,000,7.42641
2015-03-18,7.48,7.48,7.48,7.48,000,7.42641
2015-03-17,7.48,7.48,7.48,7.48,000,7.42641
2015-03-16,7.48,7.48,7.48,7.48,000,7.42641
2015-03-13,7.48,7.48,7.48,7.48,000,7.42641
2015-03-12,7.48,7.48,7.48,7.48,000,7.42641
2015-03-11,7.48,7.48,7.48,7.48,000,7.42641
2015-03-10,7.48,7.48,7.48,7.48,000,7.42641
2015-03-09,7.48,7.48,7.48,7.48,000,7.42641
2015-03-06,7.48,7.48,7.48,7.48,000,7.42641
2015-03-05,7.48,7.48,7.48,7.48,000,7.42641
2015-03-04,7.48,7.48,7.48,7.48,000,7.42641
2015-03-03,7.48,7.48,7.48,7.48,000,7.42641
2015-03-02,7.48,7.48,7.48,7.48,000,7.42641
2015-02-27,7.48,7.48,7.48,7.48,000,7.42641
2015-02-26,7.48,7.48,7.48,7.48,000,7.42641
2015-02-25,7.48,7.48,7.48,7.48,000,7.42641
2015-02-24,7.48,7.48,7.48,7.48,000,7.42641
2015-02-23,7.48,7.48,7.48,7.48,000,7.42641
2015-02-20,7.48,7.48,7.48,7.48,000,7.42641
2015-02-19,7.48,7.48,7.48,7.48,000,7.42641
2015-02-18,7.48,7.48,7.48,7.48,000,7.42641
2015-02-17,7.48,7.48,7.48,7.48,000,7.42641
2015-02-16,7.48,7.48,7.48,7.48,000,7.42641
2015-02-13,7.48,7.48,7.48,7.48,000,7.42641
2015-02-12,7.48,7.48,7.48,7.48,000,7.42641
2015-02-11,7.48,7.48,7.48,7.48,000,7.42641
2015-02-10,7.48,7.48,7.48,7.48,000,7.42641
2015-02-09,7.48,7.48,7.48,7.48,000,7.42641
2015-02-06,7.48,7.48,7.48,7.48,000,7.42641
2015-02-05,7.48,7.48,7.48,7.48,000,7.42641
2015-02-04,7.48,7.48,7.48,7.48,000,7.42641
2015-02-03,7.48,7.48,7.48,7.48,000,7.42641
2015-02-02,7.48,7.48,7.48,7.48,000,7.42641
2015-01-30,7.48,7.48,7.48,7.48,000,7.42641
2015-01-29,7.48,7.48,7.48,7.48,000,7.42641
2015-01-28,7.48,7.48,7.48,7.48,000,7.42641
2015-01-27,7.48,7.48,7.48,7.48,000,7.42641
2015-01-26,7.48,7.48,7.48,7.48,000,7.42641
2015-01-23,7.48,7.48,7.48,7.48,000,7.42641
2015-01-22,7.48,7.48,7.48,7.48,000,7.42641
2015-01-21,7.48,7.48,7.48,7.48,000,7.42641
2015-01-20,7.48,7.48,7.48,7.48,000,7.42641
2015-01-19,7.48,7.48,7.48,7.48,000,7.42641
2015-01-16,7.48,7.48,7.48,7.48,000,7.42641
2015-01-15,7.48,7.48,7.48,7.48,000,7.42641
2015-01-14,7.48,7.48,7.48,7.48,000,7.42641
2015-01-13,7.48,7.48,7.48,7.48,000,7.42641
2015-01-12,7.48,7.48,7.48,7.48,000,7.42641
2015-01-09,7.48,7.48,7.48,7.48,000,7.42641
2015-01-08,7.48,7.48,7.48,7.48,000,7.42641
2015-01-07,7.48,7.48,7.48,7.48,000,7.42641
2015-01-06,7.48,7.48,7.48,7.48,000,7.42641
2015-01-05,7.48,7.48,7.48,7.48,000,7.42641
2015-01-02,7.48,7.48,7.48,7.48,000,7.42641
2015-01-01,7.48,7.48,7.48,7.48,000,7.42641
2014-12-31,7.48,7.48,7.48,7.48,000,7.42641
2014-12-30,7.48,7.48,7.48,7.48,000,7.42641
2014-12-29,7.48,7.48,7.48,7.48,000,7.42641
2014-12-26,7.48,7.48,7.48,7.48,000,7.42641
2014-12-25,7.48,7.48,7.48,7.48,000,7.42641
2014-12-24,7.48,7.48,7.48,7.48,000,7.42641
2014-12-23,7.48,7.48,7.48,7.48,000,7.42641
2014-12-22,7.48,7.48,7.48,7.48,000,7.42641
2014-12-19,7.48,7.48,7.48,7.48,000,7.42641
2014-12-18,7.48,7.48,7.48,7.48,000,7.42641
2014-12-17,7.48,7.48,7.48,7.48,000,7.42641
2014-12-16,7.48,7.48,7.48,7.48,000,7.42641
2014-12-15,7.48,7.48,7.48,7.48,000,7.42641
2014-12-12,7.48,7.48,7.48,7.48,000,7.42641
2014-12-11,7.48,7.48,7.48,7.48,000,7.42641
2014-12-10,7.48,7.48,7.48,7.48,000,7.18515
2014-12-09,7.48,7.48,7.48,7.48,000,7.18515
2014-12-08,7.48,7.48,7.48,7.48,000,7.18515
2014-12-05,7.48,7.48,7.48,7.48,000,7.18515
2014-12-04,7.48,7.48,7.48,7.48,000,7.18515
2014-12-03,7.48,7.48,7.48,7.48,000,7.18515
2014-12-02,7.48,7.48,7.48,7.48,000,7.18515
2014-12-01,7.48,7.48,7.48,7.48,000,7.18515
2014-11-28,7.48,7.48,7.48,7.48,000,7.18515
2014-11-27,7.48,7.48,7.48,7.48,000,7.18515
2014-11-26,7.48,7.48,7.48,7.48,000,7.18515
2014-11-25,7.48,7.48,7.48,7.48,000,7.18515
2014-11-24,7.48,7.48,7.48,7.48,000,7.18515
2014-11-21,7.48,7.48,7.48,7.48,000,7.18515
2014-11-20,7.48,7.48,7.48,7.48,000,7.18515
2014-11-19,7.48,7.48,7.48,7.48,000,7.18515
2014-11-18,7.48,7.48,7.48,7.48,000,7.18515
2014-11-17,7.48,7.48,7.48,7.48,000,7.18515
2014-11-14,7.48,7.48,7.48,7.48,000,7.18515
2014-11-13,7.48,7.48,7.48,7.48,000,7.18515
2014-11-12,7.48,7.48,7.48,7.48,000,7.18515
2014-11-11,7.48,7.48,7.48,7.48,000,7.18515
2014-11-10,7.48,7.48,7.48,7.48,000,7.18515
2014-11-07,7.48,7.48,7.48,7.48,000,7.18515
2014-11-06,7.48,7.48,7.48,7.48,000,7.18515
2014-11-05,7.48,7.48,7.48,7.48,000,7.18515
2014-11-04,7.48,7.48,7.48,7.48,000,7.18515
2014-11-03,7.48,7.48,7.48,7.48,000,7.18515
2014-10-31,0.044,0.044,0.044,0.044,000,0.04227
2014-10-30,0.044,0.044,0.044,0.044,000,0.04227
2014-10-29,0.044,0.044,0.044,0.044,000,0.04227
2014-10-28,0.044,0.044,0.044,0.044,000,0.04227
2014-10-27,0.044,0.044,0.044,0.044,000,0.04227
2014-10-24,0.044,0.044,0.044,0.044,000,0.04227
2014-10-23,0.044,0.044,0.044,0.044,000,0.04227
2014-10-22,0.044,0.044,0.044,0.044,000,0.04227
2014-10-21,0.044,0.044,0.044,0.044,000,0.04227
2014-10-20,0.044,0.044,0.044,0.044,000,0.04227
2014-10-17,0.044,0.044,0.044,0.044,000,0.04227
2014-10-16,0.044,0.044,0.044,0.044,000,0.04227
2014-10-15,0.044,0.044,0.044,0.044,000,0.04227
2014-10-14,0.044,0.044,0.044,0.044,000,0.04227
2014-10-13,0.044,0.044,0.044,0.044,000,0.04227
2014-10-10,0.044,0.044,0.044,0.044,000,0.04227
2014-10-09,0.044,0.044,0.044,0.044,000,0.04227
2014-10-08,0.044,0.044,0.044,0.044,000,0.04227
2014-10-07,0.044,0.044,0.044,0.044,000,0.04227
2014-10-06,0.044,0.044,0.044,0.044,000,0.04227
2014-10-03,0.044,0.044,0.044,0.044,000,0.04227
2014-10-02,0.044,0.044,0.044,0.044,000,0.04227
2014-10-01,0.044,0.044,0.044,0.044,000,0.04227
2014-09-30,0.044,0.044,0.044,0.044,000,0.04227
2014-09-29,0.044,0.044,0.044,0.044,000,0.04227
2014-09-26,0.044,0.044,0.044,0.044,000,0.04227
2014-09-25,0.044,0.044,0.044,0.044,000,0.04227
2014-09-24,0.044,0.044,0.044,0.044,000,0.04227
2014-09-23,0.044,0.044,0.044,0.044,000,0.04227
2014-09-22,0.044,0.044,0.044,0.044,000,0.04227
2014-09-19,0.044,0.044,0.044,0.044,000,0.04227
2014-09-18,0.044,0.044,0.044,0.044,000,0.04227
2014-09-17,0.044,0.044,0.044,0.044,000,0.04227
2014-09-16,0.044,0.044,0.044,0.044,000,0.04227
2014-09-15,0.044,0.044,0.044,0.044,000,0.04227
2014-09-12,0.044,0.044,0.044,0.044,000,0.04227
2014-09-11,0.044,0.044,0.044,0.044,000,0.04227
2014-09-10,0.044,0.044,0.044,0.044,000,0.04227
2014-09-09,0.044,0.044,0.044,0.044,000,0.04227
2014-09-08,0.044,0.044,0.044,0.044,000,0.04227
2014-09-05,0.044,0.044,0.044,0.044,000,0.04227
2014-09-04,0.044,0.044,0.044,0.044,000,0.04227
2014-09-03,0.044,0.044,0.044,0.044,000,0.04227
2014-09-02,0.044,0.044,0.044,0.044,000,0.04227
2014-09-01,0.044,0.044,0.044,0.044,000,0.04227
2014-08-29,0.044,0.044,0.044,0.044,000,0.04227
2014-08-28,0.044,0.044,0.044,0.044,000,0.04227
2014-08-27,0.044,0.044,0.044,0.044,000,0.04227
2014-08-26,0.044,0.044,0.044,0.044,000,0.04227
2014-08-25,0.044,0.044,0.044,0.044,000,0.04227
2014-08-22,0.044,0.044,0.044,0.044,000,0.04227
2014-08-21,0.044,0.044,0.044,0.044,000,0.04227
2014-08-20,0.044,0.044,0.044,0.044,000,0.04227
2014-08-19,0.044,0.044,0.044,0.044,000,0.04227
2014-08-18,0.044,0.044,0.044,0.044,000,0.04227
2014-08-15,0.044,0.044,0.044,0.044,000,0.04227
2014-08-14,0.044,0.044,0.044,0.044,000,0.04227
2014-08-13,0.044,0.044,0.044,0.044,000,0.04227
2014-08-12,0.044,0.044,0.044,0.044,000,0.04227
2014-08-11,0.044,0.044,0.044,0.044,000,0.04227
2014-08-08,0.044,0.044,0.044,0.044,000,0.04227
2014-08-07,0.044,0.044,0.044,0.044,000,0.04227
2014-08-06,0.044,0.044,0.044,0.044,000,0.04227
2014-08-05,0.044,0.044,0.044,0.044,000,0.04227
2014-08-04,0.044,0.044,0.044,0.044,000,0.04227
2014-08-01,0.044,0.044,0.044,0.044,000,0.04227
2014-07-31,0.044,0.044,0.044,0.044,000,0.04227
2014-07-30,0.044,0.044,0.044,0.044,000,0.04227
2014-07-29,0.044,0.044,0.044,0.044,000,0.04227
2014-07-28,0.044,0.044,0.044,0.044,000,0.04227
2014-07-25,0.044,0.044,0.044,0.044,000,0.04227
2014-07-24,0.044,0.044,0.044,0.044,000,0.04227
2014-07-23,0.044,0.044,0.044,0.044,000,0.04227
2014-07-22,0.044,0.044,0.044,0.044,000,0.04227
2014-07-21,0.044,0.044,0.044,0.044,000,0.04227
2014-07-18,0.044,0.044,0.044,0.044,000,0.04227
2014-07-17,0.044,0.044,0.044,0.044,000,0.04227
2014-07-16,0.044,0.044,0.044,0.044,000,0.04227
2014-07-15,0.044,0.044,0.044,0.044,000,0.04227
2014-07-14,0.044,0.044,0.044,0.044,000,0.04227
2014-07-11,0.044,0.044,0.044,0.044,000,0.04227
2014-07-10,0.044,0.044,0.044,0.044,000,0.04227
2014-07-09,0.044,0.044,0.044,0.044,000,0.04227
2014-07-08,0.044,0.044,0.044,0.044,000,0.04227
2014-07-07,0.044,0.044,0.044,0.044,000,0.04227
2014-07-04,0.044,0.044,0.044,0.044,000,0.04227
2014-07-03,0.044,0.044,0.044,0.044,000,0.04227
2014-07-02,0.044,0.044,0.044,0.044,000,0.04227
2014-07-01,0.044,0.044,0.044,0.044,000,0.04227
2014-06-30,0.044,0.044,0.044,0.044,000,0.04227
2014-06-27,0.044,0.044,0.044,0.044,000,0.04227
2014-06-26,0.044,0.044,0.044,0.044,000,0.04227
2014-06-25,0.044,0.044,0.044,0.044,000,0.04227
2014-06-24,0.044,0.044,0.044,0.044,000,0.04227
2014-06-23,0.044,0.044,0.044,0.044,000,0.04227
2014-06-20,0.044,0.044,0.044,0.044,000,0.04227
2014-06-19,0.044,0.044,0.044,0.044,000,0.04227
2014-06-18,0.044,0.044,0.044,0.044,000,0.04227
2014-06-17,0.044,0.044,0.044,0.044,000,0.04227
