Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,21.889999,22.629999,21.34,22.059999,215300,22.059999
2015-10-08,21.129999,22.139999,20.51,21.74,326700,21.74
2015-10-07,20.440001,21.724001,19.785,21.23,517500,21.23
2015-10-06,20.299999,20.48,19.49,20.40,444800,20.40
2015-10-05,19.58,20.50,19.440001,20.41,282900,20.41
2015-10-02,19.10,19.91,18.40,19.27,178000,19.27
2015-10-01,19.209999,19.50,18.629999,19.49,148700,19.49
2015-09-30,19.42,19.82,18.32,19.370001,343300,19.370001
2015-09-29,19.190001,19.25,17.514999,19.030001,374200,19.030001
2015-09-28,21.48,22.00,18.34,19.309999,353900,19.309999
2015-09-25,21.940001,22.129999,19.85,20.42,246300,20.42
2015-09-24,21.26,21.639999,20.110001,21.629999,182400,21.629999
2015-09-23,21.51,21.667,20.73,21.459999,98200,21.459999
2015-09-22,22.040001,22.41,20.790001,21.43,233400,21.43
2015-09-21,24.309999,24.309999,21.76,22.450001,183000,22.450001
2015-09-18,22.65,23.940001,22.114,23.719999,409900,23.719999
2015-09-17,21.139999,23.23,20.982,22.99,244300,22.99
2015-09-16,20.93,21.309999,20.15,21.10,148300,21.10
2015-09-15,20.26,21.049999,19.790001,20.85,194500,20.85
2015-09-14,20.40,20.540001,19.719999,20.25,120100,20.25
2015-09-11,20.120001,20.440001,19.25,20.40,158100,20.40
2015-09-10,19.40,20.860001,19.15,20.129999,394900,20.129999
2015-09-09,19.43,19.84,18.790001,19.33,263400,19.33
2015-09-08,19.66,19.66,18.49,19.24,328800,19.24
2015-09-04,18.41,19.50,18.299999,19.25,114100,19.25
2015-09-03,19.65,19.85,18.415001,18.690001,141400,18.690001
2015-09-02,19.389999,19.57,18.299999,19.52,223200,19.52
2015-09-01,18.790001,19.33,18.08,19.110001,341300,19.110001
2015-08-31,20.610001,20.76,18.84,19.360001,376900,19.360001
2015-08-28,21.700001,22.139999,20.10,20.610001,248200,20.610001
2015-08-27,19.719999,22.33,19.719999,21.809999,341500,21.809999
2015-08-26,18.379999,19.35,18.00,19.34,319600,19.34
2015-08-25,19.889999,19.889999,17.85,17.92,324800,17.92
2015-08-24,17.60,19.08,16.280001,18.950001,664100,18.950001
2015-08-21,19.75,19.90,18.01,19.440001,431700,19.440001
2015-08-20,21.120001,21.120001,20.030001,20.120001,316800,20.120001
2015-08-19,21.280001,21.799999,20.76,21.360001,185400,21.360001
2015-08-18,21.620001,21.895,21.120001,21.57,227700,21.57
2015-08-17,20.85,21.75,20.620001,21.60,257700,21.60
2015-08-14,22.370001,22.790001,20.59,20.83,270200,20.83
2015-08-13,23.08,23.50,22.27,22.34,211300,22.34
2015-08-12,22.719999,23.33,21.76,23.129999,256400,23.129999
2015-08-11,23.440001,24.799999,21.620001,23.00,222700,23.00
2015-08-10,23.299999,24.690001,23.25,23.690001,187300,23.690001
2015-08-07,23.889999,23.889999,22.120001,23.209999,287900,23.209999
2015-08-06,24.299999,24.299999,23.030001,23.93,193700,23.93
2015-08-05,24.26,24.66,23.34,24.33,220500,24.33
2015-08-04,25.32,25.469999,24.030001,24.139999,339700,24.139999
2015-08-03,26.120001,26.32,24.969999,25.219999,188600,25.219999
2015-07-31,25.809999,26.459999,25.598,26.219999,286400,26.219999
2015-07-30,26.15,26.360001,25.610001,25.790001,86900,25.790001
2015-07-29,26.450001,27.42,26.15,26.33,100300,26.33
2015-07-28,26.43,26.98,25.65,26.58,176300,26.58
2015-07-27,26.40,26.83,26.00,26.40,105300,26.40
2015-07-24,28.40,28.725,26.32,26.690001,256300,26.690001
2015-07-23,28.99,29.50,28.52,28.73,126700,28.73
2015-07-22,28.26,29.139999,27.870001,29.120001,127600,29.120001
2015-07-21,27.549999,28.73,27.08,28.50,140500,28.50
2015-07-20,28.57,28.950001,27.209999,27.700001,291900,27.700001
2015-07-17,29.719999,29.855,28.26,28.68,335400,28.68
2015-07-16,31.09,31.18,29.74,29.870001,192800,29.870001
2015-07-15,30.690001,31.01,30.360001,30.950001,143500,30.950001
2015-07-14,30.690001,30.959999,30.33,30.84,91500,30.84
2015-07-13,30.690001,31.35,30.389999,30.559999,99600,30.559999
2015-07-10,30.450001,30.629999,30.01,30.58,145600,30.58
2015-07-09,30.51,30.93,29.50,30.299999,221300,30.299999
2015-07-08,31.01,31.389999,29.82,29.940001,204200,29.940001
2015-07-07,31.43,32.189999,30.60,31.639999,222700,31.639999
2015-07-06,30.49,31.67,29.75,31.280001,242100,31.280001
2015-07-02,30.68,31.450001,30.388,31.190001,108400,31.190001
2015-07-01,30.74,31.190001,30.00,30.790001,193200,30.790001
2015-06-30,30.200001,30.99,29.299999,30.33,401900,30.33
2015-06-29,32.509998,32.950001,29.559999,29.58,598600,29.58
2015-06-26,32.779999,33.549999,32.52,32.709999,1408200,32.709999
2015-06-25,36.009998,36.23,32.50,33.799999,471400,33.799999
2015-06-24,36.119999,36.68,35.200001,35.880001,193100,35.880001
2015-06-23,35.799999,36.900002,35.02,36.439999,239200,36.439999
2015-06-22,36.299999,37.490002,35.580002,35.790001,190000,35.790001
2015-06-19,35.099998,37.459999,34.998001,36.82,456700,36.82
2015-06-18,35.439999,36.240002,35.00,35.139999,216000,35.139999
2015-06-17,35.529999,36.48,34.360001,35.349998,180300,35.349998
2015-06-16,35.849998,36.48,34.900002,35.439999,279500,35.439999
2015-06-15,33.700001,36.259998,33.59,36.00,615300,36.00
2015-06-12,33.75,34.887001,33.549999,33.779999,198000,33.779999
2015-06-11,33.169998,33.560001,32.130001,33.369999,139600,33.369999
2015-06-10,32.66,33.515999,32.380001,33.009998,97800,33.009998
2015-06-09,34.209999,34.209999,32.25,32.439999,213400,32.439999
2015-06-08,35.09,35.875,33.25,34.049999,254600,34.049999
2015-06-05,33.290001,35.472,33.105,35.25,377700,35.25
2015-06-04,32.560001,33.560001,31.975,33.43,267100,33.43
2015-06-03,31.450001,32.450001,31.200001,32.400002,243800,32.400002
2015-06-02,32.450001,32.77,31.25,31.389999,319200,31.389999
2015-06-01,33.700001,33.93,32.290001,32.900002,360000,32.900002
2015-05-29,32.130001,34.423,31.139999,33.779999,413500,33.779999
2015-05-28,32.00,32.810001,31.059999,31.73,157300,31.73
2015-05-27,31.09,33.359001,31.09,32.080002,244200,32.080002
2015-05-26,31.00,31.858,30.23,31.51,181300,31.51
2015-05-22,30.92,32.00,30.870001,31.15,134400,31.15
2015-05-21,29.799999,31.98,29.52,31.469999,343900,31.469999
2015-05-20,29.040001,30.00,27.57,29.870001,350600,29.870001
2015-05-19,30.440001,30.674,28.52,28.549999,337600,28.549999
2015-05-18,31.18,31.50,28.700001,30.129999,487900,30.129999
2015-05-15,32.869999,33.50,31.00,31.469999,258900,31.469999
2015-05-14,34.360001,35.349998,31.854,32.869999,580900,32.869999
2015-05-13,32.349998,33.990002,31.76,33.689999,403900,33.689999
2015-05-12,31.00,33.00,29.10,32.09,461100,32.09
2015-05-11,32.310001,33.240002,30.52,30.780001,780200,30.780001
2015-05-08,29.139999,31.309999,29.059999,30.85,567800,30.85
2015-05-07,28.00,29.68,27.884001,28.620001,323000,28.620001
2015-05-06,27.809999,29.860001,27.00,27.99,524100,27.99
2015-05-05,29.969999,31.24,27.059999,27.709999,839700,27.709999
2015-05-04,26.610001,29.75,26.110001,29.33,1239200,29.33
2015-05-01,25.90,26.50,25.10,26.09,370600,26.09
2015-04-30,27.01,27.940001,24.68,25.40,1029500,25.40
2015-04-29,27.440001,29.18,27.059999,27.459999,692200,27.459999
2015-04-28,31.58,32.855,27.799999,27.969999,1142200,27.969999
2015-04-27,35.240002,36.508999,31.68,32.060001,663600,32.060001
2015-04-24,36.369999,36.860001,35.00,36.00,338700,36.00
2015-04-23,38.290001,38.564999,36.00,36.389999,467700,36.389999
2015-04-22,38.709999,40.00,38.00,38.169998,304500,38.169998
2015-04-21,43.380001,43.462002,38.669998,38.669998,888300,38.669998
2015-04-20,44.509998,44.75,42.349998,42.799999,1169600,42.799999
2015-04-17,40.77,41.439999,39.209999,40.00,668000,40.00
2015-04-16,42.50,49.25,39.130001,39.400002,2418800,39.400002
2015-04-15,32.00,42.00,30.60,42.00,6884200,42.00
