Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,43.700001,44.00,43.700001,43.990002,1000,43.765668
2015-10-08,41.23,43.389999,41.23,43.389999,3800,43.168725
2015-10-07,41.25,42.07,41.25,42.07,2400,41.855457
2015-10-06,41.41,41.41,41.41,41.41,1000,41.198823
2015-10-05,40.919998,42.48,40.919998,42.470001,3900,42.253419
2015-10-02,40.860001,41.32,40.75,41.32,3800,41.109282
2015-10-01,41.400002,41.400002,40.91,40.91,5400,40.701373
2015-09-30,41.00,41.00,41.00,41.00,2300,40.790914
2015-09-29,42.490002,42.490002,41.490002,41.490002,2300,41.278417
2015-09-28,42.110001,42.700001,40.650002,40.759998,2000,40.552136
2015-09-25,41.509998,42.50,41.509998,41.810001,6000,41.596785
2015-09-24,41.00,41.509998,41.00,41.509998,1200,41.298312
2015-09-23,40.82,42.110001,40.82,42.009998,2400,41.795762
2015-09-22,41.599998,42.25,41.599998,42.00,2600,41.785815
2015-09-21,43.700001,43.73,43.16,43.16,1500,42.939899
2015-09-18,42.50,43.91,41.220001,43.869999,4000,43.646277
2015-09-17,42.25,42.98,41.299999,42.98,2100,42.760816
2015-09-16,42.919998,44.299999,40.73,41.689999,6700,41.477394
2015-09-15,42.50,43.389999,42.450001,42.66,2500,42.442449
2015-09-14,43.299999,43.299999,42.77,42.77,1300,42.551888
2015-09-11,43.720001,44.00,43.00,43.860001,1100,43.63633
2015-09-10,43.630001,44.630001,43.630001,44.200001,5900,43.974596
2015-09-09,43.75,44.82,43.549999,43.759998,6400,43.536837
2015-09-08,43.299999,43.599998,43.25,43.549999,8500,43.327909
2015-09-04,43.450001,44.560001,43.049999,43.299999,1600,43.079184
2015-09-03,43.57,43.779999,43.389999,43.779999,1200,43.556736
2015-09-02,43.459999,44.259998,41.810001,43.709999,11800,43.487093
2015-09-01,44.00,44.900002,43.560001,43.560001,3600,43.33786
2015-08-31,44.610001,45.990002,44.50,45.610001,1700,45.158525
2015-08-28,43.860001,45.150002,43.860001,44.25,3300,43.811987
2015-08-27,43.040001,45.209999,43.040001,45.209999,1800,44.762483
2015-08-26,42.310001,43.040001,39.00,43.040001,12900,42.613965
2015-08-25,41.75,43.450001,41.75,43.450001,4100,43.019906
2015-08-24,40.779999,42.490002,38.880001,41.509998,9900,41.099107
2015-08-21,45.080002,45.630001,43.00,43.93,4400,43.495155
2015-08-20,45.720001,46.00,44.130001,45.43,2700,44.980307
2015-08-19,45.77,46.439999,45.509998,45.509998,900,45.059513
2015-08-18,46.25,46.25,45.450001,45.450001,1100,45.000109
2015-08-17,46.50,47.00,46.299999,46.43,1700,45.970408
2015-08-14,46.130001,46.880001,46.130001,46.880001,1900,46.415955
2015-08-13,45.799999,46.09,45.799999,45.830002,900,45.376349
2015-08-12,45.299999,46.240002,45.169998,46.09,7200,45.633774
2015-08-11,47.25,47.25,45.279999,45.279999,5400,44.83179
2015-08-10,44.599998,46.889999,44.599998,46.75,2800,46.28724
2015-08-07,45.380001,46.540001,43.25,45.32,14700,44.871395
2015-08-06,43.259998,48.419998,43.259998,44.75,3300,44.307038
2015-08-05,46.00,47.189999,45.00,47.189999,8000,46.722884
2015-08-04,46.150002,46.75,44.549999,44.549999,20600,44.109016
2015-08-03,48.099998,48.25,47.630001,47.630001,1100,47.158531
2015-07-31,46.470001,48.599998,46.470001,47.77,10700,47.297144
2015-07-30,45.740002,46.889999,45.439999,46.389999,4900,45.930803
2015-07-29,41.950001,45.740002,41.950001,45.740002,19300,45.28724
2015-07-28,42.650002,42.650002,41.900002,41.900002,1300,41.48525
2015-07-27,42.50,42.50,42.00,42.00,1300,41.584259
2015-07-24,42.669998,42.990002,42.560001,42.669998,2500,42.247625
2015-07-23,43.16,43.50,43.00,43.00,2400,42.57436
2015-07-22,43.509998,43.889999,43.50,43.50,2900,43.069411
2015-07-21,43.279999,45.459999,43.279999,43.52,2700,43.089213
2015-07-20,43.68,43.790001,43.50,43.790001,1900,43.356541
2015-07-17,43.849998,44.369999,43.330002,43.330002,3100,42.901095
2015-07-16,43.419998,44.610001,43.419998,43.84,2100,43.406045
2015-07-15,43.799999,44.049999,43.009998,43.459999,6700,43.029806
2015-07-14,45.009998,45.009998,43.470001,44.150002,5700,43.712978
2015-07-13,44.950001,45.25,44.549999,44.549999,3800,44.109016
2015-07-10,43.810001,44.990002,43.470001,44.990002,6000,44.544664
2015-07-09,43.099998,44.669998,43.00,43.00,4300,42.57436
2015-07-08,43.630001,43.630001,42.50,43.50,1700,43.069411
2015-07-07,43.619999,44.849998,43.450001,43.459999,5200,43.029806
2015-07-06,43.150002,44.75,43.150002,43.939999,3500,43.505054
2015-07-02,43.669998,44.00,43.669998,43.700001,1000,43.267432
2015-07-01,44.540001,44.950001,42.529999,44.59,10300,44.148621
2015-06-30,46.380001,46.380001,44.099998,44.599998,11900,44.158521
2015-06-29,46.700001,46.700001,45.509998,45.709999,7000,45.257534
2015-06-26,48.029999,49.080002,46.259998,46.939999,9400,46.475358
2015-06-25,50.529999,50.650002,50.00,50.150002,1900,49.653587
2015-06-24,50.73,51.490002,50.66,50.66,4300,50.158537
2015-06-23,50.529999,50.98,50.25,50.950001,6500,50.445667
2015-06-22,49.810001,51.389999,49.799999,50.43,2700,49.930814
2015-06-19,49.299999,51.650002,48.619999,49.900002,9400,49.406061
2015-06-18,49.599998,50.610001,48.00,49.439999,20700,48.950612
2015-06-17,49.110001,50.23,49.110001,49.389999,8200,48.901107
2015-06-16,48.709999,49.459999,48.09,49.459999,6400,48.970414
2015-06-15,47.759998,48.93,47.139999,48.360001,6800,47.881304
2015-06-12,47.650002,48.990002,47.200001,47.880001,5300,47.406056
2015-06-11,49.669998,49.669998,46.990002,47.560001,6300,47.089224
2015-06-10,44.540001,47.580002,44.310001,47.490002,13400,47.019917
2015-06-09,44.77,46.25,43.290001,45.75,10800,45.297139
2015-06-08,44.400002,44.849998,43.380001,44.50,9500,44.059512
2015-06-05,44.099998,44.689999,43.669998,44.560001,4700,44.11892
2015-06-04,43.549999,44.299999,43.549999,44.09,7100,43.653571
2015-06-03,43.439999,44.450001,43.439999,43.599998,9500,43.168419
2015-06-02,43.490002,43.900002,43.490002,43.509998,3300,43.07931
2015-06-01,43.549999,44.00,42.720001,43.099998,13100,42.673369
2015-05-29,42.599998,44.700001,41.099998,42.900002,13500,42.25753
2015-05-28,42.810001,43.00,41.939999,42.139999,10500,41.50891
2015-05-27,42.110001,42.950001,40.959999,42.50,12800,41.863519
2015-05-26,39.00,42.23,39.00,41.509998,34700,40.888344
2015-05-22,40.669998,42.00,39.450001,39.709999,16600,39.115301
2015-05-21,43.50,43.50,40.400002,40.599998,20200,39.991972
2015-05-20,44.66,45.25,43.099998,43.290001,11800,42.641689
2015-05-19,44.080002,45.00,43.299999,44.00,8300,43.341055
2015-05-18,44.34,44.689999,42.959999,43.599998,6600,42.947044
2015-05-15,44.869999,46.330002,44.50,44.66,5100,43.991171
2015-05-14,46.349998,46.349998,45.00,45.049999,2800,44.375329
2015-05-13,44.68,44.68,41.669998,43.139999,10600,42.493934
2015-05-12,46.540001,46.540001,44.009998,44.040001,7500,43.380457
2015-05-11,46.849998,46.93,46.150002,46.759998,8700,46.059719
2015-05-08,45.549999,46.970001,45.549999,46.759998,7200,46.059719
2015-05-07,44.669998,45.599998,44.049999,44.790001,4900,44.119225
2015-05-06,44.759998,45.32,43.50,44.43,8900,43.764616
2015-05-05,47.009998,47.27,44.849998,44.849998,11500,44.178324
2015-05-04,46.279999,47.709999,46.279999,47.00,5300,46.296127
2015-05-01,46.799999,49.18,44.810001,46.400002,17000,45.705114
2015-04-30,53.41,53.799999,46.599998,46.599998,14500,45.902116
2015-04-29,54.50,54.939999,52.91,52.91,7900,52.117618
2015-04-28,57.32,57.32,54.720001,54.720001,11900,53.900513
2015-04-27,57.810001,58.799999,56.490002,56.490002,8000,55.644006
2015-04-24,58.630001,59.040001,57.50,57.950001,9100,57.08214
2015-04-23,59.00,59.549999,58.599998,58.599998,6500,57.722403
2015-04-22,60.75,61.799999,58.700001,58.75,5600,57.870159
2015-04-21,59.75,61.389999,59.75,60.990002,1800,60.076614
2015-04-20,61.779999,61.98,60.18,61.50,8800,60.578974
2015-04-17,60.73,62.290001,60.189999,60.830002,7400,59.91901
2015-04-16,63.50,63.810001,61.040001,61.049999,10500,60.135713
2015-04-15,64.209999,64.540001,63.299999,63.790001,3600,62.83468
2015-04-14,64.389999,64.559998,62.98,64.339996,14600,63.376439
2015-04-13,64.00,65.050003,63.299999,64.529999,8900,63.563596
2015-04-10,67.559998,67.559998,64.199997,64.529999,5700,63.563596
2015-04-09,66.839996,67.00,64.610001,66.160004,5100,65.16919
2015-04-08,66.809998,69.150002,66.00,66.589996,6700,65.592743
2015-04-07,66.300003,68.199997,65.470001,66.059998,8600,65.070681
2015-04-06,69.879997,69.879997,65.610001,65.639999,16600,64.656973
2015-04-02,69.50,70.00,69.139999,70.00,12200,68.951678
2015-04-01,68.00,68.970001,66.879997,68.970001,14300,67.937105
2015-03-31,67.110001,68.110001,67.050003,67.209999,7700,66.20346
2015-03-30,64.830002,67.150002,64.830002,66.980003,12000,65.976909
2015-03-27,64.760002,67.349998,64.040001,64.580002,13800,63.61285
2015-03-26,62.34,64.82,61.639999,63.939999,6600,62.982432
2015-03-25,60.799999,62.50,60.419998,61.59,10100,60.667627
2015-03-24,59.02,60.900002,59.02,60.900002,19300,59.987962
2015-03-23,57.849998,60.349998,55.529999,59.25,13800,58.362671
2015-03-20,60.200001,60.990002,57.50,58.32,17900,57.446598
2015-03-19,60.43,62.18,59.59,60.060001,8600,59.160541
2015-03-18,61.970001,62.00,60.00,60.830002,11600,59.91901
2015-03-17,60.00,61.700001,59.630001,60.639999,19100,59.731853
2015-03-16,59.75,60.470001,59.439999,60.099998,13200,59.199939
2015-03-13,64.629997,64.629997,59.200001,60.00,24400,59.101439
2015-03-12,64.50,64.50,62.98,64.43,8700,63.465095
2015-03-11,63.700001,65.639999,62.939999,64.089996,10400,63.130183
2015-03-10,66.800003,66.800003,63.799999,64.120003,5400,63.15974
2015-03-09,68.75,68.75,65.080002,66.860001,9000,65.858704
2015-03-06,67.370003,68.300003,66.639999,66.639999,6800,65.425294
2015-03-05,68.790001,68.790001,66.940002,67.989998,3900,66.750685
2015-03-04,67.760002,68.970001,66.010002,67.470001,11400,66.240166
2015-03-03,68.949997,69.059998,68.480003,68.480003,7500,67.231758
2015-03-02,67.970001,69.970001,67.970001,68.559998,9100,67.310294
2015-02-27,70.629997,70.860001,66.879997,66.879997,16400,65.660917
2015-02-26,72.989998,72.989998,69.529999,70.989998,8300,69.696001
2015-02-25,71.50,73.279999,71.209999,72.910004,16300,71.581009
2015-02-24,68.540001,72.089996,68.110001,70.309998,18100,69.028396
2015-02-23,67.300003,68.489998,67.029999,67.559998,13200,66.328522
2015-02-20,66.879997,68.00,65.629997,66.980003,11900,65.7591
2015-02-19,66.110001,66.879997,65.480003,66.629997,9100,65.415474
2015-02-18,65.07,66.339996,64.360001,66.010002,7900,64.80678
2015-02-17,65.25,66.760002,64.50,65.690002,16400,64.492613
2015-02-13,66.489998,66.489998,64.580002,64.580002,8300,63.402846
2015-02-12,66.50,66.50,64.010002,65.790001,8400,64.590789
2015-02-11,65.620003,66.800003,63.299999,65.650002,5000,64.453341
2015-02-10,64.82,65.620003,64.529999,65.300003,11500,64.109723
2015-02-09,62.25,65.150002,62.25,64.389999,13000,63.216307
2015-02-06,62.790001,65.230003,60.669998,62.200001,12800,61.066227
2015-02-05,61.959999,63.959999,61.959999,62.290001,5200,61.154587
2015-02-04,59.889999,62.00,59.889999,61.130001,5900,60.015731
2015-02-03,58.860001,60.48,58.610001,59.93,4700,58.837604
2015-02-02,58.060001,58.860001,58.040001,58.860001,3500,57.787108
2015-01-30,58.810001,59.09,57.50,58.040001,4300,56.982055
2015-01-29,58.860001,59.049999,58.00,59.00,10200,57.924555
2015-01-28,58.75,59.040001,58.00,58.400002,6700,57.335494
2015-01-27,57.540001,58.75,57.540001,58.369999,6400,57.306038
2015-01-26,57.049999,58.00,57.049999,57.900002,3000,56.844608
2015-01-23,58.639999,58.639999,56.91,57.040001,4300,56.000283
2015-01-22,57.580002,58.919998,56.720001,58.619999,12500,57.551481
2015-01-21,55.450001,57.32,55.450001,56.740002,7400,55.705752
2015-01-20,59.00,59.00,56.00,57.240002,15100,56.196638
2015-01-16,55.189999,57.099998,55.139999,56.50,5200,55.470125
2015-01-15,51.950001,57.009998,50.00,54.639999,21100,53.644028
2015-01-14,50.00,52.400002,49.009998,51.580002,14800,50.639808
2015-01-13,52.580002,54.169998,52.299999,53.669998,18000,52.691708
2015-01-12,52.130001,52.580002,50.810001,52.150002,4800,51.199418
2015-01-09,52.150002,52.450001,50.84,51.669998,9300,50.728164
2015-01-08,50.990002,51.889999,50.299999,51.66,6100,50.718348
2015-01-07,49.389999,50.889999,48.259998,50.50,2300,49.579492
2015-01-06,49.09,49.98,48.43,48.889999,7400,47.998839
2015-01-05,49.299999,49.990002,47.310001,48.490002,6400,47.606132
2015-01-02,48.68,50.00,48.169998,49.669998,1300,48.76462
2014-12-31,48.099998,50.540001,47.880001,49.950001,8000,49.039518
2014-12-30,45.900002,48.099998,45.900002,48.099998,4500,47.223238
2014-12-29,48.169998,48.240002,46.84,47.43,2800,46.565452
2014-12-26,47.849998,49.209999,47.110001,48.279999,3400,47.399957
2014-12-24,49.299999,49.299999,47.529999,48.310001,700,47.429413
2014-12-23,47.310001,49.41,47.310001,47.810001,2500,46.938527
2014-12-22,47.169998,48.380001,46.939999,47.200001,5300,46.339645
2014-12-19,46.02,47.630001,42.509998,46.75,14800,45.897847
2014-12-18,47.209999,47.209999,45.240002,46.279999,6900,45.436413
2014-12-17,41.549999,47.259998,41.549999,47.209999,12700,46.349461
2014-12-16,39.560001,42.439999,39.00,40.740002,6400,39.997398
2014-12-15,39.880001,40.00,38.580002,38.849998,4800,38.141846
2014-12-12,40.700001,42.860001,38.970001,39.700001,8400,38.976354
2014-12-11,42.82,42.82,40.66,41.099998,14300,40.350833
2014-12-10,43.779999,43.869999,41.82,42.119999,10800,41.352241
2014-12-09,43.849998,43.959999,41.650002,43.959999,11100,43.158702
2014-12-08,43.66,44.169998,43.220001,43.50,8700,42.707087
2014-12-05,43.330002,44.509998,42.84,43.110001,6000,42.324197
2014-12-04,44.34,44.34,43.110001,43.790001,7900,42.991802
2014-12-03,44.240002,45.09,43.110001,44.369999,6400,43.561228
2014-12-02,42.880001,45.09,40.669998,43.959999,5600,43.158702
