Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,60.860001,61.310001,60.43,60.759998,1604300,60.365953
2015-10-08,60.169998,61.009998,59.939999,60.810001,1768200,60.415631
2015-10-07,59.84,60.389999,58.82,60.290001,1808700,59.899003
2015-10-06,59.220001,59.639999,59.060001,59.43,1850400,59.04458
2015-10-05,58.799999,59.610001,58.59,59.32,1691900,58.935293
2015-10-02,56.900002,58.48,56.779999,58.470001,2313500,58.090807
2015-10-01,58.139999,58.470001,57.52,57.959999,1961900,57.584112
2015-09-30,58.299999,58.700001,57.810001,58.130001,1968400,57.753012
2015-09-29,57.110001,57.810001,56.880001,57.720001,1583300,57.345671
2015-09-28,57.369999,57.549999,56.82,57.009998,1790700,56.640272
2015-09-25,57.970001,58.380001,57.580002,57.830002,1878000,57.454958
2015-09-24,56.830002,57.630001,56.830002,57.490002,2220100,57.117163
2015-09-23,57.099998,57.50,56.810001,57.419998,1963400,57.047613
2015-09-22,56.880001,57.27,56.610001,57.040001,2000500,56.67008
2015-09-21,57.450001,58.049999,57.299999,57.700001,1560800,57.3258
2015-09-18,57.130001,57.709999,56.919998,57.150002,3581900,56.779368
2015-09-17,58.900002,59.080002,57.939999,58.110001,2205700,57.733141
2015-09-16,58.560001,58.970001,58.360001,58.84,1404900,58.458406
2015-09-15,58.139999,58.759998,57.900002,58.57,1413600,58.190157
2015-09-14,58.110001,58.220001,57.639999,57.799999,1455500,57.42515
2015-09-11,57.459999,58.169998,57.360001,58.139999,2092900,57.762945
2015-09-10,57.66,57.959999,57.060001,57.700001,2464400,57.3258
2015-09-09,58.490002,58.68,56.900002,56.990002,2165100,56.620405
2015-09-08,57.34,57.59,57.119999,57.57,3176100,57.196642
2015-09-04,56.689999,56.950001,56.189999,56.389999,2319600,56.024294
2015-09-03,57.650002,58.09,57.299999,57.549999,2333200,57.176771
2015-09-02,57.380001,57.509998,56.599998,57.450001,2034900,57.077421
2015-09-01,57.209999,57.610001,56.43,56.650002,2924000,56.28261
2015-08-31,58.119999,58.810001,57.919998,58.599998,2450100,58.219961
2015-08-28,58.299999,58.720001,58.02,58.669998,2050000,58.289507
2015-08-27,57.810001,58.77,57.349998,58.630001,2598400,58.249769
2015-08-26,56.57,57.040001,55.630001,56.919998,3141400,56.550856
2015-08-25,57.98,57.98,55.169998,55.23,3103500,54.871817
2015-08-24,55.669998,57.950001,51.41,56.290001,5103400,55.924944
2015-08-21,60.68,61.040001,59.169998,59.200001,3201100,58.816072
2015-08-20,62.490002,62.66,61.220001,61.25,3519300,60.852776
2015-08-19,63.700001,63.959999,62.75,63.049999,4369300,62.641102
2015-08-18,64.349998,64.639999,64.300003,64.580002,1245800,64.161182
2015-08-17,63.970001,64.580002,63.50,64.529999,1867900,64.111503
2015-08-14,64.199997,64.779999,64.139999,64.760002,1743100,63.952545
2015-08-13,64.129997,64.610001,63.959999,64.169998,1184700,63.369897
2015-08-12,63.880001,64.269997,63.110001,64.110001,2195300,63.310648
2015-08-11,64.120003,64.519997,63.84,64.239998,1486300,63.439024
2015-08-10,64.400002,64.989998,64.379997,64.919998,1668800,64.110546
2015-08-07,63.639999,64.07,63.450001,64.040001,1932500,63.241521
2015-08-06,64.099998,64.260002,63.580002,63.68,2126400,62.886009
2015-08-05,64.360001,64.779999,64.07,64.099998,1544900,63.30077
2015-08-04,64.040001,64.50,63.84,63.93,1575800,63.132892
2015-08-03,63.939999,64.029999,63.389999,64.029999,1654900,63.231643
2015-07-31,64.120003,64.300003,63.919998,64.050003,2411400,63.251398
2015-07-30,64.32,64.660004,63.889999,64.040001,2659700,63.241521
2015-07-29,62.189999,64.629997,62.130001,64.540001,4170000,63.735287
2015-07-28,61.810001,62.470001,61.400002,62.330002,2265400,61.552843
2015-07-27,61.48,61.75,61.139999,61.529999,1340200,60.762815
2015-07-24,61.860001,62.439999,61.77,61.919998,2043900,61.147951
2015-07-23,61.889999,62.139999,61.630001,61.860001,1550800,61.088702
2015-07-22,61.810001,62.130001,61.619999,61.880001,1601100,61.108453
2015-07-21,61.669998,62.119999,61.50,61.799999,1830200,61.029449
2015-07-20,61.669998,61.860001,61.060001,61.560001,2247600,60.792443
2015-07-17,62.189999,62.189999,61.189999,61.59,1616400,60.822068
2015-07-16,62.139999,62.43,61.830002,62.220001,1585800,61.444214
2015-07-15,61.610001,61.790001,61.349998,61.790001,2677200,61.019575
2015-07-14,61.369999,61.740002,61.18,61.41,3057200,60.644312
2015-07-13,60.759998,61.669998,60.580002,61.419998,5616300,60.654186
2015-07-10,61.349998,61.790001,61.330002,61.709999,2626100,60.940571
2015-07-09,61.209999,61.389999,60.57,60.66,2347300,59.903663
2015-07-08,61.32,61.450001,60.23,60.459999,1952500,59.706156
2015-07-07,61.560001,61.799999,60.689999,61.77,2004100,60.999824
2015-07-06,61.23,62.029999,61.080002,61.580002,1764400,60.812194
2015-07-02,62.369999,62.50,61.630001,61.959999,1438400,61.187453
2015-07-01,63.049999,63.060001,62.139999,62.43,1994100,61.651595
2015-06-30,61.91,62.509998,61.669998,62.200001,2412300,61.424463
2015-06-29,62.990002,63.220001,61.400002,61.439999,3451800,60.673937
2015-06-26,63.349998,63.830002,63.049999,63.689999,2510800,62.895883
2015-06-25,63.09,63.810001,62.990002,63.34,4083300,62.550248
2015-06-24,62.720001,62.939999,62.439999,62.48,1298000,61.70097
2015-06-23,62.990002,63.009998,62.639999,62.849998,1591000,62.066356
2015-06-22,62.959999,63.099998,62.650002,62.830002,1125200,62.046609
2015-06-19,62.900002,63.029999,62.52,62.560001,2334600,61.779975
2015-06-18,62.599998,63.27,62.599998,63.09,1781500,62.303365
2015-06-17,62.650002,63.00,62.369999,62.470001,1713100,61.691097
2015-06-16,61.939999,62.650002,61.849998,62.450001,1909800,61.671346
2015-06-15,62.029999,62.360001,61.869999,62.049999,1577200,61.276331
2015-06-12,62.259998,62.900002,62.200001,62.57,1686500,61.789848
2015-06-11,62.630001,63.139999,62.509998,62.990002,1725300,62.204614
2015-06-10,61.939999,62.849998,61.93,62.52,1443400,61.740473
2015-06-09,61.59,61.889999,61.32,61.669998,1493600,60.901068
2015-06-08,61.720001,62.040001,61.580002,61.619999,1888600,60.851693
2015-06-05,62.220001,62.349998,61.700001,61.810001,1814600,61.039326
2015-06-04,62.419998,62.669998,62.049999,62.110001,1758100,61.335585
2015-06-03,62.310001,62.790001,62.209999,62.509998,1654000,61.730595
2015-06-02,62.09,62.66,61.98,62.259998,2179000,61.483712
2015-06-01,62.50,62.630001,61.98,62.099998,2343100,61.325707
2015-05-29,62.639999,62.68,62.049999,62.220001,2244000,61.444214
2015-05-28,62.259998,62.619999,61.959999,62.560001,1662700,61.779975
2015-05-27,62.040001,62.830002,61.91,62.459999,2427000,61.681219
2015-05-26,62.490002,62.57,61.630001,61.740002,3907600,60.970199
2015-05-22,62.740002,63.48,62.540001,62.709999,2896300,61.928102
2015-05-21,64.449997,64.529999,62.830002,62.889999,4867900,62.105858
2015-05-20,64.18,65.059998,63.919998,64.709999,2403300,63.903165
2015-05-19,64.099998,64.519997,63.799999,64.25,2173200,63.448902
2015-05-18,63.299999,64.07,63.279999,63.93,1634900,63.132892
2015-05-15,63.709999,63.919998,63.200001,63.669998,1925500,62.490993
2015-05-14,63.889999,64.080002,63.619999,63.77,1588500,62.589144
2015-05-13,63.310001,63.84,63.240002,63.599998,1647800,62.42229
2015-05-12,63.73,63.830002,63.32,63.369999,2030000,62.196549
2015-05-11,64.080002,64.419998,63.869999,63.889999,1979300,62.706921
2015-05-08,63.990002,64.309998,63.68,64.220001,1632600,63.030812
2015-05-07,63.639999,64.220001,63.369999,63.75,2364400,62.569514
2015-05-06,64.099998,64.300003,63.150002,63.540001,1836700,62.363403
2015-05-05,63.369999,64.209999,63.18,63.73,2183300,62.549883
2015-05-04,63.369999,63.799999,63.299999,63.52,1676300,62.343773
2015-05-01,63.419998,63.669998,62.799999,63.110001,2377600,61.941365
2015-04-30,63.639999,64.089996,62.990002,63.040001,3284000,61.872662
2015-04-29,63.09,64.209999,62.139999,63.860001,3878200,62.677477
2015-04-28,63.889999,64.540001,63.639999,64.419998,1526700,63.227105
2015-04-27,64.32,64.519997,63.939999,64.019997,1456900,62.834511
2015-04-24,64.279999,64.410004,63.93,64.190002,1431600,63.001368
2015-04-23,63.84,64.419998,63.73,64.169998,1261200,62.981734
2015-04-22,64.050003,64.160004,63.459999,64.07,1245400,62.883588
2015-04-21,64.620003,64.809998,63.43,63.860001,1405300,62.677477
2015-04-20,64.330002,64.690002,64.25,64.449997,930700,63.256548
2015-04-17,64.169998,64.260002,63.599998,63.98,1634100,62.795254
2015-04-16,64.68,64.809998,64.349998,64.480003,1447500,63.285999
2015-04-15,64.629997,65.099998,64.550003,64.720001,1288700,63.521553
2015-04-14,64.410004,64.860001,64.260002,64.559998,1214600,63.364512
2015-04-13,64.330002,64.910004,64.230003,64.370003,1709100,63.178035
2015-04-10,64.529999,64.629997,64.279999,64.519997,1176200,63.325252
2015-04-09,64.220001,64.739998,63.990002,64.529999,1438700,63.335069
2015-04-08,63.93,64.370003,63.639999,64.239998,1332500,63.050438
2015-04-07,64.169998,64.32,63.759998,63.790001,1243600,62.608774
2015-04-06,63.099998,64.419998,63.099998,63.970001,1712700,62.785441
2015-04-02,63.50,63.900002,63.32,63.580002,1779600,62.402663
2015-04-01,63.869999,63.939999,63.310001,63.57,1691900,62.392846
2015-03-31,63.799999,64.209999,63.549999,64.010002,1819700,62.824701
2015-03-30,63.709999,64.360001,63.630001,64.199997,1740500,63.011178
2015-03-27,63.50,63.619999,63.029999,63.549999,1730600,62.373216
2015-03-26,63.259998,63.720001,62.939999,63.50,2285200,62.324143
2015-03-25,63.529999,63.75,63.18,63.349998,2277100,62.176919
2015-03-24,63.810001,64.120003,63.549999,63.599998,1641500,62.42229
2015-03-23,63.950001,64.620003,63.860001,63.860001,2535300,62.677477
2015-03-20,63.32,64.080002,63.09,63.889999,4413000,62.706921
2015-03-19,63.419998,63.490002,62.529999,63.09,1724300,61.921735
2015-03-18,62.709999,63.91,62.419998,63.619999,2891200,62.44192
2015-03-17,62.52,63.009998,62.459999,62.880001,1680300,61.715625
2015-03-16,62.419998,63.23,62.389999,62.959999,1873400,61.794141
2015-03-13,62.439999,62.619999,61.619999,62.130001,1687900,60.979513
2015-03-12,61.900002,62.68,61.860001,62.650002,1621900,61.489884
2015-03-11,61.27,61.639999,61.16,61.490002,1914600,60.351365
2015-03-10,61.82,62.169998,61.049999,61.049999,2938900,59.91951
2015-03-09,62.360001,62.48,62.209999,62.299999,2164200,61.146363
2015-03-06,62.799999,63.349998,62.07,62.16,3229700,61.008956
2015-03-05,62.549999,62.93,62.25,62.799999,2043400,61.637104
2015-03-04,61.860001,62.50,61.720001,62.349998,1840200,61.195436
2015-03-03,62.330002,62.689999,62.150002,62.279999,1532900,61.126733
2015-03-02,62.189999,62.669998,62.02,62.57,1469800,61.411364
2015-02-27,62.16,62.740002,61.950001,62.25,2354800,61.09729
2015-02-26,61.939999,62.23,61.779999,62.18,1911200,61.028586
2015-02-25,62.060001,62.189999,61.73,61.950001,1938400,60.802846
2015-02-24,61.389999,62.150002,61.330002,62.060001,2269600,60.910809
2015-02-23,61.880001,61.880001,61.23,61.43,1830600,60.292474
2015-02-20,61.34,62.139999,61.02,62.130001,1582900,60.979513
2015-02-19,61.630001,62.00,61.439999,61.779999,1058500,60.635992
2015-02-18,62.080002,62.27,61.650002,61.75,1290400,60.606548
2015-02-17,61.919998,62.66,61.689999,62.349998,1880100,61.195436
2015-02-13,61.759998,62.23,61.509998,62.130001,2628300,60.979513
2015-02-12,61.48,62.060001,61.369999,61.799999,2545400,60.655622
2015-02-11,61.459999,62.00,61.299999,61.830002,2284400,60.302289
2015-02-10,61.169998,61.580002,60.889999,61.450001,1677400,59.931677
2015-02-09,60.939999,61.490002,60.759998,61.139999,1810700,59.629336
2015-02-06,61.16,61.490002,60.860001,61.279999,2332400,59.765876
2015-02-05,60.32,61.029999,60.240002,60.98,2738300,59.473289
2015-02-04,60.02,61.279999,60.02,60.68,3444100,59.180702
2015-02-03,58.549999,59.16,58.360001,59.09,2404500,57.629988
2015-02-02,56.900002,58.27,56.41,58.169998,2149300,56.732718
2015-01-30,57.099998,58.07,56.91,57.080002,2371300,55.669654
2015-01-29,57.419998,57.82,56.950001,57.650002,1550300,56.22557
2015-01-28,58.810001,58.970001,57.34,57.360001,2388700,55.942734
2015-01-27,58.52,58.900002,58.130001,58.509998,1835900,57.064317
2015-01-26,58.599998,59.189999,58.349998,59.02,1408300,57.561718
2015-01-23,59.200001,59.220001,58.700001,58.73,1474500,57.278883
2015-01-22,58.360001,59.240002,58.02,59.150002,1849500,57.688507
2015-01-21,57.790001,58.220001,57.459999,58.099998,2869100,56.664448
2015-01-20,58.380001,58.50,57.490002,58.009998,2006800,56.576672
