Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,47.720001,47.98,46.779999,47.009998,910200,46.891462
2015-10-08,46.080002,47.709999,46.07,47.580002,850600,47.460028
2015-10-07,46.48,47.009998,45.220001,46.299999,1328800,46.183253
2015-10-06,45.700001,46.459999,45.48,46.259998,1659800,46.143353
2015-10-05,44.349998,45.860001,44.18,45.779999,1638900,45.664564
2015-10-02,42.490002,44.040001,41.91,44.02,1615300,43.909003
2015-10-01,44.950001,45.389999,43.110001,43.830002,3223400,43.719484
2015-09-30,46.830002,47.139999,46.150002,46.630001,1771600,46.512423
2015-09-29,45.669998,46.41,45.50,46.360001,1188900,46.243103
2015-09-28,45.619999,45.869999,45.00,45.599998,1424700,45.485017
2015-09-25,45.009998,46.689999,44.959999,45.889999,1915100,45.774287
2015-09-24,43.77,45.200001,43.209999,44.950001,2125200,44.836659
2015-09-23,45.68,45.75,44.790001,44.84,1245400,44.726935
2015-09-22,45.18,45.799999,44.650002,45.66,1379300,45.544867
2015-09-21,45.959999,46.16,45.380001,45.790001,921400,45.674541
2015-09-18,46.130001,46.220001,45.25,45.66,2435300,45.544867
2015-09-17,47.25,47.360001,46.57,46.689999,1187800,46.572269
2015-09-16,48.27,48.470001,47.150002,47.459999,1405800,47.340328
2015-09-15,47.50,48.23,47.25,48.139999,859000,48.018614
2015-09-14,47.41,47.700001,46.849998,47.34,730800,47.220632
2015-09-11,48.029999,48.279999,47.18,47.400002,969300,47.280482
2015-09-10,48.349998,48.650002,47.880001,48.459999,1054000,48.337806
2015-09-09,48.779999,49.490002,48.330002,48.439999,970900,48.317856
2015-09-08,48.41,48.599998,47.939999,48.459999,919000,48.337806
2015-09-04,48.110001,48.330002,47.529999,47.57,872800,47.450051
2015-09-03,47.689999,48.700001,47.450001,48.560001,1041000,48.437557
2015-09-02,47.720001,47.91,47.119999,47.91,1105800,47.789194
2015-09-01,48.029999,48.200001,46.950001,47.259998,1575300,47.140832
2015-08-31,48.73,49.68,48.310001,49.040001,953900,48.916346
2015-08-28,48.32,49.080002,48.290001,48.900002,914400,48.776699
2015-08-27,47.59,48.98,47.369999,48.66,1108400,48.537303
2015-08-26,47.25,47.389999,46.419998,47.09,1108800,46.971262
2015-08-25,47.98,48.080002,46.259998,46.290001,1589700,46.17328
2015-08-24,46.23,48.720001,45.279999,46.82,1965200,46.701942
2015-08-21,50.759998,51.040001,48.82,48.84,2117500,48.716849
2015-08-20,51.880001,52.360001,51.66,51.66,1662800,51.529738
2015-08-19,53.00,53.009998,51.740002,52.040001,1111700,51.908781
2015-08-18,53.540001,53.77,52.900002,53.220001,860800,53.085806
2015-08-17,54.310001,54.330002,53.060001,53.720001,1195300,53.584545
2015-08-14,54.490002,54.740002,54.029999,54.66,1043500,54.522174
2015-08-13,54.75,54.919998,53.84,54.310001,1049300,54.173058
2015-08-12,56.810001,56.810001,54.139999,54.93,1638100,54.791493
2015-08-11,57.18,57.630001,56.720001,57.080002,556800,56.816376
2015-08-10,57.139999,57.900002,56.830002,57.869999,874500,57.602725
2015-08-07,56.18,57.150002,56.029999,56.93,1281100,56.667068
2015-08-06,55.740002,56.349998,55.209999,56.240002,1015900,55.980256
2015-08-05,54.849998,56.00,54.849998,55.740002,929500,55.482565
2015-08-04,54.669998,55.150002,54.200001,54.470001,554600,54.21843
2015-08-03,54.970001,55.040001,54.040001,54.599998,831400,54.347827
2015-07-31,55.049999,55.110001,54.560001,55.009998,868300,54.755933
2015-07-30,54.52,55.040001,53.970001,54.880001,1041600,54.626536
2015-07-29,52.32,55.02,52.32,54.889999,2345600,54.636489
2015-07-28,53.50,54.189999,50.259998,52.240002,3723400,51.99873
2015-07-27,52.209999,52.450001,51.529999,51.759998,1395100,51.520943
2015-07-24,53.18,53.18,52.259998,52.299999,1296700,52.05845
2015-07-23,53.560001,53.82,52.419998,53.200001,1274300,52.954295
2015-07-22,53.27,54.02,52.93,53.740002,757100,53.491802
2015-07-21,53.77,54.349998,53.330002,53.48,844300,53.233001
2015-07-20,54.220001,54.400002,53.700001,54.009998,505600,53.760552
2015-07-17,54.91,54.91,53.810001,54.200001,996000,53.949677
2015-07-16,55.02,55.18,54.650002,54.939999,1152000,54.686257
2015-07-15,54.919998,55.400002,54.439999,54.560001,1021400,54.308015
2015-07-14,54.700001,54.84,54.169998,54.59,691400,54.337875
2015-07-13,54.709999,55.00,54.189999,54.650002,814400,54.397599
2015-07-10,54.380001,54.43,53.52,53.970001,740000,53.720739
2015-07-09,54.23,54.50,53.439999,53.439999,760600,53.193185
2015-07-08,53.91,54.00,53.32,53.599998,1095500,53.352446
2015-07-07,54.349998,54.349998,53.470001,54.25,1341200,53.999445
2015-07-06,54.779999,55.290001,54.310001,54.52,1299000,54.268198
2015-07-02,55.470001,55.959999,54.98,55.23,954600,54.974918
2015-07-01,56.919998,56.939999,54.860001,55.25,2019200,54.994826
2015-06-30,55.959999,57.259998,55.470001,56.779999,1927100,56.517759
2015-06-29,55.509998,56.689999,55.419998,55.610001,1274900,55.353164
2015-06-26,54.540001,56.619999,54.279999,56.330002,2577300,56.06984
2015-06-25,54.599998,54.84,54.23,54.380001,1030300,54.128846
2015-06-24,54.830002,55.18,54.490002,54.75,1017500,54.497136
2015-06-23,54.98,56.07,54.970001,55.07,959500,54.815657
2015-06-22,53.799999,55.040001,53.790001,54.970001,2041500,54.716121
2015-06-19,52.630001,53.68,52.34,52.68,1924900,52.436696
2015-06-18,51.439999,51.990002,51.169998,51.700001,586200,51.461223
2015-06-17,51.650002,52.040001,51.279999,51.450001,699800,51.212378
2015-06-16,51.16,51.400002,51.00,51.349998,715900,51.112837
2015-06-15,50.790001,51.34,50.400002,51.139999,801300,50.903808
2015-06-12,51.290001,51.57,50.939999,51.130001,650000,50.893856
2015-06-11,51.57,51.810001,51.169998,51.41,783100,51.172561
2015-06-10,51.50,52.040001,51.34,51.549999,625600,51.311914
2015-06-09,51.16,51.91,50.849998,51.189999,1063100,50.953576
2015-06-08,51.00,51.25,51.00,51.02,542500,50.784363
2015-06-05,50.66,51.110001,50.169998,51.09,458400,50.85404
2015-06-04,50.59,51.119999,50.27,50.880001,621400,50.64501
