Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,1.27,1.27,1.27,1.27,000,1.27
2015-10-08,1.27,1.27,1.27,1.27,200,1.27
2015-10-07,1.32,1.40,1.27,1.27,9000,1.27
2015-10-06,1.27,1.32,1.27,1.32,1500,1.32
2015-10-05,1.35,1.35,1.35,1.35,100,1.35
2015-10-02,1.27,1.27,1.27,1.27,000,1.27
2015-10-01,1.27,1.27,1.27,1.27,000,1.27
2015-09-30,1.27,1.27,1.27,1.27,100,1.27
2015-09-29,1.31,1.31,1.31,1.31,100,1.31
2015-09-28,1.32,1.32,1.32,1.32,100,1.32
2015-09-25,1.30,1.30,1.30,1.30,000,1.30
2015-09-24,1.27,1.30,1.27,1.30,700,1.30
2015-09-23,1.36,1.36,1.36,1.36,000,1.36
2015-09-22,1.36,1.36,1.36,1.36,1200,1.36
2015-09-21,1.42,1.42,1.35,1.35,300,1.35
2015-09-18,1.35,1.51,1.35,1.39,3100,1.39
2015-09-17,1.37,1.37,1.27,1.33,1000,1.33
2015-09-16,1.29,1.37,1.29,1.37,1100,1.37
2015-09-15,1.28,1.33,1.28,1.33,400,1.33
2015-09-14,1.27,1.33,1.27,1.33,500,1.33
2015-09-11,1.30,1.31,1.26,1.31,1600,1.31
2015-09-10,1.41,1.41,1.30,1.34,1700,1.34
2015-09-09,1.26,1.33,1.26,1.28,900,1.28
2015-09-08,1.38,1.40,1.30,1.31,2500,1.31
2015-09-04,1.40,1.40,1.40,1.40,000,1.40
2015-09-03,1.26,1.40,1.26,1.40,700,1.40
2015-09-02,1.29,1.29,1.29,1.29,300,1.29
2015-09-01,1.28,1.28,1.28,1.28,000,1.28
2015-08-31,1.31,1.31,1.28,1.28,5700,1.28
2015-08-28,1.31,1.31,1.31,1.31,1000,1.31
2015-08-27,1.33,1.33,1.31,1.32,400,1.32
2015-08-26,1.36,1.36,1.36,1.36,000,1.36
2015-08-25,1.36,1.36,1.36,1.36,1000,1.36
2015-08-24,1.31,1.31,1.31,1.31,000,1.31
2015-08-21,1.31,1.31,1.31,1.31,2900,1.31
2015-08-20,1.32,1.37,1.31,1.32,1700,1.32
2015-08-19,1.33,1.34,1.31,1.33,2300,1.33
2015-08-18,1.34,1.36,1.33,1.36,2300,1.36
2015-08-17,1.35,1.36,1.33,1.33,2200,1.33
2015-08-14,1.37,1.40,1.33,1.33,9200,1.33
2015-08-13,1.38,1.38,1.37,1.37,4400,1.37
2015-08-12,1.36,1.38,1.36,1.38,4900,1.38
2015-08-11,1.38,1.38,1.38,1.38,1000,1.38
2015-08-10,1.38,1.38,1.38,1.38,000,1.38
2015-08-07,1.38,1.38,1.38,1.38,000,1.38
2015-08-06,1.38,1.38,1.38,1.38,1600,1.38
2015-08-05,1.40,1.40,1.40,1.40,000,1.40
2015-08-04,1.40,1.40,1.40,1.40,000,1.40
2015-08-03,1.40,1.40,1.40,1.40,000,1.40
2015-07-31,1.40,1.40,1.40,1.40,1000,1.40
2015-07-30,1.39,1.39,1.39,1.39,1000,1.39
2015-07-29,1.37,1.37,1.37,1.37,800,1.37
2015-07-28,1.37,1.37,1.37,1.37,000,1.37
2015-07-27,1.37,1.37,1.37,1.37,000,1.37
2015-07-24,1.37,1.37,1.37,1.37,300,1.37
2015-07-23,1.48,1.48,1.44,1.44,1600,1.44
2015-07-22,1.42,1.53,1.42,1.53,3000,1.53
2015-07-21,1.37,1.37,1.37,1.37,000,1.37
2015-07-20,1.36,1.37,1.36,1.37,2600,1.37
2015-07-17,1.36,1.36,1.36,1.36,6100,1.36
2015-07-16,1.33,1.33,1.33,1.33,000,1.33
2015-07-15,1.36,1.36,1.33,1.33,13300,1.33
2015-07-14,1.38,1.39,1.36,1.38,3500,1.38
2015-07-13,1.44,1.44,1.40,1.40,10800,1.40
2015-07-10,1.45,1.45,1.41,1.41,800,1.41
2015-07-09,1.42,1.48,1.42,1.44,1600,1.44
2015-07-08,1.40,1.43,1.40,1.41,11300,1.41
2015-07-07,1.53,1.53,1.50,1.52,500,1.52
2015-07-06,1.60,1.60,1.53,1.55,600,1.55
2015-07-02,1.40,1.47,1.40,1.47,200,1.47
2015-07-01,1.50,1.59,1.47,1.47,600,1.47
2015-06-30,1.45,1.48,1.45,1.45,2200,1.45
2015-06-29,1.40,1.40,1.40,1.40,000,1.40
2015-06-26,1.41,1.41,1.40,1.40,200,1.40
2015-06-25,1.39,1.39,1.39,1.39,300,1.39
2015-06-24,1.41,1.41,1.40,1.40,900,1.40
2015-06-23,1.43,1.43,1.40,1.40,12400,1.40
2015-06-22,1.43,1.50,1.43,1.44,10600,1.44
2015-06-19,1.46,1.46,1.45,1.45,300,1.45
2015-06-18,1.51,1.51,1.45,1.45,5900,1.45
2015-06-17,1.46,1.48,1.46,1.48,400,1.48
2015-06-16,1.47,1.47,1.45,1.45,900,1.45
2015-06-15,1.51,1.51,1.48,1.49,17600,1.49
2015-06-12,1.53,1.53,1.50,1.50,1600,1.50
2015-06-11,1.50,1.52,1.50,1.52,2100,1.52
2015-06-10,1.55,1.55,1.50,1.50,900,1.50
2015-06-09,1.52,1.54,1.51,1.51,500,1.51
2015-06-08,1.58,1.58,1.50,1.50,900,1.50
2015-06-05,1.59,1.59,1.58,1.58,200,1.58
2015-06-04,1.50,1.57,1.48,1.57,3100,1.57
2015-06-03,1.60,1.60,1.50,1.55,1500,1.55
2015-06-02,1.47,1.47,1.43,1.47,27000,1.47
2015-06-01,1.50,1.50,1.50,1.50,000,1.50
2015-05-29,1.52,1.52,1.46,1.50,7300,1.50
2015-05-28,1.54,1.54,1.50,1.50,26700,1.50
2015-05-27,1.62,1.62,1.58,1.58,900,1.58
2015-05-26,1.59,1.62,1.57,1.62,300,1.62
2015-05-22,1.56,1.61,1.56,1.61,1500,1.61
2015-05-21,1.59,1.61,1.54,1.59,8400,1.59
2015-05-20,1.60,1.60,1.55,1.57,1200,1.57
2015-05-19,1.46,1.79,1.46,1.57,13600,1.57
2015-05-18,1.45,1.45,1.45,1.45,100,1.45
2015-05-15,1.45,1.45,1.45,1.45,200,1.45
2015-05-14,1.44,1.49,1.41,1.44,20500,1.44
2015-05-13,1.51,1.51,1.50,1.51,2000,1.51
2015-05-12,1.54,1.54,1.54,1.54,000,1.54
2015-05-11,1.54,1.54,1.54,1.54,000,1.54
2015-05-08,1.54,1.54,1.54,1.54,000,1.54
2015-05-07,1.54,1.54,1.54,1.54,3400,1.54
2015-05-06,1.47,1.47,1.47,1.47,000,1.47
2015-05-05,1.47,1.47,1.47,1.47,000,1.47
2015-05-04,1.47,1.47,1.47,1.47,300,1.47
2015-05-01,1.53,1.55,1.53,1.55,5700,1.55
2015-04-30,1.54,1.54,1.52,1.52,300,1.52
2015-04-29,1.50,1.50,1.50,1.50,000,1.50
2015-04-28,1.50,1.50,1.50,1.50,000,1.50
2015-04-27,1.50,1.50,1.49,1.50,3300,1.50
2015-04-24,1.50,1.50,1.50,1.50,000,1.50
2015-04-23,1.50,1.50,1.50,1.50,1000,1.50
2015-04-22,1.51,1.51,1.50,1.51,7000,1.51
2015-04-21,1.52,1.52,1.52,1.52,000,1.52
2015-04-20,1.52,1.52,1.52,1.52,000,1.52
2015-04-17,1.53,1.53,1.52,1.52,12700,1.52
2015-04-16,1.53,1.53,1.53,1.53,000,1.53
2015-04-15,1.53,1.56,1.53,1.53,5000,1.53
2015-04-14,1.56,1.60,1.56,1.59,21600,1.59
2015-04-13,1.58,1.58,1.58,1.58,000,1.58
2015-04-10,1.58,1.58,1.58,1.58,000,1.58
2015-04-09,1.58,1.58,1.58,1.58,000,1.58
2015-04-08,1.58,1.58,1.58,1.58,3000,1.58
2015-04-07,1.57,1.58,1.57,1.57,8100,1.57
2015-04-06,1.65,1.65,1.57,1.57,2300,1.57
2015-04-02,1.62,1.69,1.61,1.62,1500,1.62
2015-04-01,1.54,1.64,1.48,1.60,8800,1.60
2015-03-31,1.54,1.54,1.50,1.52,1000,1.52
2015-03-30,1.52,1.52,1.52,1.52,3800,1.52
2015-03-27,1.56,1.56,1.56,1.56,000,1.56
2015-03-26,1.56,1.56,1.56,1.56,1100,1.56
2015-03-25,1.48,1.55,1.47,1.55,2100,1.55
2015-03-24,1.44,1.53,1.44,1.45,4300,1.45
2015-03-23,1.50,1.50,1.45,1.45,1000,1.45
2015-03-20,1.50,1.54,1.48,1.52,15800,1.52
2015-03-19,1.55,1.55,1.50,1.50,14200,1.50
2015-03-18,1.63,1.67,1.44,1.53,99800,1.53
2015-03-17,1.80,1.92,1.64,1.64,162000,1.64
2015-03-16,1.67,1.80,1.67,1.80,48900,1.80
2015-03-13,1.53,1.65,1.47,1.65,42200,1.65
2015-03-12,1.54,1.57,1.46,1.57,49000,1.57
2015-03-11,1.50,1.60,1.46,1.54,31300,1.54
2015-03-10,1.53,1.55,1.45,1.45,9500,1.45
2015-03-09,1.69,1.69,1.56,1.56,5800,1.56
2015-03-06,1.66,1.69,1.61,1.69,6800,1.69
2015-03-05,1.63,1.65,1.60,1.65,2200,1.65
2015-03-04,1.61,1.65,1.60,1.63,5800,1.63
2015-03-03,1.58,1.61,1.58,1.61,2700,1.61
2015-03-02,1.61,1.61,1.61,1.61,000,1.61
2015-02-27,1.62,1.62,1.61,1.61,2000,1.61
2015-02-26,1.64,1.65,1.64,1.64,3200,1.64
2015-02-25,1.67,1.67,1.66,1.66,500,1.66
2015-02-24,1.49,1.69,1.49,1.69,9100,1.69
2015-02-23,1.56,1.56,1.49,1.50,900,1.50
2015-02-20,1.67,1.69,1.52,1.52,24100,1.52
2015-02-19,1.62,1.69,1.62,1.68,3700,1.68
2015-02-18,1.62,1.62,1.62,1.62,4300,1.62
2015-02-17,1.60,1.61,1.60,1.61,4100,1.61
2015-02-13,1.60,1.62,1.59,1.61,26400,1.61
2015-02-12,1.55,1.60,1.55,1.56,11400,1.56
2015-02-11,1.55,1.55,1.55,1.55,100,1.55
2015-02-10,1.49,1.54,1.49,1.54,14000,1.54
2015-02-09,1.50,1.50,1.45,1.50,9900,1.50
