Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.90,15.90,15.41,15.51,22400,15.107381
2015-10-08,15.06,15.62,15.06,15.38,11700,14.980755
2015-10-07,14.50,14.90,14.46,14.90,18300,14.513215
2015-10-06,14.40,14.72,14.25,14.28,31000,13.909309
2015-10-05,14.06,14.46,13.95,14.17,4200,13.802165
2015-10-02,13.83,13.94,13.65,13.84,14900,13.480732
2015-10-01,13.35,14.24,13.35,14.24,6700,13.870348
2015-09-30,13.51,13.53,13.20,13.44,4000,13.091114
2015-09-29,13.59,13.61,12.99,13.16,12000,12.818383
2015-09-28,13.94,13.94,13.65,13.68,9200,13.324885
2015-09-25,13.68,13.82,13.68,13.74,1600,13.383327
2015-09-24,14.50,14.50,13.10,13.87,37300,13.509952
2015-09-23,14.83,14.87,14.70,14.70,700,14.318407
2015-09-22,14.91,14.91,14.70,14.77,17300,14.38659
2015-09-21,14.92,14.92,14.88,14.88,4000,14.493734
2015-09-18,15.04,15.04,14.71,14.71,6000,14.328147
2015-09-17,14.95,14.95,14.83,14.84,3300,14.454773
2015-09-16,14.70,14.95,14.70,14.95,6800,14.561917
2015-09-15,14.90,15.00,14.68,14.68,18600,14.298926
2015-09-14,15.35,15.35,14.81,14.81,1400,14.425552
2015-09-11,15.22,15.45,15.22,15.45,1300,15.048938
2015-09-10,15.64,15.64,15.64,15.64,300,15.234006
2015-09-09,15.65,15.77,15.39,15.77,12100,15.360631
2015-09-08,15.64,15.91,15.42,15.44,5700,15.039197
2015-09-04,15.50,15.52,15.45,15.49,4800,15.087899
2015-09-03,15.73,15.75,15.42,15.53,10700,15.126861
2015-09-02,15.90,15.90,15.55,15.78,2400,15.370371
2015-09-01,15.70,15.70,15.60,15.68,1100,15.272968
2015-08-31,15.93,15.98,15.63,15.93,6500,15.516478
2015-08-28,15.91,15.96,15.64,15.94,2700,15.526218
2015-08-27,15.64,15.86,15.63,15.74,1600,15.33141
2015-08-26,15.75,15.75,15.50,15.60,3800,15.195044
2015-08-25,16.110001,16.110001,15.86,15.90,3300,15.487256
2015-08-24,16.35,16.469999,15.60,16.02,13500,15.604142
2015-08-21,16.280001,16.610001,16.27,16.27,1200,15.847652
2015-08-20,17.200001,17.200001,16.27,16.450001,14800,16.02298
2015-08-19,16.719999,16.940001,16.540001,16.940001,1500,16.50026
2015-08-18,17.24,17.24,16.73,16.82,2100,16.383374
2015-08-17,17.389999,17.389999,17.15,17.15,1900,16.704808
2015-08-14,17.389999,17.42,16.790001,17.23,106800,16.782731
2015-08-13,16.83,16.93,16.549999,16.93,700,16.490519
2015-08-12,16.57,16.860001,16.50,16.50,2300,16.071681
2015-08-11,16.92,16.92,16.360001,16.50,7700,16.071681
2015-08-10,16.99,17.219999,16.50,16.65,9000,16.217787
2015-08-07,17.07,17.07,16.82,16.82,900,16.383374
2015-08-06,17.90,18.139999,16.82,16.82,13300,16.383374
2015-08-05,17.620001,17.969999,17.620001,17.809999,2100,16.933707
2015-08-04,17.76,17.780001,17.32,17.610001,3300,16.743549
2015-08-03,18.139999,18.17,17.370001,17.76,19900,16.886168
2015-07-31,18.219999,18.219999,18.110001,18.139999,800,17.24747
2015-07-30,18.34,18.34,18.15,18.17,1500,17.275995
2015-07-29,18.00,18.200001,18.00,18.18,3200,17.285503
2015-07-28,18.25,18.309999,18.040001,18.15,4300,17.256979
2015-07-27,18.32,18.32,17.870001,18.00,23300,17.114359
2015-07-24,17.450001,17.450001,17.07,17.15,2900,16.306181
2015-07-23,18.309999,18.540001,17.50,17.65,9300,16.78158
2015-07-22,18.299999,18.299999,18.25,18.26,1700,17.361567
2015-07-21,18.40,18.690001,18.40,18.50,14500,17.589758
2015-07-20,18.58,18.58,18.25,18.34,3800,17.437631
2015-07-17,18.52,18.67,18.299999,18.58,3900,17.665822
2015-07-16,17.969999,18.969999,17.969999,18.969999,9200,18.036632
2015-07-15,17.690001,17.690001,17.40,17.559999,5400,16.696008
2015-07-14,17.35,17.50,17.299999,17.299999,2900,16.4488
2015-07-13,17.450001,17.450001,17.389999,17.450001,900,16.591421
2015-07-10,17.309999,17.50,17.209999,17.35,2000,16.496341
2015-07-09,16.93,17.32,16.93,17.110001,3900,16.26815
2015-07-08,17.00,17.00,16.870001,16.870001,2500,16.039959
2015-07-07,16.950001,17.16,16.73,17.059999,1900,16.220609
2015-07-06,17.57,17.57,17.040001,17.139999,3200,16.296673
2015-07-02,17.879999,18.10,17.559999,17.559999,13100,16.696008
2015-07-01,17.73,17.73,17.57,17.60,1600,16.734041
2015-06-30,17.620001,17.700001,17.549999,17.559999,9300,16.696008
2015-06-29,18.09,18.09,17.610001,17.610001,4600,16.743549
2015-06-26,17.719999,17.940001,17.719999,17.74,600,16.867152
2015-06-25,17.709999,17.74,17.700001,17.719999,3100,16.848135
2015-06-24,18.59,18.76,17.75,17.959999,4900,17.076326
2015-06-23,17.700001,18.139999,17.700001,18.139999,1500,17.24747
2015-06-22,18.110001,18.18,17.68,17.74,5000,16.867152
2015-06-19,17.90,18.07,17.629999,17.629999,2600,16.762563
2015-06-18,16.809999,17.50,16.67,17.50,34600,16.63896
2015-06-17,16.84,16.940001,16.809999,16.809999,1900,15.982909
2015-06-16,17.08,17.709999,16.92,16.99,11900,16.154053
2015-06-15,17.370001,17.379999,16.809999,16.84,7000,16.011434
2015-06-12,16.969999,17.549999,16.940001,17.00,4900,16.163562
2015-06-11,16.940001,17.17,16.77,17.059999,5700,16.220609
2015-06-10,17.530001,17.620001,16.940001,17.02,11100,16.182578
2015-06-09,17.780001,17.780001,17.00,17.139999,8600,16.296673
2015-06-08,17.57,17.639999,17.40,17.41,4400,16.553388
2015-06-05,17.92,18.08,17.57,17.629999,6700,16.762563
2015-06-04,18.059999,18.059999,17.90,17.90,2300,17.019279
2015-06-03,18.43,18.67,18.059999,18.07,17400,17.180915
2015-06-02,18.07,18.209999,18.07,18.10,4100,17.209439
2015-06-01,18.58,18.58,18.23,18.25,4000,17.352059
2015-05-29,18.450001,18.73,18.23,18.23,3100,17.333042
2015-05-28,18.90,18.90,18.59,18.59,900,17.67533
2015-05-27,18.969999,19.01,18.90,18.950001,3500,18.017618
2015-05-26,18.98,19.120001,18.98,19.049999,500,18.112696
2015-05-22,19.02,19.110001,19.00,19.110001,400,18.169745
2015-05-21,19.32,19.32,19.02,19.02,2600,18.084173
2015-05-20,19.030001,19.299999,18.969999,19.209999,10500,18.264824
2015-05-19,19.26,19.309999,19.07,19.200001,4000,18.255317
2015-05-18,19.40,19.40,19.200001,19.200001,3900,18.255317
2015-05-15,19.690001,19.77,19.40,19.43,2600,18.474
2015-05-14,19.219999,19.74,19.219999,19.450001,5300,18.493017
2015-05-13,19.23,19.719999,19.049999,19.049999,3800,18.112696
2015-05-12,19.33,19.719999,18.969999,19.469999,5500,18.512031
2015-05-11,19.879999,19.879999,19.08,19.08,9400,18.141221
2015-05-08,19.66,20.18,19.370001,19.450001,9200,18.493017
2015-05-07,20.200001,20.360001,19.35,19.35,6500,18.397937
2015-05-06,20.530001,20.620001,20.219999,20.27,12200,18.882843
2015-05-05,20.10,20.49,19.67,20.200001,7300,18.817634
2015-05-04,19.77,20.85,19.77,20.34,6000,18.948053
2015-05-01,19.190001,19.76,19.17,19.75,10900,18.398428
2015-04-30,19.610001,19.780001,19.469999,19.469999,3300,18.137589
2015-04-29,19.299999,19.870001,19.299999,19.620001,4800,18.277326
2015-04-28,19.860001,19.92,19.629999,19.629999,9400,18.28664
2015-04-27,19.450001,20.049999,19.40,19.860001,14200,18.500901
2015-04-24,19.559999,19.58,19.35,19.35,27100,18.025802
2015-04-23,18.90,19.450001,18.90,19.389999,6200,18.063064
2015-04-22,19.370001,19.40,19.07,19.07,16500,17.764963
2015-04-21,19.26,19.40,19.110001,19.16,16100,17.848804
2015-04-20,19.40,19.40,19.129999,19.40,3300,18.07238
2015-04-17,19.370001,19.40,19.35,19.40,2500,18.07238
2015-04-16,19.379999,19.40,19.309999,19.40,2300,18.07238
2015-04-15,19.40,19.40,19.290001,19.40,3100,18.07238
2015-04-14,19.139999,19.40,19.139999,19.40,4700,18.07238
2015-04-13,19.059999,19.200001,19.049999,19.200001,1300,17.886068
2015-04-10,19.32,19.40,19.23,19.389999,14900,18.063064
2015-04-09,19.08,19.40,19.08,19.40,400,18.07238
2015-04-08,19.35,19.35,19.35,19.35,000,18.025802
2015-04-07,19.00,19.51,19.00,19.35,1500,18.025802
2015-04-06,19.059999,19.530001,19.059999,19.209999,5700,17.895382
2015-04-02,19.17,19.190001,19.15,19.15,1500,17.839489
