Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.23,14.38,14.23,14.33,49600,13.96628
2015-10-08,14.00,14.27,14.00,14.27,79900,13.907804
2015-10-07,14.04,14.09,14.01,14.09,39100,13.732372
2015-10-06,13.89,13.97,13.88,13.97,31500,13.615418
2015-10-05,13.85,13.89,13.83,13.89,70700,13.537449
2015-10-02,13.80,13.90,13.71,13.89,40200,13.537449
2015-10-01,14.00,14.00,13.78,13.81,91700,13.459479
2015-09-30,13.96,14.00,13.80,13.97,92700,13.615418
2015-09-29,14.10,14.10,13.89,13.94,41100,13.586179
2015-09-28,14.27,14.27,14.15,14.15,54200,13.790849
2015-09-25,14.24,14.40,14.24,14.27,67100,13.907804
2015-09-24,14.27,14.27,14.12,14.21,56900,13.849326
2015-09-23,14.26,14.35,14.26,14.27,42800,13.907804
2015-09-22,14.29,14.30,14.22,14.28,44400,13.917549
2015-09-21,14.41,14.46,14.35,14.35,42200,13.985773
2015-09-18,14.31,14.45,14.28,14.41,28400,14.04425
2015-09-17,14.34,14.42,14.28,14.39,34200,14.024758
2015-09-16,14.46,14.54,14.37,14.43,61200,13.949712
2015-09-15,14.42,14.52,14.36,14.41,64300,13.930377
2015-09-14,14.47,14.48,14.42,14.45,15100,13.969046
2015-09-11,14.50,14.50,14.44,14.46,17700,13.978713
2015-09-10,14.47,14.52,14.41,14.49,49900,14.007714
2015-09-09,14.51,14.64,14.42,14.45,71900,13.969046
2015-09-08,14.48,14.56,14.48,14.55,16800,14.065718
2015-09-04,14.48,14.68,14.46,14.46,66900,13.978713
2015-09-03,14.63,14.70,14.54,14.63,39000,14.143055
2015-09-02,14.69,14.81,14.61,14.72,76600,14.23006
2015-09-01,14.43,14.80,14.43,14.74,177700,14.249393
2015-08-31,14.49,14.55,14.43,14.53,49500,14.046383
2015-08-28,14.49,14.49,14.30,14.47,47200,13.988381
2015-08-27,14.49,14.54,14.37,14.48,98200,13.998047
2015-08-26,14.52,14.56,14.23,14.52,107700,14.036717
2015-08-25,14.35,14.52,14.15,14.52,63800,14.036717
2015-08-24,14.45,14.56,14.06,14.10,156500,13.630696
2015-08-21,14.81,14.81,14.70,14.70,93100,14.210725
2015-08-20,14.87,14.92,14.74,14.74,29000,14.249393
2015-08-19,14.87,14.90,14.79,14.89,150500,14.394401
2015-08-18,15.05,15.05,14.97,14.97,56400,14.358633
2015-08-17,15.00,15.04,14.93,15.04,31600,14.425774
2015-08-14,15.01,15.08,14.90,15.03,49900,14.416182
2015-08-13,15.00,15.06,14.95,15.06,32500,14.444958
2015-08-12,14.75,15.03,14.70,15.03,75600,14.416182
2015-08-11,14.91,14.93,14.79,14.87,25200,14.262717
2015-08-10,15.04,15.07,14.87,14.95,32000,14.339449
2015-08-07,15.05,15.05,14.93,15.01,29400,14.396999
2015-08-06,15.21,15.21,15.01,15.03,48200,14.416182
2015-08-05,15.18,15.24,15.13,15.15,29300,14.531281
2015-08-04,15.24,15.25,15.13,15.16,38100,14.540873
2015-08-03,15.24,15.24,15.10,15.21,21000,14.588831
2015-07-31,15.15,15.15,15.10,15.14,23100,14.52169
2015-07-30,15.00,15.14,15.00,15.12,29200,14.502507
2015-07-29,14.96,15.02,14.91,15.01,24400,14.396999
2015-07-28,14.94,15.01,14.86,14.91,45600,14.301083
2015-07-27,14.92,14.97,14.84,14.91,51000,14.301083
2015-07-24,15.29,15.30,14.91,14.92,38100,14.310675
2015-07-23,15.37,15.37,15.20,15.27,30200,14.646381
2015-07-22,15.31,15.32,15.24,15.30,31700,14.675156
2015-07-21,15.22,15.28,15.16,15.25,16100,14.627198
2015-07-20,15.46,15.50,15.26,15.29,58100,14.553342
2015-07-17,15.62,15.62,15.46,15.54,19700,14.791297
2015-07-16,15.47,15.67,15.46,15.67,72100,14.915034
2015-07-15,15.45,15.45,15.32,15.42,23400,14.677079
2015-07-14,15.32,15.38,15.27,15.36,33900,14.619969
2015-07-13,15.44,15.44,15.26,15.31,75600,14.572379
2015-07-10,15.20,15.42,15.20,15.37,55700,14.629487
2015-07-09,15.28,15.28,15.18,15.22,36400,14.486715
2015-07-08,15.29,15.29,15.11,15.16,42000,14.429605
2015-07-07,15.39,15.44,15.16,15.31,126500,14.572379
2015-07-06,15.41,15.41,15.30,15.34,41200,14.600933
2015-07-02,15.54,15.61,15.37,15.41,33100,14.66756
2015-07-01,15.42,15.59,15.39,15.47,52100,14.72467
2015-06-30,15.36,15.37,15.29,15.33,54000,14.591414
2015-06-29,15.32,15.42,15.14,15.25,65200,14.515269
2015-06-26,15.75,15.75,15.39,15.42,41500,14.677079
2015-06-25,15.86,15.88,15.74,15.75,77900,14.991179
2015-06-24,15.79,15.83,15.74,15.81,30000,15.048289
2015-06-23,15.77,15.83,15.75,15.79,19500,15.029252
2015-06-22,15.75,15.81,15.70,15.80,30600,15.038771
2015-06-19,15.78,15.78,15.66,15.70,61200,14.943588
2015-06-18,15.85,15.85,15.76,15.79,23900,15.029252
2015-06-17,15.88,15.88,15.77,15.82,46400,15.057807
2015-06-16,15.90,15.90,15.78,15.86,20100,15.095879
2015-06-15,15.96,15.99,15.90,15.96,20800,15.079699
2015-06-12,16.08,16.08,15.98,15.99,53200,15.108044
2015-06-11,16.040001,16.07,15.99,16.030001,31600,15.145839
2015-06-10,16.059999,16.059999,15.97,15.99,36400,15.108044
2015-06-09,16.030001,16.08,15.99,16.01,35600,15.126941
2015-06-08,16.030001,16.129999,15.98,16.049999,45100,15.164734
2015-06-05,15.98,16.049999,15.96,16.040001,35400,15.155287
2015-06-04,16.129999,16.129999,16.02,16.030001,25500,15.145839
2015-06-03,16.16,16.16,16.049999,16.110001,26000,15.221426
2015-06-02,16.110001,16.139999,16.07,16.110001,12000,15.221426
2015-06-01,16.08,16.129999,16.07,16.129999,38600,15.240322
2015-05-29,16.290001,16.290001,15.96,16.049999,99700,15.164734
2015-05-28,16.209999,16.25,16.15,16.24,40600,15.344255
2015-05-27,16.120001,16.219999,16.120001,16.219999,39200,15.325358
2015-05-26,16.200001,16.23,16.08,16.110001,26200,15.221426
2015-05-22,16.219999,16.25,16.200001,16.200001,21600,15.306462
2015-05-21,16.219999,16.290001,16.190001,16.25,48200,15.353703
2015-05-20,16.17,16.23,16.129999,16.23,38600,15.334806
2015-05-19,16.190001,16.190001,16.10,16.139999,30800,15.24977
2015-05-18,16.26,16.26,16.16,16.23,62200,15.224259
2015-05-15,16.27,16.27,16.209999,16.24,32700,15.23364
2015-05-14,16.309999,16.309999,16.23,16.26,73700,15.252401
2015-05-13,16.15,16.23,16.15,16.200001,51100,15.19612
2015-05-12,16.24,16.25,16.17,16.17,33700,15.167978
2015-05-11,16.27,16.290001,16.200001,16.25,29900,15.243021
2015-05-08,16.25,16.299999,16.25,16.290001,22100,15.280543
2015-05-07,16.219999,16.23,16.200001,16.23,41100,15.224259
2015-05-06,16.25,16.25,16.120001,16.190001,74900,15.186739
2015-05-05,16.219999,16.299999,16.219999,16.25,63700,15.243021
2015-05-04,16.33,16.42,16.23,16.26,62000,15.252401
2015-05-01,16.290001,16.370001,16.290001,16.32,65600,15.308682
2015-04-30,16.290001,16.309999,16.26,16.280001,51900,15.271162
2015-04-29,16.290001,16.290001,16.24,16.290001,44500,15.280543
2015-04-28,16.370001,16.370001,16.299999,16.299999,35300,15.289921
2015-04-27,16.43,16.43,16.299999,16.360001,70800,15.346205
2015-04-24,16.379999,16.440001,16.33,16.40,45700,15.383725
2015-04-23,16.35,16.41,16.32,16.379999,43800,15.364964
2015-04-22,16.360001,16.370001,16.290001,16.35,62900,15.336824
2015-04-21,16.32,16.360001,16.280001,16.360001,30400,15.346205
2015-04-20,16.48,16.48,16.389999,16.440001,38500,15.311497
2015-04-17,16.450001,16.469999,16.309999,16.40,36900,15.274242
2015-04-16,16.42,16.42,16.35,16.42,34000,15.29287
2015-04-15,16.43,16.469999,16.290001,16.35,55400,15.227675
2015-04-14,16.530001,16.549999,16.389999,16.42,16900,15.29287
2015-04-13,16.549999,16.549999,16.389999,16.49,24100,15.358064
2015-04-10,16.41,16.52,16.379999,16.52,29200,15.386006
2015-04-09,16.360001,16.41,16.34,16.35,47400,15.227675
2015-04-08,16.35,16.40,16.32,16.35,19900,15.227675
2015-04-07,16.25,16.309999,16.23,16.309999,24800,15.19042
2015-04-06,16.219999,16.25,16.15,16.209999,45900,15.097284
2015-04-02,16.18,16.25,16.18,16.18,40300,15.069344
2015-04-01,16.200001,16.309999,16.200001,16.27,48400,15.153167
2015-03-31,16.27,16.34,16.200001,16.26,42800,15.143853
2015-03-30,16.32,16.35,16.27,16.27,38100,15.153167
2015-03-27,16.27,16.35,16.26,16.35,63400,15.227675
2015-03-26,16.290001,16.290001,16.209999,16.290001,58600,15.171794
2015-03-25,16.190001,16.25,16.18,16.25,50400,15.134539
2015-03-24,16.129999,16.23,16.129999,16.200001,57900,15.087972
2015-03-23,16.16,16.290001,16.129999,16.139999,103500,15.032089
2015-03-20,16.209999,16.26,16.17,16.18,42700,15.069344
2015-03-19,16.290001,16.309999,16.190001,16.190001,22900,15.078658
2015-03-18,16.299999,16.370001,16.24,16.32,30700,15.199734
2015-03-17,16.459999,16.459999,16.33,16.33,40300,15.209048
2015-03-16,16.43,16.549999,16.43,16.52,41700,15.277037
2015-03-13,16.41,16.469999,16.40,16.43,28800,15.193809
2015-03-12,16.450001,16.48,16.42,16.43,25300,15.193809
2015-03-11,16.42,16.52,16.379999,16.459999,40100,15.22155
2015-03-10,16.469999,16.48,16.40,16.41,33900,15.175313
2015-03-09,16.389999,16.50,16.389999,16.50,28800,15.258542
2015-03-06,16.60,16.60,16.40,16.43,29800,15.193809
2015-03-05,16.620001,16.67,16.52,16.549999,28100,15.304779
2015-03-04,16.51,16.65,16.440001,16.65,38900,15.397255
2015-03-03,16.530001,16.59,16.48,16.49,18600,15.249294
2015-03-02,16.50,16.610001,16.50,16.59,26700,15.34177
2015-02-27,16.52,16.57,16.42,16.530001,37000,15.286285
2015-02-26,16.60,16.610001,16.52,16.559999,35100,15.314027
2015-02-25,16.58,16.77,16.549999,16.59,65400,15.34177
2015-02-24,16.42,16.700001,16.42,16.52,46500,15.277037
2015-02-23,16.23,16.450001,16.23,16.40,44600,15.166065
2015-02-20,16.25,16.299999,16.209999,16.299999,33800,15.073589
2015-02-19,16.16,16.299999,16.139999,16.299999,44400,15.073589
2015-02-18,16.15,16.200001,16.15,16.18,25600,14.962619
2015-02-17,16.299999,16.32,16.23,16.23,56300,15.008856
2015-02-13,16.41,16.43,16.40,16.40,42000,15.057868
2015-02-12,16.34,16.42,16.32,16.42,43700,15.076232
2015-02-11,16.27,16.309999,16.23,16.309999,43300,14.975233
2015-02-10,16.15,16.32,16.15,16.27,51100,14.938508
2015-02-09,16.280001,16.299999,16.24,16.24,37600,14.910962
2015-02-06,16.360001,16.360001,16.25,16.290001,24400,14.956871
2015-02-05,16.190001,16.299999,16.18,16.290001,61200,14.956871
2015-02-04,16.219999,16.26,16.07,16.219999,60700,14.892598
2015-02-03,16.139999,16.25,15.95,16.25,62900,14.920144
2015-02-02,16.040001,16.08,15.97,16.08,75400,14.764056
2015-01-30,15.95,15.99,15.91,15.99,90600,14.681421
2015-01-29,15.87,15.95,15.84,15.95,57000,14.644695
2015-01-28,15.87,15.90,15.81,15.84,51200,14.543697
2015-01-27,15.86,15.91,15.77,15.89,161000,14.589606
2015-01-26,15.96,16.00,15.88,15.89,70500,14.589606
2015-01-23,15.90,15.99,15.85,15.98,140400,14.67224
2015-01-22,15.95,15.95,15.88,15.90,61000,14.598787
2015-01-21,15.91,15.91,15.80,15.89,94300,14.589606
2015-01-20,16.10,16.10,15.85,15.93,91300,14.626332
2015-01-16,16.120001,16.139999,16.049999,16.139999,27400,14.711721
2015-01-15,16.17,16.18,16.059999,16.139999,23700,14.711721
2015-01-14,16.120001,16.309999,16.02,16.09,21900,14.666146
2015-01-13,16.200001,16.290001,16.16,16.219999,66300,14.784641
2015-01-12,16.17,16.209999,16.10,16.18,58100,14.748182
2015-01-09,16.08,16.190001,16.07,16.15,80700,14.720836
2015-01-08,15.95,16.139999,15.90,16.120001,60600,14.693492
2015-01-07,15.87,15.95,15.85,15.91,31800,14.502075
2015-01-06,15.87,15.92,15.82,15.83,91000,14.429154
2015-01-05,15.84,15.89,15.79,15.85,44200,14.447385
2015-01-02,15.85,15.97,15.85,15.91,86100,14.502075
2014-12-31,15.86,15.92,15.82,15.82,503800,14.420039
2014-12-30,15.88,15.95,15.82,15.85,162600,14.447385
2014-12-29,15.98,16.030001,15.95,15.95,167000,14.538535
2014-12-26,15.94,16.040001,15.90,16.02,32800,14.602341
2014-12-24,15.92,15.98,15.89,15.95,64600,14.538535
2014-12-23,15.97,15.99,15.86,15.94,93300,14.529419
2014-12-22,16.030001,16.030001,15.88,15.88,91900,14.47473
2014-12-19,16.030001,16.15,15.94,16.049999,141900,14.629685
2014-12-18,15.92,16.139999,15.92,15.99,191700,14.574995
2014-12-17,15.68,15.92,15.58,15.77,196300,14.374464
2014-12-16,15.45,15.73,15.45,15.61,192600,14.228622
2014-12-15,15.97,16.00,15.79,15.79,63600,14.286047
2014-12-12,16.139999,16.139999,15.82,15.88,113700,14.367475
2014-12-11,16.10,16.200001,16.07,16.139999,84300,14.60271
2014-12-10,16.15,16.24,16.07,16.120001,96800,14.584617
2014-12-09,16.299999,16.309999,16.08,16.190001,101600,14.647949
2014-12-08,16.42,16.49,16.299999,16.299999,104000,14.747471
2014-12-05,16.65,16.67,16.540001,16.549999,75700,14.973659
2014-12-04,16.530001,16.65,16.51,16.65,126800,15.064135
2014-12-03,16.42,16.58,16.40,16.51,81300,14.93747
2014-12-02,16.469999,16.49,16.35,16.49,46300,14.919374
2014-12-01,16.66,16.67,16.48,16.48,40400,14.910327
2014-11-28,16.58,16.700001,16.530001,16.700001,28700,15.109373
2014-11-26,16.450001,16.59,16.440001,16.540001,34900,14.964613
2014-11-25,16.43,16.50,16.41,16.50,93700,14.928422
2014-11-24,16.450001,16.48,16.370001,16.469999,54100,14.901279
2014-11-21,16.469999,16.48,16.370001,16.450001,60700,14.883185
2014-11-20,16.360001,16.43,16.33,16.43,41500,14.86509
2014-11-19,16.48,16.48,16.34,16.370001,57000,14.810805
2014-11-18,16.48,16.540001,16.459999,16.50,59300,14.928422
2014-11-17,16.690001,16.709999,16.559999,16.60,50800,14.913042
2014-11-14,16.709999,16.76,16.68,16.74,48200,15.038814
2014-11-13,16.690001,16.82,16.65,16.719999,76400,15.020846
2014-11-12,16.73,16.75,16.620001,16.709999,49500,15.011862
2014-11-11,16.68,16.809999,16.620001,16.780001,51800,15.07475
2014-11-10,16.82,16.82,16.58,16.68,42300,14.984912
2014-11-07,16.74,16.809999,16.66,16.809999,37100,15.1017
2014-11-06,16.629999,16.73,16.60,16.700001,53500,15.00288
2014-11-05,16.65,16.690001,16.610001,16.65,57900,14.95796
2014-11-04,16.83,16.84,16.639999,16.66,54600,14.966944
2014-11-03,16.82,16.90,16.780001,16.879999,62500,15.164586
2014-10-31,16.809999,16.889999,16.66,16.860001,65700,15.14662
2014-10-30,16.610001,16.73,16.610001,16.719999,41500,15.020846
2014-10-29,16.76,16.76,16.629999,16.639999,35500,14.948976
2014-10-28,16.709999,16.809999,16.66,16.780001,49400,15.07475
2014-10-27,16.700001,16.809999,16.639999,16.73,78100,15.02983
2014-10-24,16.68,16.76,16.549999,16.719999,36400,15.020846
2014-10-23,16.85,16.85,16.700001,16.709999,75400,15.011862
2014-10-22,16.77,16.889999,16.74,16.74,48600,15.038814
2014-10-21,16.82,16.85,16.799999,16.799999,83300,15.092716
2014-10-20,16.83,16.93,16.83,16.879999,107800,15.059476
2014-10-17,16.709999,16.83,16.620001,16.83,47400,15.014869
2014-10-16,16.52,16.73,16.52,16.65,125500,14.854282
2014-10-15,16.82,16.82,16.299999,16.610001,218200,14.818597
2014-10-14,17.00,17.110001,16.809999,16.84,54600,15.023791
