Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,28000.00,28500.00,27200.00,27200.00,3500,26188.90324
2015-10-08,27000.00,27000.00,27000.00,27000.00,1800,25996.33777
2015-10-07,26900.00,26900.00,26900.00,26900.00,000,25900.05504
2015-10-06,27500.00,27500.00,26900.00,26900.00,1000,25900.05504
2015-10-05,27100.00,27100.00,27100.00,27100.00,1800,26092.6205
2015-10-02,26700.00,26700.00,26700.00,26700.00,3700,25707.48957
2015-10-01,28800.00,28900.00,28800.00,28900.00,1000,27825.70969
2015-09-30,26600.00,26600.00,26600.00,26600.00,000,25611.20684
2015-09-29,27900.00,27900.00,26600.00,26600.00,1100,25611.20684
2015-09-28,26500.00,26500.00,26500.00,26500.00,300,25514.92411
2015-09-25,26600.00,26600.00,26600.00,26600.00,400,25611.20684
2015-09-24,26500.00,26500.00,26500.00,26500.00,000,25514.92411
2015-09-23,26500.00,26500.00,26500.00,26500.00,000,25514.92411
2015-09-22,26500.00,26500.00,26500.00,26500.00,000,25514.92411
2015-09-21,26500.00,26500.00,26500.00,26500.00,200,25514.92411
2015-09-18,26500.00,26500.00,26500.00,26500.00,000,25514.92411
2015-09-17,26500.00,26500.00,26500.00,26500.00,000,25514.92411
2015-09-16,26500.00,26500.00,26500.00,26500.00,100,25514.92411
2015-09-15,26200.00,29000.00,26200.00,26200.00,1200,25226.07591
2015-09-14,28000.00,29100.00,28000.00,29100.00,6300,28018.27515
2015-09-11,26500.00,26500.00,26500.00,26500.00,500,25514.92411
2015-09-10,26400.00,26400.00,26400.00,26400.00,000,25418.64138
2015-09-09,26400.00,26400.00,26400.00,26400.00,100,25418.64138
2015-09-08,26500.00,26500.00,26500.00,26500.00,2000,25514.92411
2015-09-07,26500.00,26500.00,26500.00,26500.00,200,25514.92411
2015-09-04,25700.00,26500.00,25700.00,26500.00,400,25514.92411
2015-09-03,26500.00,26500.00,26500.00,26500.00,200,25514.92411
2015-09-02,26000.00,26000.00,26000.00,26000.00,000,25033.481
2015-09-01,26000.00,26000.00,26000.00,26000.00,1300,25033.481
2015-08-31,23800.00,26500.00,23800.00,26500.00,800,25514.8941
2015-08-28,26400.00,26400.00,26400.00,26400.00,100,25418.61148
2015-08-27,26500.00,26500.00,26500.00,26500.00,000,25514.8941
2015-08-26,26500.00,26500.00,26500.00,26500.00,100,25514.8941
2015-08-25,26000.00,26000.00,26000.00,26000.00,000,25033.481
2015-08-24,26000.00,26000.00,26000.00,26000.00,000,25033.481
2015-08-21,26000.00,26000.00,26000.00,26000.00,1500,25033.481
2015-08-20,26300.00,26300.00,26300.00,26300.00,3900,25322.32886
2015-08-19,26500.00,26500.00,26500.00,26500.00,000,25514.8941
2015-08-18,26500.00,26500.00,26500.00,26500.00,000,25514.8941
