Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,21.459999,21.59,21.40,21.48,777500,20.488368
2015-10-08,21.209999,21.50,21.110001,21.48,803500,20.488368
2015-10-07,20.90,21.190001,20.85,21.190001,927500,20.211757
2015-10-06,20.66,20.99,20.540001,20.85,687600,19.887453
2015-10-05,19.91,20.75,19.860001,20.66,1001500,19.706224
2015-10-02,19.90,20.059999,19.73,19.83,826900,18.914541
2015-10-01,20.07,20.309999,19.91,20.00,598500,19.076693
2015-09-30,19.950001,20.10,19.629999,20.040001,834700,19.114847
2015-09-29,20.17,20.219999,19.790001,19.83,792600,18.914541
2015-09-28,20.690001,20.790001,20.10,20.280001,1072000,19.343767
2015-09-25,20.940001,21.10,20.75,20.75,664600,19.792069
2015-09-24,21.00,21.200001,20.93,20.99,678200,20.020989
2015-09-23,20.75,21.290001,20.75,21.01,744500,20.040066
2015-09-22,20.42,20.790001,20.27,20.690001,738000,19.734839
2015-09-21,20.01,20.58,20.01,20.52,846900,19.572688
2015-09-18,19.93,20.09,19.82,20.01,1390000,19.086232
2015-09-17,19.75,20.280001,19.549999,20.120001,731200,19.191154
2015-09-16,19.65,19.82,19.48,19.809999,563700,18.895464
2015-09-15,19.85,19.860001,19.57,19.690001,700200,18.781005
2015-09-14,20.23,20.23,19.82,19.870001,463100,18.952695
2015-09-11,19.85,20.200001,19.85,20.17,577300,19.238845
2015-09-10,20.559999,20.66,20.200001,20.360001,573800,19.105308
2015-09-09,20.780001,20.85,20.52,20.559999,432900,19.292982
2015-09-08,20.76,20.950001,20.559999,20.68,550400,19.405588
2015-09-04,20.719999,20.85,20.43,20.60,398900,19.330518
2015-09-03,21.00,21.15,20.809999,20.889999,355300,19.602646
2015-09-02,21.129999,21.34,20.84,20.98,592600,19.687099
2015-09-01,21.120001,21.34,20.90,21.040001,512400,19.743403
2015-08-31,21.51,21.549999,21.17,21.370001,504100,20.053067
2015-08-28,21.799999,21.870001,21.379999,21.57,405500,20.240741
2015-08-27,21.33,21.969999,21.209999,21.799999,558300,20.456566
2015-08-26,20.90,21.41,20.889999,21.290001,657000,19.977997
2015-08-25,21.27,21.27,20.75,20.799999,778600,19.518192
2015-08-24,21.07,21.43,20.01,20.92,1004300,19.630798
2015-08-21,21.799999,22.18,21.57,21.73,666300,20.39088
2015-08-20,22.299999,22.43,22.16,22.17,474400,20.803766
2015-08-19,22.209999,22.450001,22.16,22.35,339500,20.972674
2015-08-18,22.52,22.52,22.290001,22.41,452800,21.028976
2015-08-17,22.42,22.59,22.190001,22.530001,382000,21.141581
2015-08-14,22.280001,22.57,22.030001,22.48,336300,21.094661
2015-08-13,22.27,22.559999,22.02,22.290001,412000,20.916372
