Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,18.860001,18.98,18.74,18.82,1048800,18.71926
2015-10-08,18.68,19.02,18.67,18.860001,849100,18.759047
2015-10-07,18.610001,18.799999,18.440001,18.75,1336600,18.649635
2015-10-06,18.379999,18.57,18.32,18.459999,810500,18.361186
2015-10-05,18.10,18.459999,18.09,18.450001,651300,18.351242
2015-10-02,17.52,17.98,17.24,17.98,1605400,17.883756
2015-10-01,17.950001,18.110001,17.68,18.110001,1686800,18.013061
2015-09-30,18.049999,18.08,17.82,17.969999,933300,17.87381
2015-09-29,17.83,17.98,17.700001,17.85,548800,17.754453
2015-09-28,18.00,18.049999,17.77,17.780001,592000,17.684828
2015-09-25,18.16,18.24,17.98,18.10,839500,18.003115
2015-09-24,17.709999,17.92,17.610001,17.860001,858900,17.7644
2015-09-23,17.77,18.040001,17.700001,17.889999,552300,17.794238
2015-09-22,17.66,17.91,17.610001,17.75,400700,17.654988
2015-09-21,17.809999,18.120001,17.809999,17.98,472300,17.883756
2015-09-18,17.889999,17.90,17.559999,17.68,1856100,17.585363
2015-09-17,18.620001,18.77,18.120001,18.18,1263100,18.082686
2015-09-16,18.57,18.74,18.379999,18.620001,478400,18.520332
2015-09-15,18.370001,18.68,17.879999,18.59,594500,18.490492
2015-09-14,18.190001,18.40,18.10,18.280001,551300,18.182152
2015-09-11,18.129999,18.200001,17.98,18.200001,435600,18.10258
2015-09-10,18.040001,18.360001,17.969999,18.219999,465100,18.122471
2015-09-09,18.50,18.549999,18.049999,18.07,489800,17.973275
2015-09-08,18.16,18.309999,18.049999,18.290001,363100,18.192098
2015-09-04,17.700001,17.90,17.690001,17.84,682400,17.744506
2015-09-03,17.709999,18.129999,17.67,17.93,1108000,17.834025
2015-09-02,17.870001,18.32,17.450001,17.75,1161300,17.654988
2015-09-01,17.950001,18.18,17.51,17.58,1037100,17.485898
2015-08-31,18.059999,18.42,17.969999,18.360001,902800,18.261723
2015-08-28,18.040001,18.25,17.65,18.120001,741000,18.023008
2015-08-27,17.950001,18.25,17.85,18.190001,888800,17.993168
2015-08-26,17.559999,17.719999,17.18,17.700001,1026100,17.50847
2015-08-25,17.969999,17.99,17.16,17.17,1230000,16.984205
2015-08-24,17.700001,17.93,17.299999,17.52,1772100,17.330418
2015-08-21,18.610001,18.77,18.48,18.549999,1212000,18.349271
2015-08-20,19.219999,19.25,18.790001,18.799999,1094500,18.596566
2015-08-19,19.68,19.75,19.41,19.42,927500,19.209858
2015-08-18,19.85,20.00,19.68,19.790001,389700,19.575855
2015-08-17,19.700001,20.00,19.51,19.83,823200,19.615421
2015-08-14,19.50,19.83,19.469999,19.809999,353700,19.595637
2015-08-13,19.440001,19.59,19.299999,19.51,429500,19.298884
2015-08-12,19.709999,19.780001,19.09,19.43,578400,19.21975
2015-08-11,20.00,20.40,19.709999,19.82,776900,19.605529
2015-08-10,19.809999,20.23,19.790001,20.23,540300,20.011092
2015-08-07,19.809999,20.02,19.530001,19.719999,588000,19.506611
2015-08-06,20.00,20.120001,19.74,19.870001,500100,19.654989
2015-08-05,19.870001,20.16,19.809999,19.99,669000,19.773689
2015-08-04,19.75,19.969999,19.690001,19.76,582200,19.546179
2015-08-03,19.690001,19.809999,19.360001,19.74,765600,19.526395
2015-07-31,19.73,19.809999,19.469999,19.709999,714300,19.496719
2015-07-30,19.700001,19.809999,19.59,19.73,685800,19.516503
2015-07-29,19.540001,19.790001,19.48,19.73,793300,19.516503
2015-07-28,19.700001,19.76,19.50,19.549999,1001700,19.33845
2015-07-27,19.82,19.90,19.58,19.610001,957800,19.397802
2015-07-24,20.16,20.190001,19.969999,20.030001,612300,19.813258
2015-07-23,20.49,20.57,20.040001,20.16,770400,19.94185
2015-07-22,19.92,20.49,19.92,20.440001,1109700,20.218821
2015-07-21,20.299999,20.459999,19.93,20.00,1337700,19.783581
2015-07-20,19.959999,20.309999,19.950001,20.280001,934200,20.060552
2015-07-17,20.200001,20.26,19.83,19.969999,1360300,19.753905
2015-07-16,20.440001,20.51,20.33,20.379999,1245300,20.159469
2015-07-15,20.200001,20.450001,20.16,20.33,976100,20.110011
2015-07-14,20.049999,20.25,19.93,20.16,682000,19.94185
2015-07-13,20.129999,20.209999,20.00,20.139999,546900,19.922066
2015-07-10,20.040001,20.15,19.84,19.950001,917800,19.734123
2015-07-09,19.84,19.950001,19.67,19.76,923400,19.546179
2015-07-08,19.58,19.73,19.450001,19.52,949800,19.308776
2015-07-07,20.09,20.15,19.610001,19.790001,890500,19.575855
2015-07-06,19.969999,20.24,19.889999,20.219999,1229600,20.0012
2015-07-02,20.50,20.59,20.10,20.219999,655300,20.0012
2015-07-01,20.51,20.60,20.379999,20.549999,1004700,20.327629
2015-06-30,20.559999,20.709999,20.200001,20.27,911700,20.05066
2015-06-29,20.559999,20.73,20.309999,20.33,1129500,20.110011
2015-06-26,20.83,20.950001,20.66,20.84,1403700,20.614492
2015-06-25,20.700001,20.790001,20.57,20.719999,1236100,20.49579
2015-06-24,20.610001,20.77,20.540001,20.60,885200,20.377089
2015-06-23,20.459999,20.73,20.370001,20.709999,806700,20.485898
2015-06-22,20.389999,20.469999,20.26,20.459999,738900,20.238603
