Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.45,13.53,12.70,12.77,133200,12.463836
2015-10-08,13.37,13.57,13.01,13.45,111800,13.127533
2015-10-07,13.54,13.77,13.11,13.43,126200,13.108013
2015-10-06,13.50,13.68,13.10,13.43,89800,13.108013
2015-10-05,13.02,13.48,12.91,13.38,148000,13.059211
2015-10-02,12.33,12.82,12.33,12.80,86600,12.493117
2015-10-01,12.20,12.54,12.11,12.43,119200,12.131988
2015-09-30,12.02,12.15,11.87,12.08,180300,11.790379
2015-09-29,11.76,11.92,11.72,11.83,128100,11.546373
2015-09-28,12.29,12.35,11.72,11.74,286300,11.45853
2015-09-25,12.60,12.65,12.34,12.39,182300,12.092947
2015-09-24,12.29,12.49,12.25,12.41,97100,12.112467
2015-09-23,12.50,12.74,12.30,12.35,117400,12.053906
2015-09-22,12.35,12.56,12.17,12.50,123200,12.200309
2015-09-21,13.01,13.01,12.48,12.52,173900,12.21983
2015-09-18,12.23,12.96,12.19,12.91,286000,12.600479
2015-09-17,12.20,12.56,12.20,12.36,143100,12.063666
2015-09-16,11.89,12.33,11.89,12.24,132500,11.946543
2015-09-15,11.64,11.92,11.61,11.83,108000,11.546373
2015-09-14,11.50,11.65,11.28,11.63,103200,11.351168
2015-09-11,11.90,11.95,11.35,11.50,179600,11.224285
2015-09-10,11.68,12.09,11.68,11.93,153700,11.643976
2015-09-09,11.86,12.43,11.68,11.72,217000,11.43901
2015-09-08,11.60,11.85,11.32,11.68,268900,11.399969
2015-09-04,11.18,11.26,11.05,11.15,65600,10.882676
2015-09-03,11.04,11.67,11.04,11.34,198500,11.068121
2015-09-02,11.20,11.32,10.72,10.98,171900,10.716751
2015-09-01,10.98,11.26,10.92,11.10,137700,10.833875
2015-08-31,11.43,11.55,11.05,11.22,202000,10.950998
2015-08-28,10.93,11.56,10.93,11.53,325300,11.253565
2015-08-27,11.36,11.42,10.87,10.99,199900,10.726512
2015-08-26,10.76,11.26,10.74,11.25,286400,10.980278
2015-08-25,10.49,10.89,10.39,10.52,389100,10.267781
2015-08-24,10.36,10.47,9.65,10.04,366300,9.799288
2015-08-21,10.96,11.48,10.75,10.80,296400,10.541067
2015-08-20,11.83,12.07,11.34,11.38,325800,11.107162
2015-08-19,12.35,12.58,11.94,11.97,316200,11.683016
2015-08-18,12.78,12.92,12.36,12.43,265600,12.131988
2015-08-17,12.83,13.00,12.74,12.78,182100,12.473596
2015-08-14,12.95,13.15,12.74,12.85,130100,12.541918
2015-08-13,12.39,13.16,12.25,12.97,387400,12.659041
2015-08-12,12.85,12.97,12.02,12.38,536300,12.083186
2015-08-11,12.87,13.05,12.82,12.90,212100,12.590719
2015-08-10,13.25,13.28,12.89,12.98,176300,12.668801
2015-08-07,13.24,13.45,13.19,13.20,136700,12.883526
2015-08-06,13.52,13.70,13.13,13.23,224600,12.912807
2015-08-05,13.06,14.09,13.06,13.53,315600,13.205615
2015-08-04,13.39,13.57,12.75,13.06,508200,12.746884
2015-08-03,13.12,13.25,12.85,12.97,319800,12.659041
2015-07-31,13.75,13.77,13.07,13.14,178100,12.824966
2015-07-30,13.78,13.84,13.43,13.70,160100,13.371539
2015-07-29,14.07,14.16,13.75,13.76,194100,13.430101
2015-07-28,13.78,14.11,13.71,13.95,163300,13.517943
2015-07-27,14.00,14.16,13.68,13.84,222300,13.41135
2015-07-24,13.90,14.26,13.76,14.06,282600,13.624537
2015-07-23,14.48,14.74,13.77,13.78,298100,13.353208
2015-07-22,14.62,14.88,14.33,14.42,357200,13.973386
2015-07-21,14.75,15.07,14.26,14.62,306300,14.167192
2015-07-20,14.33,15.06,14.22,14.66,505000,14.205953
2015-07-17,13.23,14.32,13.16,14.26,570600,13.818342
2015-07-16,12.87,13.50,12.87,13.26,685100,12.849314
2015-07-15,12.70,12.92,12.67,12.79,379000,12.39387
2015-07-14,12.13,12.57,12.13,12.39,300300,12.006259
2015-07-13,11.86,12.27,11.86,12.16,117400,11.783382
2015-07-10,11.76,12.00,11.75,11.85,248900,11.482984
2015-07-09,11.64,11.79,11.58,11.68,275400,11.318249
2015-07-08,11.73,11.85,11.62,11.63,137500,11.269798
2015-07-07,11.60,12.12,11.43,11.80,270200,11.434533
2015-07-06,11.98,12.01,11.58,11.60,138500,11.240727
2015-07-02,12.23,12.23,12.00,12.07,49200,11.69617
2015-07-01,12.13,12.29,12.08,12.21,90600,11.831834
2015-06-30,12.09,12.19,11.93,12.11,78300,11.734931
2015-06-29,12.22,12.42,11.99,12.05,88100,11.67679
2015-06-26,12.62,12.68,12.27,12.32,191700,11.938427
2015-06-25,12.71,12.71,12.52,12.54,53600,12.151613
2015-06-24,12.88,12.89,12.51,12.60,124200,12.209755
2015-06-23,12.34,12.94,12.27,12.86,152200,12.461702
2015-06-22,12.25,12.38,12.10,12.29,50200,11.909356
2015-06-19,12.17,12.35,12.10,12.16,126400,11.783382
2015-06-18,12.02,12.37,11.88,12.15,166100,11.773692
2015-06-17,12.03,12.26,11.85,11.87,158900,11.502364
2015-06-16,11.85,12.07,11.62,11.97,232600,11.599268
2015-06-15,11.95,12.13,11.79,11.88,271800,11.512055
2015-06-12,11.54,12.06,11.50,11.90,378900,11.531435
2015-06-11,11.68,11.71,11.41,11.51,291700,11.153515
2015-06-10,11.64,11.97,11.55,11.65,593500,11.289178
2015-06-09,11.37,11.55,11.25,11.53,176900,11.172895
2015-06-08,11.45,11.66,11.35,11.36,116200,11.00816
2015-06-05,11.35,11.59,11.32,11.36,127200,11.00816
2015-06-04,11.70,11.74,11.15,11.40,190800,11.046921
2015-06-03,11.75,12.00,11.72,11.76,168800,11.395772
2015-06-02,11.54,12.14,11.54,11.72,119400,11.35701
2015-06-01,11.70,11.71,11.44,11.55,108300,11.192276
2015-05-29,11.97,12.03,11.42,11.62,237600,11.260107
2015-05-28,11.85,12.04,11.68,11.99,95800,11.618648
2015-05-27,12.12,12.21,11.81,11.92,136100,11.550816
2015-05-26,12.43,12.55,12.00,12.02,164400,11.647719
2015-05-22,12.51,12.72,12.32,12.46,142300,12.074091
2015-05-21,12.70,13.30,12.29,12.49,445100,12.103162
2015-05-20,12.39,12.65,12.27,12.63,218200,12.238826
2015-05-19,12.33,12.58,12.24,12.34,198000,11.957808
2015-05-18,12.33,12.67,12.09,12.35,165900,11.967498
2015-05-15,12.23,12.65,12.05,12.53,128000,12.141923
2015-05-14,12.26,12.50,12.14,12.28,102500,11.899666
2015-05-13,12.02,12.22,11.96,12.19,108900,11.812453
2015-05-12,11.95,12.28,11.85,11.94,257200,11.570196
2015-05-11,12.41,12.58,11.89,11.93,167400,11.560506
2015-05-08,12.49,12.62,12.14,12.41,116300,12.02564
2015-05-07,12.34,12.53,12.02,12.40,203700,12.015949
2015-05-06,12.30,12.55,11.98,12.32,336200,11.938427
2015-05-05,12.00,12.56,11.67,12.20,394000,11.822144
2015-05-04,11.94,12.18,11.82,11.86,80100,11.492674
2015-05-01,12.04,12.62,11.86,11.90,271700,11.531435
2015-04-30,12.29,12.36,11.65,12.03,312500,11.657409
2015-04-29,12.43,12.80,12.19,12.34,291700,11.957808
2015-04-28,11.93,12.50,11.77,12.40,315000,12.015949
2015-04-27,11.87,12.44,11.87,11.97,433200,11.502364
2015-04-24,11.78,11.86,11.48,11.71,205100,11.252522
2015-04-23,11.00,11.72,11.00,11.69,244700,11.233303
2015-04-22,10.58,11.02,10.57,10.97,171800,10.541432
2015-04-21,10.67,10.68,10.50,10.64,44000,10.224324
2015-04-20,10.73,10.85,10.60,10.67,109900,10.253152
2015-04-17,10.70,10.75,10.49,10.63,100100,10.214714
