Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.83,4.88,4.80,4.86,41100,4.750898
2015-10-08,4.76,4.81,4.72,4.81,58100,4.70202
2015-10-07,4.70,4.75,4.70,4.75,34500,4.643367
2015-10-06,4.68,4.70,4.64,4.68,61700,4.574939
2015-10-05,4.68,4.70,4.64,4.68,343900,4.574939
2015-10-02,4.51,4.62,4.48,4.61,96200,4.50651
2015-10-01,4.55,4.58,4.50,4.55,73200,4.447857
2015-09-30,4.58,4.60,4.50,4.54,60400,4.438082
2015-09-29,4.58,4.59,4.50,4.53,91000,4.428306
2015-09-28,4.72,4.72,4.54,4.59,90700,4.486959
2015-09-25,4.80,4.82,4.70,4.73,85900,4.623816
2015-09-24,4.78,4.79,4.66,4.78,101600,4.672694
2015-09-23,4.81,4.85,4.77,4.81,62300,4.70202
2015-09-22,4.84,4.86,4.79,4.79,58000,4.682469
2015-09-21,4.88,4.94,4.86,4.89,61200,4.780224
2015-09-18,4.86,4.89,4.86,4.86,31300,4.750898
2015-09-17,4.90,4.92,4.87,4.90,40600,4.79
2015-09-16,4.80,4.90,4.80,4.90,133500,4.79
2015-09-15,4.78,4.86,4.78,4.83,38600,4.721571
2015-09-14,4.85,4.85,4.80,4.80,18100,4.692245
2015-09-11,4.79,4.83,4.77,4.83,31100,4.721571
2015-09-10,4.79,4.86,4.77,4.79,69400,4.682469
2015-09-09,4.87,4.89,4.78,4.78,60300,4.672694
2015-09-08,4.85,4.90,4.80,4.81,21800,4.70202
2015-09-04,4.75,4.77,4.72,4.76,38800,4.653143
2015-09-03,4.75,4.83,4.75,4.79,35300,4.682469
2015-09-02,4.79,4.79,4.71,4.73,35600,4.623816
2015-09-01,4.82,4.82,4.71,4.72,60600,4.614041
2015-08-31,4.84,4.87,4.84,4.86,30200,4.750898
2015-08-28,4.78,4.93,4.78,4.85,31500,4.741122
2015-08-27,4.76,4.85,4.76,4.79,31800,4.682469
2015-08-26,4.73,4.74,4.65,4.70,47700,4.59449
2015-08-25,4.78,4.78,4.64,4.64,23400,4.535837
2015-08-24,4.47,4.74,4.20,4.63,78700,4.526061
2015-08-21,4.96,4.97,4.86,4.89,71200,4.780224
2015-08-20,5.07,5.09,4.99,5.00,122400,4.887755
2015-08-19,5.12,5.12,5.08,5.10,74900,4.98551
2015-08-18,5.09,5.13,5.05,5.13,50900,5.014837
2015-08-17,5.07,5.13,5.03,5.11,80800,4.995286
2015-08-14,5.06,5.11,5.03,5.11,89800,4.995286
2015-08-13,5.06,5.07,5.01,5.07,63700,4.956184
2015-08-12,5.04,5.06,4.96,5.06,58100,4.946408
2015-08-11,5.10,5.10,5.02,5.06,80900,4.946408
2015-08-10,5.14,5.15,5.07,5.12,53000,5.005061
2015-08-07,5.14,5.14,5.04,5.08,46900,4.965959
2015-08-06,5.17,5.17,5.04,5.15,119800,5.034388
2015-08-05,5.13,5.17,5.13,5.15,40600,5.034388
2015-08-04,5.16,5.22,5.03,5.11,111200,4.995286
2015-08-03,5.19,5.21,5.16,5.16,37000,5.044163
2015-07-31,5.13,5.21,5.13,5.16,27500,5.044163
2015-07-30,5.15,5.18,5.14,5.15,35700,5.034388
2015-07-29,5.23,5.23,5.13,5.16,70700,5.044163
2015-07-28,5.24,5.25,5.18,5.24,41700,5.005061
2015-07-27,5.24,5.24,5.20,5.21,38900,4.976406
2015-07-24,5.33,5.37,5.24,5.26,39000,5.024165
2015-07-23,5.30,5.33,5.21,5.26,70300,5.024165
2015-07-22,5.27,5.30,5.23,5.29,76500,5.052819
2015-07-21,5.26,5.35,5.26,5.28,65000,5.043268
2015-07-20,5.32,5.35,5.29,5.33,36300,5.091026
2015-07-17,5.30,5.34,5.27,5.27,31300,5.033716
2015-07-16,5.25,5.31,5.22,5.30,36100,5.062371
2015-07-15,5.31,5.32,5.16,5.23,54500,4.99551
2015-07-14,5.28,5.31,5.21,5.29,63700,5.052819
2015-07-13,5.21,5.27,5.20,5.27,52900,5.033716
2015-07-10,5.17,5.19,5.15,5.18,42400,4.947751
2015-07-09,5.13,5.15,5.09,5.09,54700,4.861787
2015-07-08,5.13,5.13,5.09,5.09,45000,4.861787
2015-07-07,5.16,5.16,5.09,5.15,85800,4.919097
