Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,2.57,2.60,2.47,2.51,383400,2.51
2015-10-08,2.65,2.682,2.51,2.55,318200,2.55
2015-10-07,2.70,2.84,2.62,2.64,154800,2.64
2015-10-06,2.66,2.92,2.63,2.63,245900,2.63
2015-10-05,2.61,2.80,2.61,2.66,302600,2.66
2015-10-02,2.21,2.64,2.18,2.55,279900,2.55
2015-10-01,2.30,2.35,2.21,2.23,140500,2.23
2015-09-30,2.35,2.42,2.18,2.23,136000,2.23
2015-09-29,2.52,2.55,2.28,2.28,104400,2.28
2015-09-28,2.75,2.75,2.47,2.47,129800,2.47
2015-09-25,2.72,2.79,2.68,2.75,193000,2.75
2015-09-24,2.66,2.725,2.56,2.69,134400,2.69
2015-09-23,2.69,2.70,2.51,2.67,228100,2.67
2015-09-22,2.79,2.81,2.54,2.67,151800,2.67
2015-09-21,2.95,2.99,2.84,2.84,281400,2.84
2015-09-18,2.91,3.02,2.90,2.92,257600,2.92
2015-09-17,3.08,3.19,2.95,2.97,172900,2.97
2015-09-16,3.04,3.19,2.95,3.02,182900,3.02
2015-09-15,2.94,3.13,2.94,2.96,200400,2.96
2015-09-14,3.19,3.24,2.95,2.95,267500,2.95
2015-09-11,3.40,3.48,3.16,3.19,216000,3.19
2015-09-10,3.34,3.50,3.34,3.49,249100,3.49
2015-09-09,3.46,3.54,3.32,3.37,136200,3.37
2015-09-08,3.30,3.59,3.25,3.44,311700,3.44
2015-09-04,3.33,3.456,3.18,3.31,125100,3.31
2015-09-03,3.33,3.40,3.20,3.33,104000,3.33
2015-09-02,3.18,3.275,3.148,3.26,81400,3.26
2015-09-01,3.22,3.28,3.13,3.20,149400,3.20
2015-08-31,3.34,3.431,3.15,3.31,251700,3.31
2015-08-28,3.30,3.45,3.23,3.33,326600,3.33
2015-08-27,3.25,3.37,3.16,3.20,280600,3.20
2015-08-26,3.18,3.18,3.01,3.06,142100,3.06
2015-08-25,3.28,3.55,2.972,3.00,185200,3.00
2015-08-24,2.69,2.85,2.56,2.85,515000,2.85
2015-08-21,2.89,2.94,2.81,2.82,184100,2.82
2015-08-20,3.02,3.06,2.82,2.83,298200,2.83
2015-08-19,3.39,3.39,3.02,3.04,283700,3.04
2015-08-18,3.61,3.61,3.32,3.37,213800,3.37
2015-08-17,3.60,3.71,3.46,3.55,222400,3.55
2015-08-14,3.64,3.79,3.47,3.68,240100,3.68
2015-08-13,3.89,4.33,3.60,3.63,922500,3.63
2015-08-12,3.44,4.00,3.30,3.90,727800,3.90
2015-08-11,3.37,3.48,3.25,3.32,277600,3.32
2015-08-10,2.97,3.44,2.83,3.42,469000,3.42
2015-08-07,2.38,3.27,2.38,2.99,572800,2.99
2015-08-06,2.17,2.60,2.06,2.39,651700,2.39
2015-08-05,2.73,2.73,2.09,2.15,509700,2.15
2015-08-04,2.67,2.83,2.61,2.63,120800,2.63
2015-08-03,3.04,3.04,2.63,2.65,460800,2.65
2015-07-31,3.25,3.28,3.04,3.08,284500,3.08
2015-07-30,3.45,3.45,3.165,3.23,124200,3.23
2015-07-29,3.11,3.47,3.06,3.42,334100,3.42
2015-07-28,3.00,3.20,2.88,3.07,410200,3.07
2015-07-27,2.97,2.99,2.84,2.86,318700,2.86
2015-07-24,3.29,3.29,2.94,2.97,789100,2.97
2015-07-23,3.43,3.57,3.26,3.26,568800,3.26
2015-07-22,3.88,3.96,3.48,3.50,504000,3.50
2015-07-21,3.90,3.99,3.89,3.90,331800,3.90
2015-07-20,3.98,4.12,3.88,3.91,224900,3.91
2015-07-17,4.00,4.07,3.891,3.95,201900,3.95
2015-07-16,4.40,4.425,4.02,4.07,162300,4.07
2015-07-15,4.37,4.46,4.25,4.31,169600,4.31
2015-07-14,3.96,4.59,3.87,4.55,567800,4.55
2015-07-13,4.03,4.096,3.85,3.97,369000,3.97
2015-07-10,4.25,4.36,3.99,3.99,662100,3.99
2015-07-09,4.37,4.403,4.20,4.24,197400,4.24
2015-07-08,4.39,4.49,4.20,4.24,165500,4.24
2015-07-07,4.38,4.52,4.21,4.38,308100,4.38
2015-07-06,4.75,4.75,4.37,4.41,429900,4.41
2015-07-02,4.58,4.88,4.551,4.79,318700,4.79
2015-07-01,5.01,5.118,4.37,4.65,530800,4.65
2015-06-30,5.15,5.15,4.95,5.00,260000,5.00
2015-06-29,5.40,5.43,4.98,5.02,302600,5.02
2015-06-26,5.69,5.69,5.433,5.44,267400,5.44
