Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,29.17,29.18,29.10,29.15,73800,28.814094
2015-10-08,29.299999,29.309999,29.08,29.15,78100,28.814094
2015-10-07,29.309999,29.309999,29.200001,29.23,79800,28.893172
2015-10-06,29.209999,29.35,29.209999,29.35,61600,29.01179
2015-10-05,29.41,29.41,29.24,29.280001,312700,28.942597
2015-10-02,29.48,29.58,29.34,29.440001,92500,29.100753
2015-10-01,29.26,29.379999,29.25,29.309999,74500,28.97225
2015-09-30,29.280001,29.290001,29.200001,29.280001,77700,28.942597
2015-09-29,29.219999,29.33,29.059999,29.33,192000,28.99202
2015-09-28,28.940001,29.290001,28.84,29.120001,183900,28.78444
2015-09-25,28.91,28.92,28.790001,28.90,56200,28.566974
2015-09-24,29.030001,29.049999,28.90,28.90,38500,28.566974
2015-09-23,28.889999,28.91,28.799999,28.860001,29600,28.527436
2015-09-22,29.030001,29.030001,28.83,28.889999,65600,28.557089
2015-09-21,28.790001,28.82,28.629999,28.709999,136400,28.379163
2015-09-18,28.76,28.93,28.65,28.879999,78600,28.547204
2015-09-17,28.50,28.700001,28.41,28.700001,49900,28.36928
2015-09-16,28.52,28.530001,28.40,28.440001,42500,28.112276
2015-09-15,28.74,28.74,28.469999,28.51,78800,28.181469
2015-09-14,28.92,28.92,28.799999,28.85,71300,28.409808
2015-09-11,28.790001,28.860001,28.68,28.83,104700,28.390113
2015-09-10,28.82,28.82,28.65,28.73,56700,28.291639
2015-09-09,28.809999,28.940001,28.709999,28.799999,149600,28.36057
2015-09-08,29.02,29.02,28.82,28.870001,109800,28.429504
2015-09-04,29.01,29.15,28.950001,29.120001,62100,28.675689
2015-09-03,28.93,29.030001,28.85,28.91,58200,28.468892
2015-09-02,28.93,28.98,28.84,28.870001,30500,28.429504
2015-09-01,28.879999,29.00,28.799999,28.99,54000,28.547672
2015-08-31,29.25,29.25,28.889999,28.90,54800,28.459045
2015-08-28,29.17,29.25,29.00,29.18,46600,28.734773
2015-08-27,28.98,29.18,28.889999,28.99,28100,28.547672
2015-08-26,29.120001,29.32,28.889999,28.98,106400,28.537824
2015-08-25,29.27,29.27,28.959999,28.959999,76700,28.518129
2015-08-24,29.52,29.60,29.219999,29.309999,121600,28.862789
2015-08-21,29.299999,29.41,29.23,29.32,59900,28.872636
2015-08-20,29.27,29.35,29.25,29.290001,167600,28.843095
2015-08-19,28.940001,29.25,28.940001,29.15,90700,28.70523
2015-08-18,29.049999,29.17,29.00,29.040001,115400,28.59691
2015-08-17,29.17,29.219999,29.07,29.09,140400,28.646146
2015-08-14,29.08,29.110001,29.00,29.049999,52300,28.606756
2015-08-13,29.360001,29.360001,29.15,29.209999,118900,28.651069
2015-08-12,29.34,29.50,29.190001,29.25,57400,28.690305
2015-08-11,29.33,29.450001,29.24,29.389999,66700,28.827625
2015-08-10,29.459999,29.48,29.120001,29.120001,52900,28.562793
2015-08-07,29.219999,29.389999,29.219999,29.33,30100,28.768774
2015-08-06,29.030001,29.23,29.030001,29.129999,85000,28.5726
2015-08-05,29.18,29.18,28.98,29.08,44100,28.523558
2015-08-04,29.25,29.299999,29.200001,29.23,68300,28.670687
2015-08-03,29.200001,29.379999,29.200001,29.290001,82100,28.72954
2015-07-31,29.17,29.200001,29.08,29.120001,59600,28.562793
2015-07-30,28.940001,29.08,28.90,29.049999,42100,28.494131
2015-07-29,28.93,29.02,28.83,28.950001,33200,28.396046
2015-07-28,29.030001,29.10,28.98,29.01,28900,28.454897
2015-07-27,29.02,29.209999,29.02,29.059999,148200,28.50394
2015-07-24,28.98,29.00,28.91,28.99,58500,28.43528
2015-07-23,28.82,28.98,28.75,28.969999,71700,28.415662
