Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,19.040001,19.15,18.959999,19.00,13900,18.771048
2015-10-08,18.99,19.040001,18.860001,18.98,6700,18.751289
2015-10-07,18.98,19.00,18.799999,18.93,10800,18.701892
2015-10-06,18.92,18.92,18.76,18.799999,1600,18.573458
2015-10-05,18.83,18.879999,18.719999,18.870001,13500,18.642616
2015-10-02,18.549999,18.65,18.40,18.65,10300,18.425265
2015-10-01,18.809999,18.809999,18.389999,18.549999,6900,18.32647
2015-09-30,18.90,18.90,18.620001,18.700001,30900,18.474664
2015-09-29,18.90,18.93,18.700001,18.719999,5200,18.494422
2015-09-28,19.41,19.49,18.76,19.00,11300,18.771048
2015-09-25,19.52,19.629999,19.309999,19.309999,7100,19.077312
2015-09-24,19.34,19.389999,19.25,19.389999,13000,19.156348
2015-09-23,19.51,19.75,19.370001,19.389999,10000,19.156348
2015-09-22,19.379999,19.51,19.379999,19.459999,8300,19.225504
2015-09-21,19.709999,19.940001,19.60,19.67,8200,19.432975
2015-09-18,19.65,19.65,19.48,19.48,2000,19.245264
2015-09-17,19.620001,19.780001,19.52,19.780001,7600,19.54165
2015-09-16,19.629999,19.700001,19.42,19.52,9700,19.284783
2015-09-15,19.51,19.639999,19.26,19.639999,4300,19.403336
2015-09-14,19.27,19.389999,19.27,19.379999,7500,19.146468
2015-09-11,19.48,19.48,19.27,19.280001,11200,19.047675
2015-09-10,19.59,19.59,19.32,19.40,9200,19.166228
2015-09-09,19.700001,19.700001,19.43,19.49,11000,19.255143
2015-09-08,19.49,19.52,19.309999,19.48,12400,19.245264
2015-09-04,19.52,19.620001,19.360001,19.530001,7400,19.040759
2015-09-03,19.940001,20.09,19.52,19.52,7000,19.03101
2015-09-02,19.879999,20.60,19.60,19.799999,15500,19.303994
2015-09-01,19.82,19.950001,19.49,19.74,10100,19.245498
2015-08-31,20.00,20.15,19.91,19.950001,8200,19.450238
2015-08-28,20.00,20.33,19.959999,20.00,17200,19.498985
2015-08-27,19.74,20.049999,19.65,20.049999,9300,19.547732
2015-08-26,19.889999,20.219999,19.639999,19.77,11600,19.274747
2015-08-25,19.299999,20.040001,19.16,19.73,15200,19.235748
2015-08-24,18.50,19.25,18.049999,19.059999,22300,18.582532
2015-08-21,20.299999,20.50,19.90,19.90,11300,19.40149
2015-08-20,20.48,20.48,20.379999,20.389999,4400,19.879214
2015-08-19,20.58,20.65,20.52,20.629999,1700,20.113202
2015-08-18,20.60,20.780001,20.41,20.67,37100,20.152201
2015-08-17,20.530001,20.93,20.530001,20.60,2200,20.083955
2015-08-14,20.66,20.73,20.549999,20.549999,5200,20.035206
2015-08-13,20.860001,20.92,20.700001,20.809999,3600,20.288693
2015-08-12,20.799999,20.92,20.75,20.75,8500,20.230197
2015-08-11,20.76,20.940001,20.76,20.780001,7900,20.259446
2015-08-10,20.860001,20.940001,20.709999,20.92,7200,20.395938
2015-08-07,20.65,20.93,20.60,20.93,1500,20.405688
2015-08-06,20.65,21.030001,20.530001,20.68,4900,20.161951
2015-08-05,20.870001,20.870001,20.530001,20.66,8600,20.142451
2015-08-04,20.75,21.049999,20.65,20.860001,5200,20.337442
2015-08-03,21.17,21.200001,20.799999,20.799999,5600,20.278943
2015-07-31,20.889999,21.280001,20.889999,21.280001,4600,20.746921
2015-07-30,20.879999,21.190001,20.799999,20.799999,1900,20.278943
2015-07-29,20.959999,21.25,20.799999,20.82,10500,20.298443
2015-07-28,20.90,21.00,20.799999,20.91,264600,20.386188
2015-07-27,21.07,21.09,20.799999,20.90,3200,20.376439
2015-07-24,21.18,21.25,21.08,21.219999,3700,20.688422
2015-07-23,20.91,21.15,20.91,21.139999,5500,20.610426
2015-07-22,20.76,20.950001,20.76,20.85,5600,20.327692
2015-07-21,20.76,21.139999,20.76,20.76,7500,20.239946
2015-07-20,20.92,21.08,20.790001,20.790001,4800,20.269196
2015-07-17,21.139999,21.17,20.879999,20.879999,4900,20.356939
2015-07-16,21.17,21.219999,21.07,21.219999,8800,20.688422
2015-07-15,21.00,21.200001,20.99,21.030001,9100,20.503183
2015-07-14,20.870001,21.23,20.620001,20.950001,21000,20.425187
2015-07-13,20.82,21.10,20.82,20.82,2800,20.298443
2015-07-10,20.77,20.90,20.60,20.860001,4600,20.337442
2015-07-09,20.799999,20.82,20.59,20.709999,6200,20.191198
2015-07-08,21.139999,21.139999,20.40,20.700001,6900,20.18145
2015-07-07,21.030001,21.200001,20.719999,21.200001,7300,20.668925
2015-07-06,21.139999,21.219999,21.01,21.059999,2500,20.53243
2015-07-02,21.26,21.26,21.02,21.24,4000,20.707922
2015-07-01,21.379999,21.459999,21.23,21.26,7000,20.727421
2015-06-30,21.23,21.370001,21.10,21.18,5700,20.649425
2015-06-29,21.360001,21.559999,21.040001,21.08,5500,20.55193
2015-06-26,21.59,21.59,21.43,21.559999,10500,21.019905
2015-06-25,21.549999,21.59,21.35,21.48,19200,20.941909
2015-06-24,21.549999,21.59,21.379999,21.459999,12300,20.92241
2015-06-23,21.48,21.530001,21.389999,21.52,4400,20.980908
2015-06-22,21.32,21.40,21.32,21.40,8400,20.863913
2015-06-19,21.33,21.35,21.24,21.24,2100,20.707922
2015-06-18,21.290001,21.40,21.290001,21.309999,9700,20.776168
2015-06-17,21.35,21.40,21.26,21.299999,6700,20.766418
2015-06-16,21.24,21.379999,21.190001,21.24,5500,20.707922
2015-06-15,21.309999,21.389999,20.99,21.209999,4800,20.678673
2015-06-12,21.25,21.33,21.25,21.299999,5900,20.766418
2015-06-11,21.440001,21.440001,21.299999,21.309999,4200,20.776168
2015-06-10,21.40,21.43,21.290001,21.34,3700,20.805417
2015-06-09,21.450001,21.50,21.309999,21.35,5400,20.815167
2015-06-08,21.75,21.75,21.57,21.75,7400,20.957509
2015-06-05,21.549999,21.74,21.440001,21.74,2100,20.947873
2015-06-04,21.73,21.73,21.60,21.60,4800,20.812975
2015-06-03,21.700001,21.860001,21.66,21.66,3400,20.870788
2015-06-02,21.799999,21.85,21.66,21.66,13000,20.870788
2015-06-01,21.799999,21.91,21.66,21.799999,8800,21.005686
2015-05-29,21.639999,21.790001,21.549999,21.76,5300,20.967145
2015-05-28,21.60,21.67,21.57,21.59,7600,20.803339
2015-05-27,21.469999,21.60,21.389999,21.59,13800,20.803339
2015-05-26,21.440001,21.450001,21.40,21.41,9600,20.629897
2015-05-22,21.469999,21.469999,21.370001,21.40,3200,20.620261
2015-05-21,21.440001,21.469999,21.440001,21.469999,2400,20.68771
2015-05-20,21.40,21.440001,21.08,21.41,4600,20.629897
