Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,20.82,20.82,20.129999,20.360001,35700,20.291018
2015-10-08,20.23,20.950001,20.23,20.74,39200,20.669729
2015-10-07,20.200001,20.719999,19.76,20.370001,146600,20.300984
2015-10-06,20.120001,20.690001,20.120001,20.290001,27800,20.221255
2015-10-05,19.450001,20.549999,18.639999,20.02,36500,19.952169
2015-10-02,18.969999,19.370001,18.75,19.33,26600,19.264507
2015-10-01,19.379999,19.379999,18.68,19.139999,34600,19.07515
2015-09-30,18.90,19.610001,18.780001,19.440001,71100,19.374135
2015-09-29,18.950001,19.280001,18.40,18.780001,67300,18.716371
2015-09-28,18.74,19.280001,18.74,18.90,40500,18.835963
2015-09-25,19.219999,19.219999,18.780001,18.98,56900,18.915692
2015-09-24,18.74,19.07,18.68,19.07,53700,19.005387
2015-09-23,19.059999,19.17,18.68,18.940001,34900,18.875829
2015-09-22,18.83,19.34,18.690001,18.92,49200,18.855896
2015-09-21,18.870001,19.51,18.870001,19.040001,67600,18.97549
2015-09-18,18.50,19.059999,18.42,18.530001,315700,18.467218
2015-09-17,18.950001,19.379999,18.700001,18.870001,104100,18.806066
2015-09-16,18.92,19.42,18.76,18.98,161100,18.915692
2015-09-15,18.18,19.01,18.15,18.84,47300,18.776167
2015-09-14,18.32,18.32,17.940001,18.10,60700,18.038675
2015-09-11,18.00,18.33,17.76,18.139999,29300,18.078538
2015-09-10,18.049999,18.559999,17.959999,18.18,24300,18.118403
2015-09-09,18.610001,18.610001,18.00,18.15,18900,18.088504
2015-09-08,18.889999,18.889999,18.309999,18.379999,47500,18.317725
2015-09-04,17.790001,18.75,17.790001,18.65,19900,18.58681
2015-09-03,18.50,19.07,18.00,18.00,28100,17.939013
2015-09-02,17.68,18.60,17.549999,18.52,31300,18.457252
2015-09-01,17.389999,17.799999,17.35,17.530001,42600,17.470606
2015-08-31,18.030001,18.030001,17.530001,17.66,68400,17.600165
2015-08-28,17.700001,18.190001,17.59,17.969999,26400,17.909114
2015-08-27,18.18,18.67,17.50,17.77,42700,17.709793
2015-08-26,17.66,18.18,17.59,17.950001,40200,17.889183
2015-08-25,18.41,18.41,17.25,17.379999,34100,17.321113
2015-08-24,17.23,18.110001,16.459999,17.84,55800,17.779555
2015-08-21,18.360001,18.809999,17.889999,17.92,88000,17.859284
2015-08-20,19.59,19.83,18.790001,18.85,47600,18.786133
2015-08-19,19.790001,20.129999,19.42,19.709999,43100,19.643218
2015-08-18,20.15,20.18,19.870001,20.040001,16500,19.972102
2015-08-17,19.90,21.040001,19.90,20.17,36900,20.101661
