Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,76.669998,77.480003,76.540001,77.120003,738000,76.700691
2015-10-08,76.129997,77.199997,75.760002,76.690002,773700,76.273028
2015-10-07,75.279999,76.300003,74.510002,76.07,1285700,75.656397
2015-10-06,74.849998,75.349998,74.650002,75.110001,861100,74.701617
2015-10-05,74.739998,75.739998,74.419998,75.010002,1466600,74.602163
2015-10-02,73.059998,74.610001,72.230003,74.57,1081200,74.164552
2015-10-01,73.43,74.050003,72.50,73.410004,1030100,73.010864
2015-09-30,73.089996,73.660004,72.650002,73.300003,1498900,72.901461
2015-09-29,70.980003,72.510002,70.589996,72.389999,1378400,71.996405
2015-09-28,70.540001,70.580002,68.75,69.110001,751900,68.73424
2015-09-25,71.089996,71.82,70.589996,71.150002,861400,70.763149
2015-09-24,69.059998,70.809998,68.309998,70.50,796100,70.116682
2015-09-23,69.599998,70.449997,69.379997,69.540001,437300,69.161902
2015-09-22,70.269997,70.269997,69.050003,69.690002,649400,69.311088
2015-09-21,70.790001,71.839996,70.629997,71.050003,561700,70.663695
2015-09-18,70.989998,71.510002,70.510002,70.709999,844000,70.325539
2015-09-17,71.599998,72.169998,71.050003,71.309998,520800,70.922275
2015-09-16,71.07,72.00,71.07,71.669998,474300,71.280319
2015-09-15,70.239998,71.110001,70.00,70.970001,624800,70.584128
2015-09-14,69.709999,70.139999,69.50,69.849998,802100,69.470215
2015-09-11,69.809998,70.089996,69.199997,69.589996,600900,69.211626
2015-09-10,69.50,70.949997,69.389999,70.199997,894000,69.81831
2015-09-09,71.00,71.25,69.540001,69.720001,612600,69.340924
2015-09-08,71.169998,71.290001,70.199997,70.669998,502600,70.285756
2015-09-04,70.279999,70.419998,69.690002,70.040001,521600,69.659184
2015-09-03,71.019997,71.980003,70.739998,70.870003,569600,70.484673
2015-09-02,70.970001,71.370003,70.050003,70.93,607500,70.544344
2015-09-01,71.50,71.849998,70.010002,70.449997,1114300,70.066951
2015-08-31,72.139999,72.860001,71.940002,72.449997,1589200,72.056076
2015-08-28,71.449997,72.720001,71.449997,72.57,1106700,72.175427
2015-08-27,69.93,72.57,69.809998,71.730003,1691000,71.339998
2015-08-26,70.019997,70.449997,69.209999,69.639999,1879200,69.261357
2015-08-25,71.879997,72.370003,68.889999,68.940002,1685100,68.565166
2015-08-24,69.25,71.32,67.059998,70.230003,2150900,69.848153
2015-08-21,72.18,72.769997,70.949997,70.959999,1120300,70.57418
2015-08-20,73.93,73.949997,72.889999,72.910004,986700,72.513582
2015-08-19,75.379997,75.379997,73.629997,73.739998,1145800,73.339063
2015-08-18,76.089996,76.50,75.540001,75.559998,872300,75.149168
2015-08-17,76.00,76.400002,75.809998,76.199997,873100,75.785687
2015-08-14,76.610001,77.059998,76.230003,76.309998,1022200,75.517156
2015-08-13,77.610001,78.18,76.489998,76.610001,1101800,75.814042
2015-08-12,75.839996,77.389999,75.260002,77.32,1213400,76.516665
2015-08-11,76.309998,77.00,75.75,76.260002,1436700,75.46768
2015-08-10,76.50,77.309998,76.300003,76.989998,1386300,76.190091
2015-08-07,76.849998,77.629997,75.660004,76.220001,1271900,75.428095
2015-08-06,79.110001,79.120003,76.580002,77.239998,1435600,76.437494
2015-08-05,79.300003,79.900002,78.559998,78.669998,1083700,77.852637
2015-08-04,79.900002,80.25,78.949997,79.089996,968800,78.268271
2015-08-03,79.720001,80.830002,79.660004,79.809998,1264700,78.980792
2015-07-31,81.50,81.779999,79.809998,79.849998,2064600,79.020377
2015-07-30,81.199997,82.790001,79.949997,81.25,3147400,80.405833
2015-07-29,86.620003,86.839996,85.580002,85.610001,1410800,84.720535
2015-07-28,85.599998,86.690002,85.239998,86.589996,728700,85.690348
2015-07-27,86.00,86.480003,85.410004,85.559998,806200,84.671051
2015-07-24,86.879997,87.150002,85.900002,86.279999,677600,85.383572
2015-07-23,87.50,88.029999,86.830002,87.129997,602500,86.224739
2015-07-22,86.459999,87.669998,85.800003,87.519997,639100,86.610686
2015-07-21,87.449997,88.019997,86.449997,86.489998,574500,85.591389
2015-07-20,87.809998,88.199997,87.379997,87.760002,494800,86.848198
2015-07-17,88.400002,88.480003,86.989998,88.099998,878800,87.184662
2015-07-16,87.110001,88.010002,86.769997,87.970001,917500,87.056015
2015-07-15,87.07,87.309998,85.870003,86.699997,980000,85.799206
2015-07-14,86.610001,87.370003,86.379997,87.129997,937800,86.224739
2015-07-13,86.349998,86.440002,85.610001,86.410004,738000,85.512226
2015-07-10,86.68,86.849998,85.480003,85.720001,878200,84.829392
2015-07-09,86.440002,86.949997,85.550003,85.599998,663600,84.710636
2015-07-08,86.410004,86.709999,85.559998,85.669998,881900,84.779909
2015-07-07,86.239998,87.07,85.330002,87.019997,1420000,86.115881
2015-07-06,87.580002,87.839996,85.720001,86.120003,1541300,85.225238
2015-07-02,90.00,90.00,89.059998,89.519997,832600,88.589907
2015-07-01,88.400002,90.400002,87.669998,89.860001,1361500,88.926378
2015-06-30,88.410004,89.089996,87.790001,87.800003,1009100,86.887783
2015-06-29,88.849998,89.599998,87.790001,87.860001,721500,86.947158
2015-06-26,90.190002,90.470001,88.75,89.440002,1416300,88.510744
2015-06-25,91.720001,91.720001,90.050003,90.220001,757100,89.282638
2015-06-24,92.57,92.800003,91.43,91.449997,485000,90.499855
2015-06-23,92.550003,93.029999,91.720001,92.849998,720800,91.885311
2015-06-22,92.379997,92.480003,91.730003,92.139999,550400,91.182688
2015-06-19,92.07,92.120003,91.690002,91.959999,758200,91.004558
2015-06-18,91.300003,92.400002,91.150002,91.970001,757400,91.014456
2015-06-17,91.050003,91.419998,90.269997,91.330002,815000,90.381106
2015-06-16,91.150002,91.330002,90.519997,91.160004,557900,90.212874
2015-06-15,90.900002,91.459999,90.699997,91.089996,485800,90.143594
2015-06-12,91.339996,91.730003,91.160004,91.660004,426600,90.70768
2015-06-11,91.660004,92.18,91.32,91.82,771700,90.866013
2015-06-10,90.010002,91.849998,90.010002,91.75,1193700,90.796741
2015-06-09,89.75,90.199997,89.330002,89.709999,737200,88.777935
2015-06-08,90.120003,90.269997,89.529999,89.599998,609300,88.669077
2015-06-05,89.75,90.339996,89.209999,90.029999,617900,89.09461
2015-06-04,90.629997,91.360001,90.010002,90.18,638300,89.243053
