Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.34,13.34,13.34,13.34,000,13.101616
2015-10-08,13.34,13.34,13.34,13.34,700,13.101616
2015-10-07,13.34,13.34,13.34,13.34,300,13.101616
2015-10-06,13.35,13.35,13.35,13.35,300,13.111437
2015-10-05,14.00,14.00,13.35,13.35,5100,13.111437
2015-10-02,13.49,13.49,13.49,13.49,200,13.248935
2015-10-01,12.72,12.98,12.72,12.98,1200,12.748048
2015-09-30,12.72,12.72,12.72,12.72,000,12.492695
2015-09-29,12.50,12.72,12.50,12.72,3600,12.492695
2015-09-28,12.20,12.20,12.20,12.20,100,11.981987
2015-09-25,12.50,12.64,12.50,12.64,500,12.414125
2015-09-24,12.39,12.39,12.39,12.39,000,12.168592
2015-09-23,12.25,12.39,12.25,12.39,1800,12.168592
2015-09-22,12.25,12.25,12.25,12.25,000,12.031094
2015-09-21,12.24,12.25,12.24,12.25,1200,12.031094
2015-09-18,12.20,12.24,12.18,12.24,1400,12.021272
2015-09-17,11.90,12.10,11.90,12.10,300,11.883775
2015-09-16,11.97,11.97,11.97,11.97,000,11.756098
2015-09-15,11.97,11.97,11.97,11.97,000,11.756098
2015-09-14,12.02,12.02,11.97,11.97,200,11.756098
2015-09-11,12.19,12.24,12.19,12.24,2500,12.021272
2015-09-10,12.16,12.16,12.16,12.16,000,11.942702
2015-09-09,12.16,12.16,12.16,12.16,000,11.942702
2015-09-08,12.16,12.16,12.00,12.16,600,11.942702
2015-09-04,12.24,12.24,12.24,12.24,000,12.021272
2015-09-03,12.24,12.24,12.24,12.24,000,12.021272
2015-09-02,12.24,12.24,12.24,12.24,400,12.021272
2015-09-01,12.00,12.00,12.00,12.00,000,11.785561
2015-08-31,12.00,12.00,12.00,12.00,000,11.785561
2015-08-28,12.00,12.00,12.00,12.00,000,11.785561
2015-08-27,12.00,12.00,12.00,12.00,000,11.785561
2015-08-26,12.03,12.03,12.00,12.00,400,11.785561
2015-08-25,12.40,12.40,12.25,12.25,900,12.031094
2015-08-24,12.20,12.20,12.20,12.20,200,11.981987
2015-08-21,12.60,12.60,12.20,12.20,3300,11.981987
2015-08-20,12.60,12.60,12.59,12.60,500,12.37484
2015-08-19,12.63,12.64,12.60,12.60,500,12.37484
2015-08-18,12.61,12.65,12.61,12.65,700,12.423946
2015-08-17,12.73,12.73,12.73,12.73,400,12.502516
2015-08-14,12.50,12.50,12.50,12.50,600,12.276626
2015-08-13,12.57,12.57,12.52,12.52,400,12.296269
2015-08-12,12.51,12.57,12.51,12.57,2600,12.345375
2015-08-11,12.52,12.52,12.20,12.52,3400,12.296269
2015-08-10,12.60,12.60,12.60,12.60,300,12.37484
2015-08-07,12.50,12.50,12.40,12.50,500,12.276626
