Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,16.43,16.60,16.43,16.60,3000,16.397178
2015-10-08,16.530001,16.67,16.530001,16.59,1100,16.3873
2015-10-07,16.60,16.60,16.559999,16.559999,2000,16.357665
2015-10-06,16.60,16.60,16.60,16.60,1000,16.397178
2015-10-05,16.60,16.60,16.58,16.60,2500,16.397178
2015-10-02,16.559999,16.559999,16.559999,16.559999,100,16.357665
2015-10-01,16.549999,16.57,16.50,16.50,2200,16.298399
2015-09-30,16.530001,16.530001,16.530001,16.530001,000,16.328033
2015-09-29,16.530001,16.530001,16.530001,16.530001,1000,16.328033
2015-09-28,16.58,16.58,16.51,16.58,400,16.377422
2015-09-25,16.60,16.67,16.389999,16.559999,2700,16.357665
2015-09-24,16.40,16.40,16.40,16.40,600,16.199621
2015-09-23,16.40,16.40,16.40,16.40,100,16.199621
2015-09-22,16.35,16.35,16.35,16.35,100,16.150232
2015-09-21,16.379999,16.379999,16.379999,16.379999,000,16.179864
2015-09-18,16.379999,16.379999,16.379999,16.379999,000,16.179864
2015-09-17,16.59,16.59,16.25,16.379999,1700,16.179864
2015-09-16,16.25,16.25,16.25,16.25,000,16.051454
2015-09-15,16.299999,16.299999,16.25,16.25,900,16.051454
2015-09-14,16.50,16.50,16.50,16.50,300,16.298399
2015-09-11,16.25,16.67,16.25,16.67,500,16.466322
2015-09-10,16.77,16.77,16.719999,16.719999,1300,16.446566
2015-09-09,16.77,16.77,16.77,16.77,000,16.495749
2015-09-08,16.77,16.77,16.77,16.77,100,16.495749
2015-09-04,16.719999,16.719999,16.66,16.66,300,16.387548
2015-09-03,16.50,16.50,16.50,16.50,000,16.230164
2015-09-02,16.50,16.51,16.48,16.50,1600,16.230164
2015-09-01,16.75,16.75,16.42,16.42,700,16.151473
2015-08-31,16.219999,16.77,16.219999,16.77,8800,16.495749
2015-08-28,16.50,16.50,16.48,16.48,600,16.210491
2015-08-27,16.209999,16.700001,16.209999,16.700001,1500,16.426895
2015-08-26,16.50,16.50,16.50,16.50,300,16.230164
2015-08-25,16.77,16.77,16.16,16.200001,4200,15.935071
2015-08-24,16.77,16.77,16.77,16.77,000,16.495749
2015-08-21,16.77,16.77,16.77,16.77,100,16.495749
2015-08-20,16.780001,16.780001,16.780001,16.780001,000,16.505586
2015-08-19,16.66,16.780001,16.66,16.780001,1900,16.505586
2015-08-18,16.33,16.50,16.33,16.50,200,16.230164
2015-08-17,16.57,16.60,16.559999,16.60,2200,16.32853
2015-08-14,16.42,16.42,16.42,16.42,000,16.151473
2015-08-13,16.42,16.42,16.42,16.42,000,16.151473
2015-08-12,16.32,16.42,16.23,16.42,2600,16.151473
2015-08-11,16.549999,16.549999,16.459999,16.459999,500,16.121962
2015-08-10,16.309999,16.379999,16.309999,16.379999,400,16.043605
2015-08-07,16.26,16.26,16.26,16.26,000,15.92607
2015-08-06,16.32,16.32,16.26,16.26,1200,15.92607
2015-08-05,16.58,16.58,16.58,16.58,200,16.239498
2015-08-04,16.57,16.57,16.57,16.57,200,16.229703
2015-08-03,16.50,16.50,16.219999,16.40,3800,16.063194
2015-07-31,16.67,16.67,16.129999,16.129999,4200,15.798739
2015-07-30,16.41,16.41,16.41,16.41,000,16.072989
2015-07-29,16.41,16.41,16.41,16.41,000,16.072989
2015-07-28,16.50,16.50,16.41,16.41,1600,16.072989
2015-07-27,16.469999,16.469999,16.42,16.42,700,16.082784
2015-07-24,16.90,16.90,16.129999,16.690001,15700,16.34724
2015-07-23,17.50,17.50,17.50,17.50,000,17.140604
2015-07-22,16.90,17.50,16.90,17.50,6000,17.140604
2015-07-21,17.030001,17.049999,17.030001,17.049999,3900,16.699845
2015-07-20,16.870001,16.870001,16.870001,16.870001,1300,16.523543
2015-07-17,17.049999,17.049999,17.049999,17.049999,000,16.699845
2015-07-16,17.049999,17.049999,17.049999,17.049999,000,16.699845
2015-07-15,17.049999,17.049999,17.049999,17.049999,000,16.699845
2015-07-14,17.049999,17.049999,17.049999,17.049999,200,16.699845
2015-07-13,16.85,17.299999,16.85,17.299999,3300,16.944711
2015-07-10,16.860001,16.860001,16.860001,16.860001,200,16.445187
2015-07-09,16.780001,16.780001,16.780001,16.780001,300,16.367155
2015-07-08,16.870001,16.870001,16.870001,16.870001,100,16.454941
2015-07-07,16.92,16.950001,16.889999,16.90,2600,16.484202
2015-07-06,16.57,16.57,16.57,16.57,600,16.162321
2015-07-02,16.91,16.92,16.870001,16.870001,1600,16.454941
2015-07-01,16.799999,16.84,16.799999,16.84,3900,16.425678
2015-06-30,16.67,16.74,16.65,16.74,2900,16.328138
2015-06-29,16.940001,16.940001,16.940001,16.940001,100,16.523218
2015-06-26,17.559999,17.60,16.530001,16.940001,6300,16.523218
2015-06-25,18.09,18.09,18.09,18.09,1000,17.644924
2015-06-24,17.65,18.219999,17.26,18.10,12900,17.654678
2015-06-23,17.690001,17.690001,17.24,17.450001,1300,17.020671
2015-06-22,17.92,17.92,17.27,17.450001,1200,17.020671
2015-06-19,17.450001,17.450001,17.450001,17.450001,000,17.020671
2015-06-18,17.450001,17.450001,17.450001,17.450001,100,17.020671
2015-06-17,17.450001,17.469999,17.440001,17.450001,2300,17.020671
2015-06-16,17.33,17.50,17.030001,17.50,1800,17.06944
2015-06-15,16.799999,17.219999,16.66,17.08,13900,16.659773
2015-06-12,16.700001,16.719999,16.700001,16.719999,500,16.30863
2015-06-11,16.530001,16.700001,16.530001,16.700001,1300,16.289124
2015-06-10,16.790001,16.790001,16.790001,16.790001,000,16.308631
2015-06-09,16.790001,16.809999,16.790001,16.790001,3000,16.308631
2015-06-08,16.870001,16.870001,16.870001,16.870001,1000,16.386338
2015-06-05,16.950001,16.950001,16.950001,16.950001,2000,16.464044
2015-06-04,16.940001,16.940001,16.92,16.92,3400,16.434903
2015-06-03,16.83,16.83,16.83,16.83,000,16.347484
2015-06-02,16.83,16.83,16.83,16.83,700,16.347484
2015-06-01,17.00,17.120001,16.77,16.77,2900,16.289204
2015-05-29,16.959999,17.01,16.85,17.00,6600,16.51261
2015-05-28,17.40,17.40,16.870001,16.879999,2800,16.396049
2015-05-27,17.42,17.42,17.42,17.42,100,16.920568
2015-05-26,17.309999,17.309999,17.309999,17.309999,000,16.813722
2015-05-22,17.50,17.50,17.309999,17.309999,5300,16.813722
2015-05-21,17.540001,17.540001,17.540001,17.540001,000,17.037129
2015-05-20,17.540001,17.540001,17.540001,17.540001,000,17.037129
2015-05-19,17.540001,17.540001,17.540001,17.540001,000,17.037129
2015-05-18,17.559999,17.559999,17.540001,17.540001,400,17.037129
2015-05-15,17.940001,17.940001,17.530001,17.90,4400,17.386806
2015-05-14,17.66,17.66,17.66,17.66,300,17.153687
2015-05-13,17.50,17.50,17.309999,17.309999,1300,16.813722
2015-05-12,17.440001,17.50,17.379999,17.50,2500,16.930282
2015-05-11,17.469999,17.469999,17.469999,17.469999,000,16.901258
2015-05-08,17.469999,17.469999,17.469999,17.469999,600,16.901258
2015-05-07,17.60,17.60,17.60,17.60,500,17.027026
2015-05-06,17.93,17.93,17.549999,17.549999,1700,16.978653
2015-05-05,17.60,17.85,17.60,17.799999,7600,17.220514
2015-05-04,17.40,17.40,17.379999,17.379999,8300,16.814187
2015-05-01,17.459999,17.459999,17.459999,17.459999,100,16.891583
2015-04-30,17.379999,17.68,17.379999,17.67,4200,17.094747
2015-04-29,17.82,17.82,17.82,17.82,200,17.239864
2015-04-28,18.00,18.00,17.41,17.66,8000,17.085073
2015-04-27,17.969999,17.969999,17.66,17.66,1100,17.085073
2015-04-24,18.00,18.00,17.629999,18.00,2600,17.414004
2015-04-23,18.00,18.00,18.00,18.00,100,17.414004
2015-04-22,18.299999,18.299999,18.049999,18.10,4400,17.510749
