Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,16.09,16.25,16.09,16.190001,146900,15.632088
2015-10-08,15.90,16.219999,15.83,16.219999,183500,15.661053
2015-10-07,15.87,15.97,15.82,15.86,246600,15.313459
2015-10-06,15.85,15.90,15.81,15.87,101900,15.323115
2015-10-05,15.76,15.90,15.74,15.82,105200,15.274838
2015-10-02,15.56,15.75,15.53,15.70,100600,15.158973
2015-10-01,15.67,15.75,15.58,15.62,120900,15.08173
2015-09-30,15.78,15.85,15.57,15.71,326100,15.168629
2015-09-29,15.87,16.00,15.73,15.73,112300,15.187939
2015-09-28,16.040001,16.040001,15.88,15.92,140000,15.371392
2015-09-25,16.049999,16.10,16.02,16.07,64700,15.516223
2015-09-24,15.98,16.049999,15.98,16.00,68300,15.448635
2015-09-23,16.07,16.10,16.02,16.040001,116000,15.487258
2015-09-22,15.99,16.139999,15.96,16.139999,97300,15.58381
2015-09-21,16.030001,16.120001,16.00,16.07,48000,15.516223
2015-09-18,15.89,16.030001,15.89,16.030001,74300,15.477602
2015-09-17,15.86,16.00,15.85,15.97,143900,15.419669
2015-09-16,15.86,15.93,15.86,15.90,47900,15.352081
2015-09-15,15.87,15.92,15.84,15.84,85300,15.294149
2015-09-14,15.92,15.98,15.86,15.89,47600,15.342426
2015-09-11,15.96,15.97,15.85,15.95,46100,15.400358
2015-09-10,16.030001,16.139999,16.030001,16.059999,98800,15.393599
2015-09-09,16.120001,16.120001,15.97,16.030001,87300,15.364845
2015-09-08,16.18,16.18,16.10,16.10,64300,15.43194
2015-09-04,16.040001,16.23,16.00,16.15,82200,15.479865
2015-09-03,16.00,16.110001,16.00,16.110001,48700,15.441525
2015-09-02,15.90,16.040001,15.89,15.99,92400,15.326504
2015-09-01,15.84,15.97,15.80,15.87,92500,15.211483
2015-08-31,16.120001,16.139999,15.88,15.88,123000,15.221069
2015-08-28,16.01,16.290001,16.00,16.110001,184300,15.441525
2015-08-27,16.10,16.17,16.01,16.01,124400,15.345674
2015-08-26,16.049999,16.17,15.94,16.040001,198600,15.37443
2015-08-25,15.91,16.059999,15.80,16.00,162400,15.336089
2015-08-24,16.02,16.129999,15.76,15.76,204800,15.106048
2015-08-21,16.02,16.129999,15.90,16.049999,133500,15.384014
2015-08-20,16.15,16.18,16.040001,16.07,107200,15.403184
2015-08-19,16.280001,16.280001,16.139999,16.200001,92700,15.527791
2015-08-18,16.24,16.33,16.190001,16.290001,81200,15.614057
2015-08-17,16.33,16.360001,16.26,16.290001,89200,15.614057
2015-08-14,16.33,16.41,16.33,16.389999,46500,15.709906
2015-08-13,16.450001,16.450001,16.33,16.33,51200,15.652396
2015-08-12,16.459999,16.469999,16.389999,16.42,62100,15.738662
2015-08-11,16.530001,16.620001,16.51,16.620001,75600,15.818218
2015-08-10,16.49,16.58,16.469999,16.58,75000,15.780147
2015-08-07,16.469999,16.530001,16.42,16.459999,97200,15.665935
2015-08-06,16.52,16.549999,16.42,16.52,121900,15.723042
2015-08-05,16.549999,16.68,16.49,16.559999,115600,15.761111
2015-08-04,16.49,16.58,16.469999,16.540001,64900,15.742078
2015-08-03,16.450001,16.540001,16.440001,16.49,90300,15.694489
2015-07-31,16.450001,16.50,16.41,16.48,107600,15.684971
2015-07-30,16.48,16.540001,16.450001,16.450001,71300,15.656419
2015-07-29,16.389999,16.530001,16.379999,16.450001,78800,15.656419
2015-07-28,16.450001,16.50,16.389999,16.42,130000,15.627866
2015-07-27,16.379999,16.49,16.360001,16.42,134700,15.627866
2015-07-24,16.540001,16.540001,16.360001,16.450001,109900,15.656419
2015-07-23,16.50,16.629999,16.379999,16.50,188300,15.704006
2015-07-22,16.73,16.75,16.49,16.51,158600,15.713524
2015-07-21,16.66,16.77,16.66,16.77,84300,15.960982
2015-07-20,16.780001,16.799999,16.629999,16.690001,67000,15.884841
2015-07-17,16.82,16.889999,16.76,16.809999,56200,15.999051
2015-07-16,16.83,16.870001,16.799999,16.809999,87800,15.999051
2015-07-15,16.75,16.860001,16.75,16.83,102400,16.018087
2015-07-14,16.809999,16.90,16.75,16.790001,110000,15.980017
2015-07-13,16.780001,16.889999,16.77,16.84,103600,16.027604
2015-07-10,16.92,16.93,16.799999,16.93,66800,16.001907
2015-07-09,16.860001,16.92,16.85,16.85,87600,15.926292
2015-07-08,16.719999,16.85,16.700001,16.85,153800,15.926292
2015-07-07,16.709999,16.83,16.67,16.809999,148500,15.888484
2015-07-06,16.559999,16.709999,16.559999,16.700001,83000,15.784516
2015-07-02,16.610001,16.690001,16.60,16.610001,97400,15.699449
2015-07-01,16.68,16.76,16.57,16.57,80700,15.661641
2015-06-30,16.57,16.790001,16.48,16.58,253700,15.671093
2015-06-29,16.49,16.57,16.450001,16.48,178800,15.576575
2015-06-26,16.709999,16.73,16.60,16.60,126800,15.689997
2015-06-25,16.879999,16.879999,16.74,16.75,92200,15.831774
2015-06-24,16.879999,16.90,16.780001,16.83,115300,15.907388
2015-06-23,16.85,16.92,16.83,16.860001,97000,15.935744
2015-06-22,16.940001,16.99,16.799999,16.85,123200,15.926292
2015-06-19,16.889999,16.959999,16.84,16.93,87600,16.001907
2015-06-18,16.93,16.98,16.85,16.870001,134900,15.945196
2015-06-17,17.040001,17.049999,16.92,16.92,85100,15.992455
2015-06-16,17.059999,17.07,16.940001,17.040001,124400,16.105877
2015-06-15,16.940001,17.08,16.940001,17.040001,121600,16.105877
2015-06-12,16.879999,17.01,16.85,17.00,99200,16.068069
2015-06-11,16.860001,16.99,16.860001,16.91,108000,15.983003
2015-06-10,17.120001,17.120001,16.90,16.98,131100,15.938579
2015-06-09,17.08,17.129999,17.059999,17.09,47200,16.041833
2015-06-08,17.129999,17.139999,17.10,17.10,73800,16.05122
2015-06-05,17.15,17.18,17.02,17.17,113900,16.116927
2015-06-04,17.18,17.18,17.08,17.16,91200,16.10754
2015-06-03,17.23,17.26,17.17,17.18,52800,16.126314
