Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.94,14.96,14.94,14.96,3500,14.861056
2015-10-08,14.93,14.96,14.87,14.90,8900,14.801452
2015-10-07,14.85,14.94,14.83,14.93,9600,14.831255
2015-10-06,14.86,14.95,14.86,14.88,6400,14.781585
2015-10-05,14.86,14.88,14.85,14.86,8200,14.761717
2015-10-02,14.81,14.90,14.81,14.88,4400,14.781585
2015-10-01,14.84,14.84,14.80,14.80,4000,14.702114
2015-09-30,14.82,14.83,14.80,14.81,4300,14.712048
2015-09-29,14.80,14.82,14.77,14.82,6800,14.721982
2015-09-28,14.81,14.81,14.80,14.80,2600,14.702114
2015-09-25,14.78,14.82,14.78,14.80,7700,14.702114
2015-09-24,14.82,14.83,14.80,14.80,4300,14.702114
2015-09-23,14.84,14.84,14.77,14.77,22800,14.672313
2015-09-22,14.83,14.98,14.81,14.81,21200,14.712048
2015-09-21,14.83,14.85,14.80,14.80,8700,14.702114
2015-09-18,14.86,14.86,14.77,14.77,10700,14.672313
2015-09-17,14.88,14.88,14.81,14.81,6800,14.712048
2015-09-16,14.84,14.90,14.83,14.84,8700,14.74185
2015-09-15,15.00,15.01,14.81,14.81,85900,14.712048
2015-09-14,14.88,14.99,14.88,14.99,4000,14.890857
2015-09-11,14.90,14.92,14.90,14.90,2100,14.801452
2015-09-10,14.90,14.93,14.90,14.90,3400,14.773638
2015-09-09,14.97,14.97,14.87,14.91,6700,14.783553
2015-09-08,15.03,15.04,15.01,15.04,900,14.912451
2015-09-04,15.02,15.02,14.98,15.00,6300,14.87279
2015-09-03,14.93,15.15,14.87,15.10,23300,14.971942
2015-09-02,14.89,14.89,14.82,14.89,3700,14.763723
2015-09-01,14.80,14.88,14.78,14.80,17500,14.674486
2015-08-31,14.80,14.86,14.80,14.86,6400,14.733977
2015-08-28,14.87,14.94,14.79,14.79,6500,14.664571
2015-08-27,14.95,14.97,14.85,14.89,32800,14.763723
2015-08-26,14.91,14.92,14.81,14.87,14600,14.743892
2015-08-25,14.86,14.92,14.84,14.92,2000,14.793469
2015-08-24,14.88,14.91,14.87,14.89,7500,14.763723
2015-08-21,14.88,14.91,14.87,14.90,6100,14.773638
2015-08-20,14.92,14.97,14.84,14.95,51700,14.823214
2015-08-19,14.94,14.95,14.89,14.90,8000,14.773638
