Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,37.330002,37.459999,36.439999,36.580002,473400,36.580002
2015-10-08,36.669998,37.34,36.299999,37.290001,568300,37.290001
2015-10-07,35.900002,36.580002,35.75,36.57,924900,36.57
2015-10-06,35.93,36.00,35.48,35.75,457300,35.75
2015-10-05,35.299999,36.00,35.09,35.970001,605600,35.970001
2015-10-02,34.939999,35.25,34.049999,35.060001,953100,35.060001
2015-10-01,35.580002,35.959999,35.310001,35.939999,584000,35.939999
2015-09-30,35.419998,35.779999,35.25,35.75,681100,35.75
2015-09-29,35.25,35.720001,34.869999,35.029999,557200,35.029999
2015-09-28,36.029999,36.049999,35.209999,35.25,755600,35.040001
2015-09-25,36.529999,36.720001,36.049999,36.23,526500,36.014162
2015-09-24,35.689999,36.040001,35.099998,36.009998,620400,35.795471
2015-09-23,35.610001,36.029999,35.060001,35.98,653400,35.765651
2015-09-22,35.169998,35.580002,35.119999,35.48,616800,35.26863
2015-09-21,35.299999,35.98,35.240002,35.700001,785700,35.487321
2015-09-18,35.419998,35.529999,34.889999,35.02,1452700,34.811371
2015-09-17,36.830002,37.290001,35.84,36.00,785600,35.785533
2015-09-16,36.84,36.959999,36.439999,36.889999,798300,36.67023
2015-09-15,36.610001,37.099998,36.389999,36.900002,714300,36.680173
2015-09-14,36.669998,36.889999,36.369999,36.450001,674700,36.232853
2015-09-11,36.27,36.740002,35.93,36.709999,1119000,36.491302
2015-09-10,35.220001,35.990002,35.110001,35.950001,566900,35.735831
2015-09-09,35.990002,36.099998,35.220001,35.290001,923500,35.079763
2015-09-08,35.049999,35.779999,35.049999,35.720001,535500,35.507202
2015-09-04,34.540001,34.950001,34.540001,34.799999,443600,34.592681
2015-09-03,34.790001,35.23,34.529999,35.009998,751300,34.801429
2015-09-02,34.509998,34.68,33.759998,34.68,732200,34.473397
2015-09-01,34.98,35.09,33.919998,34.07,764100,33.86703
2015-08-31,35.220001,35.720001,35.16,35.639999,677100,35.427677
2015-08-28,35.049999,35.549999,35.049999,35.389999,562900,35.179166
2015-08-27,34.810001,35.299999,34.580002,35.240002,1372800,35.030062
2015-08-26,33.720001,34.330002,33.07,34.32,1493300,34.115541
2015-08-25,34.869999,34.869999,33.23,33.41,1368000,33.210962
2015-08-24,34.169998,35.360001,33.799999,34.080002,1123100,33.876973
2015-08-21,36.080002,36.360001,35.59,35.880001,1387100,35.666249
2015-08-20,37.009998,37.189999,36.580002,36.610001,1402800,36.391899
2015-08-19,37.689999,37.790001,37.32,37.419998,1014700,37.197071
2015-08-18,37.619999,37.919998,37.439999,37.849998,545400,37.62451
2015-08-17,37.43,37.849998,37.049999,37.669998,659100,37.445582
2015-08-14,37.009998,37.580002,36.900002,37.529999,744900,37.306417
2015-08-13,36.52,37.07,36.25,37.029999,684000,36.809395
2015-08-12,36.709999,36.75,35.610001,36.50,998500,36.282554
2015-08-11,37.18,37.450001,36.740002,37.00,458400,36.779575
2015-08-10,37.18,37.599998,36.990002,37.540001,689600,37.316359
2015-08-07,36.619999,37.119999,36.57,36.919998,1344300,36.70005
2015-08-06,36.799999,36.880001,36.220001,36.490002,849600,36.272615
2015-08-05,36.529999,37.02,36.389999,36.75,586600,36.531065
2015-08-04,36.34,36.84,36.279999,36.369999,617600,36.153327
2015-08-03,36.389999,36.630001,36.009998,36.25,554900,36.034043
2015-07-31,36.34,36.610001,36.099998,36.52,1152400,36.302435
2015-07-30,35.93,36.41,35.860001,36.259998,567200,36.043982
2015-07-29,35.799999,36.110001,35.540001,36.080002,429800,35.865058
2015-07-28,35.82,35.880001,35.50,35.73,653000,35.517141
2015-07-27,36.080002,36.23,35.560001,35.75,867000,35.537022
2015-07-24,36.389999,36.619999,36.16,36.23,1145000,36.014162
2015-07-23,36.52,37.150002,36.150002,36.34,955500,36.123507
2015-07-22,36.709999,37.009998,36.50,36.869999,554700,36.650349
2015-07-21,36.66,37.32,36.549999,36.639999,407700,36.421719
2015-07-20,36.43,36.740002,36.25,36.669998,629200,36.451539
2015-07-17,36.93,37.009998,36.119999,36.349998,543300,36.133446
2015-07-16,36.939999,37.16,36.549999,36.970001,994200,36.749755
2015-07-15,36.93,37.110001,36.66,36.709999,659600,36.491302
2015-07-14,36.459999,36.91,36.360001,36.84,818800,36.620529
2015-07-13,36.509998,36.810001,36.41,36.57,479800,36.352137
2015-07-10,36.369999,36.50,36.110001,36.380001,449300,36.16327
2015-07-09,36.099998,36.16,35.599998,35.869999,873400,35.656306
2015-07-08,35.73,35.82,35.419998,35.59,590000,35.377975
2015-07-07,36.02,36.169998,35.299999,36.040001,1055100,35.825295
2015-07-06,35.689999,36.139999,35.52,36.029999,1220300,35.815353
2015-07-02,36.540001,36.73,35.990002,36.139999,1232900,35.924698
2015-07-01,36.189999,36.830002,36.189999,36.709999,1522500,36.491302
2015-06-30,36.130001,36.279999,35.82,35.93,951400,35.71595
2015-06-29,36.009998,36.169998,35.57,35.77,1439500,35.556903
2015-06-26,36.529999,36.950001,36.290001,36.68,1048900,36.252732
2015-06-25,36.240002,36.50,36.049999,36.450001,766800,36.025412
2015-06-24,36.099998,36.400002,35.939999,36.060001,869400,35.639955
2015-06-23,35.889999,36.240002,35.77,36.169998,800500,35.748671
2015-06-22,35.650002,35.869999,35.52,35.849998,664500,35.432398
2015-06-19,35.610001,35.68,35.41,35.43,781300,35.017293
2015-06-18,35.509998,35.790001,35.220001,35.66,423500,35.244613
2015-06-17,36.189999,36.200001,35.290001,35.43,730300,35.017293
2015-06-16,35.73,36.259998,35.700001,36.02,1191600,35.60042
2015-06-15,35.630001,35.830002,35.48,35.650002,593500,35.234731
2015-06-12,35.869999,36.00,35.73,35.889999,565700,35.471933
2015-06-11,35.959999,36.080002,35.709999,35.990002,777100,35.570771
2015-06-10,35.580002,36.490002,35.540001,36.00,907400,35.580653
2015-06-09,35.00,35.669998,34.849998,35.41,634700,34.997525
2015-06-08,34.950001,35.310001,34.880001,34.91,717400,34.503349
2015-06-05,34.310001,34.93,34.279999,34.900002,897100,34.493468
