Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.23,14.68,14.04,14.65,435800,14.65
2015-10-08,15.56,15.56,14.124,14.26,692300,14.26
2015-10-07,14.56,15.62,14.07,15.45,315700,15.45
2015-10-06,15.81,15.97,14.30,14.49,405300,14.49
2015-10-05,15.64,16.43,15.64,15.89,307300,15.89
2015-10-02,14.80,15.59,14.36,15.40,314300,15.40
2015-10-01,14.60,15.09,14.21,15.04,312500,15.04
2015-09-30,14.54,14.98,14.00,14.53,298300,14.53
2015-09-29,15.35,15.46,13.66,14.05,523400,14.05
2015-09-28,16.309999,16.370001,15.04,15.39,390000,15.39
2015-09-25,17.799999,18.27,16.34,16.58,347300,16.58
2015-09-24,17.00,17.790001,16.870001,17.68,240700,17.68
2015-09-23,17.450001,17.73,16.82,17.200001,198500,17.200001
2015-09-22,18.42,18.42,17.10,17.360001,322500,17.360001
2015-09-21,19.50,19.969999,18.16,18.66,380300,18.66
2015-09-18,18.73,19.48,18.58,19.34,497500,19.34
2015-09-17,18.709999,19.190001,18.16,19.030001,233100,19.030001
2015-09-16,19.67,19.969999,18.440001,18.67,284800,18.67
2015-09-15,19.08,19.799999,18.75,19.77,381000,19.77
2015-09-14,17.35,19.00,17.110001,18.83,503300,18.83
2015-09-11,19.00,19.25,16.695999,17.049999,1297900,17.049999
2015-09-10,16.59,17.66,16.51,17.530001,327500,17.530001
2015-09-09,17.00,17.190001,16.35,16.690001,364100,16.690001
2015-09-08,16.25,17.10,16.049999,16.92,319000,16.92
2015-09-04,15.67,16.15,15.617,16.120001,141500,16.120001
2015-09-03,16.809999,16.969999,15.56,15.89,220800,15.89
2015-09-02,16.700001,16.93,16.219999,16.889999,143700,16.889999
2015-09-01,16.65,17.18,16.360001,16.48,136600,16.48
2015-08-31,17.17,17.440001,16.700001,17.059999,302500,17.059999
2015-08-28,17.23,17.58,17.00,17.34,286700,17.34
2015-08-27,16.77,17.620001,16.451,17.33,237700,17.33
2015-08-26,16.68,16.83,15.39,16.68,281600,16.68
2015-08-25,17.200001,17.290001,16.16,16.280001,275300,16.280001
2015-08-24,16.27,16.67,15.05,16.51,432800,16.51
2015-08-21,17.00,18.00,15.79,17.459999,1087900,17.459999
2015-08-20,18.40,18.52,17.389999,17.459999,199100,17.459999
2015-08-19,18.60,19.16,18.07,18.450001,268700,18.450001
2015-08-18,18.93,19.209999,18.190001,18.629999,272800,18.629999
2015-08-17,18.620001,19.120001,18.33,19.059999,347400,19.059999
2015-08-14,17.629999,18.799999,16.67,18.48,342700,18.48
2015-08-13,18.27,19.00,17.75,17.83,282300,17.83
2015-08-12,17.879999,18.309999,17.16,18.129999,157400,18.129999
2015-08-11,18.629999,18.969999,17.690001,18.10,229000,18.10
2015-08-10,18.190001,19.00,17.950001,18.75,284100,18.75
2015-08-07,19.799999,19.799999,17.49,18.049999,431200,18.049999
2015-08-06,20.35,20.42,19.120001,19.799999,357900,19.799999
2015-08-05,20.440001,20.49,20.10,20.24,202400,20.24
2015-08-04,20.200001,20.23,19.49,20.15,142800,20.15
2015-08-03,20.389999,20.90,19.874001,20.09,296800,20.09
2015-07-31,20.02,20.389999,19.93,20.35,322400,20.35
2015-07-30,19.889999,20.08,19.030001,20.00,198000,20.00
2015-07-29,20.02,20.285,19.35,19.870001,247700,19.870001
2015-07-28,19.23,20.50,19.23,20.07,567700,20.07
2015-07-27,18.49,19.280001,17.459999,18.98,394200,18.98
2015-07-24,19.32,19.98,18.540001,18.68,316600,18.68
2015-07-23,19.18,19.25,18.719999,18.790001,265200,18.790001
2015-07-22,19.280001,19.530001,18.90,19.110001,176000,19.110001
2015-07-21,19.860001,20.00,19.205,19.459999,146700,19.459999
2015-07-20,19.280001,20.139999,19.200001,19.959999,302400,19.959999
2015-07-17,19.209999,19.42,18.65,19.190001,346200,19.190001
2015-07-16,19.49,19.780001,19.00,19.110001,265100,19.110001
2015-07-15,19.90,20.389999,19.190001,19.32,260200,19.32
2015-07-14,20.219999,20.700001,19.809999,19.99,253000,19.99
2015-07-13,19.639999,20.50,19.639999,20.25,480300,20.25
2015-07-10,18.799999,19.82,18.530001,19.58,200700,19.58
2015-07-09,19.469999,19.50,18.518999,18.84,211700,18.84
2015-07-08,19.48,19.549999,18.90,19.18,202900,19.18
2015-07-07,20.139999,20.440001,19.27,19.59,265400,19.59
2015-07-06,20.40,20.68,20.00,20.24,321600,20.24
2015-07-02,20.73,21.10,20.309999,20.799999,175900,20.799999
2015-07-01,21.309999,21.709999,20.26,20.82,306000,20.82
2015-06-30,21.50,21.690001,20.43,21.27,466100,21.27
2015-06-29,21.10,21.10,20.200001,20.25,293100,20.25
2015-06-26,21.33,21.58,21.01,21.389999,530700,21.389999
2015-06-25,22.389999,22.60,21.110001,21.35,497000,21.35
2015-06-24,22.67,22.799999,22.32,22.41,243100,22.41
2015-06-23,22.959999,22.959999,22.309999,22.67,289600,22.67
2015-06-22,23.09,23.50,22.719999,22.860001,223200,22.860001
2015-06-19,23.32,23.66,22.75,22.91,329700,22.91
2015-06-18,22.75,23.60,22.74,23.200001,414800,23.200001
2015-06-17,22.59,23.280001,22.32,22.629999,473400,22.629999
2015-06-16,24.700001,24.700001,22.51,22.59,1014200,22.59
2015-06-15,25.110001,25.440001,24.299999,24.99,245400,24.99
2015-06-12,26.33,26.34,25.120001,25.219999,202200,25.219999
2015-06-11,26.610001,26.639999,25.76,26.49,126300,26.49
2015-06-10,27.799999,28.17,26.09,26.60,229400,26.60
2015-06-09,28.07,28.16,26.799999,27.66,221600,27.66
2015-06-08,28.66,29.33,27.01,28.16,382700,28.16
2015-06-05,25.719999,28.92,25.530001,28.879999,578500,28.879999
2015-06-04,25.969999,26.25,25.32,25.66,166800,25.66
2015-06-03,24.969999,25.93,24.40,25.82,352100,25.82
2015-06-02,24.389999,26.709999,24.02,24.889999,546200,24.889999
2015-06-01,25.09,25.440001,24.15,24.41,216500,24.41
2015-05-29,25.02,25.18,24.32,24.74,242400,24.74
2015-05-28,24.610001,25.190001,24.07,25.07,247900,25.07
2015-05-27,23.950001,24.75,23.51,24.610001,126500,24.610001
2015-05-26,24.209999,24.309999,23.549999,23.93,151700,23.93
2015-05-22,23.790001,24.48,23.58,24.41,131000,24.41
2015-05-21,23.559999,24.00,23.110001,23.860001,254900,23.860001
2015-05-20,23.48,23.836,23.02,23.440001,169500,23.440001
2015-05-19,22.15,23.469999,22.059999,23.379999,311900,23.379999
2015-05-18,23.190001,23.48,22.040001,22.18,389500,22.18
2015-05-15,24.25,24.91,22.65,23.02,298800,23.02
2015-05-14,25.52,25.73,24.290001,24.389999,260700,24.389999
2015-05-13,24.200001,25.48,24.200001,25.40,324400,25.40
2015-05-12,24.66,24.66,23.719999,24.459999,252200,24.459999
2015-05-11,24.65,25.49,24.60,24.959999,155700,24.959999
2015-05-08,23.700001,24.85,23.469999,24.59,171400,24.59
2015-05-07,23.43,23.860001,23.10,23.469999,115400,23.469999
2015-05-06,22.719999,23.540001,22.57,23.360001,311300,23.360001
2015-05-05,22.90,23.084999,22.26,22.540001,342700,22.540001
2015-05-04,23.049999,23.60,22.52,23.09,293400,23.09
2015-05-01,24.209999,24.290001,22.700001,23.08,388900,23.08
2015-04-30,24.76,25.93,23.219999,23.98,443200,23.98
2015-04-29,24.93,25.559999,24.50,24.940001,193400,24.940001
2015-04-28,26.360001,26.76,24.379999,25.10,445500,25.10
2015-04-27,27.879999,28.285,25.780001,26.389999,423100,26.389999
2015-04-24,28.23,28.790001,27.66,27.879999,212300,27.879999
2015-04-23,28.60,28.950001,27.60,28.34,264500,28.34
2015-04-22,26.08,28.639999,25.25,28.549999,385600,28.549999
2015-04-21,26.780001,26.950001,25.59,25.959999,416400,25.959999
2015-04-20,26.290001,27.52,24.90,26.549999,610500,26.549999
2015-04-17,25.58,26.25,24.74,25.82,174800,25.82
2015-04-16,25.68,26.34,25.549999,25.950001,216000,25.950001
2015-04-15,26.01,26.40,25.51,25.709999,155100,25.709999
2015-04-14,26.33,26.41,25.309999,25.85,241500,25.85
2015-04-13,24.90,26.65,24.90,26.209999,444000,26.209999
2015-04-10,24.360001,25.200001,23.93,24.879999,235200,24.879999
2015-04-09,24.610001,24.790001,23.26,24.200001,203700,24.200001
2015-04-08,23.620001,24.780001,23.32,24.52,355200,24.52
2015-04-07,23.67,24.00,23.299999,23.549999,266200,23.549999
2015-04-06,23.09,23.610001,23.09,23.610001,177600,23.610001
2015-04-02,23.129999,23.549999,22.690001,23.15,105300,23.15
2015-04-01,23.280001,23.655001,21.969999,23.059999,331900,23.059999
2015-03-31,22.559999,24.35,22.48,23.17,1511900,23.17
2015-03-30,22.969999,23.181,21.639999,22.65,288500,22.65
2015-03-27,22.27,23.049999,22.084999,22.459999,301300,22.459999
2015-03-26,22.809999,23.40,22.030001,22.190001,446400,22.190001
2015-03-25,24.049999,24.10,22.50,23.200001,405400,23.200001
2015-03-24,23.690001,24.139999,23.049999,24.030001,446500,24.030001
2015-03-23,24.75,25.00,23.02,23.610001,723800,23.610001
2015-03-20,26.00,26.90,24.66,25.190001,1071600,25.190001
2015-03-19,24.24,27.25,24.24,25.90,1007700,25.90
2015-03-18,24.799999,24.98,23.530001,24.42,206600,24.42
2015-03-17,25.00,25.559999,24.059999,24.940001,328200,24.940001
2015-03-16,23.280001,25.60,22.99,24.75,440300,24.75
2015-03-13,23.34,23.879999,22.15,22.83,226700,22.83
2015-03-12,22.959999,24.49,22.549999,23.52,240200,23.52
2015-03-11,24.60,24.846001,23.110001,23.360001,328200,23.360001
2015-03-10,24.799999,25.00,23.809999,24.59,331500,24.59
2015-03-09,24.190001,25.00,23.900999,24.35,211900,24.35
2015-03-06,24.450001,24.690001,23.450001,24.48,215400,24.48
2015-03-05,25.00,25.346001,23.309999,24.35,493900,24.35
2015-03-04,23.459999,24.469999,22.93,24.32,249900,24.32
2015-03-03,22.700001,23.49,22.700001,23.40,128100,23.40
2015-03-02,23.469999,23.596001,22.02,22.540001,207000,22.540001
2015-02-27,22.940001,23.879999,22.940001,23.219999,111200,23.219999
2015-02-26,23.84,24.125999,22.92,23.049999,192400,23.049999
2015-02-25,23.440001,24.549999,23.049999,23.73,339200,23.73
2015-02-24,21.85,24.10,21.549999,23.469999,434800,23.469999
2015-02-23,22.00,24.41,21.49,21.82,814700,21.82
2015-02-20,22.32,22.50,20.518,21.059999,328700,21.059999
2015-02-19,21.15,22.879999,21.15,22.34,540100,22.34
2015-02-18,20.27,22.00,20.27,21.049999,488000,21.049999
2015-02-17,20.01,20.629999,19.73,20.18,266400,20.18
2015-02-13,20.85,21.17,19.92,20.00,324900,20.00
2015-02-12,21.309999,21.709999,20.799999,20.809999,102200,20.809999
2015-02-11,21.15,22.00,20.42,21.18,514800,21.18
