Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.65,14.79,14.65,14.79,125500,14.377905
2015-10-08,14.32,14.69,14.32,14.67,164800,14.261249
2015-10-07,14.25,14.39,14.25,14.36,102800,13.959886
2015-10-06,14.24,14.30,14.16,14.25,159500,13.852951
2015-10-05,14.24,14.29,14.22,14.25,109600,13.852951
2015-10-02,14.26,14.26,14.05,14.24,216500,13.843229
2015-10-01,14.37,14.38,14.30,14.32,60000,13.921
2015-09-30,14.32,14.44,14.30,14.44,142600,14.037657
2015-09-29,14.36,14.44,14.30,14.34,127900,13.940444
2015-09-28,14.39,14.42,14.31,14.34,135300,13.940444
2015-09-25,14.51,14.56,14.39,14.43,185600,14.027936
2015-09-24,14.45,14.53,14.40,14.48,83300,14.076542
2015-09-23,14.53,14.59,14.38,14.57,172500,14.164035
2015-09-22,14.47,14.51,14.43,14.49,69200,14.086264
2015-09-21,14.49,14.60,14.47,14.58,121300,14.173756
2015-09-18,14.43,14.51,14.43,14.50,54900,14.095985
2015-09-17,14.42,14.52,14.38,14.49,79800,14.086264
2015-09-16,14.40,14.45,14.38,14.42,47000,14.018214
2015-09-15,14.40,14.47,14.40,14.40,57300,13.998771
2015-09-14,14.49,14.54,14.40,14.42,55700,14.018214
2015-09-11,14.54,14.55,14.49,14.50,35300,14.095985
2015-09-10,14.52,14.64,14.50,14.64,99000,14.134871
2015-09-09,14.58,14.63,14.48,14.50,74400,13.999701
2015-09-08,14.59,14.60,14.49,14.58,132000,14.07694
2015-09-04,14.53,14.60,14.53,14.58,106100,14.07694
2015-09-03,14.64,14.67,14.57,14.58,78400,14.07694
2015-09-02,14.56,14.69,14.54,14.69,108600,14.183145
2015-09-01,14.46,14.58,14.44,14.54,75500,14.038321
2015-08-31,14.67,14.68,14.57,14.60,83300,14.096251
2015-08-28,14.48,14.72,14.48,14.72,72800,14.21211
2015-08-27,14.47,14.66,14.45,14.56,81900,14.057631
2015-08-26,14.42,14.44,14.31,14.42,115400,13.922461
2015-08-25,14.36,14.54,14.28,14.37,188100,13.874186
2015-08-24,14.40,14.40,13.65,14.27,233000,13.777637
2015-08-21,14.76,14.83,14.55,14.57,185300,14.067285
2015-08-20,14.76,14.80,14.74,14.76,82500,14.25073
2015-08-19,14.80,14.81,14.76,14.80,69700,14.28935
2015-08-18,14.79,14.82,14.75,14.80,99000,14.28935
2015-08-17,14.86,14.89,14.79,14.82,99500,14.308659
2015-08-14,14.80,14.87,14.80,14.87,50900,14.356934
2015-08-13,14.77,14.87,14.72,14.83,88300,14.318314
