Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,23.459999,23.469999,23.40,23.40,14476300,23.40
2015-10-08,23.43,23.50,23.40,23.450001,58554300,23.450001
2015-10-07,21.49,21.639999,21.379999,21.59,1306500,21.59
2015-10-06,21.24,21.459999,21.16,21.40,1687800,21.40
2015-10-05,21.00,21.299999,20.959999,21.23,1813500,21.23
2015-10-02,20.200001,21.02,20.10,21.00,2228800,21.00
2015-10-01,19.940001,20.290001,19.889999,20.24,2243200,20.24
2015-09-30,19.92,20.040001,19.83,19.98,2832300,19.98
2015-09-29,20.040001,20.200001,19.60,19.780001,3634700,19.780001
2015-09-28,20.610001,20.67,19.799999,20.07,3271700,20.07
2015-09-25,21.040001,21.27,20.90,20.90,3053700,20.639999
2015-09-24,21.540001,21.700001,20.99,21.02,4436200,20.758507
2015-09-23,21.299999,22.02,21.040001,21.540001,10639400,21.272039
2015-09-22,19.559999,19.66,19.18,19.18,1498400,18.941397
2015-09-21,19.700001,19.950001,19.68,19.74,1436100,19.49443
2015-09-18,19.50,19.90,19.48,19.67,2241400,19.425301
2015-09-17,19.469999,19.99,19.33,19.690001,1372500,19.445053
2015-09-16,19.290001,19.50,19.24,19.43,960400,19.188287
2015-09-15,18.99,19.379999,18.940001,19.26,992000,19.020402
2015-09-14,19.32,19.35,18.950001,19.00,1674700,18.763636
2015-09-11,18.49,18.92,18.41,18.91,1196200,18.674756
2015-09-10,18.290001,18.690001,18.209999,18.49,1711200,18.25998
2015-09-09,18.540001,18.58,18.23,18.24,1726500,18.01309
2015-09-08,18.370001,18.42,18.17,18.360001,1356200,18.131598
2015-09-04,18.24,18.25,17.950001,18.110001,1390400,17.884708
2015-09-03,18.57,18.620001,18.35,18.40,1049000,18.1711
2015-09-02,18.370001,18.50,18.23,18.48,1611200,18.250105
2015-09-01,18.09,18.290001,17.940001,18.110001,2774900,17.884708
2015-08-31,18.93,18.940001,18.459999,18.50,2748400,18.269856
2015-08-28,19.030001,19.049999,18.76,18.940001,1604500,18.704383
2015-08-27,18.959999,19.18,18.73,19.00,2906400,18.763636
