Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,20.85,20.879999,20.700001,20.879999,6400,20.456719
2015-10-08,20.85,20.85,20.85,20.85,000,20.427329
2015-10-07,20.67,20.90,18.83,20.85,23900,20.427329
2015-10-06,20.76,20.84,20.50,20.84,6000,20.417531
2015-10-05,20.530001,20.99,20.530001,20.74,1400,20.319558
2015-10-02,20.440001,20.77,20.280001,20.700001,13200,20.28037
2015-10-01,20.25,20.49,20.25,20.26,3400,19.849289
2015-09-30,19.879999,20.450001,19.719999,20.34,7700,19.927667
2015-09-29,20.65,20.879999,19.860001,19.879999,8900,19.476991
2015-09-28,20.35,20.620001,20.139999,20.139999,9400,19.731721
2015-09-25,20.030001,20.68,19.959999,20.18,2800,19.770911
2015-09-24,19.85,20.49,19.85,20.24,8600,19.829694
2015-09-23,20.10,20.290001,20.10,20.24,7000,19.829694
2015-09-22,19.950001,20.27,19.950001,20.27,5400,19.859087
2015-09-21,20.25,20.450001,20.25,20.299999,2400,19.888477
2015-09-18,19.77,20.49,19.77,20.209999,7300,19.800302
2015-09-17,19.76,20.01,19.76,20.01,2800,19.604357
2015-09-16,19.950001,20.00,19.870001,19.950001,3400,19.545574
2015-09-15,20.10,20.10,20.00,20.10,5800,19.692533
2015-09-14,20.00,20.049999,20.00,20.049999,2300,19.643545
2015-09-11,20.00,20.00,20.00,20.00,000,19.59456
2015-09-10,19.76,20.00,19.76,20.00,4200,19.457397
2015-09-09,19.90,20.059999,19.90,19.959999,6900,19.418482
2015-09-08,19.700001,19.90,19.700001,19.90,1700,19.36011
2015-09-04,19.90,19.90,19.90,19.90,000,19.36011
2015-09-03,19.940001,19.959999,19.620001,19.90,22200,19.36011
2015-09-02,19.49,20.00,19.49,19.860001,19700,19.321196
2015-09-01,19.25,19.59,19.24,19.59,6600,19.058521
2015-08-31,19.549999,19.549999,19.219999,19.50,9200,18.970963
2015-08-28,19.469999,19.99,19.469999,19.60,5600,19.06825
2015-08-27,19.709999,19.709999,19.360001,19.360001,20900,18.834761
2015-08-26,19.84,19.99,19.68,19.709999,1400,19.175264
2015-08-25,19.83,20.18,19.58,19.809999,13900,19.272552
2015-08-24,19.700001,20.25,19.559999,19.809999,15600,19.272552
2015-08-21,20.00,20.00,19.84,20.00,2000,19.457397
2015-08-20,20.32,20.60,19.780001,20.24,18600,19.690886
2015-08-19,20.33,20.40,20.25,20.25,3600,19.700615
2015-08-18,20.049999,20.440001,20.049999,20.25,4500,19.700615
2015-08-17,20.219999,20.33,19.66,20.25,6400,19.700615
2015-08-14,20.26,20.27,20.25,20.26,4300,19.710344
2015-08-13,20.559999,20.59,20.16,20.50,3300,19.943832
2015-08-12,20.18,20.59,20.16,20.59,3500,20.031391
2015-08-11,20.25,20.549999,20.25,20.540001,1100,19.846546
2015-08-10,20.629999,20.90,20.200001,20.50,11700,19.807895
2015-08-07,20.18,20.99,20.15,20.74,10200,20.039792
2015-08-06,19.780001,20.139999,19.75,20.139999,3600,19.460049
2015-08-05,20.07,20.219999,19.74,19.76,4400,19.092879
2015-08-04,19.90,20.32,19.90,20.139999,23700,19.460049
2015-08-03,19.620001,20.33,19.620001,19.75,7800,19.083216
2015-07-31,20.50,20.629999,19.32,19.32,14800,18.667733
2015-07-30,20.610001,20.65,20.450001,20.450001,5600,19.759584
2015-07-29,20.57,20.700001,20.450001,20.530001,12600,19.836883
2015-07-28,20.68,20.68,20.370001,20.50,6700,19.807895
2015-07-27,20.290001,20.629999,20.290001,20.629999,4900,19.933506
2015-07-24,19.92,20.639999,19.92,20.379999,5200,19.691946
2015-07-23,19.84,19.85,19.41,19.60,23700,18.938281
2015-07-22,19.40,19.889999,19.24,19.65,15800,18.986592
2015-07-21,19.50,19.73,19.35,19.40,4100,18.745032
2015-07-20,20.00,20.00,19.24,19.26,9300,18.609759
2015-07-17,20.00,20.00,19.860001,20.00,1700,19.324776
2015-07-16,20.200001,20.200001,20.00,20.00,6600,19.324776
2015-07-15,20.209999,20.309999,20.10,20.299999,11100,19.614647
2015-07-14,20.23,20.34,20.15,20.34,1300,19.653297
2015-07-13,20.190001,20.35,20.02,20.299999,8800,19.614647
2015-07-10,20.120001,20.209999,20.09,20.190001,11000,19.373089
2015-07-09,20.129999,20.24,19.91,20.24,5400,19.421065
2015-07-08,20.00,20.24,19.73,20.10,5500,19.286731
2015-07-07,20.360001,20.379999,20.00,20.00,4800,19.190776
2015-07-06,19.76,20.24,19.719999,20.00,9800,19.190776
2015-07-02,19.75,20.23,19.75,19.84,10300,19.03725
2015-07-01,19.469999,20.059999,19.450001,19.76,71400,18.960487
2015-06-30,19.57,19.75,19.450001,19.469999,20600,18.68222
2015-06-29,20.99,21.51,19.07,20.43,103800,19.603378
2015-06-26,22.129999,22.129999,21.799999,21.940001,6400,21.052282
2015-06-25,21.870001,22.00,21.870001,21.99,2500,21.100258
2015-06-24,22.07,22.07,21.85,21.969999,1900,21.081067
2015-06-23,22.00,22.00,21.799999,21.969999,2900,21.081067
2015-06-22,22.25,22.25,21.98,22.02,2600,21.129045
