Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,11.06,11.09,11.05,11.09,11400,10.917716
2015-10-08,11.04,11.07,11.02,11.06,33500,10.888183
2015-10-07,11.11,11.11,11.00,11.03,35500,10.858648
2015-10-06,11.07,11.11,11.04,11.05,44800,10.878338
2015-10-05,11.04,11.06,11.00,11.03,11600,10.858648
2015-10-02,11.05,11.08,11.01,11.04,32500,10.868493
2015-10-01,11.02,11.06,11.00,11.04,34500,10.868493
2015-09-30,11.04,11.04,11.00,11.01,40100,10.838959
2015-09-29,11.05,11.05,10.99,11.04,30800,10.868493
2015-09-28,11.07,11.11,10.98,10.99,32400,10.81927
2015-09-25,11.08,11.10,11.04,11.08,17200,10.907871
2015-09-24,11.10,11.15,11.08,11.08,27100,10.907871
2015-09-23,11.08,11.13,11.08,11.13,12100,10.957095
2015-09-22,11.04,11.11,11.01,11.11,12800,10.937405
2015-09-21,11.08,11.08,10.99,11.01,15800,10.838959
2015-09-18,10.99,11.10,10.99,11.03,43300,10.858648
2015-09-17,11.02,11.08,11.00,11.05,20900,10.878338
2015-09-16,10.90,11.01,10.89,11.01,48700,10.838959
2015-09-15,10.96,10.97,10.88,10.89,11000,10.720824
2015-09-14,11.03,11.03,10.93,10.93,10800,10.760202
2015-09-11,11.03,11.06,10.97,10.97,20700,10.799581
2015-09-10,11.13,11.16,11.09,11.09,11700,10.860617
2015-09-09,11.14,11.16,11.12,11.13,10900,10.89979
2015-09-08,11.10,11.22,11.10,11.14,41600,10.909583
2015-09-04,10.99,11.11,10.96,11.10,36500,10.870411
2015-09-03,10.98,10.99,10.96,10.99,22900,10.762685
2015-09-02,10.98,10.98,10.91,10.92,19900,10.694133
2015-09-01,11.00,11.01,10.93,10.93,20500,10.703927
2015-08-31,11.00,11.00,10.93,10.94,23900,10.713719
2015-08-28,10.91,10.99,10.91,10.97,29600,10.743099
2015-08-27,10.93,10.96,10.86,10.94,21800,10.713719
2015-08-26,10.98,10.98,10.86,10.90,65700,10.674547
2015-08-25,11.01,11.01,10.91,10.94,23800,10.713719
2015-08-24,11.00,11.03,10.91,10.99,52400,10.762685
2015-08-21,11.08,11.10,11.02,11.02,19000,10.792065
2015-08-20,11.06,11.11,11.03,11.05,18000,10.821445
2015-08-19,11.10,11.10,11.07,11.08,10800,10.850824
2015-08-18,11.18,11.18,11.09,11.10,18800,10.870411
