Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,115.50,115.830002,115.059998,115.330002,164500,115.330002
2015-10-08,114.059998,115.489998,114.059998,115.309998,199700,115.309998
2015-10-07,113.889999,114.639999,113.699997,114.32,220200,114.32
2015-10-06,112.279999,112.889999,112.019997,112.599998,231700,112.599998
2015-10-05,111.599998,112.339996,111.370003,112.220001,230300,112.220001
2015-10-02,109.220001,112.169998,109.07,112.169998,253100,112.169998
2015-10-01,109.790001,109.959999,108.279999,109.199997,250800,109.199997
2015-09-30,110.18,110.470001,109.510002,110.080002,312400,110.080002
2015-09-29,107.110001,107.330002,106.529999,107.199997,179600,107.199997
2015-09-28,109.110001,109.110001,107.139999,107.300003,286800,107.300003
2015-09-25,109.809998,110.230003,109.00,109.360001,435500,109.360001
2015-09-24,108.209999,108.949997,107.57,108.599998,719700,108.599998
2015-09-23,107.599998,107.669998,106.809998,107.330002,167800,107.330002
2015-09-22,107.610001,107.629997,106.32,107.290001,284400,107.290001
2015-09-21,111.150002,111.290001,110.00,110.150002,208500,110.150002
2015-09-18,111.099998,111.510002,110.239998,110.529999,271400,110.529999
2015-09-17,111.360001,112.440002,110.669998,110.959999,296000,110.959999
2015-09-16,110.440002,111.099998,109.910004,110.470001,438600,110.470001
2015-09-15,105.919998,107.269997,105.730003,107.129997,207300,107.129997
2015-09-14,105.75,105.879997,105.339996,105.720001,147300,105.720001
2015-09-11,105.889999,106.010002,105.300003,105.93,108900,105.93
2015-09-10,105.720001,106.779999,105.440002,106.209999,497200,106.209999
2015-09-09,106.75,106.870003,105.080002,105.18,421500,105.18
2015-09-08,105.599998,105.720001,104.739998,105.529999,352100,105.529999
2015-09-04,103.410004,103.599998,102.440002,102.830002,146800,102.830002
2015-09-03,104.809998,105.650002,104.370003,105.239998,449100,105.239998
2015-09-02,104.400002,104.50,103.370003,104.449997,277200,104.449997
2015-09-01,103.870003,104.400002,102.75,103.199997,321200,103.199997
2015-08-31,106.269997,107.18,105.639999,105.980003,249700,105.980003
2015-08-28,105.900002,107.220001,105.550003,107.220001,407700,107.220001
2015-08-27,106.610001,107.870003,106.209999,107.07,1066200,107.07
2015-08-26,107.650002,107.650002,105.050003,106.550003,573800,106.550003
2015-08-25,107.529999,108.059998,104.169998,104.169998,653800,104.169998
2015-08-24,103.559998,107.449997,102.139999,104.760002,546500,104.760002
