Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.44,14.72,14.44,14.72,4200,14.555019
2015-10-08,14.58,14.60,14.51,14.60,1900,14.436364
2015-10-07,14.82,14.82,14.47,14.47,2300,14.307821
2015-10-06,14.70,14.71,14.68,14.71,2700,14.545131
2015-10-05,14.59,14.59,14.59,14.59,100,14.426476
2015-10-02,14.49,14.49,14.49,14.49,000,14.327597
2015-10-01,14.39,14.49,14.39,14.49,1400,14.327597
2015-09-30,14.29,14.38,14.25,14.38,8300,14.21883
2015-09-29,14.31,14.31,14.31,14.31,200,14.149615
2015-09-28,14.33,14.36,14.32,14.33,2100,14.16939
2015-09-25,14.46,14.46,14.46,14.46,000,14.297933
2015-09-24,14.34,14.46,14.34,14.46,2700,14.297933
2015-09-23,14.41,14.41,14.38,14.38,3300,14.21883
2015-09-22,14.59,14.59,14.54,14.54,400,14.377037
2015-09-21,14.38,14.38,14.38,14.38,200,14.21883
2015-09-18,14.38,14.38,14.38,14.38,000,14.21883
2015-09-17,14.38,14.38,14.38,14.38,000,14.21883
2015-09-16,14.39,14.39,14.38,14.38,1900,14.21883
2015-09-15,14.38,14.40,14.38,14.40,700,14.238605
2015-09-14,14.38,14.38,14.38,14.38,000,14.21883
2015-09-11,14.39,14.39,14.38,14.38,3400,14.21883
2015-09-10,14.50,14.50,14.50,14.50,000,14.283101
2015-09-09,14.57,14.70,14.50,14.50,600,14.283101
2015-09-08,14.76,14.76,14.47,14.47,1200,14.25355
2015-09-04,14.69,14.69,14.69,14.69,000,14.470258
2015-09-03,14.66,14.69,14.66,14.69,400,14.470258
2015-09-02,14.63,14.63,14.58,14.58,400,14.361904
2015-09-01,14.67,14.67,14.45,14.55,2200,14.332353
2015-08-31,14.55,14.55,14.55,14.55,000,14.332353
2015-08-28,14.55,14.55,14.55,14.55,600,14.332353
2015-08-27,14.44,14.44,14.44,14.44,000,14.223998
2015-08-26,14.46,14.50,14.44,14.44,5100,14.223998
2015-08-25,14.71,14.71,14.45,14.49,5000,14.27325
2015-08-24,14.45,14.76,14.45,14.76,6700,14.539212
2015-08-21,14.60,14.60,14.47,14.47,1900,14.25355
2015-08-20,14.44,14.50,14.44,14.50,1600,14.283101
2015-08-19,14.53,14.53,14.53,14.53,000,14.312652
2015-08-18,14.53,14.53,14.53,14.53,000,14.312652
2015-08-17,14.53,14.53,14.53,14.53,000,14.312652
2015-08-14,14.59,14.59,14.53,14.53,700,14.312652
2015-08-13,14.66,14.69,14.66,14.69,1300,14.470258
2015-08-12,14.70,14.70,14.69,14.70,700,14.480109
2015-08-11,14.76,14.76,14.76,14.76,300,14.485035
2015-08-10,14.74,14.74,14.74,14.74,100,14.465407
2015-08-07,14.48,14.48,14.48,14.48,400,14.210251
2015-08-06,14.71,14.71,14.48,14.70,4500,14.426152
2015-08-05,14.61,14.61,14.61,14.61,100,14.337829
2015-08-04,14.61,14.61,14.55,14.55,1500,14.278947
2015-08-03,14.59,14.59,14.53,14.53,700,14.259319
2015-07-31,14.48,14.48,14.48,14.48,000,14.210251
2015-07-30,14.49,14.51,14.48,14.48,6800,14.210251
2015-07-29,14.70,14.70,14.70,14.70,200,14.426152
2015-07-28,14.59,14.59,14.59,14.59,200,14.318202
2015-07-27,14.67,14.67,14.48,14.50,4500,14.229878
2015-07-24,14.70,14.70,14.70,14.70,700,14.426152
2015-07-23,14.56,14.56,14.55,14.55,300,14.278947
2015-07-22,14.48,14.74,14.48,14.74,1000,14.465407
2015-07-21,14.58,14.60,14.55,14.60,4800,14.328016
2015-07-20,14.48,14.48,14.48,14.48,2000,14.210251
2015-07-17,14.58,14.58,14.55,14.55,500,14.278947
2015-07-16,14.63,14.63,14.63,14.63,000,14.357457
2015-07-15,14.68,14.68,14.63,14.63,700,14.357457
2015-07-14,14.48,14.48,14.48,14.48,3000,14.210251
2015-07-13,14.60,14.60,14.48,14.55,2800,14.278947
2015-07-10,14.55,14.55,14.55,14.55,2500,14.224971
2015-07-09,14.75,14.75,14.75,14.75,100,14.420503
2015-07-08,14.75,14.75,14.75,14.75,000,14.420503
2015-07-07,14.83,15.10,14.72,14.75,3100,14.420503
2015-07-06,14.64,14.64,14.64,14.64,000,14.312961
2015-07-02,14.69,14.69,14.64,14.64,300,14.312961
2015-07-01,14.72,14.72,14.72,14.72,300,14.391174
2015-06-30,14.61,14.64,14.61,14.64,2800,14.312961
2015-06-29,14.54,14.54,14.54,14.54,600,14.215195
2015-06-26,14.58,14.74,14.58,14.70,1400,14.37162
2015-06-25,14.88,14.88,14.54,14.54,4900,14.215195
2015-06-24,14.65,14.65,14.65,14.65,000,14.322737
2015-06-23,14.78,14.78,14.55,14.65,2600,14.322737
2015-06-22,14.66,14.75,14.66,14.75,2300,14.420503
2015-06-19,14.56,14.83,14.56,14.60,6400,14.273855
2015-06-18,14.62,14.62,14.54,14.61,9400,14.283631
2015-06-17,14.68,14.69,14.60,14.62,2900,14.293407
2015-06-16,14.86,14.86,14.86,14.86,000,14.528046
2015-06-15,14.86,14.86,14.86,14.86,000,14.528046
2015-06-12,14.85,14.87,14.64,14.86,1100,14.528046
2015-06-11,14.57,14.78,14.55,14.78,2000,14.449833
