Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.053,4.053,4.053,4.053,000,4.053
2015-10-08,4.086,4.086,4.086,4.086,000,4.086
2015-10-07,4.047,4.047,4.047,4.047,000,4.047
2015-10-06,4.021,4.179,4.021,4.179,1000,4.179
2015-10-05,3.964,3.964,3.964,3.964,000,3.964
2015-10-02,3.983,3.983,3.983,3.983,000,3.983
2015-10-01,3.867,3.867,3.867,3.867,000,3.867
2015-09-30,3.838,3.838,3.838,3.838,000,3.838
2015-09-29,3.822,3.822,3.822,3.822,000,3.822
2015-09-28,3.937,3.937,3.937,3.937,000,3.937
2015-09-25,3.87,3.87,3.87,3.87,000,3.87
2015-09-24,3.885,3.885,3.885,3.885,000,3.885
2015-09-23,3.893,3.893,3.893,3.893,000,3.893
2015-09-22,3.98,3.98,3.98,3.98,000,3.98
2015-09-21,4.074,4.074,4.074,4.074,000,4.074
2015-09-18,3.972,3.972,3.972,3.972,000,3.972
2015-09-17,4.013,4.013,4.013,4.013,000,4.013
2015-09-16,4.016,4.016,4.016,4.016,000,4.016
2015-09-15,3.933,3.933,3.933,3.933,000,3.933
2015-09-14,3.841,3.841,3.841,3.841,000,3.841
2015-09-11,3.945,3.945,3.945,3.945,000,3.945
2015-09-10,4.127,4.127,4.127,4.127,000,4.127
2015-09-09,4.132,4.132,4.132,4.132,000,4.132
2015-09-08,4.116,4.116,4.116,4.116,000,4.116
2015-09-07,4.143,4.143,4.143,4.143,000,4.143
2015-09-04,4.097,4.097,4.097,4.097,000,4.097
2015-09-03,4.089,4.089,4.089,4.089,000,4.089
2015-09-02,4.043,4.043,4.043,4.043,000,4.043
2015-09-01,3.921,3.921,3.921,3.921,000,3.921
2015-08-31,3.935,3.935,3.935,3.935,000,3.935
2015-08-28,4.135,4.135,4.135,4.135,000,4.135
2015-08-27,4.065,4.065,4.065,4.065,000,4.065
2015-08-26,3.998,3.998,3.998,3.998,000,3.998
2015-08-25,3.945,3.945,3.945,3.945,000,3.945
2015-08-24,4.09,4.09,4.09,4.09,000,4.09
2015-08-21,4.203,4.203,4.203,4.203,000,4.203
2015-08-20,4.28,4.28,4.28,4.28,000,4.28
2015-08-19,4.338,4.338,4.338,4.338,000,4.338
2015-08-18,4.364,4.364,4.364,4.364,000,4.364
2015-08-17,4.194,4.194,4.194,4.194,000,4.194
2015-08-14,3.896,3.896,3.896,3.896,000,3.896
2015-08-13,3.948,3.948,3.948,3.948,000,3.948
2015-08-12,4.045,4.045,4.045,4.045,000,4.045
2015-08-11,4.134,4.134,4.134,4.134,000,4.134
2015-08-10,4.178,4.178,4.178,4.178,000,4.178
2015-08-07,4.194,4.194,4.194,4.194,000,4.194
2015-08-06,4.203,4.203,4.203,4.203,000,4.203
2015-08-05,4.27,4.27,4.27,4.27,000,4.27
2015-08-04,4.312,4.312,4.312,4.312,000,4.312
2015-08-03,4.093,4.093,4.093,4.093,000,4.093
2015-07-31,4.095,4.095,4.095,4.095,000,4.095
2015-07-30,4.373,4.373,4.373,4.373,000,4.373
2015-07-29,4.266,4.266,4.266,4.266,000,4.266
2015-07-28,4.035,4.035,4.035,4.035,000,4.035
2015-07-27,4.249,4.249,4.249,4.249,000,4.249
2015-07-24,4.354,4.354,4.354,4.354,000,4.354
2015-07-23,4.233,4.233,4.233,4.233,000,4.233
2015-07-22,4.227,4.227,4.227,4.227,000,4.227
2015-07-21,4.193,4.193,4.193,4.193,000,4.193
2015-07-20,4.263,4.263,4.263,4.263,000,4.263
2015-07-17,4.276,4.276,4.276,4.276,000,4.276
2015-07-16,4.283,4.283,4.283,4.283,000,4.283
