Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,7.58,7.71,7.58,7.65,66000,6.811282
2015-10-08,7.75,7.75,7.55,7.61,56400,6.775667
2015-10-07,7.35,7.52,7.34,7.50,121000,6.677727
2015-10-06,7.23,7.35,7.21,7.30,77200,6.499655
2015-10-05,7.15,7.40,7.15,7.28,76600,6.481847
2015-10-02,7.16,7.28,6.96,7.16,143700,6.375003
2015-10-01,7.13,7.47,7.13,7.26,112000,6.46404
2015-09-30,7.16,7.19,7.01,7.13,64300,6.348293
2015-09-29,7.25,7.36,7.07,7.09,64700,6.312678
2015-09-28,7.60,7.60,7.27,7.28,54500,6.481847
2015-09-25,7.62,7.67,7.43,7.66,79600,6.820185
2015-09-24,7.56,7.56,7.36,7.51,62200,6.686631
2015-09-23,7.59,7.64,7.40,7.56,153600,6.731149
2015-09-22,8.01,8.14,7.53,7.56,108400,6.731149
2015-09-21,7.99,8.46,7.99,8.12,124700,7.229753
2015-09-18,7.75,8.06,7.71,7.97,429800,7.096198
2015-09-17,7.71,7.90,7.71,7.82,55700,6.962644
2015-09-16,7.69,7.83,7.66,7.75,63600,6.900318
2015-09-15,7.67,7.87,7.53,7.71,80700,6.864704
2015-09-14,7.79,7.79,7.41,7.62,90900,6.784571
2015-09-11,7.86,7.86,7.65,7.74,45000,6.891414
2015-09-10,7.97,8.06,7.81,7.84,91700,6.980451
2015-09-09,8.01,8.01,7.91,7.95,120100,7.078391
2015-09-08,7.99,8.02,7.83,7.99,125400,7.114005
2015-09-04,7.90,8.06,7.83,7.87,50700,7.007162
2015-09-03,7.94,8.13,7.92,8.02,135800,7.140717
2015-09-02,8.22,8.22,7.78,7.94,155000,7.069487
2015-09-01,8.03,8.18,7.91,8.08,355600,7.194138
2015-08-31,8.05,8.21,8.00,8.16,95400,7.265367
2015-08-28,7.80,8.01,7.71,8.00,98100,7.122909
2015-08-27,7.84,7.91,7.79,7.86,109600,6.998258
2015-08-26,7.76,7.86,7.50,7.79,201700,6.935933
2015-08-25,8.09,8.09,7.62,7.71,183800,6.864704
2015-08-24,7.66,7.96,7.52,7.80,182600,6.944837
2015-08-21,8.04,8.16,7.98,8.04,125900,7.158524
2015-08-20,8.26,8.26,7.99,8.10,132100,7.211946
2015-08-19,8.18,8.26,8.04,8.22,128200,7.318789
2015-08-18,8.59,8.59,8.20,8.25,372100,7.3455
2015-08-17,8.78,8.80,8.68,8.77,100600,7.808489
2015-08-14,8.81,8.87,8.71,8.74,46100,7.781778
2015-08-13,8.71,8.83,8.58,8.75,47300,7.790682
2015-08-12,8.81,8.84,8.52,8.65,107600,7.701645
2015-08-11,9.17,9.19,8.83,8.84,99100,7.870815
2015-08-10,9.28,9.36,9.08,9.19,88900,8.182441
2015-08-07,9.20,9.32,9.12,9.15,94900,8.146827
2015-08-06,9.68,9.68,9.16,9.21,194100,8.200249
2015-08-05,9.44,9.56,9.35,9.54,113700,8.494069
2015-08-04,9.35,9.44,9.22,9.36,109100,8.333803
2015-08-03,9.63,9.63,9.25,9.35,118500,8.3249
2015-07-31,9.69,9.75,9.47,9.66,98800,8.600913
2015-07-30,9.51,9.71,9.21,9.66,110000,8.600913
2015-07-29,9.36,9.50,9.21,9.32,122900,8.298189
2015-07-28,9.26,9.61,9.06,9.31,130100,8.289286
2015-07-27,9.21,9.28,9.11,9.22,109500,8.209153
2015-07-24,9.27,9.31,9.18,9.23,92300,8.218056
2015-07-23,9.31,9.31,9.18,9.24,105500,8.22696
2015-07-22,9.21,9.30,9.15,9.27,84200,8.253671
2015-07-21,9.27,9.38,9.20,9.21,63600,8.200249
2015-07-20,9.45,9.54,9.25,9.28,94100,8.262574
2015-07-17,9.55,9.62,9.44,9.49,139400,8.449551
2015-07-16,9.64,9.65,9.55,9.60,49000,8.547491
2015-07-15,9.69,9.69,9.46,9.61,65300,8.556394
2015-07-14,9.59,9.73,9.57,9.69,100300,8.627623
2015-07-13,9.65,9.69,9.55,9.61,59100,8.556394
2015-07-10,9.48,9.66,9.48,9.58,60300,8.529684
2015-07-09,9.34,9.48,9.33,9.39,94900,8.360515
2015-07-08,9.48,9.52,9.16,9.24,103400,8.22696
2015-07-07,9.49,9.57,9.31,9.51,128300,8.467358
2015-07-06,9.49,9.66,9.37,9.46,139700,8.42284
2015-07-02,10.20,10.31,9.53,9.57,248100,8.52078
2015-07-01,10.26,10.31,10.09,10.23,155200,9.10842
2015-06-30,10.11,10.48,10.09,10.13,262500,9.019384
2015-06-29,9.90,10.21,9.77,10.05,294400,8.948155
2015-06-26,9.68,10.03,9.68,10.02,575900,8.921444
2015-06-25,9.69,9.69,9.45,9.66,165200,8.600913
2015-06-24,9.89,9.92,9.56,9.63,99900,8.574202
2015-06-23,10.04,10.04,9.78,9.85,85800,8.770082
