Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,6.63,6.64,6.54,6.61,170000,6.563516
2015-10-08,6.49,6.64,6.49,6.61,293800,6.563516
2015-10-07,6.35,6.52,6.31,6.51,311200,6.46422
2015-10-06,6.45,6.47,6.32,6.34,1638400,6.295415
2015-10-05,6.34,6.47,6.29,6.45,505500,6.404641
2015-10-02,6.25,6.32,6.16,6.32,367500,6.275556
2015-10-01,6.21,6.30,6.19,6.28,508000,6.235837
2015-09-30,6.33,6.36,6.20,6.21,359800,6.166329
2015-09-29,6.18,6.29,6.14,6.27,257000,6.225907
2015-09-28,6.23,6.32,6.13,6.16,309400,6.116681
2015-09-25,6.25,6.31,6.18,6.27,750600,6.225907
2015-09-24,6.21,6.26,6.15,6.24,347300,6.196118
2015-09-23,6.21,6.28,6.19,6.23,458900,6.186189
2015-09-22,6.18,6.24,6.12,6.18,287000,6.13654
2015-09-21,6.23,6.26,6.21,6.24,173900,6.196118
2015-09-18,6.23,6.35,6.15,6.17,793600,6.126611
2015-09-17,6.29,6.42,6.24,6.31,671500,6.265626
2015-09-16,6.21,6.34,6.19,6.29,361900,6.245767
2015-09-15,6.09,6.27,6.04,6.21,562900,6.166329
2015-09-14,6.02,6.11,6.00,6.09,263000,6.047173
2015-09-11,5.90,6.03,5.87,6.02,195700,5.977665
2015-09-10,5.88,5.97,5.86,5.91,300800,5.868439
2015-09-09,5.98,6.00,5.89,5.90,303700,5.858509
2015-09-08,5.98,6.00,5.91,5.95,312000,5.908157
2015-09-04,5.95,6.02,5.84,5.90,356300,5.858509
2015-09-03,6.05,6.08,5.99,6.03,260800,5.987595
2015-09-02,6.12,6.15,6.00,6.02,301800,5.977665
2015-09-01,6.16,6.20,6.01,6.07,284400,6.027314
2015-08-31,6.34,6.38,6.22,6.26,495400,6.215978
2015-08-28,6.36,6.40,6.25,6.35,293500,6.305345
2015-08-27,6.33,6.43,6.25,6.37,411200,6.325204
2015-08-26,6.14,6.31,6.01,6.29,508700,6.245767
2015-08-25,6.38,6.39,6.01,6.01,398700,5.967736
2015-08-24,6.37,6.45,6.21,6.21,560400,6.166329
2015-08-21,6.73,6.88,6.64,6.72,430300,6.672743
2015-08-20,6.86,6.90,6.82,6.85,239400,6.801828
2015-08-19,6.91,6.98,6.85,6.90,204300,6.851477
2015-08-18,6.98,7.06,6.96,7.00,518500,6.950774
2015-08-17,6.93,7.00,6.91,7.00,294000,6.950774
2015-08-14,6.88,6.95,6.86,6.95,123200,6.901125
2015-08-13,6.86,6.92,6.77,6.91,274300,6.861406
2015-08-12,6.88,6.89,6.77,6.88,273700,6.831618
2015-08-11,6.85,6.93,6.83,6.88,210600,6.831618
2015-08-10,6.97,6.97,6.81,6.86,313600,6.811758
2015-08-07,6.07,6.97,5.75,6.96,480500,6.911055
2015-08-06,6.63,6.72,6.44,6.69,455100,6.642954
2015-08-05,6.74,6.74,6.65,6.70,302700,6.603235
2015-08-04,6.74,6.80,6.66,6.73,219200,6.632802
2015-08-03,6.69,6.76,6.69,6.72,164900,6.622946
2015-07-31,6.72,6.83,6.68,6.70,255100,6.603235
2015-07-30,6.69,6.72,6.67,6.68,174900,6.583524
