Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.75,10.85,10.75,10.77,5100,10.541239
2015-10-08,10.60,10.70,10.57,10.70,21700,10.472725
2015-10-07,10.55,10.72,10.55,10.62,30300,10.394425
2015-10-06,10.41,10.57,10.41,10.55,16300,10.325912
2015-10-05,10.44,10.46,10.38,10.39,84800,10.169311
2015-10-02,10.33,10.36,10.30,10.31,13300,10.09101
2015-10-01,10.33,10.50,10.33,10.34,39400,10.120372
2015-09-30,10.20,10.37,10.20,10.31,15900,10.09101
2015-09-29,10.21,10.21,9.98,10.19,32200,9.973558
2015-09-28,10.36,10.36,10.23,10.23,11000,10.012708
2015-09-25,10.38,10.51,10.38,10.48,17500,10.18497
2015-09-24,10.36,10.41,10.32,10.41,46600,10.116941
2015-09-23,10.47,10.48,10.37,10.41,12200,10.116941
2015-09-22,10.42,10.54,10.42,10.48,13000,10.18497
2015-09-21,10.58,10.62,10.53,10.59,6700,10.291874
2015-09-18,10.51,10.62,10.50,10.57,9700,10.272436
2015-09-17,10.63,10.65,10.62,10.62,5100,10.321029
2015-09-16,10.51,10.70,10.51,10.67,24000,10.369622
2015-09-15,10.51,10.59,10.51,10.55,9600,10.253
2015-09-14,10.58,10.60,10.51,10.56,4500,10.262719
2015-09-11,10.62,10.70,10.56,10.61,13600,10.31131
2015-09-10,10.59,10.69,10.59,10.62,10400,10.321029
2015-09-09,10.67,10.68,10.65,10.65,9600,10.350184
2015-09-08,10.62,10.70,10.61,10.66,22900,10.359903
2015-09-04,10.70,10.70,10.64,10.64,1200,10.340466
2015-09-03,10.64,10.77,10.64,10.73,15500,10.427932
2015-09-02,10.64,10.76,10.51,10.61,29100,10.31131
2015-09-01,10.94,10.96,10.66,10.66,57700,10.359903
2015-08-31,10.72,10.96,10.63,10.96,21200,10.651458
2015-08-28,10.41,10.79,10.40,10.75,54500,10.447369
2015-08-27,10.20,10.44,10.16,10.36,258600,10.068348
2015-08-26,10.26,10.31,10.17,10.20,30100,9.840936
2015-08-25,10.23,10.31,10.12,10.24,38400,9.879528
2015-08-24,10.10,10.35,9.23,10.23,66200,9.86988
2015-08-21,10.58,10.65,10.30,10.47,101100,10.101432
2015-08-20,10.60,10.65,10.50,10.60,25500,10.226856
2015-08-19,10.83,10.83,10.63,10.65,13100,10.275095
2015-08-18,10.77,10.85,10.73,10.81,19900,10.429463
2015-08-17,10.73,10.88,10.73,10.81,10000,10.429463
2015-08-14,10.83,11.06,10.82,10.84,39400,10.458407
2015-08-13,10.81,10.86,10.80,10.82,7300,10.439111
2015-08-12,10.99,11.04,10.85,10.86,18500,10.477702
2015-08-11,11.00,11.06,10.94,10.97,19300,10.583831
2015-08-10,10.82,11.09,10.82,11.03,51500,10.641718
2015-08-07,10.78,10.80,10.75,10.80,22100,10.419815
2015-08-06,10.87,10.87,10.78,10.80,31400,10.419815
2015-08-05,10.92,10.95,10.85,10.87,18100,10.487351
2015-08-04,10.86,11.04,10.80,10.83,25800,10.448759
2015-08-03,10.86,11.13,10.85,10.85,28500,10.468055
2015-07-31,11.14,11.14,10.91,11.04,19800,10.651366
2015-07-30,11.10,11.19,11.10,11.15,6700,10.757494
2015-07-29,11.12,11.19,11.11,11.19,20000,10.796086
2015-07-28,11.16,11.22,11.08,11.19,13200,10.72469
2015-07-27,11.21,11.21,10.84,11.07,183800,10.60968
2015-07-24,11.35,11.38,11.10,11.22,59800,10.753444
2015-07-23,11.45,11.47,11.33,11.44,16400,10.964295
2015-07-22,11.54,11.58,11.34,11.37,39200,10.897206
2015-07-21,11.50,11.59,11.50,11.57,19600,11.088889
2015-07-20,11.60,11.63,11.51,11.51,30100,11.031385
2015-07-17,11.59,11.68,11.58,11.64,6400,11.155979
2015-07-16,11.76,11.78,11.61,11.69,17900,11.203899
2015-07-15,11.78,11.80,11.64,11.72,39300,11.232652
2015-07-14,11.80,11.82,11.74,11.82,31200,11.328494
2015-07-13,11.81,11.90,11.61,11.83,26900,11.338078
2015-07-10,11.82,11.89,11.78,11.84,28000,11.347662
2015-07-09,11.57,11.82,11.57,11.76,40000,11.270989
2015-07-08,11.55,11.66,11.45,11.52,41400,11.040969
2015-07-07,11.79,11.80,11.30,11.59,67500,11.108058
2015-07-06,12.12,12.12,11.80,11.82,46500,11.328494
2015-07-02,11.94,12.30,11.94,12.16,60800,11.654356
2015-07-01,12.01,12.24,12.01,12.15,74600,11.644771
2015-06-30,11.75,11.95,11.69,11.91,16400,11.414751
2015-06-29,11.65,11.79,11.64,11.79,41600,11.299741
2015-06-26,11.85,11.88,11.80,11.84,54700,11.347662
2015-06-25,11.90,11.97,11.90,11.93,37000,11.335203
2015-06-24,11.94,12.00,11.94,11.99,8100,11.392211
2015-06-23,12.00,12.02,11.94,11.95,40300,11.354206
2015-06-22,12.05,12.05,11.94,12.02,25300,11.420716
2015-06-19,12.05,12.06,11.97,12.02,37300,11.420716
2015-06-18,12.08,12.15,12.04,12.07,12100,11.468223
2015-06-17,12.04,12.23,12.01,12.02,12800,11.420716
2015-06-16,12.04,12.06,11.99,11.99,20700,11.392211
2015-06-15,12.15,12.15,12.08,12.09,15500,11.487226
2015-06-12,12.16,12.20,12.11,12.13,11100,11.525232
2015-06-11,12.30,12.30,12.19,12.21,12000,11.601243
2015-06-10,12.18,12.30,12.12,12.27,138700,11.658252
2015-06-09,12.05,12.49,12.05,12.25,50400,11.639249
2015-06-08,12.04,12.10,12.04,12.07,9500,11.468223
2015-06-05,11.95,12.06,11.95,12.03,9900,11.430217
2015-06-04,12.14,12.24,11.90,12.07,22100,11.468223
2015-06-03,12.24,12.24,12.11,12.15,9100,11.544234
2015-06-02,12.13,12.22,12.13,12.22,21000,11.610745
2015-06-01,12.15,12.17,12.12,12.13,17100,11.525232
2015-05-29,11.98,12.10,11.98,12.10,21800,11.496728
2015-05-28,11.98,12.02,11.85,11.98,20200,11.38271
2015-05-27,12.20,12.20,11.84,12.00,45000,11.401713
2015-05-26,12.51,12.51,12.19,12.28,47500,11.569888
2015-05-22,12.45,12.55,12.45,12.47,9900,11.748901
2015-05-21,12.49,12.64,12.45,12.55,29500,11.824275
2015-05-20,12.45,12.79,12.43,12.49,32000,11.767744
2015-05-19,12.58,12.67,12.40,12.60,28100,11.871384
2015-05-18,12.61,12.79,12.55,12.67,40800,11.937336
2015-05-15,12.66,12.75,12.55,12.74,22300,12.003288
2015-05-14,12.60,12.79,12.60,12.70,25700,11.965601
2015-05-13,12.65,12.74,12.53,12.64,49000,11.909071
2015-05-12,12.39,12.55,12.39,12.52,11700,11.79601
2015-05-11,12.42,12.43,12.33,12.35,18600,11.635841
2015-05-08,12.36,12.46,12.36,12.45,9600,11.730057
2015-05-07,12.45,12.45,12.28,12.41,18900,11.692371
2015-05-06,12.35,12.63,12.35,12.54,38700,11.814853
2015-05-05,12.44,12.46,12.38,12.46,44200,11.739479
2015-05-04,12.28,12.36,12.26,12.28,19800,11.569888
2015-05-01,12.44,12.44,12.27,12.33,119800,11.616997
2015-04-30,12.14,12.40,12.08,12.40,33000,11.682949
2015-04-29,12.10,12.25,12.10,12.19,28100,11.485092
2015-04-28,12.15,12.17,12.11,12.13,37200,11.428562
2015-04-27,12.15,12.21,12.15,12.21,53200,11.406892
2015-04-24,12.12,12.16,12.10,12.16,61200,11.36018
2015-04-23,12.07,12.19,12.07,12.14,130900,11.341496
2015-04-22,12.12,12.20,12.03,12.07,39800,11.2761
2015-04-21,12.10,12.11,12.04,12.06,15000,11.266758
2015-04-20,12.10,12.18,12.04,12.12,34200,11.322812
2015-04-17,12.17,12.21,12.14,12.16,37000,11.36018
2015-04-16,12.13,12.21,12.05,12.20,41800,11.397549
2015-04-15,11.84,12.13,11.82,12.10,50500,11.304127
2015-04-14,11.80,11.95,11.80,11.91,38400,11.126624
2015-04-13,11.87,11.96,11.80,11.84,24200,11.061229
2015-04-10,11.81,11.96,11.81,11.91,66300,11.126624
2015-04-09,11.93,11.95,11.83,11.86,31000,11.079913
2015-04-08,12.13,12.13,11.93,11.98,35500,11.19202
2015-04-07,12.12,12.22,12.07,12.16,24900,11.36018
2015-04-06,12.06,12.13,11.90,12.13,49600,11.332154
2015-04-02,11.90,12.00,11.82,11.88,22600,11.098598
2015-04-01,11.80,11.95,11.80,11.87,31600,11.089255
2015-03-31,11.92,11.93,11.80,11.90,48200,11.117282
2015-03-30,11.76,11.97,11.76,11.95,60700,11.163993
2015-03-27,12.14,12.15,11.84,11.92,62300,11.135967
2015-03-26,12.11,12.45,12.11,12.24,62500,11.338693
2015-03-25,12.15,12.23,12.07,12.18,20300,11.283112
2015-03-24,12.04,12.12,12.00,12.10,31000,11.209003
2015-03-23,12.00,12.12,11.93,12.04,17800,11.15342
2015-03-20,11.79,12.03,11.79,12.00,29300,11.116366
2015-03-19,11.84,11.88,11.65,11.79,30700,10.921829
2015-03-18,11.52,11.89,11.52,11.88,40400,11.005202
2015-03-17,11.65,11.74,11.59,11.66,41700,10.801402
2015-03-16,11.76,11.84,11.66,11.75,74900,10.884775
2015-03-13,12.10,12.10,11.85,11.86,27800,10.986675
2015-03-12,12.00,12.08,11.93,12.07,34800,11.181211
2015-03-11,11.95,12.05,11.92,12.02,28000,11.134894
2015-03-10,12.14,12.20,12.02,12.14,62700,11.246057
