Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.83,10.83,10.83,10.83,000,10.782458
2015-10-08,10.83,10.83,10.83,10.83,000,10.782458
2015-10-07,11.00,11.21,10.83,10.83,1700,10.782458
2015-10-06,11.03,11.03,10.74,10.76,3700,10.712766
2015-10-05,11.05,11.05,11.02,11.02,700,10.971625
2015-10-02,10.83,10.83,10.83,10.83,000,10.782458
2015-10-01,10.99,10.99,10.83,10.83,200,10.782458
2015-09-30,10.76,10.99,10.76,10.99,1500,10.941756
2015-09-29,10.94,10.94,10.94,10.94,300,10.891975
2015-09-28,11.20,11.20,11.20,11.20,000,11.150834
2015-09-25,11.20,11.20,11.20,11.20,000,11.150834
2015-09-24,11.20,11.20,11.20,11.20,000,11.150834
2015-09-23,11.33,11.33,11.20,11.20,400,11.150834
2015-09-22,11.20,11.20,11.20,11.20,000,11.150834
2015-09-21,10.76,11.20,10.76,11.20,2100,11.150834
2015-09-18,11.10,11.10,10.75,10.75,300,10.702809
2015-09-17,11.00,11.16,11.00,11.16,200,11.111009
2015-09-16,11.00,11.00,11.00,11.00,000,10.951712
2015-09-15,11.00,11.00,11.00,11.00,300,10.951712
2015-09-14,11.08,11.08,11.08,11.08,200,11.031361
2015-09-11,11.06,11.09,11.01,11.09,400,11.041317
2015-09-10,10.97,10.97,10.97,10.97,000,10.921844
2015-09-09,11.00,11.09,10.83,10.97,1500,10.921844
2015-09-08,11.01,11.01,11.01,11.01,200,10.961668
2015-09-04,10.93,10.93,10.93,10.93,200,10.88202
2015-09-03,11.09,11.09,10.85,10.85,1100,10.802371
2015-09-02,11.09,11.09,11.09,11.09,300,11.041317
2015-09-01,11.01,11.01,11.01,11.01,200,10.961668
2015-08-31,11.02,11.03,11.02,11.03,2300,10.931799
2015-08-28,11.05,11.05,11.05,11.05,000,10.951622
2015-08-27,11.05,11.05,11.05,11.05,200,10.951622
2015-08-26,11.05,11.05,11.02,11.02,2500,10.921889
2015-08-25,11.05,11.05,11.02,11.02,500,10.921889
2015-08-24,10.77,11.04,10.77,11.04,2500,10.941711
2015-08-21,10.77,10.77,10.77,10.77,000,10.674115
2015-08-20,10.77,10.77,10.77,10.77,000,10.674115
2015-08-19,10.77,10.77,10.77,10.77,000,10.674115
2015-08-18,10.77,10.77,10.77,10.77,600,10.674115
2015-08-17,10.78,10.78,10.78,10.78,200,10.684025
2015-08-14,11.07,11.07,11.07,11.07,100,10.971443
