Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,52.119999,52.43,51.77,52.049999,227600,52.049999
2015-10-08,50.41,52.290001,50.060001,51.91,412100,51.91
2015-10-07,50.310001,51.57,50.099998,50.849998,455200,50.629998
2015-10-06,50.07,50.689999,49.740002,49.959999,445100,49.743849
2015-10-05,48.310001,50.169998,48.27,50.07,330600,49.853374
2015-10-02,46.669998,48.07,46.52,48.02,281900,47.812244
2015-10-01,47.810001,48.16,46.959999,47.259998,362400,47.05553
2015-09-30,47.66,48.040001,47.18,47.68,537500,47.473715
2015-09-29,47.310001,47.810001,47.07,47.220001,584200,47.015706
2015-09-28,47.549999,47.549999,46.990002,47.32,547700,47.115271
2015-09-25,47.220001,48.279999,46.990002,47.650002,657200,47.443846
2015-09-24,46.330002,47.110001,46.049999,47.00,488100,46.796656
2015-09-23,47.279999,47.529999,46.650002,46.799999,422800,46.597521
2015-09-22,46.16,47.240002,46.07,47.080002,636700,46.876312
2015-09-21,46.759998,47.349998,46.52,46.740002,686600,46.537783
2015-09-18,46.75,47.77,46.200001,46.540001,1347100,46.338647
2015-09-17,49.00,49.599998,46.790001,48.389999,2399100,48.180642
2015-09-16,55.27,55.93,55.040001,55.639999,178200,55.399275
2015-09-15,54.43,55.330002,54.290001,55.32,149500,55.08066
2015-09-14,55.330002,55.330002,54.200001,54.380001,178800,54.144728
2015-09-11,54.900002,55.299999,54.299999,55.240002,123800,55.001008
2015-09-10,55.43,56.02,54.91,55.080002,158900,54.8417
2015-09-09,56.110001,56.529999,55.310001,55.419998,166900,55.180226
2015-09-08,55.41,55.91,55.110001,55.709999,115100,55.468972
2015-09-04,54.43,54.889999,54.200001,54.419998,170400,54.184552
2015-09-03,54.810001,55.509998,54.810001,55.150002,143900,54.911397
2015-09-02,54.650002,55.810001,54.369999,54.869999,184000,54.632606
2015-09-01,55.360001,55.790001,54.119999,54.16,420500,53.925679
2015-08-31,56.16,56.700001,55.98,56.369999,248100,56.126116
2015-08-28,55.77,56.400002,55.73,56.360001,153200,56.116161
2015-08-27,55.259998,55.98,54.419998,55.830002,445500,55.588455
2015-08-26,54.860001,55.130001,54.279999,54.950001,329200,54.712262
2015-08-25,56.150002,56.299999,53.959999,53.970001,249700,53.736502
2015-08-24,53.220001,56.119999,53.169998,54.700001,514800,54.463343
2015-08-21,56.759998,57.43,56.310001,56.34,303100,56.096247
2015-08-20,58.73,58.779999,57.639999,57.650002,217600,57.400581
2015-08-19,59.290001,59.650002,58.77,59.189999,190100,58.933915
2015-08-18,60.169998,60.200001,59.43,59.50,150600,59.242575
2015-08-17,59.529999,60.439999,58.959999,60.310001,208400,60.049072
2015-08-14,59.630001,59.900002,59.41,59.77,204200,59.511408
2015-08-13,59.810001,60.380001,59.57,59.700001,243300,59.441711
2015-08-12,59.330002,59.919998,58.700001,59.77,134300,59.511408
2015-08-11,60.150002,60.490002,59.580002,59.759998,147300,59.501449
2015-08-10,60.240002,60.84,60.240002,60.669998,185700,60.407512
2015-08-07,59.369999,59.970001,59.369999,59.950001,197900,59.690629
2015-08-06,59.740002,59.860001,59.18,59.560001,195300,59.302317
2015-08-05,59.619999,60.130001,59.32,59.599998,190000,59.342141
2015-08-04,59.529999,59.889999,59.18,59.299999,145100,59.04344
2015-08-03,60.09,60.549999,59.279999,59.540001,166300,59.282403
2015-07-31,59.790001,60.48,59.630001,60.169998,542700,59.909675
2015-07-30,58.950001,59.650002,58.77,59.540001,161500,59.282403
2015-07-29,57.75,59.459999,57.75,59.310001,236700,59.053399
2015-07-28,57.959999,58.130001,57.34,57.849998,368300,57.599713
2015-07-27,57.740002,57.919998,57.360001,57.59,212300,57.340839
2015-07-24,58.740002,58.900002,58.009998,58.09,222800,57.838676
2015-07-23,59.900002,60.060001,58.82,58.880001,218800,58.625259
2015-07-22,59.77,60.080002,58.919998,59.630001,258200,59.372014
2015-07-21,60.34,60.830002,59.84,59.93,230200,59.670715
2015-07-20,60.299999,60.59,60.169998,60.299999,133600,60.039114
2015-07-17,60.75,60.860001,60.240002,60.32,272500,60.059027
2015-07-16,60.93,61.279999,60.509998,60.68,150100,60.417471
2015-07-15,60.880001,61.099998,60.029999,60.459999,179100,60.198421
2015-07-14,60.98,61.279999,60.669998,61.02,210400,60.756
2015-07-13,61.25,61.599998,60.869999,61.029999,175700,60.765955
2015-07-10,61.02,61.27,60.400002,60.880001,218000,60.616606
2015-07-09,60.91,60.939999,60.150002,60.27,220300,60.009245
2015-07-08,60.529999,60.799999,59.950001,60.27,323200,60.009245
2015-07-07,61.560001,61.560001,60.490002,61.130001,347800,60.865524
2015-07-06,61.759998,62.529999,61.189999,61.560001,306600,61.09453
2015-07-02,62.490002,62.490002,62.07,62.259998,243400,61.789234
2015-07-01,62.50,62.529999,61.91,62.27,294100,61.79916
2015-06-30,62.299999,62.560001,61.560001,62.240002,272300,61.769388
2015-06-29,62.07,62.459999,61.509998,61.700001,262200,61.233471
2015-06-26,62.200001,62.84,61.93,62.689999,372800,62.215983
2015-06-25,62.50,62.50,61.93,62.119999,182400,61.650293
2015-06-24,62.700001,62.700001,61.990002,62.360001,228200,61.88848
2015-06-23,62.639999,62.84,62.080002,62.709999,198100,62.235832
2015-06-22,63.139999,63.139999,62.43,62.720001,199500,62.245759
2015-06-19,63.549999,63.560001,62.639999,62.689999,461600,62.215983
2015-06-18,60.66,64.68,60.66,63.529999,526300,63.049632
2015-06-17,61.93,62.200001,61.41,61.619999,183200,61.154074
2015-06-16,61.25,62.009998,61.25,61.810001,162800,61.342639
2015-06-15,61.509998,61.610001,60.849998,61.419998,132400,60.955585
2015-06-12,62.310001,62.580002,61.889999,62.119999,123900,61.650293
2015-06-11,62.389999,62.709999,62.16,62.459999,124000,61.987722
2015-06-10,61.77,62.650002,61.52,62.259998,141400,61.789234
2015-06-09,61.450001,61.970001,61.450001,61.580002,120300,61.114379
2015-06-08,61.650002,61.939999,61.48,61.549999,121500,61.084603
2015-06-05,61.400002,62.009998,61.00,61.84,187100,61.372411
2015-06-04,62.150002,62.48,61.439999,61.549999,155200,61.084603
2015-06-03,62.369999,62.91,62.369999,62.59,192100,62.11674
2015-06-02,61.549999,62.849998,61.549999,62.349998,288800,61.878554
2015-06-01,61.950001,62.27,61.23,61.860001,166600,61.392261
2015-05-29,62.00,62.00,61.110001,61.610001,192500,61.144151
2015-05-28,62.490002,62.720001,61.740002,62.220001,213900,61.749539
2015-05-27,62.02,62.639999,61.880001,62.57,393500,62.096891
2015-05-26,62.209999,63.349998,61.740002,61.889999,206300,61.422033
2015-05-22,63.009998,63.43,62.529999,62.599998,119700,62.126663
2015-05-21,62.68,63.209999,62.650002,63.029999,148500,62.553412
2015-05-20,62.639999,62.970001,62.330002,62.740002,115500,62.265608
2015-05-19,62.84,62.950001,62.200001,62.630001,170500,62.156439
2015-05-18,62.490002,62.799999,61.799999,62.720001,344100,62.245759
2015-05-15,62.630001,63.099998,62.09,62.50,236300,62.027421
2015-05-14,62.349998,62.709999,62.259998,62.549999,482200,62.077042
2015-05-13,62.16,62.75,61.93,62.279999,453200,61.809083
2015-05-12,61.630001,62.580002,61.049999,62.099998,449000,61.630444
