Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,16.10,16.200001,15.74,15.99,1208200,15.859292
2015-10-08,15.42,15.98,15.35,15.91,2018500,15.779946
2015-10-07,15.00,15.44,14.77,15.43,2061200,15.30387
2015-10-06,14.75,15.11,14.70,14.78,1335000,14.659183
2015-10-05,14.35,14.76,14.26,14.70,1281300,14.579837
2015-10-02,13.64,14.07,13.42,14.06,842100,13.945069
2015-10-01,13.68,13.85,13.55,13.70,930900,13.588011
2015-09-30,13.66,13.67,13.35,13.55,912000,13.439238
2015-09-29,13.55,13.68,13.25,13.41,1151700,13.300382
2015-09-28,13.37,13.48,13.24,13.40,1088300,13.290463
2015-09-25,14.03,14.12,13.40,13.53,1564800,13.419401
2015-09-24,13.55,14.07,13.46,13.96,1132000,13.845886
2015-09-23,14.13,14.19,13.68,13.74,994000,13.627684
2015-09-22,14.12,14.28,13.91,14.03,1228300,13.915313
2015-09-21,14.63,14.67,14.36,14.44,937900,14.321962
2015-09-18,14.89,14.97,14.49,14.59,1421300,14.470736
2015-09-17,15.28,15.50,15.05,15.12,1060100,14.996404
2015-09-16,14.52,15.36,14.35,15.28,1996800,15.155096
2015-09-15,14.41,14.55,14.35,14.51,1158600,14.39139
2015-09-14,14.83,14.84,14.32,14.41,937900,14.292207
2015-09-11,14.93,14.99,14.66,14.87,987500,14.748447
2015-09-10,15.17,15.23,14.93,14.99,1441000,14.867466
2015-09-09,15.47,15.50,15.11,15.19,1321700,15.065831
2015-09-08,14.97,15.24,14.88,15.23,1021200,15.105504
2015-09-04,14.92,15.05,14.75,14.77,1108000,14.649265
2015-09-03,15.26,15.78,15.10,15.18,1287400,15.055914
2015-09-02,15.24,15.26,14.88,15.21,982000,15.085668
2015-09-01,15.22,15.39,14.83,14.93,1128500,14.807957
2015-08-31,15.30,15.80,15.03,15.70,1262200,15.571662
2015-08-28,15.08,15.58,15.06,15.45,898900,15.323706
2015-08-27,14.56,15.22,14.44,15.18,1151600,15.055914
2015-08-26,14.36,14.41,14.00,14.35,1378300,14.232698
2015-08-25,14.77,14.78,13.97,14.05,1215100,13.93515
2015-08-24,13.96,15.01,13.64,14.25,1595100,14.133515
2015-08-21,15.01,15.19,14.77,14.79,1400700,14.669101
2015-08-20,15.69,15.71,15.21,15.27,1248300,15.145178
2015-08-19,16.07,16.10,15.61,15.71,892100,15.581581
2015-08-18,16.43,16.43,16.10,16.209999,528500,16.077493
2015-08-17,16.08,16.40,15.88,16.40,1114300,16.26594
2015-08-14,15.61,16.10,15.61,16.00,656000,15.86921
2015-08-13,15.74,15.74,15.36,15.65,662300,15.522071
2015-08-12,15.95,15.96,15.40,15.79,874000,15.660927
2015-08-11,16.040001,16.139999,15.72,16.049999,1034700,15.918801
2015-08-10,15.84,16.559999,15.67,16.50,859800,16.365123
2015-08-07,16.02,16.33,15.67,15.77,827900,15.641091
2015-08-06,15.76,16.190001,15.65,16.110001,774500,15.978312
2015-08-05,15.91,16.219999,15.73,15.79,702500,15.660927
2015-08-04,15.74,15.96,15.53,15.63,799200,15.502235
2015-08-03,15.38,15.67,15.12,15.65,833500,15.522071
2015-07-31,15.70,15.73,15.25,15.41,936500,15.284033
2015-07-30,15.94,15.99,15.44,15.54,1642300,15.41297
2015-07-29,15.58,15.97,15.43,15.94,1650400,15.8097
2015-07-28,15.20,15.84,15.17,15.53,1755600,15.403052
2015-07-27,15.00,15.42,14.74,15.03,1993100,14.907139
2015-07-24,15.69,15.81,15.18,15.30,1525900,15.174932
2015-07-23,15.83,16.15,15.64,15.79,976800,15.660927
2015-07-22,15.55,15.85,15.36,15.79,1205700,15.660927
2015-07-21,15.48,16.00,15.48,15.68,826200,15.551826
2015-07-20,15.60,15.69,15.35,15.50,641200,15.373297
2015-07-17,15.97,16.190001,15.62,15.62,868000,15.492316
2015-07-16,16.01,16.190001,15.91,15.97,856800,15.839456
2015-07-15,16.389999,16.389999,15.78,15.89,1189300,15.76011
2015-07-14,16.40,16.549999,16.25,16.49,631100,16.355205
2015-07-13,16.120001,16.59,16.00,16.43,1286600,16.295696
2015-07-10,15.83,16.139999,15.81,16.01,1135600,15.879129
2015-07-09,15.91,15.98,15.62,15.64,1066800,15.512153
2015-07-08,15.77,15.94,15.49,15.58,1227800,15.452643
2015-07-07,15.65,16.110001,15.07,15.94,1924300,15.8097
2015-07-06,15.95,16.290001,15.73,15.83,2116800,15.581581
2015-07-02,16.360001,16.360001,15.71,16.08,2052800,15.827657
2015-07-01,16.17,16.440001,16.030001,16.33,1758300,16.073734
2015-06-30,17.07,17.15,15.96,16.08,2564700,15.827657
2015-06-29,17.049999,17.459999,16.809999,16.83,2529100,16.565888
2015-06-26,16.950001,17.76,16.82,17.290001,5042700,17.01867
2015-06-25,16.950001,17.549999,16.58,16.76,3340000,16.496986
2015-06-24,16.870001,16.959999,16.540001,16.620001,1122500,16.359184
2015-06-23,16.620001,16.889999,16.48,16.860001,965000,16.595417
2015-06-22,16.68,16.719999,16.309999,16.620001,996900,16.359184
2015-06-19,16.66,16.879999,16.559999,16.57,1269500,16.309968
2015-06-18,16.52,16.76,16.389999,16.719999,994800,16.457613
2015-06-17,16.43,16.459999,16.129999,16.450001,658200,16.191852
2015-06-16,16.25,16.49,16.15,16.389999,634300,16.132792
2015-06-15,16.360001,16.450001,16.01,16.34,948400,16.083577
2015-06-12,16.75,16.75,16.309999,16.549999,975900,16.290281
2015-06-11,16.629999,16.870001,16.58,16.780001,1382600,16.516673
2015-06-10,16.379999,16.99,16.23,16.66,1754500,16.398555
2015-06-09,15.91,16.34,15.90,16.190001,875000,15.935932
2015-06-08,16.290001,16.309999,15.75,15.83,787900,15.581581
2015-06-05,16.280001,16.389999,16.139999,16.290001,632100,16.034363
2015-06-04,16.459999,16.60,16.24,16.299999,477200,16.044204
2015-06-03,16.469999,16.860001,16.32,16.639999,752100,16.378869
2015-06-02,16.059999,16.57,16.059999,16.440001,546800,16.182008
2015-06-01,16.120001,16.17,15.81,16.049999,559500,15.798127
2015-05-29,16.030001,16.129999,15.93,16.07,556900,15.817814
2015-05-28,16.10,16.10,15.95,16.09,473300,15.837501
2015-05-27,15.93,16.190001,15.79,16.16,429900,15.906402
2015-05-26,16.35,16.389999,15.77,15.93,609300,15.680012
2015-05-22,16.299999,16.50,16.08,16.43,675500,16.172165
2015-05-21,16.42,16.440001,16.209999,16.280001,460500,16.024519
2015-05-20,16.23,16.530001,16.16,16.42,482500,16.162322
2015-05-19,16.469999,16.50,16.049999,16.200001,701400,15.945775
2015-05-18,16.57,16.68,16.34,16.51,569100,16.25091
2015-05-15,16.559999,16.67,16.42,16.610001,468600,16.349341
2015-05-14,16.540001,16.82,16.450001,16.60,709100,16.339497
2015-05-13,16.379999,16.549999,16.27,16.42,468100,16.162322
2015-05-12,16.530001,16.610001,16.190001,16.34,543600,16.083577
2015-05-11,16.32,16.65,16.299999,16.540001,906300,16.28044
2015-05-08,16.309999,16.34,16.129999,16.290001,488200,16.034363
2015-05-07,16.00,16.18,15.77,16.08,631400,15.827657
2015-05-06,16.33,16.379999,16.02,16.110001,815500,15.857187
2015-05-05,16.610001,16.719999,16.16,16.23,1045800,15.975303
2015-05-04,16.610001,16.700001,16.389999,16.57,796000,16.309968
2015-05-01,16.75,17.01,16.49,16.59,852500,16.329654
2015-04-30,16.57,16.83,16.440001,16.60,1805400,16.339497
2015-04-29,16.540001,16.75,16.43,16.719999,1765000,16.457613
2015-04-28,16.60,16.950001,16.57,16.83,1333500,16.565888
2015-04-27,16.68,16.98,16.450001,16.52,1100600,16.260753
2015-04-24,16.459999,16.67,16.440001,16.57,1431000,16.309968
2015-04-23,15.98,16.450001,15.88,16.40,2580100,16.142635
2015-04-22,15.86,16.00,15.71,15.99,1872600,15.73907
2015-04-21,15.80,15.95,15.67,15.79,1580800,15.542208
2015-04-20,15.68,15.89,15.64,15.77,1563800,15.522523
2015-04-17,15.58,15.71,15.36,15.61,1163800,15.365033
2015-04-16,16.190001,16.190001,15.76,15.77,1037300,15.522523
2015-04-15,16.26,16.299999,16.10,16.15,1821600,15.896558
2015-04-14,16.190001,16.360001,16.01,16.200001,1979600,15.945775
2015-04-13,16.059999,16.209999,16.02,16.059999,1287000,15.807971
2015-04-10,16.049999,16.26,16.02,16.16,1019900,15.906402
2015-04-09,15.93,16.110001,15.91,16.00,1553100,15.748913
2015-04-08,16.209999,16.26,15.89,15.99,1299900,15.73907
2015-04-07,16.10,16.25,15.94,15.99,1194200,15.73907
2015-04-06,16.09,16.299999,15.80,16.10,1532000,15.729227
2015-04-02,16.059999,16.15,15.97,16.09,1033700,15.719457
2015-04-01,16.120001,16.280001,15.91,16.139999,1167600,15.768305
2015-03-31,16.139999,16.299999,15.86,16.190001,1401200,15.817155
2015-03-30,15.63,16.360001,15.63,16.290001,1168900,15.914852
2015-03-27,15.27,15.73,15.09,15.50,1231000,15.143045
2015-03-26,15.79,15.88,14.95,15.28,1924300,14.928111
2015-03-25,15.43,15.60,15.02,15.11,1166100,14.762026
2015-03-24,15.18,15.30,15.00,15.28,881400,14.928111
2015-03-23,14.81,15.33,14.80,15.18,1526100,14.830414
2015-03-20,14.57,14.81,14.27,14.78,2356900,14.439625
2015-03-19,14.80,14.80,14.24,14.46,1385500,14.126995
2015-03-18,14.46,14.99,14.46,14.98,1605900,14.635019
2015-03-17,14.42,14.73,14.35,14.65,958000,14.312619
2015-03-16,14.91,14.96,14.26,14.51,1036600,14.175844
2015-03-13,15.08,15.11,14.65,14.97,781700,14.62525
2015-03-12,14.90,15.15,14.89,15.14,868400,14.791335
2015-03-11,14.46,14.68,14.36,14.66,1101000,14.322389
2015-03-10,14.50,14.65,14.34,14.40,817600,14.068376
2015-03-09,14.77,14.87,14.70,14.77,613300,14.429856
2015-03-06,14.75,15.05,14.56,14.71,884900,14.371238
2015-03-05,14.93,15.07,14.69,14.97,789400,14.62525
2015-03-04,14.68,15.10,14.57,14.92,822400,14.576402
2015-03-03,14.97,15.04,14.87,14.92,519200,14.576402
2015-03-02,14.98,15.04,14.77,14.98,926000,14.635019
2015-02-27,15.30,15.49,15.05,15.05,988300,14.703408
2015-02-26,15.45,15.65,15.29,15.37,646700,15.016038
2015-02-25,15.73,15.73,15.41,15.45,570700,15.094196
2015-02-24,15.45,15.84,15.42,15.71,981800,15.348208
2015-02-23,15.20,15.44,14.96,15.40,592700,15.045347
2015-02-20,15.32,15.48,15.07,15.36,883900,15.006268
2015-02-19,15.06,15.45,14.91,15.34,470100,14.986729
2015-02-18,15.22,15.39,15.08,15.19,613700,14.840183
2015-02-17,15.39,15.46,15.15,15.30,620900,14.947651
2015-02-13,15.12,15.44,15.02,15.40,796200,15.045347
2015-02-12,14.80,15.08,14.73,15.03,733800,14.683868
2015-02-11,14.59,14.69,14.35,14.52,638100,14.185614
2015-02-10,14.54,14.68,14.31,14.66,662200,14.322389
2015-02-09,14.72,15.12,14.65,14.66,952400,14.322389
2015-02-06,14.54,14.93,14.49,14.72,1114700,14.381008
2015-02-05,14.14,14.65,14.13,14.61,922200,14.27354
2015-02-04,14.11,14.34,13.99,14.14,1090600,13.814365
2015-02-03,13.73,14.40,13.73,14.37,1427900,14.039068
2015-02-02,13.54,13.72,13.30,13.52,1188900,13.208643
2015-01-30,13.18,13.67,13.18,13.42,1362100,13.110946
2015-01-29,13.33,13.37,12.96,13.34,1356200,13.032788
2015-01-28,13.67,13.78,13.34,13.36,1337700,13.052327
2015-01-27,13.08,13.41,13.01,13.31,878100,13.003479
2015-01-26,13.01,13.28,12.83,13.25,1151200,12.944861
2015-01-23,13.57,13.57,12.96,12.99,1016200,12.690848
2015-01-22,13.33,13.75,13.23,13.70,1212900,13.384497
2015-01-21,13.05,13.27,12.95,13.06,965800,12.759237
2015-01-20,13.15,13.16,12.89,13.04,1293200,12.739697
2015-01-16,13.00,13.14,12.80,13.08,1510000,12.778776
2015-01-15,13.41,13.47,13.00,13.05,1525700,12.749467
2015-01-14,13.53,13.62,13.19,13.52,1184700,13.091407
2015-01-13,14.17,14.34,13.75,13.88,1413600,13.439994
2015-01-12,14.15,14.18,13.66,14.10,2036900,13.65302
2015-01-09,14.45,14.49,14.00,14.21,2122400,13.759533
2015-01-08,14.58,14.68,14.24,14.36,2764600,13.904777
2015-01-07,14.46,14.58,13.92,14.26,3982900,13.807948
2015-01-06,15.54,15.80,14.34,14.42,2936800,13.962876
2015-01-05,15.92,15.96,15.38,15.46,1085600,14.969907
2015-01-02,16.280001,16.60,16.01,16.18,805800,15.667082
2014-12-31,16.51,16.60,16.280001,16.290001,536000,15.773596
2014-12-30,16.33,16.709999,16.26,16.51,784000,15.986621
2014-12-29,16.24,16.59,16.24,16.35,540600,15.831693
2014-12-26,16.309999,16.34,16.059999,16.23,585000,15.715497
2014-12-24,16.18,16.23,15.91,16.139999,363000,15.62835
2014-12-23,16.01,16.35,15.98,16.209999,592800,15.69613
2014-12-22,16.09,16.16,15.84,15.94,797900,15.43469
2014-12-19,15.83,16.190001,15.70,16.10,1656800,15.589619
2014-12-18,16.16,16.190001,15.74,15.83,1150200,15.328177
2014-12-17,15.39,15.94,15.09,15.89,1022800,15.386276
2014-12-16,15.57,15.90,15.28,15.30,1309000,14.814979
2014-12-15,15.70,15.89,15.51,15.54,1578900,15.047371
2014-12-12,16.10,16.15,15.66,15.68,1450500,15.182933
2014-12-11,16.059999,16.379999,15.97,16.290001,1267300,15.773596
2014-12-10,16.00,16.17,15.85,16.040001,1332900,15.531521
2014-12-09,15.68,16.17,15.67,16.10,889200,15.589619
2014-12-08,16.41,16.41,15.82,15.95,817800,15.444373
2014-12-05,16.27,16.68,16.24,16.42,652200,15.899474
2014-12-04,16.190001,16.33,16.049999,16.25,621000,15.734863
2014-12-03,15.79,16.309999,15.78,16.26,1425000,15.744546
2014-12-02,16.040001,16.18,15.64,15.66,1693000,15.163566
2014-12-01,16.15,16.280001,15.93,15.98,667900,15.473422
2014-11-28,16.799999,16.959999,16.27,16.34,427000,15.82201
2014-11-26,17.23,17.23,16.93,16.98,401700,16.441721
2014-11-25,16.940001,17.190001,16.93,17.15,435900,16.606332
2014-11-24,16.83,17.08,16.82,16.940001,493600,16.40299
2014-11-21,16.950001,17.120001,16.74,16.83,819200,16.296477
2014-11-20,16.15,16.629999,16.120001,16.57,778700,16.044719
2014-11-19,16.68,16.780001,16.35,16.360001,907400,15.841377
2014-11-18,16.74,17.10,16.74,16.870001,702200,16.335209
2014-11-17,16.790001,17.049999,16.709999,16.82,603400,16.286793
2014-11-14,16.700001,16.969999,16.60,16.860001,853100,16.325526
2014-11-13,17.00,17.129999,16.66,16.690001,788800,16.160915
2014-11-12,16.50,16.99,16.50,16.940001,1126400,16.40299
2014-11-11,16.59,16.73,16.450001,16.65,596500,16.122182
2014-11-10,17.00,17.17,16.60,16.709999,1192100,16.18028
2014-11-07,16.48,17.110001,16.48,17.01,1243300,16.470771
2014-11-06,16.34,16.77,16.34,16.610001,801500,15.967255
2014-11-05,16.52,16.59,16.09,16.42,1251900,15.784607
2014-11-04,16.639999,16.76,16.110001,16.299999,1094500,15.66925
2014-11-03,17.25,17.25,16.629999,16.74,1492000,16.092224
2014-10-31,16.879999,17.299999,16.440001,17.290001,2515600,16.620942
2014-10-30,16.940001,16.950001,16.25,16.51,1743000,15.871124
2014-10-29,16.879999,17.309999,16.709999,16.98,2328700,16.322937
2014-10-28,16.52,16.90,16.33,16.879999,1549600,16.226806
2014-10-27,16.32,16.379999,16.08,16.290001,1135600,15.659638
2014-10-24,16.040001,16.77,15.96,16.59,1927000,15.948029
2014-10-23,15.96,16.139999,15.77,16.01,1385100,15.390473
2014-10-22,15.88,15.99,15.63,15.70,1137700,15.092468
2014-10-21,15.54,15.89,15.45,15.87,886600,15.25589
2014-10-20,15.12,15.45,15.11,15.38,586200,14.784851
2014-10-17,15.14,15.52,15.08,15.16,770600,14.573364
2014-10-16,14.43,15.10,14.41,14.97,1165200,14.390717
2014-10-15,14.37,14.90,14.21,14.79,1283200,14.217682
2014-10-14,14.83,15.00,14.50,14.58,1441400,14.015808
2014-10-13,15.07,15.43,14.67,14.69,962100,14.121551
2014-10-10,15.33,15.53,14.91,14.93,782600,14.352265
2014-10-09,16.00,16.00,15.35,15.42,874200,14.823303
2014-10-08,15.70,16.00,15.35,15.99,1270800,15.371246
2014-10-07,16.00,16.15,15.70,15.71,915500,15.102081
2014-10-06,16.41,16.52,16.129999,16.129999,838700,15.505828
2014-10-03,16.50,16.59,16.110001,16.23,918800,15.601959
2014-10-02,16.639999,16.76,16.209999,16.389999,960700,15.755767
2014-10-01,17.02,17.049999,16.59,16.610001,1148400,15.967255
2014-09-30,17.40,17.450001,17.02,17.07,1028300,16.409454
2014-09-29,17.35,17.620001,17.27,17.40,739700,16.726684
2014-09-26,17.719999,17.75,17.450001,17.610001,749800,16.928559
2014-09-25,17.57,17.57,17.23,17.40,1066800,16.726684
2014-09-24,18.00,18.01,17.629999,17.709999,917700,17.024688
2014-09-23,17.959999,18.129999,17.90,17.950001,1106200,17.255402
2014-09-22,18.08,18.190001,17.84,17.969999,1247000,17.274627
2014-09-19,18.540001,18.67,18.17,18.24,1344800,17.534179
2014-09-18,18.51,18.639999,18.33,18.540001,1167500,17.822572
2014-09-17,17.809999,18.469999,17.74,18.389999,1835000,17.678375
