Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.36,4.38,4.35,4.36,18400,4.28967
2015-10-08,4.39,4.41,4.36,4.38,30600,4.309347
2015-10-07,4.37,4.42,4.35,4.36,28600,4.28967
2015-10-06,4.39,4.42,4.37,4.37,40700,4.299509
2015-10-05,4.41,4.42,4.38,4.39,38800,4.319186
2015-10-02,4.36,4.44,4.36,4.41,46400,4.338863
2015-10-01,4.38,4.40,4.36,4.39,69600,4.319186
2015-09-30,4.35,4.37,4.34,4.37,109600,4.299509
2015-09-29,4.31,4.35,4.29,4.33,79900,4.260154
2015-09-28,4.35,4.35,4.28,4.28,48800,4.210961
2015-09-25,4.32,4.35,4.28,4.35,126500,4.279831
2015-09-24,4.24,4.33,4.23,4.31,97300,4.240476
2015-09-23,4.26,4.26,4.23,4.24,42100,4.171605
2015-09-22,4.24,4.26,4.24,4.24,30900,4.171605
2015-09-21,4.30,4.31,4.22,4.26,53700,4.191283
2015-09-18,4.32,4.32,4.23,4.25,57200,4.181444
2015-09-17,4.27,4.29,4.21,4.29,86300,4.220799
2015-09-16,4.25,4.26,4.22,4.22,25700,4.151928
2015-09-15,4.28,4.33,4.20,4.22,67800,4.151928
2015-09-14,4.28,4.35,4.28,4.33,32300,4.236541
2015-09-11,4.32,4.34,4.28,4.28,30300,4.187621
2015-09-10,4.28,4.35,4.28,4.32,46200,4.226757
2015-09-09,4.33,4.33,4.29,4.31,27400,4.216973
2015-09-08,4.29,4.35,4.27,4.30,183800,4.207189
2015-09-04,4.25,4.31,4.23,4.27,87200,4.177836
2015-09-03,4.20,4.25,4.17,4.25,45000,4.158268
2015-09-02,4.21,4.22,4.16,4.17,110600,4.079995
2015-09-01,4.23,4.25,4.20,4.22,94200,4.128915
2015-08-31,4.26,4.27,4.20,4.27,72500,4.177836
2015-08-28,4.24,4.29,4.22,4.26,76400,4.168052
2015-08-27,4.24,4.25,4.20,4.24,94100,4.148483
2015-08-26,4.22,4.27,4.16,4.27,66900,4.177836
2015-08-25,4.22,4.25,4.16,4.25,68700,4.158268
2015-08-24,4.24,4.26,4.19,4.24,95800,4.148483
