Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.90,10.945,10.70,10.87,41900,10.693227
2015-10-08,10.94,11.24,10.63,11.00,92400,10.821113
2015-10-07,10.59,11.33,10.59,11.16,155400,10.978511
2015-10-06,10.50,10.64,10.23,10.45,178500,10.280057
2015-10-05,10.56,10.68,10.34,10.53,136700,10.358756
2015-10-02,10.04,10.45,9.65,10.40,136700,10.23087
2015-10-01,9.92,10.17,9.75,10.15,61100,9.984936
2015-09-30,9.21,9.93,9.21,9.93,202800,9.768514
2015-09-29,9.81,9.85,9.02,9.10,163000,8.952012
2015-09-28,10.29,10.31,9.66,9.77,84700,9.611116
2015-09-25,10.27,10.40,10.06,10.31,111000,10.142334
2015-09-24,10.75,10.84,10.01,10.30,256600,10.132497
2015-09-23,11.12,11.16,10.66,10.83,98700,10.653877
2015-09-22,11.06,11.29,10.88,11.15,94300,10.968673
2015-09-21,11.39,11.39,10.98,11.07,127100,10.889974
2015-09-18,11.08,11.25,10.91,11.15,187800,10.968673
2015-09-17,10.82,11.14,10.71,11.14,103000,10.958836
2015-09-16,10.86,10.95,10.54,10.80,216200,10.624365
2015-09-15,11.00,11.07,10.64,10.75,188000,10.575178
2015-09-14,11.36,11.36,10.75,10.96,195200,10.781763
2015-09-11,11.34,11.43,11.25,11.39,214700,11.204771
2015-09-10,11.55,11.55,11.25,11.46,267500,11.273632
2015-09-09,11.71,11.85,11.27,11.41,184100,11.224445
2015-09-08,11.86,11.97,11.36,11.65,202200,11.460542
2015-09-04,11.31,11.89,11.31,11.66,139300,11.470379
2015-09-03,11.68,12.09,11.52,11.52,109900,11.332657
2015-09-02,11.37,11.60,11.15,11.52,84900,11.332657
2015-09-01,11.40,11.60,11.26,11.26,98000,11.076885
2015-08-31,11.34,11.69,11.25,11.43,117500,11.24412
2015-08-28,11.40,11.84,11.27,11.33,148100,11.145746
2015-08-27,11.61,11.94,11.35,11.40,177000,11.214607
2015-08-26,11.49,11.62,11.16,11.37,102500,11.185096
2015-08-25,11.70,11.70,11.35,11.44,315400,11.253957
2015-08-24,11.38,11.50,11.20,11.49,151200,11.303144
2015-08-21,12.18,12.18,11.48,11.68,131200,11.490055
2015-08-20,12.68,12.68,11.90,12.10,123000,11.903224
2015-08-19,12.93,12.97,12.39,12.50,102600,12.296719
2015-08-18,13.00,13.00,12.81,12.86,64600,12.650864
2015-08-17,13.05,13.25,12.75,13.00,103800,12.788588
2015-08-14,13.61,13.65,12.89,12.98,89600,12.768913
2015-08-13,13.89,14.30,13.17,13.515,43400,13.295213
2015-08-12,13.62,14.10,13.23,13.98,123500,13.75265
2015-08-11,13.01,13.62,12.95,13.60,119100,13.378831
2015-08-10,13.79,13.89,13.00,13.46,311500,13.241107
2015-08-07,14.19,14.19,13.69,13.84,74900,13.614928
2015-08-06,13.54,14.30,13.05,14.19,133500,13.959235
2015-08-05,14.77,15.24,13.50,13.59,79200,13.368993
2015-08-04,15.50,15.75,14.69,14.99,61900,14.746225
2015-08-03,15.82,15.82,15.25,15.50,76900,15.247932
2015-07-31,16.309999,16.309999,15.80,15.99,48500,15.513541
2015-07-30,15.66,16.195,15.24,16.17,69000,15.688177
2015-07-29,15.31,15.81,15.064,15.68,55800,15.212778
2015-07-28,15.42,15.44,14.50,15.20,60100,14.747081
2015-07-27,14.66,15.405,14.53,15.405,35700,14.945972
2015-07-24,14.56,14.88,14.25,14.73,54400,14.291085
2015-07-23,15.18,15.35,14.36,14.49,248200,14.058237
2015-07-22,15.71,15.86,14.95,15.18,299500,14.727677
2015-07-21,16.290001,16.67,15.78,15.78,100500,15.309798
2015-07-20,17.15,17.18,15.84,16.440001,80500,15.950133
2015-07-17,17.440001,17.450001,17.059999,17.139999,160000,16.629273
2015-07-16,17.559999,17.57,17.15,17.200001,51700,16.687487
2015-07-15,17.59,17.67,17.24,17.559999,46500,17.036759
2015-07-14,17.610001,17.82,17.51,17.52,101400,16.997951
2015-07-13,17.870001,17.940001,17.280001,17.530001,62300,17.007654
2015-07-10,17.559999,17.84,17.395,17.68,77600,17.153184
2015-07-09,17.83,17.98,17.200001,17.42,140000,16.900931
2015-07-08,17.469999,17.75,17.33,17.51,65800,16.988249
2015-07-07,17.93,17.98,17.18,17.50,96900,16.978547
2015-07-06,17.35,17.58,17.24,17.52,40000,16.997951
2015-07-02,17.50,17.610001,17.17,17.43,44000,16.910633
2015-07-01,17.75,18.145,17.190001,17.360001,55300,16.842719
2015-06-30,17.90,18.34,17.610001,17.700001,162200,17.172588
2015-06-29,18.059999,18.32,17.75,17.889999,74000,17.356925
2015-06-26,18.316,18.540001,17.719999,17.969999,79800,17.434542
2015-06-25,18.440001,18.77,18.34,18.35,38300,17.80322
2015-06-24,18.799999,18.93,18.25,18.40,67800,17.851729
2015-06-23,18.66,19.01,18.620001,18.690001,22700,18.133089
2015-06-22,18.92,18.92,18.51,18.549999,46800,17.997259
2015-06-19,19.23,19.23,18.879999,18.91,35200,18.346533
2015-06-18,19.26,19.26,18.73,19.209999,47900,18.637593
2015-06-17,19.115,19.231001,18.809999,18.969999,84100,18.404744
2015-06-16,18.98,18.98,18.709999,18.889999,105800,18.327128
2015-06-15,18.860001,19.01,18.620001,18.84,109800,18.278619
2015-06-12,19.309999,19.51,18.85,18.870001,121700,18.307725
