Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,20.50,20.52,20.15,20.440001,204600,20.052241
2015-10-08,19.73,20.42,19.52,20.42,165700,20.03262
2015-10-07,19.42,19.82,19.370001,19.76,280700,19.385141
2015-10-06,19.299999,19.68,18.67,19.35,226900,18.982919
2015-10-05,19.129999,19.42,19.07,19.370001,223100,19.00254
2015-10-02,18.690001,18.92,18.27,18.90,207400,18.541455
2015-10-01,19.23,19.43,18.73,18.790001,210700,18.433543
2015-09-30,19.34,19.379999,19.049999,19.27,340100,18.904437
2015-09-29,19.700001,19.780001,19.09,19.25,213400,18.884816
2015-09-28,19.93,20.23,19.629999,19.709999,202800,19.336088
2015-09-25,20.16,20.32,19.67,20.049999,218100,19.669639
2015-09-24,19.58,20.10,19.42,20.10,204000,19.718691
2015-09-23,19.969999,20.02,19.57,19.65,162100,19.277227
2015-09-22,19.959999,20.08,19.77,19.870001,175600,19.493055
2015-09-21,20.09,20.25,19.82,20.18,157400,19.797173
2015-09-18,19.799999,20.42,19.790001,19.90,770900,19.522485
2015-09-17,19.959999,20.219999,19.610001,20.09,245300,19.708881
2015-09-16,19.57,20.42,19.48,20.01,248700,19.630398
2015-09-15,19.290001,19.65,19.290001,19.57,199600,19.198745
2015-09-14,19.200001,19.540001,19.190001,19.290001,215300,18.924058
2015-09-11,18.879999,19.209999,18.879999,19.10,160000,18.737662
2015-09-10,19.809999,20.01,18.889999,19.120001,272100,18.757283
2015-09-09,20.00,20.219999,19.90,20.030001,196600,19.650019
2015-09-08,19.75,20.059999,19.559999,19.77,204200,19.394952
2015-09-04,19.23,19.620001,19.200001,19.51,158600,19.139884
2015-09-03,19.50,19.75,19.40,19.52,145200,19.149694
2015-09-02,19.280001,19.49,19.16,19.389999,229900,19.022159
2015-09-01,19.190001,19.43,19.08,19.120001,217400,18.757283
2015-08-31,19.610001,19.84,19.32,19.51,196600,19.139884
2015-08-28,19.32,19.84,19.17,19.76,239700,19.385141
2015-08-27,19.67,19.67,19.15,19.370001,319300,19.00254
2015-08-26,19.209999,19.559999,18.700001,19.43,263300,19.061401
2015-08-25,19.700001,19.700001,18.690001,18.889999,347200,18.531645
2015-08-24,19.07,19.540001,18.51,19.209999,386400,18.845574
2015-08-21,19.530001,20.370001,19.50,20.059999,262900,19.679449
2015-08-20,19.99,20.219999,19.879999,19.90,271100,19.522485
2015-08-19,20.41,20.51,20.00,20.17,119700,19.787363
2015-08-18,20.59,20.719999,20.23,20.459999,151400,20.07186
2015-08-17,20.530001,20.67,20.280001,20.59,124500,20.199395
2015-08-14,20.07,20.620001,20.07,20.60,145300,20.209206
2015-08-13,19.950001,20.450001,19.950001,20.139999,133500,19.757931
2015-08-12,20.190001,20.50,19.780001,20.01,184100,19.630398
2015-08-11,19.84,20.530001,19.84,20.450001,150200,20.062052
2015-08-10,20.120001,20.48,19.629999,20.07,217300,19.68926
2015-08-07,19.440001,20.01,19.280001,19.959999,348200,19.581346
2015-08-06,20.75,20.75,19.41,19.620001,264700,19.247797
2015-08-05,20.02,20.360001,19.940001,20.07,139100,19.68926
2015-08-04,20.23,20.57,19.75,19.98,195700,19.600967
2015-08-03,20.00,20.27,19.85,20.24,190700,19.856035
2015-07-31,19.700001,20.290001,19.629999,19.93,224000,19.551916
2015-07-30,19.860001,19.950001,19.59,19.690001,163400,19.316469
2015-07-29,19.809999,20.10,19.58,19.889999,103500,19.512674
2015-07-28,19.690001,19.92,19.32,19.68,194300,19.306659
2015-07-27,19.48,19.809999,19.34,19.58,146600,19.208555
2015-07-24,20.139999,20.280001,19.389999,19.530001,202700,19.159505
2015-07-23,20.27,20.58,20.07,20.209999,141300,19.826603
2015-07-22,20.25,20.379999,20.10,20.18,105200,19.797173
2015-07-21,20.530001,20.709999,20.18,20.25,113400,19.865845
2015-07-20,20.809999,20.85,20.43,20.50,139200,20.111103
2015-07-17,20.76,20.83,20.66,20.709999,172300,20.317118
2015-07-16,20.50,20.83,20.450001,20.68,179200,20.287688
2015-07-15,20.49,20.540001,20.209999,20.43,134300,20.042431
2015-07-14,20.41,20.50,20.209999,20.370001,125100,19.98357
2015-07-13,20.389999,20.459999,20.030001,20.360001,134600,19.973759
2015-07-10,20.59,20.620001,20.32,20.610001,165200,19.839358
2015-07-09,20.809999,20.879999,20.219999,20.299999,203500,19.540949
2015-07-08,20.559999,20.809999,20.309999,20.59,343200,19.820106
2015-07-07,20.540001,20.67,20.450001,20.610001,220400,19.839358
2015-07-06,20.66,20.75,20.50,20.58,327000,19.81048
2015-07-02,21.09,21.219999,20.83,20.85,180500,20.070384
2015-07-01,21.280001,21.280001,20.84,21.07,199600,20.282157
2015-06-30,20.98,21.209999,20.85,21.01,237500,20.224401
2015-06-29,21.200001,21.450001,20.90,20.940001,160900,20.157019
2015-06-26,21.60,21.60,21.25,21.360001,691500,20.561315
2015-06-25,21.940001,21.950001,21.559999,21.60,181400,20.79234
2015-06-24,21.59,21.870001,21.530001,21.84,217300,21.023366
2015-06-23,21.530001,21.76,21.440001,21.610001,212700,20.801967
2015-06-22,21.23,21.57,21.120001,21.49,139300,20.686453
2015-06-19,21.620001,21.700001,21.09,21.17,542500,20.378419
2015-06-18,21.33,21.67,21.15,21.559999,196300,20.753835
2015-06-17,21.25,21.43,21.030001,21.16,168900,20.368792
2015-06-16,21.02,21.280001,20.860001,21.139999,254300,20.34954
2015-06-15,20.91,21.059999,20.700001,21.00,246500,20.214775
2015-06-12,20.950001,21.190001,20.75,20.99,152200,20.205149
2015-06-11,20.85,21.00,20.76,20.99,133400,20.205149
2015-06-10,20.66,20.90,20.57,20.83,204500,20.051132
2015-06-09,20.57,20.85,20.309999,20.549999,111600,19.781601
2015-06-08,20.450001,20.709999,20.27,20.610001,129000,19.839358
2015-06-05,20.530001,20.530001,19.950001,20.50,168300,19.733471
2015-06-04,20.75,20.950001,20.290001,20.50,148400,19.733471
2015-06-03,20.91,20.91,20.57,20.83,170800,20.051132
2015-06-02,20.129999,20.75,20.07,20.75,220600,19.974123
2015-06-01,20.77,20.77,20.049999,20.16,278700,19.406184
2015-05-29,20.99,21.040001,20.51,20.719999,327700,19.945244
2015-05-28,20.360001,21.09,20.360001,21.07,341000,20.282157
2015-05-27,20.00,20.389999,19.52,20.370001,356400,19.608333
2015-05-26,19.950001,19.99,19.719999,19.90,174700,19.155906
2015-05-22,20.129999,20.129999,19.77,19.959999,168200,19.213662
2015-05-21,20.110001,20.18,19.93,20.07,176800,19.319549
2015-05-20,20.139999,20.200001,19.959999,20.08,155100,19.329175
2015-05-19,20.41,20.49,19.940001,20.01,201600,19.261793
2015-05-18,20.190001,20.459999,20.08,20.379999,173700,19.617957
2015-05-15,20.139999,20.290001,20.01,20.16,172300,19.406184
2015-05-14,20.059999,20.360001,19.92,20.15,173900,19.396558
2015-05-13,20.07,20.24,19.889999,20.040001,181600,19.290672
2015-05-12,20.129999,20.23,19.780001,20.049999,197400,19.300296
2015-05-11,19.950001,20.27,19.85,20.209999,292000,19.454314
2015-05-08,20.41,20.469999,19.65,19.950001,297000,19.204037
2015-05-07,20.18,20.18,18.889999,19.719999,691900,18.982636
2015-05-06,20.860001,20.940001,20.26,20.52,334400,19.752724
2015-05-05,20.77,20.940001,20.540001,20.73,321500,19.95487
2015-05-04,21.23,21.370001,20.799999,20.90,216800,20.118514
2015-05-01,21.370001,21.42,21.049999,21.32,289900,20.522809
2015-04-30,21.08,21.290001,20.83,21.07,325300,20.282157
2015-04-29,21.219999,21.370001,20.870001,21.23,177300,20.436175
2015-04-28,20.809999,21.59,20.809999,21.52,218900,20.715332
2015-04-27,21.33,21.40,20.76,20.85,212000,20.070384
2015-04-24,21.25,21.32,20.91,21.299999,166000,20.503557
2015-04-23,20.99,21.32,20.91,21.18,170300,20.388045
2015-04-22,20.92,20.969999,20.700001,20.93,134100,20.147393
2015-04-21,21.200001,21.27,20.790001,20.889999,148000,20.108888
2015-04-20,20.42,21.469999,20.379999,21.18,361100,20.388045
2015-04-17,20.67,20.790001,20.309999,20.440001,248500,19.675715
2015-04-16,20.68,20.969999,20.65,20.799999,201600,20.022253
2015-04-15,20.91,20.940001,20.66,20.77,230800,19.993376
2015-04-14,20.58,21.00,20.469999,20.809999,340600,20.031879
2015-04-13,20.76,20.860001,20.51,20.629999,309000,19.858609
2015-04-10,21.15,21.360001,21.01,21.23,301800,20.063645
2015-04-09,21.07,21.139999,20.610001,21.01,307300,19.855732
2015-04-08,21.16,21.17,20.57,20.90,474300,19.751775
2015-04-07,21.59,21.639999,21.16,21.209999,175100,20.044744
2015-04-06,21.82,21.98,21.32,21.549999,222000,20.366064
2015-04-02,21.49,21.98,21.200001,21.889999,293400,20.687385
