Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.18,3.26,3.10,3.12,9400,3.12
2015-10-08,3.18,3.20,3.10,3.16,26200,3.16
2015-10-07,3.25,3.26,3.20,3.20,58700,3.20
2015-10-06,3.32,3.38,3.24,3.24,8200,3.24
2015-10-05,3.13,3.36,3.13,3.36,7700,3.36
2015-10-02,3.14,3.19,3.02,3.16,15600,3.16
2015-10-01,3.20,3.30,3.18,3.22,16400,3.22
2015-09-30,3.20,3.33,3.16,3.20,32500,3.20
2015-09-29,3.10,3.19,3.06,3.11,36300,3.11
2015-09-28,3.32,3.32,2.95,3.15,37100,3.15
2015-09-25,3.60,3.60,3.20,3.36,32200,3.36
2015-09-24,3.52,3.62,3.49,3.62,3000,3.62
2015-09-23,3.60,3.64,3.58,3.64,2200,3.64
2015-09-22,3.51,3.61,3.50,3.55,15200,3.55
2015-09-21,3.85,3.85,3.55,3.60,12700,3.60
2015-09-18,3.68,3.68,3.62,3.63,12400,3.63
2015-09-17,3.80,3.80,3.59,3.68,17900,3.68
2015-09-16,3.73,3.73,3.57,3.58,23600,3.58
2015-09-15,3.82,3.82,3.72,3.76,11200,3.76
2015-09-14,3.82,3.87,3.78,3.87,1000,3.87
2015-09-11,3.87,3.93,3.70,3.79,18200,3.79
2015-09-10,3.72,3.86,3.72,3.77,8300,3.77
2015-09-09,3.95,3.96,3.65,3.82,30000,3.82
2015-09-08,4.01,4.04,3.88,3.92,32000,3.92
2015-09-04,3.90,3.94,3.81,3.89,20000,3.89
2015-09-03,3.80,4.25,3.80,3.81,21300,3.81
2015-09-02,3.90,3.90,3.73,3.73,3800,3.73
2015-09-01,3.37,3.70,3.37,3.70,2800,3.70
2015-08-31,3.38,3.58,3.38,3.56,5500,3.56
2015-08-28,3.60,3.64,3.58,3.58,5300,3.58
2015-08-27,3.50,3.70,3.50,3.69,8300,3.69
2015-08-26,3.26,3.38,3.21,3.38,24000,3.38
2015-08-25,2.47,3.13,2.47,3.06,17100,3.06
2015-08-24,2.26,2.72,2.25,2.72,15500,2.72
2015-08-21,3.16,3.16,2.73,2.73,24600,2.73
2015-08-20,3.38,3.38,3.28,3.29,14300,3.29
2015-08-19,3.47,3.47,3.47,3.47,5000,3.47
2015-08-18,3.65,3.65,3.48,3.49,35200,3.49
2015-08-17,3.59,3.69,3.59,3.69,7100,3.69
2015-08-14,3.64,3.64,3.51,3.51,6800,3.51
2015-08-13,3.57,3.57,3.53,3.54,2600,3.54
2015-08-12,3.28,3.64,3.28,3.64,17100,3.64
2015-08-11,3.55,3.55,3.27,3.35,19900,3.35
2015-08-10,3.71,3.72,3.60,3.60,24300,3.60
2015-08-07,3.88,3.88,3.77,3.77,800,3.77
2015-08-06,4.14,4.18,3.96,3.96,26300,3.96
2015-08-05,3.97,4.11,3.97,4.11,16500,4.11
