Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.79,15.88,15.79,15.86,17000,15.570739
2015-10-08,15.80,15.87,15.80,15.80,44200,15.511834
2015-10-07,15.91,15.91,15.75,15.85,25200,15.560922
2015-10-06,15.90,15.98,15.88,15.93,68400,15.639463
2015-10-05,16.17,16.17,15.92,15.94,56700,15.64928
2015-10-02,15.94,16.00,15.94,15.99,20100,15.698368
2015-10-01,16.040001,16.049999,15.92,15.98,15500,15.68855
2015-09-30,15.94,16.07,15.94,16.00,32800,15.708186
2015-09-29,15.94,16.030001,15.85,15.96,35300,15.668916
2015-09-28,15.78,16.10,15.70,15.90,36400,15.61001
2015-09-25,16.190001,16.219999,16.16,16.16,6900,15.767092
2015-09-24,16.23,16.280001,16.15,16.16,29800,15.767092
2015-09-23,16.200001,16.26,16.200001,16.26,21500,15.864661
2015-09-22,16.219999,16.25,16.18,16.18,55500,15.786606
2015-09-21,16.25,16.33,16.25,16.26,27500,15.864661
2015-09-18,16.25,16.33,16.25,16.25,20800,15.854904
2015-09-17,16.25,16.309999,16.209999,16.290001,23000,15.893932
2015-09-16,16.290001,16.309999,16.209999,16.290001,40000,15.893932
2015-09-15,16.23,16.32,16.23,16.27,28500,15.874418
2015-09-14,16.33,16.379999,16.200001,16.309999,50700,15.913444
2015-09-11,16.299999,16.379999,16.27,16.32,64100,15.923201
2015-09-10,16.33,16.35,16.200001,16.35,49500,15.952473
2015-09-09,16.280001,16.35,16.25,16.280001,55300,15.884175
2015-09-08,16.27,16.379999,16.27,16.33,38400,15.932958
2015-09-04,16.41,16.41,16.25,16.27,31000,15.874418
2015-09-03,16.370001,16.50,16.309999,16.309999,33900,15.913444
2015-09-02,16.15,16.48,16.15,16.42,220700,16.02077
2015-09-01,16.219999,16.299999,16.219999,16.25,59000,15.854904
2015-08-31,16.27,16.280001,16.200001,16.219999,45200,15.825632
2015-08-28,16.299999,16.33,16.200001,16.25,62900,15.854904
2015-08-27,16.41,16.450001,16.209999,16.360001,63800,15.96223
2015-08-26,16.299999,16.41,16.299999,16.41,114200,15.913445
2015-08-25,16.700001,16.700001,16.299999,16.299999,52800,15.806772
2015-08-24,15.90,16.299999,15.87,16.299999,91800,15.806772
2015-08-21,16.309999,16.309999,16.049999,16.27,52300,15.777681
2015-08-20,16.299999,16.389999,16.27,16.309999,36000,15.81647
2015-08-19,16.299999,16.34,16.290001,16.290001,57200,15.797077
2015-08-18,16.26,16.32,16.26,16.26,42700,15.767984
2015-08-17,16.280001,16.299999,16.219999,16.290001,29400,15.797077
2015-08-14,16.280001,16.299999,16.190001,16.26,28300,15.767984
2015-08-13,16.200001,16.34,16.200001,16.299999,27700,15.806772
2015-08-12,16.120001,16.219999,15.78,16.219999,44900,15.729193
2015-08-11,16.200001,16.23,16.18,16.209999,24100,15.719496
2015-08-10,16.389999,16.43,16.219999,16.24,33600,15.748589
2015-08-07,16.32,16.42,16.299999,16.34,38700,15.845563
2015-08-06,16.34,16.35,16.309999,16.32,24900,15.826168
2015-08-05,16.50,16.50,16.309999,16.34,38600,15.845563
2015-08-04,16.35,16.40,16.32,16.35,10200,15.855261
2015-08-03,16.280001,16.43,16.25,16.33,35700,15.835865
2015-07-31,16.32,16.370001,16.200001,16.280001,22700,15.787379
2015-07-30,16.41,16.459999,16.299999,16.299999,28100,15.806772
2015-07-29,16.48,16.57,16.360001,16.49,80600,15.991024
2015-07-28,16.50,16.58,16.40,16.58,81000,15.981327
2015-07-27,16.389999,16.57,16.370001,16.52,489100,15.923494
2015-07-24,16.469999,16.50,16.35,16.379999,30200,15.788548
2015-07-23,16.530001,16.530001,16.35,16.48,215900,15.884937
2015-07-22,16.50,16.530001,16.290001,16.50,49700,15.904216
2015-07-21,16.42,16.58,16.32,16.450001,30100,15.856022
2015-07-20,16.389999,16.50,16.370001,16.450001,20600,15.856022
2015-07-17,16.309999,16.450001,16.309999,16.360001,39000,15.769271
2015-07-16,16.33,16.379999,16.280001,16.32,49200,15.730715
2015-07-15,16.26,16.360001,16.26,16.35,24000,15.759632
2015-07-14,16.360001,16.370001,16.25,16.280001,19600,15.69216
2015-07-13,16.370001,16.43,16.34,16.40,26300,15.807826
2015-07-10,16.26,16.440001,16.26,16.440001,48300,15.846383
2015-07-09,16.24,16.290001,16.219999,16.290001,29800,15.701799
2015-07-08,16.219999,16.290001,16.09,16.209999,27600,15.624686
2015-07-07,16.32,16.360001,16.26,16.34,18300,15.749993
2015-07-06,16.299999,16.40,16.299999,16.379999,19800,15.788548
2015-07-02,16.35,16.35,16.32,16.33,85500,15.740354
