Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.92,10.95,10.77,10.80,48700,10.682199
2015-10-08,10.77,10.99,10.75,10.94,98900,10.820671
2015-10-07,10.44,10.81,10.44,10.81,85900,10.69209
2015-10-06,10.38,10.54,10.32,10.43,100900,10.316235
2015-10-05,10.29,10.63,10.23,10.39,146300,10.276671
2015-10-02,10.17,10.27,10.06,10.20,104000,10.088743
2015-10-01,10.33,10.37,10.08,10.22,110500,10.108525
2015-09-30,10.23,10.43,10.04,10.28,221600,10.16787
2015-09-29,10.20,10.35,10.05,10.20,101100,10.088743
2015-09-28,10.39,10.45,10.20,10.20,101500,10.088743
2015-09-25,10.63,10.78,10.46,10.46,117300,10.345907
2015-09-24,10.61,10.71,10.49,10.58,83100,10.464598
2015-09-23,10.70,10.75,10.64,10.66,75600,10.543726
2015-09-22,10.67,10.79,10.29,10.66,178900,10.543726
2015-09-21,10.67,10.92,10.64,10.74,196700,10.622853
2015-09-18,10.37,10.89,10.37,10.59,552600,10.474489
2015-09-17,10.33,10.71,10.28,10.49,196200,10.37558
2015-09-16,10.10,10.42,10.08,10.28,128900,10.16787
2015-09-15,9.97,10.10,9.96,10.04,99800,9.930488
2015-09-14,9.93,10.03,9.87,9.96,140800,9.851361
2015-09-11,9.69,9.96,9.69,9.88,130700,9.772234
2015-09-10,9.70,9.79,9.65,9.74,65100,9.63376
2015-09-09,9.96,9.98,9.71,9.74,143200,9.63376
2015-09-08,9.86,9.98,9.80,9.88,109200,9.772234
2015-09-04,9.80,9.81,9.67,9.76,72400,9.653543
2015-09-03,10.11,10.16,9.89,9.95,111700,9.84147
2015-09-02,10.07,10.09,9.84,10.09,121600,9.979943
2015-09-01,9.92,10.18,9.91,9.96,153000,9.851361
2015-08-31,10.05,10.10,9.93,10.07,145900,9.960161
2015-08-28,10.15,10.17,9.97,10.09,187700,9.979943
2015-08-27,10.36,10.36,9.95,10.19,234000,10.078852
2015-08-26,9.71,10.30,9.46,10.28,194500,10.16787
2015-08-25,10.05,10.05,9.85,9.86,232800,9.628815
2015-08-24,9.97,10.11,7.90,9.96,378000,9.726471
2015-08-21,10.27,10.42,10.21,10.27,204700,10.029202
2015-08-20,10.67,10.67,10.43,10.43,231000,10.185451
2015-08-19,10.89,10.94,10.68,10.72,128300,10.468651
2015-08-18,10.72,10.94,10.63,10.91,187900,10.654196
2015-08-17,10.86,10.88,10.73,10.75,97100,10.497948
2015-08-14,10.64,10.92,10.61,10.92,120500,10.663962
2015-08-13,10.83,10.89,10.69,10.69,118900,10.439354
2015-08-12,10.79,10.87,10.67,10.86,201700,10.605368
2015-08-11,10.93,11.06,10.85,10.86,127400,10.605368
2015-08-10,10.90,11.04,10.79,10.97,323400,10.71279
2015-08-07,10.50,10.84,10.45,10.82,274100,10.566306
2015-08-06,10.71,10.71,10.30,10.55,223300,10.302637
2015-08-05,11.02,11.06,10.68,10.72,158500,10.468651
2015-08-04,10.85,11.22,10.74,11.00,259000,10.742086
2015-08-03,10.70,10.72,10.52,10.62,184100,10.370996
2015-07-31,10.49,10.69,10.42,10.68,170400,10.429589
2015-07-30,10.44,10.55,10.40,10.43,225900,10.185451
2015-07-29,10.18,10.55,10.13,10.53,147100,10.283106
2015-07-28,10.35,10.36,10.16,10.25,429900,10.009671
2015-07-27,10.11,10.41,10.11,10.31,113300,10.068265
2015-07-24,10.45,10.53,10.14,10.14,389200,9.90225
2015-07-23,10.96,10.96,10.46,10.54,269300,10.292871
2015-07-22,11.00,11.08,10.88,10.93,94600,10.673727
2015-07-21,11.31,11.47,10.94,10.97,239500,10.71279
2015-07-20,11.78,11.89,11.33,11.38,167800,11.113176
2015-07-17,11.75,11.88,11.64,11.84,322200,11.562391
2015-07-16,11.80,11.90,11.73,11.78,153600,11.503797
2015-07-15,11.74,11.81,11.61,11.79,130400,11.513563
2015-07-14,11.72,11.82,11.61,11.73,79600,11.454969
2015-07-13,11.71,11.91,11.61,11.76,107900,11.484267
2015-07-10,11.64,11.79,11.62,11.70,87500,11.425673
2015-07-09,11.53,11.60,11.42,11.56,167200,11.288956
2015-07-08,11.52,11.61,11.40,11.49,108900,11.220597
2015-07-07,11.58,11.66,11.48,11.59,99100,11.318252
2015-07-06,11.51,11.70,11.51,11.63,116000,11.357315
2015-07-02,11.65,11.80,11.57,11.58,73500,11.308487
2015-07-01,11.59,11.74,11.56,11.69,121000,11.415907
2015-06-30,11.78,11.78,11.54,11.57,130400,11.298721
2015-06-29,11.83,11.94,11.66,11.70,153400,11.425673
2015-06-26,11.94,12.01,11.79,11.90,1492200,11.620983
2015-06-25,12.00,12.00,11.86,11.95,176000,11.669811
2015-06-24,11.96,12.04,11.89,11.96,309500,11.679577
2015-06-23,11.93,11.98,11.88,11.95,226400,11.669811
2015-06-22,11.91,12.03,11.89,11.95,144200,11.669811
2015-06-19,11.70,11.94,11.66,11.90,246400,11.620983
2015-06-18,11.64,11.77,11.60,11.66,252200,11.386611
2015-06-17,11.47,11.72,11.41,11.60,233100,11.328018
2015-06-16,11.32,11.46,11.26,11.43,219800,11.162004
2015-06-15,11.54,11.54,11.27,11.34,210200,11.074114
2015-06-12,11.56,11.68,11.54,11.56,86000,11.288956
2015-06-11,11.64,11.71,11.51,11.62,112900,11.347549
2015-06-10,11.52,11.80,11.40,11.68,130200,11.406142
2015-06-09,11.53,11.60,11.34,11.44,120000,11.171769
2015-06-08,11.60,11.73,11.49,11.51,97200,11.240128
2015-06-05,11.43,11.65,11.35,11.60,101400,11.328018
2015-06-04,11.73,11.73,11.47,11.54,153500,11.269425
2015-06-03,11.76,11.85,11.69,11.80,116200,11.523329
2015-06-02,11.74,11.83,11.70,11.76,156100,11.484267
2015-06-01,11.91,11.91,11.71,11.76,172100,11.484267
2015-05-29,12.00,12.04,11.71,11.90,234700,11.620983
2015-05-28,11.91,12.06,11.86,11.97,160100,11.689343
2015-05-27,11.83,12.03,11.77,11.90,173300,11.620983
2015-05-26,11.98,12.08,11.85,11.98,120700,11.577039
2015-05-22,12.06,12.09,11.91,11.99,143000,11.586703
2015-05-21,12.12,12.21,12.00,12.07,90900,11.664012
2015-05-20,12.22,12.29,12.17,12.19,99600,11.779976
2015-05-19,12.17,12.22,12.13,12.20,120900,11.789639
2015-05-18,12.12,12.21,12.08,12.16,126400,11.750985
2015-05-15,12.12,12.22,12.08,12.13,114600,11.721994
2015-05-14,12.00,12.18,11.97,12.13,106800,11.721994
2015-05-13,11.93,12.00,11.92,11.99,63200,11.586703
2015-05-12,11.82,12.00,11.71,11.94,91700,11.538385
2015-05-11,12.10,12.16,11.91,11.92,88100,11.519058
2015-05-08,12.11,12.29,12.07,12.14,161400,11.731658
2015-05-07,11.86,12.10,11.83,12.02,121400,11.615695
2015-05-06,11.87,11.93,11.77,11.90,163100,11.49973
2015-05-05,11.68,11.93,11.65,11.90,173500,11.49973
2015-05-04,11.65,11.89,11.56,11.64,161400,11.248476
2015-05-01,11.60,11.91,11.55,11.65,106800,11.258139
2015-04-30,11.80,11.83,11.53,11.60,155300,11.209822
2015-04-29,11.96,12.02,11.71,11.82,147100,11.422421
2015-04-28,11.81,12.08,11.71,12.07,150000,11.664012
2015-04-27,11.64,11.79,11.64,11.79,127300,11.39343
2015-04-24,11.68,11.77,11.60,11.63,56200,11.238812
2015-04-23,11.50,11.68,11.50,11.65,58400,11.258139
2015-04-22,11.48,11.62,11.46,11.56,58000,11.171167
2015-04-21,11.52,11.53,11.43,11.48,89400,11.093857
2015-04-20,11.50,11.52,11.42,11.50,109200,11.113185
2015-04-17,11.38,11.50,11.31,11.46,122800,11.07453
2015-04-16,11.43,11.48,11.29,11.44,138000,11.055203
2015-04-15,11.57,11.63,11.48,11.50,167500,11.113185
2015-04-14,11.28,11.61,11.26,11.60,132100,11.209822
2015-04-13,11.31,11.38,11.28,11.33,88900,10.948903
2015-04-10,11.49,11.57,11.31,11.36,143600,10.977894
2015-04-09,11.80,11.80,11.39,11.43,110700,11.04554
2015-04-08,11.72,11.90,11.69,11.83,103900,11.432085
2015-04-07,11.65,11.79,11.61,11.76,131000,11.36444
2015-04-06,11.65,11.76,11.61,11.69,91900,11.296794
2015-04-02,11.64,11.81,11.64,11.67,91600,11.277467
2015-04-01,11.65,11.74,11.57,11.70,81800,11.306458
2015-03-31,11.63,11.74,11.63,11.72,184000,11.325785
2015-03-30,11.58,11.74,11.57,11.72,140200,11.325785
2015-03-27,11.54,11.61,11.49,11.57,113700,11.18083
2015-03-26,11.50,11.63,11.47,11.54,122600,11.151839
2015-03-25,11.96,11.98,11.60,11.61,115200,11.219485
2015-03-24,11.96,12.02,11.85,11.97,124800,11.567376
2015-03-23,12.02,12.15,11.92,12.02,127400,11.615695
2015-03-20,12.02,12.14,12.02,12.05,220800,11.644685
2015-03-19,11.88,12.14,11.88,12.01,105100,11.606031
2015-03-18,11.81,12.00,11.70,11.96,109500,11.557712
2015-03-17,11.90,12.00,11.83,11.86,131700,11.461076
2015-03-16,12.04,12.13,11.91,11.96,120800,11.557712
2015-03-13,12.11,12.11,11.85,12.00,140000,11.596367
2015-03-12,11.95,12.15,11.93,12.14,186000,11.731658
2015-03-11,11.97,11.97,11.85,11.92,128300,11.519058
2015-03-10,11.74,11.97,11.68,11.91,208600,11.509394
2015-03-09,11.87,11.98,11.76,11.86,150700,11.461076
