Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,1.71,1.76,1.71,1.74,36800,1.74
2015-10-08,1.77,1.77,1.66,1.74,40700,1.74
2015-10-07,1.83,1.929,1.71,1.77,137000,1.77
2015-10-06,1.55,1.98,1.55,1.83,160300,1.83
2015-10-05,1.56,1.65,1.56,1.62,38700,1.62
2015-10-02,1.57,1.61,1.52,1.56,61000,1.56
2015-10-01,1.59,1.625,1.51,1.60,104700,1.60
2015-09-30,1.74,1.85,1.50,1.67,133600,1.67
2015-09-29,1.95,2.16,1.53,1.72,231000,1.72
2015-09-28,2.23,2.30,2.03,2.09,122000,2.09
2015-09-25,2.53,2.63,2.16,2.39,414900,2.39
2015-09-24,2.90,2.99,2.31,2.53,1045700,2.53
2015-09-23,2.39,2.85,2.36,2.79,513900,2.79
2015-09-22,2.26,2.39,2.22,2.32,198500,2.32
2015-09-21,2.17,2.25,2.16,2.24,167000,2.24
2015-09-18,2.16,2.31,2.149,2.15,321800,2.15
2015-09-17,2.01,2.25,1.95,2.14,211900,2.14
2015-09-16,1.93,1.989,1.89,1.95,32300,1.95
2015-09-15,1.85,1.93,1.79,1.93,27900,1.93
2015-09-14,1.84,1.90,1.75,1.81,50400,1.81
2015-09-11,1.80,1.81,1.67,1.75,23500,1.75
2015-09-10,1.88,1.88,1.73,1.81,27500,1.81
2015-09-09,1.83,2.05,1.76,1.80,79200,1.80
2015-09-08,1.78,2.04,1.73,1.82,115600,1.82
2015-09-04,1.52,1.78,1.49,1.78,67000,1.78
2015-09-03,1.52,1.59,1.49,1.49,92600,1.49
2015-09-02,1.50,1.57,1.49,1.49,20900,1.49
2015-09-01,1.40,1.60,1.40,1.50,53100,1.50
2015-08-31,1.53,1.75,1.35,1.48,85600,1.48
2015-08-28,1.61,1.63,1.54,1.58,83200,1.58
2015-08-27,1.70,1.70,1.55,1.57,35600,1.57
2015-08-26,1.63,1.70,1.55,1.55,73000,1.55
2015-08-25,1.78,1.78,1.63,1.63,33800,1.63
2015-08-24,1.68,1.70,1.55,1.70,121500,1.70
2015-08-21,1.71,1.76,1.70,1.75,84400,1.75
2015-08-20,1.79,1.79,1.63,1.76,79100,1.76
2015-08-19,1.57,1.78,1.57,1.78,80800,1.78
2015-08-18,1.60,1.77,1.60,1.65,90600,1.65
2015-08-17,1.72,1.80,1.52,1.63,89600,1.63
2015-08-14,1.52,1.872,1.51,1.63,400800,1.63
2015-08-13,1.43,1.49,1.37,1.48,19200,1.48
2015-08-12,1.35,1.45,1.25,1.40,34500,1.40
2015-08-11,1.47,1.47,1.35,1.39,45300,1.39
2015-08-10,1.45,1.54,1.41,1.46,55800,1.46
2015-08-07,1.33,1.51,1.30,1.49,66400,1.49
2015-08-06,1.39,1.43,1.33,1.36,10900,1.36
2015-08-05,1.51,1.51,1.40,1.40,11200,1.40
2015-08-04,1.54,1.54,1.33,1.47,74900,1.47
2015-08-03,1.47,1.54,1.40,1.51,29800,1.51
2015-07-31,1.46,1.51,1.41,1.51,43200,1.51
2015-07-30,1.59,1.59,1.40,1.48,49600,1.48
2015-07-29,1.56,1.60,1.33,1.54,50300,1.54
