Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,33.009998,33.549999,32.799999,33.240002,491200,32.975111
2015-10-08,32.310001,33.09,32.139999,32.900002,217200,32.637821
2015-10-07,31.969999,32.57,31.68,32.360001,327100,32.102123
2015-10-06,31.709999,32.009998,31.559999,31.780001,250500,31.526745
2015-10-05,30.84,31.790001,30.84,31.700001,262800,31.447383
2015-10-02,29.780001,30.690001,29.60,30.67,442900,30.42559
2015-10-01,30.030001,31.17,29.67,30.200001,850000,29.959336
2015-09-30,29.809999,30.129999,29.43,29.77,349600,29.532763
2015-09-29,29.360001,29.75,29.200001,29.41,275100,29.175631
2015-09-28,29.50,29.74,29.34,29.360001,403000,29.12603
2015-09-25,30.00,30.02,29.379999,29.65,389100,29.413718
2015-09-24,29.610001,29.83,29.16,29.76,237000,29.522842
2015-09-23,30.370001,30.459999,29.450001,29.75,241700,29.512922
2015-09-22,30.67,30.719999,30.17,30.280001,230900,30.038699
2015-09-21,31.440001,31.690001,31.00,31.110001,200100,30.862084
2015-09-18,31.60,32.139999,31.17,31.299999,652500,31.050569
2015-09-17,31.559999,32.279999,31.24,31.92,590800,31.665629
2015-09-16,31.309999,31.719999,31.24,31.60,433800,31.348179
2015-09-15,30.629999,31.58,30.629999,31.40,438900,31.149772
2015-09-14,30.809999,30.959999,30.32,30.59,391600,30.346228
2015-09-11,30.530001,30.799999,30.299999,30.790001,240900,30.544635
2015-09-10,29.860001,30.66,29.76,30.639999,631200,30.395829
2015-09-09,30.879999,30.879999,29.959999,30.00,307800,29.760929
2015-09-08,30.219999,30.66,30.16,30.620001,432400,30.375989
2015-09-04,29.77,30.040001,29.65,29.74,303100,29.503001
2015-09-03,30.23,30.540001,30.049999,30.139999,245900,29.899813
2015-09-02,30.18,30.32,29.67,30.219999,261500,29.979175
2015-09-01,30.540001,30.790001,29.809999,29.91,398000,29.671646
2015-08-31,31.00,31.219999,30.60,31.120001,456700,30.872005
2015-08-28,30.82,31.209999,30.790001,31.190001,369000,30.941447
2015-08-27,30.719999,30.959999,30.200001,30.92,393500,30.673598
2015-08-26,30.709999,30.709999,29.60,30.389999,655700,30.147821
2015-08-25,31.01,31.10,30.040001,30.049999,739600,29.524825
2015-08-24,29.85,31.440001,29.709999,30.290001,860200,29.760632
2015-08-21,32.41,32.880001,31.66,31.700001,640000,31.14599
2015-08-20,33.259998,33.349998,32.669998,32.900002,600200,32.325019
2015-08-19,34.27,34.439999,33.48,33.57,542900,32.983308
2015-08-18,34.50,34.68,34.299999,34.540001,422700,33.936356
2015-08-17,34.18,34.650002,34.009998,34.650002,304800,34.044435
2015-08-14,33.799999,34.299999,33.580002,34.279999,264900,33.680898
2015-08-13,33.889999,34.18,33.470001,33.77,790600,33.179813
2015-08-12,34.279999,34.549999,33.50,33.849998,485300,33.258413
2015-08-11,35.380001,35.41,34.369999,34.610001,508800,34.005133
2015-08-10,35.259998,35.790001,35.150002,35.709999,378800,35.085907
2015-08-07,34.900002,35.189999,34.900002,35.130001,500400,34.516045
2015-08-06,34.889999,35.18,34.75,35.09,537000,34.476744
2015-08-05,34.630001,34.959999,34.48,34.900002,727500,34.290065
2015-08-04,33.759998,34.450001,33.75,34.43,944900,33.828278
2015-08-03,34.080002,34.32,33.549999,33.93,859700,33.337017
2015-07-31,33.50,34.07,32.98,34.049999,1327300,33.454918
2015-07-30,33.279999,34.099998,32.889999,32.970001,922200,32.393795
2015-07-29,33.16,33.66,33.00,33.560001,542400,32.973484
2015-07-28,33.560001,33.669998,32.799999,33.330002,838000,32.747504
2015-07-27,33.330002,33.709999,33.060001,33.66,608000,33.071735
2015-07-24,34.02,34.23,33.349998,33.610001,449700,33.022609
2015-07-23,34.150002,34.459999,34.029999,34.080002,345100,33.484397
2015-07-22,33.73,34.029999,33.689999,34.00,285800,33.405793
2015-07-21,33.91,34.27,33.639999,33.939999,391000,33.34684
2015-07-20,34.049999,34.099998,33.68,33.900002,602500,33.307542
2015-07-17,33.84,34.50,33.509998,33.990002,638400,33.395969
2015-07-16,34.009998,34.189999,33.639999,33.939999,352100,33.34684
2015-07-15,34.09,34.18,33.689999,33.849998,315200,33.258413
2015-07-14,34.18,34.389999,34.00,34.02,309400,33.425444
2015-07-13,33.900002,34.110001,33.73,34.110001,403100,33.513871
2015-07-10,33.790001,33.98,33.599998,33.799999,300400,33.209288
2015-07-09,34.23,34.259998,33.43,33.48,338700,32.89488
2015-07-08,33.779999,34.049999,33.630001,33.790001,575200,33.199464
2015-07-07,33.740002,34.139999,33.240002,34.009998,650400,33.415617
2015-07-06,34.169998,34.369999,33.619999,33.810001,600900,33.219115
2015-07-02,35.18,35.279999,34.459999,34.509998,290400,33.906878
2015-07-01,35.200001,35.220001,34.740002,35.130001,706700,34.516045
2015-06-30,35.689999,35.689999,34.939999,35.00,555900,34.388316
2015-06-29,35.540001,35.860001,35.259998,35.389999,763800,34.7715
2015-06-26,36.07,36.150002,35.290001,35.689999,4608700,35.066256
2015-06-25,36.779999,36.779999,36.009998,36.049999,337200,35.419965
2015-06-24,36.900002,37.049999,36.709999,36.779999,429900,36.137207
2015-06-23,36.830002,37.00,36.529999,36.939999,329600,36.29441
2015-06-22,37.060001,37.060001,36.330002,36.869999,362900,36.225634
2015-06-19,37.200001,37.259998,36.75,36.77,655100,36.127383
2015-06-18,37.240002,37.50,37.099998,37.139999,550100,36.490916
2015-06-17,37.490002,37.619999,36.959999,37.150002,449000,36.500743
2015-06-16,36.509998,38.00,36.369999,37.389999,1249800,36.736546
2015-06-15,36.799999,36.810001,36.150002,36.560001,497000,35.921054
2015-06-12,36.939999,37.09,36.740002,36.790001,636800,36.147034
2015-06-11,37.529999,37.529999,36.849998,36.959999,727200,36.314061
2015-06-10,37.560001,38.200001,36.869999,37.509998,1465500,36.854448
2015-06-09,35.23,38.939999,34.91,37.830002,4469900,37.168859
2015-06-08,35.57,35.709999,35.060001,35.23,606000,34.614296
2015-06-05,35.419998,35.709999,35.110001,35.59,467800,34.968005
2015-06-04,35.98,36.18,35.439999,35.50,725400,34.879578
2015-06-03,34.669998,35.619999,34.529999,35.580002,819200,34.958182
2015-06-02,34.240002,34.66,34.130001,34.560001,333300,33.956007
2015-06-01,34.380001,34.50,34.009998,34.349998,349800,33.749675
2015-05-29,34.150002,34.360001,33.869999,34.18,457900,33.582647
2015-05-28,33.43,34.099998,33.43,34.099998,503700,33.504044
2015-05-27,33.509998,33.73,33.360001,33.57,467800,32.983308
2015-05-26,33.799999,33.880001,33.209999,33.43,559100,32.845755
2015-05-22,34.09,34.23,33.880001,33.939999,326500,33.34684
2015-05-21,33.689999,34.110001,33.689999,34.09,369500,33.49422
2015-05-20,34.869999,34.869999,33.700001,33.75,484700,33.160162
2015-05-19,34.73,34.98,34.049999,34.950001,772900,34.056224
2015-05-18,34.299999,34.700001,34.18,34.650002,359700,33.763897
2015-05-15,34.380001,34.50,34.029999,34.290001,295700,33.413102
2015-05-14,33.939999,34.369999,33.849998,34.369999,298600,33.491054
2015-05-13,33.779999,33.919998,33.419998,33.650002,419300,32.78947
2015-05-12,33.799999,33.919998,33.259998,33.709999,411700,32.847933
2015-05-11,33.669998,33.990002,33.57,33.939999,424000,33.072051
2015-05-08,33.869999,34.110001,33.599998,33.73,286100,32.867422
2015-05-07,33.619999,33.799999,33.490002,33.700001,409600,32.83819
2015-05-06,34.150002,34.150002,33.400002,33.720001,679600,32.857679
2015-05-05,34.59,34.73,33.82,33.950001,547600,33.081797
2015-05-04,34.669998,35.07,34.349998,34.75,589900,33.861338
2015-05-01,34.669998,34.790001,34.040001,34.759998,724900,33.87108
2015-04-30,34.91,36.209999,34.279999,34.77,1241100,33.880827
2015-04-29,35.549999,35.619999,34.869999,35.259998,772100,34.358294
2015-04-28,35.049999,35.82,34.720001,35.799999,440400,34.884485
2015-04-27,35.169998,35.23,34.610001,34.900002,455800,34.007503
2015-04-24,35.540001,35.549999,35.060001,35.139999,339500,34.241364
2015-04-23,35.82,35.959999,35.139999,35.48,326300,34.572669
2015-04-22,35.549999,35.919998,35.130001,35.880001,228200,34.962441
2015-04-21,35.77,35.98,35.389999,35.560001,269400,34.650625
2015-04-20,35.43,35.720001,35.330002,35.639999,241800,34.728577
2015-04-17,35.330002,35.799999,35.049999,35.25,379200,34.348551
2015-04-16,35.41,35.689999,35.279999,35.540001,239800,34.631136
2015-04-15,35.509998,35.77,35.380001,35.549999,462900,34.640879
2015-04-14,35.509998,35.779999,35.09,35.41,466100,34.504459
2015-04-13,35.68,35.68,34.75,35.509998,867000,34.601901
2015-04-10,36.029999,36.299999,35.759998,35.849998,416300,34.933206
2015-04-09,35.709999,36.119999,35.259998,35.990002,349400,35.069629
2015-04-08,35.41,35.759998,35.009998,35.66,452800,34.748066
2015-04-07,35.560001,35.59,35.220001,35.279999,345700,34.377783
2015-04-06,34.73,35.380001,34.48,35.360001,486300,34.455739
2015-04-02,34.560001,34.990002,34.439999,34.860001,199700,33.968525
2015-04-01,35.400002,35.509998,34.330002,34.560001,457300,33.676198
2015-03-31,35.150002,35.939999,35.060001,35.459999,634600,34.55318
2015-03-30,34.830002,35.400002,34.68,35.25,454800,34.348551
2015-03-27,34.650002,34.73,34.290001,34.639999,258300,33.75415
2015-03-26,34.32,34.73,34.150002,34.630001,309300,33.744408
2015-03-25,35.490002,35.549999,34.450001,34.509998,293300,33.627474
