Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.23,3.25,3.23,3.25,272300,3.132484
2015-10-08,3.11,3.24,3.09,3.21,314000,3.09393
2015-10-07,3.09,3.12,3.05,3.11,285600,2.997546
2015-10-06,3.07,3.10,3.06,3.10,152700,2.987908
2015-10-05,3.04,3.07,3.03,3.07,185200,2.958992
2015-10-02,3.02,3.03,3.00,3.02,166900,2.9108
2015-10-01,3.06,3.08,3.01,3.03,282600,2.920439
2015-09-30,3.11,3.11,3.00,3.06,535300,2.949354
2015-09-29,3.13,3.14,3.08,3.09,316600,2.978269
2015-09-28,3.18,3.18,3.10,3.12,273100,3.007184
2015-09-25,3.16,3.18,3.16,3.17,89100,3.055377
2015-09-24,3.14,3.15,3.14,3.14,67300,3.026461
2015-09-23,3.17,3.19,3.15,3.15,155500,3.0361
2015-09-22,3.19,3.19,3.15,3.17,210300,3.055377
2015-09-21,3.22,3.23,3.20,3.21,168500,3.09393
2015-09-18,3.16,3.22,3.16,3.20,131900,3.084292
2015-09-17,3.15,3.19,3.15,3.19,117400,3.074653
2015-09-16,3.17,3.17,3.15,3.16,117000,3.045738
2015-09-15,3.17,3.18,3.14,3.17,164100,3.055377
2015-09-14,3.18,3.20,3.17,3.17,92200,3.055377
2015-09-11,3.20,3.20,3.17,3.18,107600,3.065015
2015-09-10,3.20,3.21,3.19,3.20,186200,3.084292
2015-09-09,3.23,3.24,3.21,3.21,109600,3.065979
2015-09-08,3.21,3.25,3.21,3.23,147200,3.085082
2015-09-04,3.22,3.23,3.21,3.21,171200,3.065979
2015-09-03,3.23,3.24,3.22,3.24,121600,3.094633
2015-09-02,3.22,3.24,3.22,3.23,179100,3.085082
2015-09-01,3.19,3.24,3.19,3.23,224600,3.085082
2015-08-31,3.20,3.22,3.19,3.21,135200,3.065979
2015-08-28,3.20,3.23,3.18,3.23,298100,3.085082
2015-08-27,3.17,3.19,3.15,3.16,246400,3.018222
2015-08-26,3.14,3.15,3.11,3.14,199000,2.99912
2015-08-25,3.13,3.14,3.08,3.11,169800,2.970465
2015-08-24,3.13,3.13,3.08,3.09,475300,2.951363
2015-08-21,3.20,3.21,3.16,3.19,279800,3.046876
2015-08-20,3.22,3.24,3.20,3.22,176400,3.07553
2015-08-19,3.21,3.23,3.20,3.23,137800,3.085082
2015-08-18,3.22,3.22,3.20,3.21,112800,3.065979
2015-08-17,3.21,3.23,3.20,3.21,197700,3.065979
2015-08-14,3.23,3.25,3.22,3.22,138100,3.07553
2015-08-13,3.21,3.24,3.21,3.24,169300,3.094633
2015-08-12,3.22,3.23,3.21,3.21,249200,3.065979
2015-08-11,3.28,3.29,3.23,3.23,249000,3.085082
2015-08-10,3.31,3.33,3.30,3.32,235100,3.143345
2015-08-07,3.30,3.32,3.29,3.30,220700,3.124409
2015-08-06,3.32,3.33,3.30,3.31,142800,3.133877
