Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,82.00,82.00,82.00,82.00,000,81.53915
2015-10-08,82.00,82.00,82.00,82.00,000,81.53915
2015-10-07,82.00,82.00,82.00,82.00,100,81.53915
2015-10-06,84.589996,84.589996,84.589996,84.589996,000,84.11459
2015-10-05,80.50,84.589996,78.809998,84.589996,4200,84.11459
2015-10-02,82.50,82.50,82.50,82.50,100,82.03634
2015-10-01,81.00,82.279999,81.00,82.00,1500,81.53915
2015-09-30,81.50,81.50,80.00,80.00,500,79.55039
2015-09-29,80.199997,80.25,80.199997,80.25,2100,79.798985
2015-09-28,81.00,82.349998,80.150002,80.25,1800,79.798985
2015-09-25,80.00,80.00,80.00,80.00,500,79.55039
2015-09-24,78.790001,80.769997,78.790001,80.769997,200,80.316059
2015-09-23,81.290001,81.790001,80.480003,80.480003,800,80.027696
2015-09-22,81.00,82.00,80.699997,80.900002,18000,80.445334
2015-09-21,81.010002,82.00,81.010002,81.330002,3400,80.872917
2015-09-18,81.010002,81.010002,78.00,78.00,2300,77.56163
2015-09-17,81.010002,81.010002,81.010002,81.010002,300,80.554716
2015-09-16,80.00,81.010002,80.00,81.010002,1000,80.554716
2015-09-15,81.699997,81.699997,81.00,81.010002,600,80.554716
2015-09-14,81.75,81.75,81.599998,81.75,500,81.290555
2015-09-11,81.959999,81.959999,81.959999,81.959999,300,81.499374
2015-09-10,81.629997,81.949997,81.629997,81.949997,400,81.489428
2015-09-09,80.00,81.959999,80.00,80.00,700,79.55039
2015-09-08,81.949997,81.959999,80.50,80.50,1300,80.04758
2015-09-04,81.50,82.720001,81.50,82.690002,1200,82.225275
2015-09-03,82.800003,82.800003,82.800003,82.800003,000,82.334657
2015-09-02,82.800003,82.800003,82.800003,82.800003,300,82.334657
2015-09-01,82.699997,82.699997,82.699997,82.699997,400,82.235213
2015-08-31,83.50,83.699997,83.50,83.699997,800,83.229593
2015-08-28,87.00,87.00,83.50,84.50,1000,84.0251
2015-08-27,86.589996,86.589996,86.589996,86.589996,000,86.10335
2015-08-26,86.589996,86.589996,86.589996,86.589996,000,86.10335
2015-08-25,86.589996,86.589996,86.589996,86.589996,300,86.10335
2015-08-24,84.339996,86.949997,84.339996,85.50,900,85.01948
2015-08-21,84.339996,86.949997,84.339996,86.949997,500,86.461327
2015-08-20,86.169998,86.169998,86.169998,86.169998,000,85.685712
2015-08-19,86.169998,86.169998,86.169998,86.169998,000,85.685712
2015-08-18,86.169998,86.169998,86.169998,86.169998,500,85.685712
2015-08-17,85.00,85.00,85.00,85.00,100,84.52229
2015-08-14,86.190002,86.190002,85.199997,85.199997,500,84.721163
2015-08-13,84.989998,84.989998,84.989998,84.989998,000,84.512344
2015-08-12,84.989998,84.989998,84.989998,84.989998,600,84.512344
2015-08-11,83.50,83.639999,83.50,83.639999,800,83.169932
2015-08-10,86.610001,87.00,82.00,82.00,3300,81.360162
2015-08-07,83.790001,84.629997,83.790001,84.629997,400,83.969638
2015-08-06,85.199997,85.199997,85.199997,85.199997,000,84.53519
2015-08-05,85.50,86.400002,85.00,85.199997,4800,84.53519
2015-08-04,86.349998,86.349998,86.349998,86.349998,000,85.676218
2015-08-03,85.00,88.099998,85.00,86.349998,5400,85.676218
2015-07-31,80.660004,86.230003,80.660004,82.599998,3000,81.955479
2015-07-30,84.739998,84.739998,84.739998,84.739998,000,84.07878
2015-07-29,84.739998,84.739998,84.739998,84.739998,000,84.07878
2015-07-28,84.75,84.75,84.739998,84.739998,1400,84.07878
2015-07-27,84.099998,85.43,82.790001,83.540001,5400,82.888146
2015-07-24,84.00,84.00,84.00,84.00,000,83.344556
2015-07-23,83.599998,84.00,83.599998,84.00,300,83.344556
2015-07-22,83.510002,83.510002,83.510002,83.510002,000,82.858382
2015-07-21,82.50,83.510002,82.50,83.510002,200,82.858382
2015-07-20,82.110001,83.959999,82.110001,82.25,1300,81.608211
2015-07-17,80.50,80.50,80.50,80.50,000,79.871866
2015-07-16,80.00,81.800003,78.800003,80.50,3700,79.871866
2015-07-15,79.209999,81.349998,79.209999,81.349998,1000,80.715232
2015-07-14,79.50,83.25,79.50,80.50,7400,79.871866
2015-07-13,79.25,79.25,79.25,79.25,000,78.63162
2015-07-10,79.25,79.25,79.25,79.25,300,78.63162
2015-07-09,78.50,78.50,78.50,78.50,000,77.887472
2015-07-08,79.510002,79.510002,78.50,78.50,3100,77.887472
2015-07-07,81.50,82.910004,78.940002,78.959999,3700,78.343882
2015-07-06,82.580002,82.580002,82.580002,82.580002,400,81.935638
2015-07-02,81.00,82.269997,81.00,82.269997,700,81.628052
2015-07-01,79.589996,81.190002,79.589996,81.190002,600,80.556485
2015-06-30,79.550003,79.550003,79.550003,79.550003,200,78.929282
2015-06-29,82.00,82.00,82.00,82.00,000,81.360162
2015-06-26,82.00,82.00,82.00,82.00,000,81.360162
2015-06-25,81.00,82.360001,80.989998,82.00,4800,81.360162
2015-06-24,81.419998,81.419998,81.00,81.00,400,80.367965
2015-06-23,80.550003,81.879997,80.550003,80.889999,600,80.258823
2015-06-22,80.419998,80.419998,80.419998,80.419998,000,79.792489
2015-06-19,80.419998,80.419998,80.419998,80.419998,000,79.792489
2015-06-18,80.419998,80.419998,80.419998,80.419998,200,79.792489
2015-06-17,82.00,83.00,81.25,81.25,3000,80.616014
2015-06-16,82.50,82.699997,82.50,82.610001,400,81.965403
2015-06-15,81.129997,82.540001,81.120003,82.010002,1400,81.370086
2015-06-12,85.00,85.00,85.00,85.00,000,84.336753
2015-06-11,85.00,85.00,85.00,85.00,000,84.336753
2015-06-10,85.00,85.00,85.00,85.00,100,84.336753
2015-06-09,82.209999,84.269997,82.209999,84.199997,2700,83.542992
2015-06-08,82.400002,82.400002,82.400002,82.400002,000,81.757042
2015-06-05,82.400002,82.400002,82.400002,82.400002,000,81.757042
2015-06-04,83.00,83.300003,82.400002,82.400002,400,81.757042
2015-06-03,83.690002,83.699997,83.690002,83.699997,300,83.046894
2015-06-02,82.00,84.699997,82.00,84.699997,3000,84.039091
2015-06-01,82.75,84.199997,82.669998,83.349998,9800,82.699626
2015-05-29,82.699997,84.349998,79.349998,81.00,22500,80.367965
2015-05-28,82.32,86.360001,81.00,81.00,11500,80.367965
2015-05-27,83.989998,86.50,81.989998,82.900002,14600,82.253141
2015-05-26,84.120003,84.120003,82.150002,82.150002,400,81.508993
2015-05-22,83.449997,84.00,82.489998,83.800003,4400,83.14612
2015-05-21,80.480003,83.50,78.489998,82.75,11100,82.10431
2015-05-20,78.25,84.300003,78.00,82.190002,11900,81.548682
2015-05-19,77.00,77.00,77.00,77.00,000,76.399176
2015-05-18,77.00,77.00,77.00,77.00,000,76.399176
2015-05-15,77.00,77.00,77.00,77.00,000,76.399176
2015-05-14,77.00,77.00,77.00,77.00,000,76.399176
2015-05-13,77.00,77.00,77.00,77.00,000,76.399176
2015-05-12,76.25,77.00,76.25,77.00,300,76.399176
2015-05-11,78.910004,78.910004,75.360001,78.50,2500,77.887472
2015-05-08,76.410004,76.410004,76.410004,76.410004,200,75.813784
2015-05-07,75.209999,75.209999,75.00,75.00,200,74.414782
2015-05-06,77.389999,77.389999,75.099998,75.099998,1000,74.514
2015-05-05,79.50,79.50,79.50,79.50,600,78.879669
2015-05-04,80.00,80.029999,78.550003,79.00,1500,78.383571
2015-05-01,79.50,79.50,79.50,79.50,000,78.701072
2015-04-30,79.50,79.50,79.50,79.50,000,78.701072
2015-04-29,79.50,79.50,79.50,79.50,000,78.701072
2015-04-28,80.050003,80.050003,79.50,79.50,600,78.701072
2015-04-27,82.00,82.00,82.00,82.00,1500,81.175949
2015-04-24,81.470001,81.470001,81.470001,81.470001,000,80.651276
2015-04-23,81.470001,81.470001,81.470001,81.470001,000,80.651276
2015-04-22,81.470001,81.470001,81.00,81.470001,1200,80.651276
2015-04-21,81.00,81.00,81.00,81.00,1000,80.185998
2015-04-20,80.25,80.25,76.690002,79.260002,700,78.463486
