Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,29.940001,30.00,29.27,29.360001,575600,28.576263
2015-10-08,29.200001,29.83,28.48,29.65,435500,28.858521
2015-10-07,28.860001,29.74,28.84,29.379999,698800,28.595728
2015-10-06,27.610001,28.969999,27.10,28.40,839100,27.641888
2015-10-05,26.24,27.639999,26.16,27.60,656700,26.863244
2015-10-02,25.559999,26.25,25.110001,25.860001,635500,25.169692
2015-10-01,24.43,26.07,24.24,25.82,1077600,25.130759
2015-09-30,22.40,24.68,22.379999,24.18,994500,23.534538
2015-09-29,22.98,23.60,22.040001,22.049999,902700,21.461395
2015-09-28,24.42,24.42,22.959999,22.98,971700,22.36657
2015-09-25,25.190001,25.870001,24.280001,24.50,897600,23.845996
2015-09-24,25.66,25.709999,24.27,25.030001,987600,24.361848
2015-09-23,27.690001,27.709999,25.690001,25.73,570500,25.043161
2015-09-22,27.780001,28.41,27.42,27.66,709200,26.921642
2015-09-21,27.790001,28.27,27.700001,28.040001,662000,27.291499
2015-09-18,28.440001,28.50,27.58,27.68,1553800,26.941109
2015-09-17,29.00,29.059999,28.42,28.66,1008800,27.894948
2015-09-16,28.98,29.709999,28.540001,28.68,588100,27.914415
2015-09-15,28.57,28.99,28.469999,28.68,590200,27.914415
2015-09-14,28.83,29.110001,28.469999,28.59,433100,27.826817
2015-09-11,29.66,29.99,28.559999,28.83,700800,28.06041
2015-09-10,30.139999,30.690001,29.66,30.200001,464500,29.39384
2015-09-09,31.27,32.50,29.83,30.26,1800300,29.452238
2015-09-08,27.629999,28.65,27.459999,28.40,1324300,27.641888
2015-09-04,27.620001,28.24,27.360001,27.40,334900,26.668582
2015-09-03,27.74,28.530001,27.59,27.870001,274500,27.126037
2015-09-02,27.40,27.84,26.799999,27.559999,631900,26.824311
2015-09-01,27.780001,27.969999,26.85,27.02,563500,26.298727
2015-08-31,27.950001,29.16,27.219999,28.200001,684700,27.447228
2015-08-28,27.129999,28.85,26.799999,28.07,394600,27.320697
2015-08-27,26.07,27.629999,26.02,27.41,504500,26.678316
2015-08-26,25.959999,25.959999,24.690001,25.780001,710100,25.091828
2015-08-25,26.43,26.66,25.450001,25.52,597500,24.838768
2015-08-24,25.629999,26.440001,24.879999,25.26,921800,24.585708
2015-08-21,27.17,27.57,26.00,26.76,797700,26.045667
2015-08-20,28.700001,29.549999,27.26,27.35,695400,26.619918
2015-08-19,29.98,31.00,29.01,29.02,814300,28.245339
2015-08-18,30.83,30.83,29.90,30.09,452200,29.286776
2015-08-17,30.040001,31.08,30.01,30.90,608300,30.075153
2015-08-14,30.299999,30.50,29.75,30.15,426200,29.345174
2015-08-13,29.780001,30.209999,29.41,29.93,533900,29.131047
2015-08-12,29.870001,31.120001,29.690001,30.08,683300,29.277043
2015-08-11,29.129999,31.540001,29.129999,30.01,1465900,29.208912
2015-08-10,27.389999,30.030001,27.360001,29.49,1125100,28.702792
2015-08-07,26.60,28.799999,26.60,27.40,943200,26.668582
2015-08-06,27.50,28.24,25.43,26.85,919100,26.133265
2015-08-05,28.99,29.879999,27.32,27.49,909500,26.75618
2015-08-04,29.790001,30.120001,29.52,29.60,455800,28.050677
2015-08-03,31.52,32.00,29.379999,29.60,984500,28.050677
2015-07-31,30.459999,31.26,30.440001,31.200001,615500,29.56693
2015-07-30,30.77,31.07,29.91,30.77,395500,29.159437
2015-07-29,29.65,30.93,29.16,30.92,372200,29.301586
2015-07-28,29.059999,29.98,28.90,29.82,354900,28.259161
2015-07-27,29.50,29.540001,28.549999,29.23,642900,27.700043
2015-07-24,29.65,30.24,29.33,29.540001,508400,27.993818
2015-07-23,30.18,30.51,29.700001,29.76,577800,28.202302
