Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,22.00,22.68,22.00,22.629,1900,22.629
2015-10-08,22.311001,22.33,22.311001,22.33,500,22.33
2015-10-07,22.68,22.68,22.25,22.450001,5100,22.450001
2015-10-06,22.00,22.48,22.00,22.35,9000,22.35
2015-10-05,21.00,21.60,21.00,21.60,13800,21.60
2015-10-02,20.57,21.49,20.549999,20.809999,4500,20.809999
2015-10-01,20.690001,21.25,20.52,20.629999,5500,20.629999
2015-09-30,21.040001,21.60,20.99,20.99,12100,20.99
2015-09-29,21.60,21.60,20.26,21.01,20100,21.01
2015-09-28,22.60,22.60,20.73,21.15,10900,21.15
2015-09-25,22.60,22.969999,22.60,22.66,3100,22.66
2015-09-24,22.92,22.92,22.50,22.60,6300,22.60
2015-09-23,23.00,23.07,22.90,23.00,11500,23.00
2015-09-22,23.26,23.809999,23.110001,23.190001,5800,23.190001
2015-09-21,23.17,23.17,23.17,23.17,000,23.17
2015-09-18,23.40,23.40,23.040001,23.17,5000,23.17
2015-09-17,23.65,23.65,23.030001,23.15,8300,23.15
2015-09-16,23.459999,23.532,23.459999,23.532,3900,23.532
2015-09-15,23.25,23.25,23.040001,23.139999,2900,23.139999
2015-09-14,23.16,23.16,22.450001,23.01,8000,23.01
2015-09-11,23.51,23.52,23.120001,23.18,15300,23.18
2015-09-10,23.700001,23.700001,23.700001,23.700001,100,23.700001
2015-09-09,23.959999,23.959999,23.51,23.51,700,23.51
2015-09-08,23.799999,23.92,23.50,23.50,2900,23.50
2015-09-04,23.67,23.98,23.67,23.68,6300,23.68
2015-09-03,23.450001,23.92,23.450001,23.51,3100,23.51
2015-09-02,23.459999,23.50,23.459999,23.50,1200,23.50
2015-09-01,23.549999,23.889999,23.530001,23.530001,1600,23.530001
2015-08-31,23.75,23.99,23.50,23.549999,5100,23.549999
2015-08-28,23.801001,24.00,23.60,23.60,5600,23.60
2015-08-27,24.00,24.00,23.719999,23.719999,5200,23.719999
2015-08-26,23.559999,23.559999,23.43,23.450001,3200,23.450001
2015-08-25,24.23,24.23,23.41,23.41,7500,23.41
2015-08-24,23.40,23.77,23.40,23.60,17200,23.60
2015-08-21,23.76,24.00,23.35,23.35,10100,23.35
2015-08-20,23.85,23.85,23.040001,23.040001,16100,23.040001
2015-08-19,23.799999,23.83,23.799999,23.83,2100,23.83
2015-08-18,24.01,24.290001,23.709999,23.73,15300,23.73
2015-08-17,24.41,24.41,23.924,23.924,2900,23.924
2015-08-14,23.790001,24.469999,23.790001,24.200001,2300,24.200001
2015-08-13,24.00,24.00,24.00,24.00,900,24.00
2015-08-12,23.76,23.950001,23.76,23.90,3700,23.90
2015-08-11,24.250999,24.51,23.549999,23.549999,15100,23.549999
2015-08-10,24.959999,24.959999,24.299999,24.59,20700,24.59
2015-08-07,24.66,24.85,24.610001,24.85,6300,24.85
2015-08-06,24.969999,25.049999,24.940001,25.049999,5400,25.049999
2015-08-05,24.737,24.908001,24.737,24.908001,1800,24.908001
2015-08-04,24.530001,24.92,24.52,24.92,2100,24.92
2015-08-03,24.870001,24.927999,24.459999,24.459999,14700,24.459999
2015-07-31,25.00,25.00,24.950001,24.950001,2900,24.950001
2015-07-30,25.040001,25.040001,24.861,25.00,4100,25.00
2015-07-29,25.26,25.26,25.24,25.24,1300,25.24
2015-07-28,25.360001,25.40,25.360001,25.40,5700,25.40
2015-07-27,25.48,25.48,25.299999,25.35,6600,25.35
2015-07-24,25.540001,25.540001,25.389999,25.459999,4600,25.459999
2015-07-23,25.40,25.549999,25.40,25.48,6100,25.48
2015-07-22,25.610001,25.610001,25.360001,25.370001,2200,25.370001
2015-07-21,25.52,25.700001,25.360001,25.700001,2500,25.700001
2015-07-20,25.35,25.40,25.32,25.35,2300,25.35
2015-07-17,25.35,25.35,25.299999,25.299999,1000,25.299999
2015-07-16,25.40,25.40,25.25,25.25,1800,25.25
2015-07-15,25.16,25.16,25.16,25.16,1000,25.16
2015-07-14,25.40,25.40,25.299999,25.299999,600,25.299999
2015-07-13,25.110001,25.299999,25.110001,25.299999,2300,25.299999
2015-07-10,25.139999,25.15,25.110001,25.15,2700,25.15
2015-07-09,25.17,25.17,25.049999,25.139999,4100,25.139999
2015-07-08,25.120001,25.34,25.120001,25.15,3900,25.15
2015-07-07,25.15,25.389999,25.10,25.25,8500,25.25
2015-07-06,25.139999,25.15,25.139999,25.15,800,25.15
2015-07-02,25.15,25.16,25.10,25.16,1800,25.16
2015-07-01,25.129999,25.139999,25.082001,25.139999,8600,25.139999
2015-06-30,24.969999,25.030001,24.92,24.92,11000,24.92
2015-06-29,25.059999,25.309999,24.690001,24.700001,20200,24.700001
2015-06-26,25.25,25.26,25.110001,25.120001,5000,25.120001
2015-06-25,25.16,25.18,25.110001,25.18,3800,25.18
2015-06-24,25.120001,25.25,25.120001,25.25,8800,25.25
2015-06-23,25.200001,25.290001,25.059999,25.18,10900,25.18
2015-06-22,25.219999,25.290001,25.16,25.24,6400,25.24
2015-06-19,25.280001,25.280001,25.200001,25.200001,7000,25.200001
2015-06-18,25.261,25.35,25.18,25.200001,13200,25.200001
2015-06-17,25.280001,25.49,25.10,25.25,10200,25.25
2015-06-16,25.549999,25.549999,25.299999,25.450001,9400,25.450001
2015-06-15,25.90,25.90,25.40,25.75,12300,25.75
2015-06-12,25.389999,25.60,25.389999,25.450001,26300,25.450001
2015-06-11,25.249001,25.40,25.200001,25.40,7700,25.40
2015-06-10,25.15,25.25,25.15,25.25,16700,25.25
2015-06-09,25.280001,25.34,25.030001,25.030001,28600,25.030001
2015-06-08,25.299999,25.549999,25.120001,25.351,8000,25.351
2015-06-05,25.190001,25.25,25.02,25.200001,17400,25.200001
2015-06-04,25.023001,25.26,25.023001,25.219999,5900,25.219999
2015-06-03,25.15,25.190001,25.15,25.190001,3800,25.190001
2015-06-02,25.00,25.00,24.997999,25.00,40000,25.00
2015-06-01,25.00,25.00,24.950001,25.00,34900,25.00
2015-05-29,27.40,27.40,25.00,25.15,24600,25.15
