Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.74,14.80,14.69,14.75,25300,14.506093
2015-10-08,14.74,14.80,14.68,14.79,12200,14.545432
2015-10-07,14.63,14.71,14.63,14.71,12700,14.466755
2015-10-06,14.69,14.73,14.65,14.66,8600,14.417581
2015-10-05,14.70,14.75,14.57,14.65,9800,14.407746
2015-10-02,14.60,14.69,14.60,14.66,2300,14.417581
2015-10-01,14.66,14.72,14.59,14.66,19100,14.417581
2015-09-30,14.68,14.68,14.61,14.61,10600,14.368408
2015-09-29,14.61,14.68,14.58,14.63,7000,14.388078
2015-09-28,14.65,14.65,14.58,14.58,1300,14.338904
2015-09-25,14.62,14.67,14.62,14.65,7400,14.407746
2015-09-24,14.60,14.63,14.59,14.61,6400,14.368408
2015-09-23,14.64,14.64,14.54,14.55,5900,14.309401
2015-09-22,14.58,14.68,14.58,14.59,10000,14.348739
2015-09-21,14.55,14.61,14.55,14.59,1800,14.348739
2015-09-18,14.55,14.62,14.55,14.60,21000,14.358574
2015-09-17,14.54,14.59,14.47,14.55,7500,14.309401
2015-09-16,14.61,14.62,14.54,14.54,16200,14.299566
2015-09-15,14.66,14.68,14.63,14.65,3500,14.407746
2015-09-14,14.71,14.82,14.70,14.71,7800,14.466755
2015-09-11,14.58,14.81,14.58,14.81,8300,14.565101
2015-09-10,14.60,14.67,14.60,14.60,8000,14.289731
2015-09-09,14.73,14.73,14.60,14.65,3600,14.338668
2015-09-08,14.79,14.79,14.57,14.66,4400,14.348455
2015-09-04,14.54,14.64,14.54,14.60,4800,14.289731
2015-09-03,14.49,14.53,14.46,14.52,7600,14.211431
2015-09-02,14.55,14.56,14.41,14.41,6900,14.103768
2015-09-01,14.52,14.56,14.49,14.50,9500,14.191856
2015-08-31,14.56,14.57,14.47,14.47,9500,14.162494
2015-08-28,14.56,14.65,14.49,14.51,10900,14.201644
2015-08-27,14.61,14.61,14.50,14.56,35600,14.250581
2015-08-26,14.63,14.63,14.40,14.41,18600,14.103768
2015-08-25,14.68,14.73,14.57,14.59,18300,14.279943
2015-08-24,14.79,14.79,14.63,14.63,15700,14.319093
2015-08-21,14.79,14.79,14.75,14.78,10500,14.465905
2015-08-20,14.82,14.87,14.76,14.76,14700,14.446331
2015-08-19,14.81,14.87,14.81,14.87,6200,14.553993
2015-08-18,14.90,14.96,14.83,14.83,11300,14.514843
2015-08-17,15.00,15.03,14.91,14.92,8000,14.60293
2015-08-14,14.93,14.99,14.93,14.97,3700,14.651868
