Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.16,9.25,9.05,9.23,11700,8.922191
2015-10-08,9.18,9.29,8.82,9.19,18000,8.883525
2015-10-07,9.29,9.44,9.24,9.30,25600,8.989857
2015-10-06,9.20,9.30,9.11,9.24,18100,8.931857
2015-10-05,9.02,9.20,9.02,9.19,12900,8.883525
2015-10-02,8.91,9.05,8.91,8.96,45400,8.661195
2015-10-01,8.95,9.14,8.80,8.89,74700,8.59353
2015-09-30,8.90,8.99,8.80,8.94,23000,8.641862
2015-09-29,8.96,9.14,8.91,8.91,45900,8.612863
2015-09-28,9.10,9.32,8.92,8.95,118600,8.651529
2015-09-25,8.95,9.15,8.95,9.07,24800,8.767527
2015-09-24,8.85,9.10,8.80,9.03,12300,8.728861
2015-09-23,9.15,9.36,9.00,9.04,14000,8.738527
2015-09-22,9.09,9.17,9.00,9.16,16300,8.854525
2015-09-21,9.10,9.14,9.03,9.10,18800,8.796527
2015-09-18,8.50,9.24,8.50,9.24,69400,8.931857
2015-09-17,8.37,8.67,8.35,8.64,19100,8.351867
2015-09-16,8.47,8.50,8.37,8.47,13100,8.187536
2015-09-15,8.58,8.58,8.44,8.49,20900,8.206869
2015-09-14,8.52,8.72,8.50,8.60,27900,8.313201
2015-09-11,8.69,8.75,8.52,8.59,21200,8.303534
2015-09-10,8.59,8.85,8.53,8.69,136300,8.400199
2015-09-09,8.78,8.82,8.52,8.61,54800,8.322867
2015-09-08,8.68,8.87,8.50,8.81,115300,8.516198
2015-09-04,8.56,8.79,8.55,8.65,9800,8.361533
2015-09-03,8.70,8.77,8.58,8.58,10900,8.293868
2015-09-02,8.85,8.99,8.70,8.70,9800,8.409866
2015-09-01,8.91,9.02,8.70,8.80,14200,8.506531
2015-08-31,8.88,8.94,8.81,8.91,4200,8.612863
2015-08-28,9.04,9.04,8.82,8.87,15900,8.574197
2015-08-27,8.93,9.00,8.70,8.94,20900,8.641862
2015-08-26,8.85,8.92,8.80,8.85,16200,8.554864
2015-08-25,8.60,8.94,8.60,8.88,51500,8.583863
2015-08-24,8.12,8.35,7.01,8.30,163700,8.023206
2015-08-21,9.08,9.14,9.00,9.04,16800,8.738527
2015-08-20,9.10,9.20,9.06,9.06,26200,8.757861
2015-08-19,9.20,9.20,9.15,9.20,3800,8.893191
2015-08-18,9.06,9.20,9.06,9.20,43500,8.893191
2015-08-17,9.23,9.46,9.06,9.12,18500,8.815859
2015-08-14,9.16,9.39,9.16,9.30,36700,8.989857
2015-08-13,9.15,9.19,9.07,9.13,4400,8.825526
2015-08-12,9.15,9.22,8.90,9.15,40500,8.844859
2015-08-11,9.35,9.48,9.05,9.05,41500,8.748194
2015-08-10,9.58,9.75,9.36,9.37,16800,9.057522
2015-08-07,9.70,9.70,9.35,9.61,22000,9.289518
2015-08-06,9.48,9.82,9.36,9.71,141300,9.386184
2015-08-05,9.58,9.67,9.36,9.50,28200,9.183187
2015-08-04,9.75,9.75,9.50,9.61,20700,9.289518
2015-08-03,9.94,10.02,9.75,9.78,17700,9.453849
2015-07-31,9.91,10.03,9.81,10.03,28700,9.695512
2015-07-30,10.00,10.00,9.81,9.99,27400,9.656846
2015-07-29,9.99,10.00,9.95,10.00,25200,9.666513
2015-07-28,9.86,9.96,9.80,9.92,21400,9.589181
2015-07-27,9.93,9.98,9.82,9.85,8900,9.521515
2015-07-24,9.99,10.00,9.90,9.95,11500,9.61818
2015-07-23,10.00,10.00,9.90,9.99,20100,9.656846
2015-07-22,10.13,10.13,9.95,9.95,9900,9.61818
2015-07-21,10.12,10.13,9.95,10.13,12700,9.792177
2015-07-20,10.20,10.24,9.95,10.15,47800,9.81151
2015-07-17,10.13,10.25,10.07,10.20,56000,9.729345
2015-07-16,10.04,10.13,9.98,10.13,43500,9.662575
2015-07-15,10.00,10.03,9.95,9.99,22200,9.529035
2015-07-14,10.00,10.00,9.94,9.98,37200,9.519496
2015-07-13,10.00,10.04,9.76,10.03,34300,9.567189
2015-07-10,9.80,10.00,9.80,10.00,17800,9.538574
2015-07-09,9.82,9.89,9.75,9.78,15700,9.328725
2015-07-08,9.78,9.82,9.67,9.77,16700,9.319187
2015-07-07,9.77,9.84,9.67,9.80,24200,9.347802
2015-07-06,9.82,9.96,9.61,9.80,30000,9.347802
2015-07-02,10.05,10.05,9.83,9.94,49900,9.481342
2015-07-01,10.30,10.30,10.07,10.07,11100,9.605343
2015-06-30,10.24,10.30,10.04,10.30,22300,9.824731
2015-06-29,10.36,10.36,10.24,10.27,25500,9.796116
2015-06-26,10.19,10.36,10.19,10.36,32200,9.881962
2015-06-25,10.28,10.39,10.23,10.30,16300,9.824731
2015-06-24,10.40,10.40,10.23,10.30,16200,9.824731
2015-06-23,10.23,10.45,10.21,10.30,55500,9.824731
2015-06-22,10.03,10.25,10.01,10.17,28800,9.700729
2015-06-19,10.07,10.11,10.01,10.01,22600,9.548112
2015-06-18,10.00,10.13,9.97,10.07,16800,9.605343
2015-06-17,9.99,10.02,9.97,9.98,38800,9.519496
2015-06-16,10.00,10.02,9.91,9.99,19400,9.529035
2015-06-15,9.96,10.02,9.93,10.02,8200,9.557651
2015-06-12,9.94,10.00,9.93,9.99,16600,9.529035
2015-06-11,9.85,9.93,9.85,9.89,20900,9.43365
2015-06-10,9.90,9.90,9.86,9.90,23500,9.443188
2015-06-09,9.86,9.90,9.85,9.88,15000,9.424111
2015-06-08,9.88,9.90,9.84,9.86,18900,9.405033
2015-06-05,9.90,9.92,9.85,9.90,18000,9.443188
2015-06-04,9.90,9.92,9.83,9.90,31800,9.443188
2015-06-03,9.97,10.01,9.96,9.96,12700,9.500419
2015-06-02,10.00,10.04,9.97,10.00,50100,9.538574
2015-06-01,10.00,10.04,9.97,10.00,38300,9.538574
2015-05-29,10.07,10.15,10.00,10.00,6300,9.538574
2015-05-28,10.05,10.13,10.04,10.10,7900,9.63396
2015-05-27,10.02,10.10,10.02,10.02,11800,9.557651
2015-05-26,10.16,10.19,10.05,10.11,19000,9.643498
2015-05-22,10.18,10.20,10.05,10.15,8800,9.681652
2015-05-21,10.15,10.20,10.15,10.17,21400,9.700729
2015-05-20,10.11,10.20,10.11,10.16,11700,9.691191
2015-05-19,10.17,10.20,10.01,10.14,35700,9.672114
2015-05-18,10.11,10.20,10.11,10.17,10300,9.700729
2015-05-15,10.07,10.14,10.02,10.12,7000,9.653036
2015-05-14,10.03,10.08,10.01,10.02,12300,9.557651
2015-05-13,10.03,10.07,10.03,10.07,3800,9.605343
2015-05-12,10.08,10.08,10.01,10.01,11100,9.548112
2015-05-11,10.00,10.08,10.00,10.08,13500,9.614882
2015-05-08,10.15,10.15,10.00,10.00,8500,9.538574
2015-05-07,10.01,10.15,10.00,10.15,5800,9.681652
2015-05-06,9.98,10.07,9.98,10.05,7900,9.586267
2015-05-05,10.04,10.12,9.97,10.06,18800,9.595805
2015-05-04,10.10,10.12,10.04,10.08,14600,9.614882
2015-05-01,10.00,10.10,10.00,10.09,13500,9.624421
2015-04-30,10.00,10.09,10.00,10.07,5400,9.605343
2015-04-29,10.10,10.10,9.97,10.00,11200,9.538574
2015-04-28,10.00,10.10,10.00,10.10,11900,9.63396
2015-04-27,10.10,10.10,9.93,9.99,11800,9.529035
2015-04-24,10.00,10.10,9.94,10.10,16400,9.63396
2015-04-23,9.95,10.03,9.95,10.02,17300,9.557651
2015-04-22,9.95,9.96,9.95,9.96,26000,9.500419
2015-04-21,9.95,9.96,9.95,9.95,17200,9.490881
2015-04-20,9.91,9.97,9.87,9.95,35500,9.490881
2015-04-17,9.90,9.96,9.82,9.91,10800,9.452726
2015-04-16,9.94,9.95,9.84,9.94,14000,9.481342
2015-04-15,9.94,9.94,9.87,9.88,8400,9.424111
2015-04-14,9.96,9.97,9.87,9.97,8000,9.509958
2015-04-13,9.85,9.96,9.84,9.96,9300,9.500419
2015-04-10,9.96,9.98,9.86,9.98,7700,9.519496
2015-04-09,9.80,9.95,9.80,9.95,13400,9.490881
2015-04-08,9.85,9.95,9.81,9.81,18300,9.357341
2015-04-07,9.97,9.97,9.85,9.95,22000,9.490881
2015-04-06,9.96,9.99,9.90,9.97,15700,9.509958
2015-04-02,9.98,9.99,9.84,9.96,16000,9.500419
2015-04-01,9.93,9.95,9.80,9.95,9500,9.490881
2015-03-31,9.98,9.98,9.75,9.96,19800,9.500419
2015-03-30,9.98,10.00,9.90,10.00,19900,9.538574
2015-03-27,9.98,9.98,9.82,9.98,11300,9.519496
2015-03-26,9.97,9.99,9.84,9.99,8900,9.529035
2015-03-25,9.85,9.99,9.81,9.99,17900,9.529035
2015-03-24,9.91,10.00,9.86,9.95,29400,9.490881
2015-03-23,9.79,9.99,9.75,9.90,37500,9.314417
2015-03-20,9.78,9.79,9.65,9.79,32100,9.210923
2015-03-19,9.75,9.79,9.65,9.72,16800,9.145064
2015-03-18,9.79,9.79,9.55,9.75,24400,9.173289
2015-03-17,9.76,9.85,9.72,9.79,14400,9.210923
2015-03-16,9.80,9.85,9.76,9.85,19700,9.267375
2015-03-13,9.75,9.85,9.71,9.85,7700,9.267375
2015-03-12,9.85,9.85,9.75,9.85,18900,9.267375
2015-03-11,9.80,9.85,9.75,9.85,27600,9.267375
2015-03-10,9.85,9.94,9.80,9.85,23100,9.267375
2015-03-09,9.83,9.90,9.80,9.87,24500,9.286191
2015-03-06,9.81,9.91,9.81,9.85,24000,9.267375
2015-03-05,9.95,10.00,9.80,10.00,41000,9.408502
2015-03-04,10.01,10.01,9.90,9.99,27500,9.399093
2015-03-03,10.02,10.02,9.95,10.00,21100,9.408502
2015-03-02,9.90,10.10,9.90,10.10,38200,9.502587
2015-02-27,10.10,10.10,10.01,10.10,16900,9.502587
2015-02-26,10.01,10.10,9.96,10.10,12500,9.502587
2015-02-25,10.05,10.14,9.95,10.10,38700,9.502587
2015-02-24,10.01,10.14,9.95,10.10,19900,9.502587
2015-02-23,9.95,10.14,9.95,10.10,34000,9.502587
2015-02-20,9.96,10.10,9.91,10.10,19700,9.502587
2015-02-19,10.01,10.05,9.91,10.04,32000,9.446136
2015-02-18,10.05,10.05,9.99,10.05,29400,9.455545
2015-02-17,10.04,10.05,9.91,10.05,34100,9.455545
2015-02-13,9.95,10.05,9.55,10.05,36800,9.455545
2015-02-12,9.80,10.02,9.62,10.00,20800,9.408502
2015-02-11,9.60,9.99,9.55,9.90,42500,9.314417
2015-02-10,9.51,9.60,9.35,9.56,47300,8.994528
2015-02-09,9.57,9.58,9.45,9.45,27700,8.891034
2015-02-06,9.61,9.65,9.50,9.50,31300,8.938077
2015-02-05,9.65,9.68,9.51,9.68,34700,9.10743
2015-02-04,9.51,9.72,9.50,9.63,40400,9.060388
2015-02-03,9.61,9.75,9.61,9.61,42200,9.04157
2015-02-02,9.71,9.76,9.51,9.65,30500,9.079204
2015-01-30,10.00,10.00,9.59,9.75,48800,9.173289
2015-01-29,9.61,9.98,9.51,9.98,63300,9.389685
2015-01-28,10.20,10.20,9.50,9.65,153300,9.079204
2015-01-27,10.24,10.24,9.77,10.20,53500,9.596672
2015-01-26,10.40,10.40,10.12,10.23,34600,9.624897
2015-01-23,10.33,10.45,10.20,10.45,31800,9.831884
2015-01-22,10.24,10.25,10.10,10.25,52700,9.643715
2015-01-21,10.35,10.40,10.23,10.24,19000,9.634306
2015-01-20,10.25,10.34,10.20,10.34,45200,9.728391
2015-01-16,10.33,10.50,10.10,10.35,52300,9.7378
2015-01-15,10.55,10.55,10.31,10.45,29700,9.831884
2015-01-14,10.65,10.65,10.30,10.46,43500,9.841293
2015-01-13,10.75,10.82,10.13,10.49,122100,9.869518
2015-01-12,10.85,10.97,10.68,10.71,17700,10.076506
2015-01-09,10.92,10.92,10.76,10.90,15900,10.255267
2015-01-08,10.86,10.98,10.80,10.98,26300,10.330535
2015-01-07,10.89,10.92,10.76,10.92,26500,10.274084
2015-01-06,11.00,11.02,10.65,10.90,37600,10.255267
2015-01-05,11.02,11.02,10.85,11.02,7600,10.36817
2015-01-02,10.95,11.03,10.81,11.02,8600,10.36817
2014-12-31,10.99,11.02,10.76,11.02,32900,10.36817
2014-12-30,10.88,11.00,10.85,10.95,10700,10.302309
2014-12-29,11.04,11.04,10.76,10.88,16200,10.23645
2014-12-26,11.02,11.04,10.92,11.04,25500,10.386986
2014-12-24,10.90,11.03,10.75,11.03,14900,10.377577
2014-12-23,10.88,10.93,10.75,10.90,24300,10.255267
2014-12-22,10.95,11.00,10.75,10.95,27700,10.302309
2014-12-19,10.90,11.38,10.85,10.85,61500,10.208225
2014-12-18,11.15,11.15,10.75,10.90,78500,10.255267
2014-12-17,11.15,11.26,10.95,11.10,27100,10.443438
2014-12-16,11.17,11.38,11.17,11.24,17500,10.532818
2014-12-15,11.33,11.40,11.05,11.40,42100,10.682751
2014-12-12,11.22,11.39,11.17,11.37,22200,10.654639
2014-12-11,11.26,11.49,11.05,11.30,32000,10.589044
2014-12-10,11.41,11.44,11.20,11.40,25500,10.682751
2014-12-09,11.50,11.52,11.25,11.52,17000,10.795202
2014-12-08,11.55,11.62,11.45,11.62,18600,10.88891
2014-12-05,11.40,11.62,11.21,11.62,24500,10.88891
2014-12-04,11.54,11.65,11.25,11.40,33700,10.682751
2014-12-03,11.60,11.60,11.37,11.59,25300,10.860798
2014-12-02,11.39,11.65,11.39,11.60,25700,10.870169
2014-12-01,11.40,11.40,11.16,11.40,39000,10.682751
2014-11-28,11.40,11.50,11.35,11.50,5100,10.77646
2014-11-26,11.37,11.48,11.35,11.39,8000,10.673381
2014-11-25,11.29,11.47,11.29,11.37,9200,10.654639
2014-11-24,11.37,11.65,11.25,11.41,23700,10.692122
2014-11-21,11.33,11.45,11.31,11.45,49000,10.729606
2014-11-20,11.30,11.38,11.25,11.25,15100,10.542189
2014-11-19,11.39,11.39,11.25,11.25,13700,10.542189
2014-11-18,11.25,11.39,11.17,11.39,24200,10.673381
2014-11-17,11.10,11.25,11.06,11.22,30600,10.514077
2014-11-14,11.33,11.38,11.05,11.11,66600,10.410997
2014-11-13,11.39,11.40,11.22,11.40,23700,10.682751
2014-11-12,11.35,11.40,11.30,11.40,22700,10.640583
2014-11-11,11.35,11.36,11.30,11.30,15400,10.547245
2014-11-10,11.30,11.39,11.26,11.29,34300,10.537911
2014-11-07,11.20,11.35,11.18,11.32,20200,10.565912
2014-11-06,11.22,11.35,11.21,11.21,17500,10.46324
2014-11-05,11.24,11.40,11.20,11.20,32800,10.453906
2014-11-04,11.35,11.41,11.21,11.26,37700,10.509909
2014-11-03,11.40,11.40,11.22,11.35,55400,10.593914
2014-10-31,11.42,11.42,11.26,11.35,20100,10.593914
2014-10-30,11.30,11.42,11.28,11.42,12700,10.659251
2014-10-29,11.40,11.41,11.26,11.39,16400,10.63125
2014-10-28,11.26,11.42,11.26,11.42,20800,10.659251
2014-10-27,11.45,11.51,11.26,11.26,29900,10.509909
2014-10-24,11.35,11.45,11.25,11.45,36400,10.687252
2014-10-23,11.34,11.40,11.34,11.35,13800,10.593914
2014-10-22,11.41,11.50,11.34,11.34,16100,10.58458
2014-10-21,11.64,11.65,11.47,11.47,14000,10.70592
2014-10-20,11.60,11.60,11.40,11.60,18200,10.82726
2014-10-17,11.52,11.60,11.28,11.60,29500,10.82726
2014-10-16,11.22,11.45,11.07,11.43,42500,10.668585
2014-10-15,11.20,11.25,11.06,11.20,38000,10.453906
2014-10-14,11.18,11.44,11.13,11.19,84600,10.444572
2014-10-13,11.23,11.42,11.20,11.20,59400,10.453906
2014-10-10,11.27,11.35,11.11,11.34,138300,10.58458
2014-10-09,11.28,11.43,11.20,11.40,80200,10.598581
2014-10-08,11.45,11.46,11.25,11.46,56900,10.654363
2014-10-07,11.37,11.53,11.25,11.53,134000,10.719442
2014-10-06,11.50,11.64,11.33,11.55,59800,10.738036
2014-10-03,11.33,11.69,11.05,11.62,93600,10.803115
2014-10-02,11.66,11.74,11.48,11.56,42600,10.747333
2014-10-01,11.59,11.73,11.48,11.70,83900,10.877491
2014-09-30,11.84,11.85,11.68,11.81,52900,10.979758
2014-09-29,11.78,11.85,11.68,11.77,25700,10.94257
2014-09-26,11.75,11.89,11.73,11.79,11200,10.961164
2014-09-25,11.70,11.75,11.60,11.75,31000,10.923976
2014-09-24,11.78,11.78,11.62,11.65,23300,10.831006
2014-09-23,11.79,11.86,11.72,11.84,9200,11.007649
2014-09-22,11.67,12.00,11.64,11.84,57300,11.007649
2014-09-19,11.59,11.84,11.59,11.84,35100,11.007649
2014-09-18,11.75,11.87,11.57,11.58,22300,10.765927
2014-09-17,11.51,11.87,11.51,11.70,41700,10.877491
2014-09-16,11.60,11.84,11.50,11.50,29100,10.691551
2014-09-15,11.70,11.80,11.40,11.63,52000,10.812412
2014-09-12,11.81,11.87,11.50,11.50,44200,10.691551
2014-09-11,11.18,11.92,11.11,11.74,151800,10.914679
2014-09-10,11.29,11.34,11.17,11.20,17500,10.370804
2014-09-09,11.34,11.37,11.22,11.29,20400,10.454141
2014-09-08,11.33,11.36,11.30,11.33,20200,10.491179
2014-09-05,11.29,11.35,11.25,11.30,27500,10.463401
2014-09-04,11.25,11.29,11.25,11.26,23200,10.426362
2014-09-03,11.21,11.33,11.21,11.27,24800,10.435622
2014-09-02,11.32,11.37,11.22,11.26,50900,10.426362
2014-08-29,11.35,11.37,11.26,11.28,26100,10.444881
2014-08-28,11.30,11.39,11.27,11.28,44700,10.444881
2014-08-27,11.25,11.38,11.22,11.34,59100,10.500439
2014-08-26,11.30,11.33,11.22,11.25,29100,10.417102
2014-08-25,11.21,11.39,11.21,11.25,42300,10.417102
2014-08-22,11.25,11.40,11.22,11.28,33100,10.444881
2014-08-21,11.61,11.70,11.22,11.25,74400,10.417102
2014-08-20,11.30,11.52,11.27,11.51,48400,10.657853
2014-08-19,11.34,11.45,11.16,11.35,209500,10.509699
