Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,21.959999,22.16,21.43,21.60,124500,21.551333
2015-10-08,21.799999,22.00,21.700001,21.889999,63900,21.840679
2015-10-07,21.139999,21.809999,21.139999,21.77,103600,21.72095
2015-10-06,21.77,21.83,20.860001,20.969999,133200,20.922751
2015-10-05,21.34,22.02,21.34,21.809999,110400,21.760859
2015-10-02,22.120001,22.120001,21.02,21.280001,124100,21.232054
2015-10-01,22.200001,22.57,21.870001,22.25,118000,22.199868
2015-09-30,22.25,22.360001,22.120001,22.290001,107500,22.239779
2015-09-29,22.120001,22.18,21.68,22.129999,87800,22.080138
2015-09-28,22.27,22.40,22.07,22.10,93800,22.050207
2015-09-25,22.00,22.790001,21.75,22.389999,141500,22.339552
2015-09-24,21.67,22.00,21.629999,21.809999,97000,21.760859
2015-09-23,21.92,22.030001,21.629999,21.85,64800,21.80077
2015-09-22,21.860001,22.110001,21.76,21.889999,74300,21.840679
2015-09-21,21.91,22.16,21.780001,22.110001,66400,22.060184
2015-09-18,22.08,22.280001,21.690001,21.74,194800,21.691017
2015-09-17,22.17,22.74,22.15,22.389999,87900,22.339552
2015-09-16,22.16,22.360001,22.07,22.17,64500,22.120049
2015-09-15,21.67,22.290001,21.65,22.16,56800,22.110071
2015-09-14,21.940001,21.940001,21.459999,21.700001,113100,21.651108
2015-09-11,22.07,22.08,21.799999,21.93,77800,21.880589
2015-09-10,22.059999,22.32,22.01,22.24,41400,22.18989
2015-09-09,22.02,22.25,21.799999,22.08,75900,22.030251
2015-09-08,21.969999,22.040001,21.49,21.879999,95000,21.830701
2015-09-04,21.67,21.91,21.559999,21.60,48000,21.551333
2015-09-03,22.299999,22.50,21.969999,22.01,62400,21.960409
2015-09-02,22.209999,22.309999,21.799999,22.200001,67600,22.149982
2015-09-01,21.549999,22.129999,21.540001,21.959999,138400,21.910521
2015-08-31,21.809999,22.219999,21.809999,22.049999,108600,22.000318
2015-08-28,22.049999,22.120001,21.860001,21.969999,82000,21.920498
2015-08-27,22.59,22.719999,21.969999,22.16,90900,22.110071
2015-08-26,22.27,22.60,21.99,22.440001,115800,22.389441
2015-08-25,22.799999,22.799999,21.73,21.780001,127400,21.730928
2015-08-24,22.799999,22.809999,21.969999,22.209999,241300,22.159957
2015-08-21,24.129999,24.41,23.82,23.82,227400,23.76633
2015-08-20,24.60,25.08,24.559999,24.610001,79500,24.554551
2015-08-19,24.98,25.200001,24.870001,24.91,73600,24.853875
2015-08-18,25.25,25.379999,25.059999,25.190001,111500,25.133245
2015-08-17,25.440001,25.440001,25.10,25.25,150400,25.193109
2015-08-14,25.24,25.58,25.15,25.57,47700,25.512388
2015-08-13,25.16,25.41,25.059999,25.290001,57700,25.23302
2015-08-12,25.52,25.52,24.98,25.280001,74300,25.223042
2015-08-11,25.25,25.870001,25.25,25.75,93300,25.691982
2015-08-10,25.09,25.42,24.940001,25.40,110700,25.34277
2015-08-07,24.790001,25.120001,24.700001,25.09,67800,24.973605
2015-08-06,25.85,25.85,24.969999,24.98,106800,24.864115
2015-08-05,26.25,26.389999,25.40,25.76,134500,25.640497
2015-08-04,24.32,26.40,23.93,26.200001,288700,26.078457
2015-08-03,24.07,24.42,23.67,24.299999,70700,24.187269
2015-07-31,24.129999,24.24,23.790001,24.00,124600,23.888662
