Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.41,12.42,12.37,12.40,3600,12.213482
2015-10-08,12.37,12.37,12.37,12.37,2700,12.183933
2015-10-07,12.43,12.43,12.38,12.38,1100,12.193783
2015-10-06,12.29,12.37,12.29,12.37,1300,12.183933
2015-10-05,12.24,12.24,12.24,12.24,700,12.055889
2015-10-02,12.34,12.34,12.24,12.30,4600,12.114986
2015-10-01,12.28,12.29,12.28,12.28,1900,12.095287
2015-09-30,12.40,12.40,12.16,12.24,7200,12.055889
2015-09-29,12.20,12.35,12.20,12.35,500,12.164235
2015-09-28,12.42,12.42,12.29,12.31,7900,12.124836
2015-09-25,12.44,12.44,12.35,12.42,5100,12.233181
2015-09-24,12.35,12.45,12.32,12.37,8000,12.183933
2015-09-23,12.38,12.38,12.28,12.28,1500,12.095287
2015-09-22,12.22,12.44,12.22,12.32,5300,12.134685
2015-09-21,12.32,12.33,12.26,12.33,1400,12.144535
2015-09-18,12.33,12.44,12.29,12.40,3800,12.150444
2015-09-17,12.22,12.30,12.22,12.26,26400,12.013262
2015-09-16,12.15,12.25,12.13,12.25,7200,12.003463
2015-09-15,12.38,12.38,12.32,12.34,1700,12.091652
2015-09-14,12.33,12.55,12.31,12.55,3400,12.297426
2015-09-11,12.53,12.53,12.44,12.44,900,12.189639
2015-09-10,12.47,12.52,12.45,12.45,4700,12.199438
2015-09-09,12.54,12.54,12.46,12.46,900,12.209237
2015-09-08,12.47,12.47,12.47,12.47,100,12.219036
2015-09-04,12.37,12.50,12.37,12.50,1600,12.248432
2015-09-03,12.46,12.46,12.31,12.38,2300,12.130847
2015-09-02,12.40,12.40,12.30,12.32,1600,12.072054
2015-09-01,12.41,12.41,12.39,12.39,3500,12.140646
2015-08-31,12.28,12.39,12.27,12.27,6100,12.023061
2015-08-28,12.42,12.42,12.23,12.40,11400,12.150444
2015-08-27,12.42,12.42,12.34,12.42,4500,12.170042
2015-08-26,12.30,12.47,12.30,12.42,3000,12.170042
2015-08-25,12.40,12.40,12.21,12.21,1800,11.964268
2015-08-24,11.87,12.40,11.87,12.40,2700,12.150444
2015-08-21,12.50,12.50,12.50,12.50,500,12.248432
2015-08-20,12.39,12.39,12.39,12.39,600,12.140646
2015-08-19,12.44,12.48,12.42,12.46,2700,12.146526
2015-08-18,12.37,12.37,12.37,12.37,800,12.05879
2015-08-17,12.44,12.48,12.44,12.44,7400,12.127028
2015-08-14,12.48,12.48,12.35,12.45,2500,12.136777
2015-08-13,12.45,12.46,12.41,12.45,4400,12.136777
2015-08-12,12.31,12.41,12.31,12.35,3900,12.039293
2015-08-11,12.14,12.35,12.14,12.35,6100,12.039293
2015-08-10,12.28,12.40,12.19,12.20,5900,11.893067
2015-08-07,12.27,12.28,12.12,12.21,4700,11.902815
2015-08-06,12.20,12.26,12.20,12.26,800,11.951557
2015-08-05,12.26,12.26,12.16,12.20,6100,11.893067
2015-08-04,12.54,12.54,12.27,12.31,7800,12.0003
2015-08-03,12.42,12.65,12.38,12.38,10900,12.068538
2015-07-31,12.32,12.40,12.25,12.40,1900,12.088035
2015-07-30,12.31,12.32,12.24,12.29,9500,11.980802
2015-07-29,12.33,12.35,12.33,12.35,700,12.039293
2015-07-28,12.31,12.35,12.24,12.32,2600,12.010047
2015-07-27,12.31,12.31,12.28,12.28,4100,11.971054
2015-07-24,12.28,12.29,12.28,12.29,300,11.980802
2015-07-23,12.28,12.28,12.27,12.27,1500,11.961306
2015-07-22,12.34,12.34,12.32,12.32,600,12.010047
2015-07-21,12.20,12.47,12.20,12.41,12500,12.035393
2015-07-20,12.27,12.38,12.26,12.26,1200,11.889921
2015-07-17,12.36,12.50,12.30,12.32,5200,11.94811
2015-07-16,12.32,12.59,12.32,12.41,4300,12.035393
2015-07-15,12.47,12.49,12.25,12.37,10000,11.996601
2015-07-14,12.46,12.47,12.25,12.37,3600,11.996601
2015-07-13,12.34,12.48,12.28,12.28,10900,11.909317
2015-07-10,12.65,12.65,12.35,12.35,13000,11.977205
2015-07-09,12.48,12.48,12.41,12.41,1400,12.035393
2015-07-08,12.36,12.49,12.36,12.47,2500,12.093582
2015-07-07,12.43,12.52,12.40,12.50,11600,12.122677
2015-07-06,12.40,12.43,12.40,12.43,300,12.05479
2015-07-02,12.36,12.48,12.33,12.36,4900,11.986902
2015-07-01,12.39,12.43,12.39,12.39,5400,12.015997
2015-06-30,12.45,12.45,12.31,12.40,6500,12.025695
2015-06-29,12.39,12.46,12.36,12.45,5900,12.074186
2015-06-26,12.43,12.49,12.33,12.45,4500,12.074186
2015-06-25,12.57,12.57,12.36,12.37,11300,11.996601
2015-06-24,12.53,12.53,12.39,12.50,6700,12.122677
2015-06-23,12.59,12.59,12.56,12.59,1700,12.20996
2015-06-22,12.64,12.65,12.51,12.55,5100,12.171167
2015-06-19,12.70,12.70,12.70,12.70,200,12.316639
2015-06-18,12.74,12.82,12.74,12.82,400,12.370949
2015-06-17,12.83,12.83,12.74,12.74,1100,12.293751
2015-06-16,12.73,12.73,12.73,12.73,300,12.284101
2015-06-15,12.80,12.80,12.75,12.75,700,12.303401
2015-06-12,12.77,12.78,12.77,12.77,600,12.322701
2015-06-11,12.68,12.70,12.51,12.70,6700,12.255152
2015-06-10,12.64,12.65,12.57,12.61,4700,12.168304
2015-06-09,12.70,12.70,12.56,12.61,3200,12.168304
2015-06-08,12.66,12.74,12.65,12.71,6400,12.264802
2015-06-05,12.66,12.66,12.66,12.66,800,12.216553
2015-06-04,12.75,12.75,12.75,12.75,700,12.303401
2015-06-03,12.80,12.80,12.70,12.71,7900,12.264802
2015-06-02,12.85,12.86,12.79,12.86,3000,12.409548
2015-06-01,12.85,12.92,12.82,12.83,6700,12.380599
2015-05-29,12.95,12.95,12.85,12.85,6700,12.399898
2015-05-28,12.85,12.94,12.85,12.94,4700,12.486745
2015-05-27,12.82,12.89,12.75,12.88,5100,12.428847
2015-05-26,12.80,12.82,12.80,12.80,3400,12.35165
2015-05-22,12.89,12.90,12.73,12.73,1900,12.284101
2015-05-21,12.80,12.87,12.80,12.87,1800,12.419197
2015-05-20,12.75,12.82,12.75,12.82,4000,12.370949
2015-05-19,12.75,12.82,12.75,12.82,2900,12.309191
2015-05-18,12.92,12.92,12.71,12.76,4500,12.251582
2015-05-15,12.83,12.87,12.83,12.87,1100,12.357199
2015-05-14,12.82,12.85,12.79,12.79,4600,12.280386
2015-05-13,12.77,12.82,12.75,12.82,3900,12.309191
2015-05-12,12.84,12.84,12.83,12.83,4400,12.318793
2015-05-11,12.83,12.83,12.80,12.80,1400,12.289988
2015-05-08,12.92,12.95,12.92,12.95,600,12.434011
2015-05-07,12.93,12.97,12.93,12.95,2600,12.434011
2015-05-06,12.94,12.94,12.90,12.94,1700,12.424409
2015-05-05,13.01,13.01,12.94,12.99,2300,12.472417
2015-05-04,12.98,13.02,12.96,13.00,4400,12.482019
2015-05-01,12.90,13.05,12.90,13.05,7400,12.530027
2015-04-30,13.07,13.08,12.97,12.99,4700,12.472417
2015-04-29,13.06,13.16,13.03,13.14,4000,12.616441
2015-04-28,13.18,13.20,13.08,13.08,4500,12.558831
2015-04-27,13.20,13.20,13.10,13.12,7100,12.597238
2015-04-24,13.19,13.20,13.19,13.20,5000,12.67405
2015-04-23,13.17,13.17,13.10,13.10,2700,12.578035
2015-04-22,13.13,13.16,13.13,13.15,8200,12.626042
2015-04-21,13.13,13.22,13.08,13.08,2100,12.558831
2015-04-20,13.20,13.22,13.18,13.19,2700,12.602998
2015-04-17,13.25,13.26,13.12,13.19,3300,12.602998
2015-04-16,13.24,13.24,13.15,13.24,3100,12.650773
2015-04-15,13.20,13.25,13.18,13.20,5600,12.612553
2015-04-14,13.11,13.13,13.11,13.13,3400,12.545668
2015-04-13,13.16,13.16,13.07,13.08,14700,12.497893
2015-04-10,13.15,13.19,13.15,13.18,3800,12.593443
