Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.51,12.54,12.50,12.54,9600,12.361232
2015-10-08,12.54,12.56,12.51,12.51,8100,12.33166
2015-10-07,12.52,12.53,12.51,12.51,10900,12.33166
2015-10-06,12.51,12.55,12.51,12.52,15800,12.341518
2015-10-05,12.52,12.57,12.50,12.50,13000,12.321802
2015-10-02,12.56,12.61,12.51,12.55,12500,12.37109
2015-10-01,12.51,12.63,12.51,12.55,41200,12.37109
2015-09-30,12.52,12.55,12.51,12.55,10700,12.37109
2015-09-29,12.45,12.50,12.44,12.48,26400,12.302087
2015-09-28,12.43,12.46,12.42,12.42,18400,12.242943
2015-09-25,12.44,12.49,12.44,12.48,10100,12.302087
2015-09-24,12.56,12.58,12.46,12.47,13800,12.29223
2015-09-23,12.48,12.52,12.47,12.49,11200,12.311945
2015-09-22,12.56,12.56,12.48,12.51,11600,12.33166
2015-09-21,12.56,12.58,12.49,12.49,17400,12.311945
2015-09-18,12.51,12.87,12.51,12.68,13900,12.439106
2015-09-17,12.44,12.58,12.40,12.56,27700,12.321386
2015-09-16,12.53,12.53,12.45,12.45,12600,12.213475
2015-09-15,12.53,12.55,12.47,12.47,15800,12.233096
2015-09-14,12.64,12.74,12.57,12.57,8900,12.331195
2015-09-11,12.72,12.72,12.66,12.66,10600,12.419486
2015-09-10,12.74,12.78,12.71,12.71,13000,12.468536
2015-09-09,12.70,12.74,12.68,12.73,22500,12.488155
2015-09-08,12.59,12.70,12.56,12.64,50100,12.399866
2015-09-04,12.51,12.65,12.51,12.65,14300,12.409675
2015-09-03,12.47,12.58,12.45,12.58,14400,12.341005
2015-09-02,12.40,12.47,12.39,12.42,15200,12.184045
2015-09-01,12.43,12.49,12.40,12.42,14600,12.184045
2015-08-31,12.44,12.50,12.43,12.44,20200,12.203665
2015-08-28,12.38,12.58,12.38,12.48,16700,12.242905
2015-08-27,12.35,12.46,12.32,12.39,28000,12.154616
2015-08-26,12.40,12.48,12.30,12.34,52400,12.105565
2015-08-25,12.40,12.48,12.40,12.46,17000,12.223285
2015-08-24,12.28,12.47,12.28,12.40,31800,12.164425
2015-08-21,12.51,12.60,12.35,12.40,74200,12.164425
2015-08-20,12.55,12.57,12.48,12.51,13600,12.272336
2015-08-19,12.62,12.62,12.54,12.61,54300,12.310594
2015-08-18,12.58,12.66,12.55,12.58,20700,12.281307
2015-08-17,12.62,12.70,12.60,12.63,8000,12.33012
2015-08-14,12.61,12.68,12.60,12.68,8100,12.378933
2015-08-13,12.69,12.70,12.62,12.63,7400,12.33012
2015-08-12,12.64,12.74,12.64,12.74,10500,12.437507
2015-08-11,12.53,12.69,12.51,12.69,11300,12.388694
2015-08-10,12.34,12.56,12.34,12.51,70200,12.212969
2015-08-07,12.33,12.43,12.30,12.34,48100,12.047005
2015-08-06,12.37,12.44,12.35,12.35,16300,12.056768
2015-08-05,12.45,12.50,12.40,12.40,23600,12.10558
2015-08-04,12.46,12.52,12.46,12.46,24500,12.164156
2015-08-03,12.48,12.58,12.48,12.50,23800,12.203206
2015-07-31,12.50,12.56,12.48,12.51,24700,12.212969
2015-07-30,12.51,12.57,12.45,12.48,24500,12.183681
2015-07-29,12.40,12.54,12.40,12.42,37700,12.125106
2015-07-28,12.52,12.70,12.40,12.40,20000,12.10558
2015-07-27,12.48,12.70,12.48,12.62,21400,12.320357
2015-07-24,12.38,12.55,12.37,12.53,36300,12.232494
2015-07-23,12.41,12.51,12.41,12.43,17900,12.134868
2015-07-22,12.42,12.50,12.42,12.44,25900,12.14463
2015-07-21,12.45,12.54,12.45,12.54,35400,12.182705
2015-07-20,12.53,12.54,12.45,12.45,20000,12.095269
2015-07-17,12.47,12.56,12.45,12.50,28700,12.143844
2015-07-16,12.46,12.57,12.45,12.50,76000,12.143844
2015-07-15,12.52,12.55,12.43,12.51,42300,12.15356
2015-07-14,12.53,12.53,12.44,12.48,30200,12.124414
2015-07-13,12.47,12.55,12.43,12.49,73600,12.134129
2015-07-10,12.52,12.55,12.44,12.52,51500,12.163275
2015-07-09,12.46,12.53,12.45,12.48,19100,12.124414
2015-07-08,12.40,12.54,12.40,12.50,32300,12.143844
2015-07-07,12.21,12.44,12.21,12.44,48300,12.085554
2015-07-06,12.02,12.25,12.02,12.22,101100,11.871823
2015-07-02,12.02,12.08,12.02,12.06,40300,11.716381
2015-07-01,12.03,12.07,12.00,12.04,29000,11.696951
2015-06-30,12.02,12.07,12.00,12.07,20200,11.726096
2015-06-29,12.00,12.03,11.96,12.02,121600,11.677521
2015-06-26,12.06,12.07,12.00,12.00,37400,11.658091
2015-06-25,12.14,12.14,12.06,12.08,27000,11.735811
2015-06-24,12.17,12.19,12.12,12.13,22900,11.784387
2015-06-23,12.11,12.19,12.09,12.18,24700,11.832962
2015-06-22,12.13,12.17,12.05,12.14,31900,11.794102
2015-06-19,12.14,12.20,12.14,12.17,36300,11.823247
2015-06-18,12.38,12.38,12.25,12.25,39400,11.841706
2015-06-17,12.28,12.34,12.25,12.32,25200,11.909372
2015-06-16,12.29,12.38,12.29,12.32,15300,11.909372
2015-06-15,12.32,12.33,12.26,12.32,28400,11.909372
2015-06-12,12.17,12.26,12.13,12.26,35700,11.851373
2015-06-11,12.07,12.17,12.00,12.15,19200,11.745038
2015-06-10,11.97,12.06,11.97,12.02,24900,11.619372
2015-06-09,12.01,12.04,11.92,12.00,73300,11.600038
2015-06-08,12.14,12.15,12.04,12.04,67900,11.638705
2015-06-05,12.22,12.22,12.02,12.14,40200,11.735372
2015-06-04,12.22,12.33,12.22,12.24,27400,11.832039
2015-06-03,12.35,12.35,12.28,12.28,14900,11.870706
2015-06-02,12.44,12.45,12.35,12.35,15900,11.938373
2015-06-01,12.48,12.48,12.44,12.45,19900,12.03504
2015-05-29,12.46,12.48,12.42,12.48,13800,12.064039
2015-05-28,12.42,12.44,12.40,12.43,7700,12.015707
2015-05-27,12.40,12.42,12.35,12.42,21800,12.00604
2015-05-26,12.30,12.37,12.30,12.36,17300,11.948039
2015-05-22,12.37,12.42,12.30,12.34,17900,11.928706
2015-05-21,12.41,12.46,12.40,12.42,13300,12.00604
2015-05-20,12.42,12.44,12.40,12.40,14400,11.986706
2015-05-19,12.46,12.50,12.41,12.48,11300,12.005072
2015-05-18,12.57,12.57,12.44,12.49,23700,12.014692
2015-05-15,12.49,12.57,12.48,12.55,21600,12.072409
2015-05-14,12.45,12.53,12.44,12.49,14100,12.014692
2015-05-13,12.43,12.45,12.38,12.38,19200,11.908878
2015-05-12,12.42,12.48,12.37,12.43,37700,11.956976
2015-05-11,12.55,12.57,12.45,12.46,30800,11.985834
2015-05-08,12.57,12.63,12.57,12.57,8800,12.091648
