Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.77,13.79,13.39,13.67,169100,13.321678
2015-10-08,13.74,13.88,13.10,13.77,83000,13.419131
2015-10-07,13.87,14.07,13.42,13.97,197000,13.614034
2015-10-06,13.58,13.84,13.36,13.62,275000,13.272952
2015-10-05,13.10,13.70,13.00,13.53,193600,13.185245
2015-10-02,12.63,13.36,12.63,13.31,124700,12.970852
2015-10-01,12.84,13.16,12.18,12.70,95800,12.376394
2015-09-30,11.93,13.09,11.90,12.64,220500,12.317924
2015-09-29,12.01,12.30,11.51,11.74,149600,11.440856
2015-09-28,12.71,12.71,11.81,11.89,118200,11.587034
2015-09-25,13.00,13.20,12.58,12.66,82400,12.337414
2015-09-24,13.54,13.761,12.73,12.88,201400,12.551808
2015-09-23,13.94,14.25,13.46,13.64,130700,13.292443
2015-09-22,13.92,14.22,13.652,14.16,84300,13.799192
2015-09-21,14.39,14.39,13.87,13.95,323700,13.594543
2015-09-18,13.77,14.00,13.31,13.99,677200,13.633524
2015-09-17,13.72,14.06,13.36,14.02,488800,13.66276
2015-09-16,14.44,14.64,13.52,13.90,307700,13.545817
2015-09-15,14.24,14.68,14.14,14.30,205000,13.935626
2015-09-14,14.28,14.45,14.06,14.23,61500,13.867409
2015-09-11,14.32,14.56,14.05,14.42,157400,14.052568
2015-09-10,14.36,14.58,14.15,14.47,209800,14.101294
2015-09-09,14.70,14.70,14.001,14.36,335100,13.994096
2015-09-08,15.01,15.02,14.26,14.60,238900,14.227981
2015-09-04,14.58,14.93,14.25,14.82,192900,14.442375
2015-09-03,14.97,15.276,14.41,14.96,270000,14.578808
2015-09-02,15.32,15.32,14.60,14.67,75700,14.296198
2015-09-01,15.38,15.51,14.70,15.16,153900,14.773712
2015-08-31,15.15,15.77,14.70,15.52,112300,15.124539
2015-08-28,14.57,15.92,14.57,15.05,87000,14.666515
2015-08-27,15.01,15.29,14.64,14.94,111700,14.559317
2015-08-26,15.24,15.24,14.02,14.64,157100,14.266962
2015-08-25,15.09,15.18,14.26,14.75,140200,14.374159
2015-08-24,15.00,15.75,14.50,14.52,134700,14.15002
2015-08-21,16.030001,16.389999,15.44,15.90,378700,15.494856
2015-08-20,15.77,16.299999,15.77,16.049999,107800,15.641033
2015-08-19,15.56,16.190001,15.45,15.95,121600,15.543582
2015-08-18,15.84,16.280001,15.51,15.78,74600,15.377914
2015-08-17,15.98,16.40,15.83,15.89,112000,15.485111
2015-08-14,16.459999,16.60,16.171,16.26,67100,15.845683
2015-08-13,16.24,16.43,16.01,16.299999,168800,15.884663
2015-08-12,15.22,16.610001,15.22,16.129999,112900,15.718995
2015-08-11,16.35,16.42,15.51,15.53,212800,15.134284
2015-08-10,15.69,16.60,15.42,16.280001,125300,15.865174
2015-08-07,15.21,15.92,15.02,15.83,135000,15.42664
2015-08-06,14.48,15.37,13.90,14.92,156800,14.539827
2015-08-05,15.10,16.009001,14.49,14.64,262700,14.266962
2015-08-04,16.459999,16.48,15.23,15.49,231700,15.095303
2015-08-03,16.299999,16.545,16.10,16.459999,255500,16.040586
2015-07-31,16.25,16.43,16.110001,16.360001,438400,15.943136
2015-07-30,15.80,16.40,15.39,16.280001,283800,15.865174
2015-07-29,15.50,16.10,15.39,16.10,193400,15.381812
2015-07-28,15.47,15.97,15.40,15.43,352700,14.741699
2015-07-27,14.50,15.76,14.50,15.45,324500,14.760806
2015-07-24,14.09,14.781,14.06,14.69,129600,14.034708
2015-07-23,14.00,14.37,13.77,14.31,200300,13.67166
2015-07-22,14.00,14.67,13.662,13.98,150500,13.35638
2015-07-21,13.48,14.20,13.48,13.85,43000,13.23218
2015-07-20,14.50,14.50,13.461,13.65,161200,13.0411
2015-07-17,14.59,14.63,14.24,14.25,196600,13.614336
2015-07-16,14.32,14.75,14.32,14.54,191600,13.8914
2015-07-15,14.42,15.00,14.10,14.18,186200,13.547459
2015-07-14,15.20,15.67,14.19,14.35,135500,13.709876
2015-07-13,14.77,15.46,14.764,15.17,98100,14.493297
2015-07-10,14.91,15.41,14.70,14.70,134200,14.044262
2015-07-09,14.91,15.033,14.52,14.78,52500,14.120694
2015-07-08,15.17,15.30,14.44,14.70,166300,14.044262
2015-07-07,15.27,15.61,14.65,15.46,101200,14.77036
2015-07-06,15.70,15.729,15.14,15.26,72500,14.579282
2015-07-02,15.85,16.139999,15.69,15.86,94700,15.152517
2015-07-01,16.030001,16.030001,15.758,15.88,76000,15.171625
2015-06-30,16.299999,16.59,15.41,15.98,169800,15.267164
2015-06-29,16.76,16.85,16.290001,16.290001,81400,15.563337
2015-06-26,16.85,17.09,16.76,16.799999,44700,16.050585
2015-06-25,16.969999,17.02,16.76,16.83,40700,16.079247
2015-06-24,17.049999,17.16,16.85,16.93,76100,16.174787
2015-06-23,16.959999,17.200001,16.75,17.040001,63500,16.279881
2015-06-22,16.74,16.940001,16.51,16.90,104100,16.146124
2015-06-19,16.74,16.959999,16.549999,16.67,163800,15.926385
2015-06-18,16.629999,17.035999,16.52,16.709999,102100,15.964599
2015-06-17,16.92,16.950001,16.58,16.610001,46600,15.869062
2015-06-16,16.93,17.17,16.549999,16.84,53100,16.088801
2015-06-15,16.52,17.049999,16.450001,16.91,92400,16.155679
2015-06-12,16.549999,16.74,16.450001,16.59,72800,15.849953
2015-06-11,16.629999,16.860001,16.50,16.610001,93800,15.869062
