Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,6.94,7.05,6.70,6.75,45900,6.688969
2015-10-08,6.94,6.98,6.85,6.86,88400,6.797975
2015-10-07,6.85,6.98,6.54,6.95,117300,6.887161
2015-10-06,6.17,6.81,6.15,6.81,133100,6.748427
2015-10-05,5.94,6.10,5.80,6.07,138600,6.015118
2015-10-02,5.50,5.84,5.50,5.84,107100,5.787197
2015-10-01,5.57,5.89,5.50,5.57,38700,5.519638
2015-09-30,5.85,5.97,5.50,5.55,160800,5.499819
2015-09-29,5.86,5.94,5.77,5.84,36200,5.787197
2015-09-28,5.89,5.92,5.83,5.84,49600,5.787197
2015-09-25,6.01,6.01,5.85,5.89,47300,5.836745
2015-09-24,5.85,6.08,5.85,5.93,83200,5.876383
2015-09-23,6.06,6.15,5.93,5.98,92400,5.925931
2015-09-22,5.78,6.00,5.77,5.96,24900,5.906112
2015-09-21,5.75,6.01,5.75,5.82,29200,5.767378
2015-09-18,5.86,6.11,5.63,5.70,176400,5.648463
2015-09-17,5.90,6.12,5.90,5.96,87000,5.906112
2015-09-16,5.69,6.00,5.69,5.92,51800,5.866474
2015-09-15,5.58,5.80,5.58,5.72,55900,5.668282
2015-09-14,5.67,5.67,5.39,5.58,33900,5.529548
2015-09-11,5.74,5.77,5.55,5.69,22300,5.589005
2015-09-10,5.56,5.88,5.56,5.88,83400,5.775633
2015-09-09,5.54,5.60,5.39,5.47,78100,5.37291
2015-09-08,5.60,5.74,5.26,5.41,105500,5.313975
2015-09-04,5.37,5.57,5.32,5.51,34500,5.412201
2015-09-03,5.72,5.78,5.39,5.46,47100,5.363088
2015-09-02,5.75,5.75,5.37,5.71,56800,5.60865
2015-09-01,5.73,5.84,5.59,5.67,80800,5.56936
2015-08-31,5.49,5.87,5.27,5.87,85800,5.76581
2015-08-28,5.06,5.59,5.01,5.54,102500,5.441668
2015-08-27,5.07,5.17,4.98,5.13,104700,5.038945
2015-08-26,4.62,5.17,4.09,5.03,162800,4.94072
2015-08-25,4.61,4.61,4.37,4.51,108700,4.42995
2015-08-24,4.56,4.73,4.42,4.51,94800,4.42995
2015-08-21,4.12,4.93,4.02,4.82,120100,4.734448
2015-08-20,4.77,4.97,4.75,4.75,67500,4.66569
2015-08-19,5.06,5.06,4.73,4.81,65800,4.724625
2015-08-18,5.08,5.20,4.96,5.07,76200,4.98001
2015-08-17,5.00,5.25,4.98,5.12,23000,5.029123
2015-08-14,4.98,5.15,4.94,5.03,51400,4.94072
2015-08-13,5.34,5.34,4.87,5.02,56400,4.930898
2015-08-12,5.34,5.50,5.24,5.39,46600,5.29433
2015-08-11,5.32,5.455,5.23,5.39,30500,5.29433
2015-08-10,5.20,5.50,5.03,5.43,76500,5.33362
2015-08-07,5.31,5.55,5.11,5.19,47200,5.09788
2015-08-06,5.15,5.47,4.99,5.38,41300,5.284508
2015-08-05,5.44,5.44,4.94,5.12,95600,5.029123
2015-08-04,5.12,5.30,5.04,5.13,75600,5.038945
2015-08-03,5.16,5.245,5.04,5.14,82000,5.048767
2015-07-31,5.35,5.385,5.17,5.22,59800,5.127347
2015-07-30,5.50,5.58,5.30,5.36,77700,5.264863
2015-07-29,5.45,5.65,5.30,5.52,59400,5.422023
2015-07-28,5.38,5.62,5.36,5.50,55300,5.402378
2015-07-27,5.25,5.47,5.19,5.43,83800,5.33362
2015-07-24,5.49,5.55,5.27,5.33,100400,5.235395
2015-07-23,5.83,5.93,5.34,5.55,108600,5.451491
2015-07-22,5.87,5.94,5.80,5.87,183200,5.76581
2015-07-21,5.86,6.05,5.805,5.85,96500,5.746165
