Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,53.790001,53.799999,53.299999,53.779999,334300,52.926762
2015-10-08,52.990002,54.09,52.959999,53.990002,434300,53.133433
2015-10-07,52.580002,53.130001,52.369999,53.099998,314700,52.25755
2015-10-06,52.689999,53.07,52.369999,52.459999,203100,51.627704
2015-10-05,51.900002,52.779999,51.639999,52.759998,243700,51.922944
2015-10-02,51.400002,51.73,50.849998,51.689999,346700,50.86992
2015-10-01,51.549999,52.990002,51.209999,51.560001,446600,50.741985
2015-09-30,51.509998,51.810001,51.16,51.57,404200,50.751825
2015-09-29,51.18,51.619999,50.889999,51.299999,232600,50.486108
2015-09-28,52.549999,52.889999,50.889999,51.209999,329700,50.397536
2015-09-25,52.130001,53.09,51.599998,52.689999,481700,51.555861
2015-09-24,52.669998,53.040001,52.110001,52.25,396700,51.125333
2015-09-23,52.470001,52.900002,52.240002,52.709999,204400,51.575431
2015-09-22,52.450001,52.75,52.060001,52.25,329100,51.125333
2015-09-21,52.18,52.799999,52.130001,52.669998,241500,51.536291
2015-09-18,51.330002,52.740002,51.16,51.950001,521800,50.831791
2015-09-17,52.029999,52.889999,51.310001,51.84,503400,50.724158
2015-09-16,50.630001,51.43,50.369999,51.060001,266700,49.960949
2015-09-15,50.34,50.869999,50.009998,50.639999,181200,49.549987
2015-09-14,50.700001,50.849998,50.360001,50.400002,152100,49.315155
2015-09-11,49.669998,50.799999,49.669998,50.669998,172000,49.57934
2015-09-10,49.650002,50.380001,49.610001,49.77,207200,48.698715
2015-09-09,50.599998,50.610001,49.549999,49.75,278600,48.679145
2015-09-08,49.57,50.48,49.57,50.23,251600,49.148812
2015-09-04,50.00,50.299999,49.240002,49.57,225500,48.503019
2015-09-03,50.59,50.849998,50.27,50.459999,244100,49.373861
2015-09-02,50.540001,50.610001,50.099998,50.599998,342000,49.510847
2015-09-01,50.150002,50.75,49.75,50.040001,319600,48.962904
2015-08-31,51.970001,52.290001,50.810001,50.889999,547100,49.794606
2015-08-28,52.349998,52.450001,51.869999,52.099998,250300,50.97856
2015-08-27,51.580002,53.02,51.310001,52.310001,445300,51.184043
2015-08-26,51.50,51.970001,50.790001,51.82,271600,50.408109
2015-08-25,53.360001,53.650002,50.66,50.689999,358500,49.308896
2015-08-24,54.009998,54.009998,52.00,52.459999,495100,51.030671
2015-08-21,55.00,55.50,54.189999,54.93,374800,53.433374
2015-08-20,55.700001,56.139999,55.540001,55.639999,227400,54.124029
2015-08-19,56.27,56.459999,55.73,56.060001,285800,54.532587
2015-08-18,56.48,56.650002,56.209999,56.599998,337000,55.057872
2015-08-17,56.400002,56.990002,55.889999,56.830002,209200,55.281608
2015-08-14,55.75,56.41,55.599998,56.360001,184400,54.824413
2015-08-13,55.900002,56.59,55.369999,56.060001,294200,54.532587
2015-08-12,55.860001,56.09,55.330002,56.02,262000,54.493676
2015-08-11,55.459999,56.369999,55.259998,56.009998,249700,54.483947
2015-08-10,56.009998,56.25,55.259998,55.540001,310000,54.026755
2015-08-07,55.77,56.16,55.189999,55.91,296100,54.386673
2015-08-06,56.23,56.23,55.07,56.110001,337800,54.581224
2015-08-05,56.98,57.43,56.040001,56.419998,386000,54.882776
2015-08-04,57.400002,57.790001,57.139999,57.360001,182100,55.797167
2015-08-03,57.16,57.490002,56.939999,57.450001,167700,55.884715
2015-07-31,56.59,57.259998,56.419998,57.119999,297200,55.563704
2015-07-30,56.52,56.709999,56.029999,56.200001,186500,54.668772
2015-07-29,56.369999,56.860001,55.84,56.669998,266200,55.125964
2015-07-28,56.490002,56.959999,56.060001,56.77,384500,54.9285
2015-07-27,55.970001,56.68,55.889999,56.50,229300,54.667257
2015-07-24,55.490002,56.080002,55.349998,55.720001,238000,53.91256
2015-07-23,56.549999,56.68,55.419998,55.720001,260300,53.91256
2015-07-22,56.240002,56.82,56.240002,56.50,206700,54.667257
2015-07-21,56.509998,56.799999,56.189999,56.41,297900,54.580177
2015-07-20,56.360001,56.400002,55.939999,56.290001,213200,54.46407
2015-07-17,56.709999,56.830002,56.150002,56.32,218200,54.493096
2015-07-16,56.50,56.970001,56.310001,56.689999,408700,54.851093
2015-07-15,55.459999,56.48,55.25,56.32,390500,54.493096
2015-07-14,56.16,56.389999,55.459999,55.540001,764200,53.738399
2015-07-13,56.34,57.02,55.84,56.060001,368700,54.241532
2015-07-10,56.119999,56.73,55.650002,56.220001,545000,54.396341
2015-07-09,57.07,57.080002,55.73,55.830002,634800,54.018993
2015-07-08,56.470001,56.919998,56.32,56.77,415100,54.9285
2015-07-07,55.950001,57.00,54.75,56.68,348300,54.841419
2015-07-06,55.389999,56.009998,55.389999,55.810001,356700,53.999641
2015-07-02,56.330002,57.040001,55.560001,55.650002,209000,53.844831
2015-07-01,55.009998,55.849998,54.689999,55.849998,329200,54.038341
2015-06-30,55.279999,55.299999,54.700001,54.779999,269700,53.00305
2015-06-29,55.900002,56.57,54.959999,55.02,288900,53.235266
2015-06-26,55.959999,56.23,55.50,55.889999,573400,54.077044
2015-06-25,56.73,56.73,56.080002,56.169998,330700,54.054787
2015-06-24,56.669998,56.959999,56.57,56.66,399800,54.526336
2015-06-23,56.919998,57.50,56.400002,56.669998,285700,54.535958
2015-06-22,57.700001,57.849998,56.919998,57.00,324500,54.853533
2015-06-19,57.439999,57.639999,56.799999,57.630001,581100,55.45981
2015-06-18,56.810001,57.650002,56.799999,57.509998,311200,55.344326
2015-06-17,56.18,56.700001,55.869999,56.650002,333900,54.516714
2015-06-16,56.00,56.23,55.720001,56.00,397600,53.89119
2015-06-15,56.220001,56.299999,55.700001,55.93,194300,53.823826
2015-06-12,56.599998,56.639999,56.139999,56.330002,223600,54.208765
2015-06-11,56.450001,56.810001,56.259998,56.709999,206200,54.574452
2015-06-10,56.049999,56.709999,55.50,56.25,284900,54.131776
2015-06-09,56.419998,56.529999,55.75,55.939999,213700,53.833448
2015-06-08,56.349998,56.82,55.889999,56.439999,212800,54.31462
2015-06-05,56.43,56.599998,55.84,56.32,278000,54.199139
2015-06-04,57.00,57.25,56.709999,56.91,336300,54.766922
2015-06-03,57.959999,58.240002,57.169998,57.240002,275300,55.084497
2015-06-02,57.900002,58.139999,57.619999,58.00,298700,55.815875
2015-06-01,57.889999,58.32,57.68,58.18,383100,55.989097
2015-05-29,58.450001,58.630001,57.619999,57.669998,436800,55.498301
2015-05-28,58.50,58.830002,58.299999,58.50,298900,56.297047
2015-05-27,58.060001,58.610001,57.790001,58.549999,262500,56.345163
2015-05-26,58.740002,58.790001,57.720001,58.150002,302900,55.66864
2015-05-22,58.599998,59.18,58.50,58.799999,202400,56.290901
2015-05-21,59.779999,59.779999,58.580002,58.91,287300,56.396208
2015-05-20,59.75,60.00,59.349998,59.50,228500,56.961031
2015-05-19,59.18,59.540001,58.77,59.48,302400,56.941884
2015-05-18,59.099998,59.389999,58.73,59.25,281100,56.721699
2015-05-15,58.93,59.50,58.889999,59.41,267300,56.874872
2015-05-14,57.900002,58.799999,57.77,58.790001,164200,56.281329
2015-05-13,58.529999,58.950001,57.450001,57.57,238000,55.113388
2015-05-12,57.77,58.209999,57.299999,58.189999,275900,55.70693
2015-05-11,58.75,59.259998,57.91,58.139999,333900,55.659064
2015-05-08,59.119999,60.009998,58.889999,58.939999,310300,56.424926
2015-05-07,57.59,58.57,57.470001,58.50,333200,56.003703
2015-05-06,57.709999,58.07,57.34,57.599998,287000,55.142106
2015-05-05,58.299999,58.41,57.400002,57.849998,365100,55.381438
2015-05-04,58.02,58.740002,57.990002,58.52,504200,56.02285
2015-05-01,57.77,58.540001,57.66,57.98,310900,55.505892
2015-04-30,58.18,58.639999,57.490002,57.669998,582200,55.209119
2015-04-29,60.400002,60.490002,58.790001,58.799999,382900,56.290901
2015-04-28,58.98,59.68,58.790001,59.490002,449300,56.95146
2015-04-27,59.75,60.139999,58.970001,59.310001,237000,56.489071
2015-04-24,59.419998,59.84,59.200001,59.599998,173500,56.765275
2015-04-23,59.02,59.540001,58.990002,59.419998,147800,56.593836
2015-04-22,59.450001,59.639999,58.959999,59.110001,154900,56.298582
2015-04-21,59.349998,59.93,59.110001,59.32,183900,56.498593
2015-04-20,59.23,59.59,59.009998,59.169998,184200,56.355726
2015-04-17,58.970001,59.349998,58.700001,59.080002,267800,56.27001
2015-04-16,58.799999,59.549999,58.50,59.349998,179900,56.527165
2015-04-15,59.470001,59.610001,58.75,58.810001,206500,56.012852
2015-04-14,59.139999,59.919998,59.139999,59.470001,264800,56.64146
2015-04-13,58.639999,59.450001,58.529999,58.82,215700,56.022375
2015-04-10,58.459999,58.990002,58.200001,58.50,295100,55.717595
2015-04-09,59.580002,59.700001,57.799999,57.849998,439100,55.098509
2015-04-08,60.139999,60.139999,59.470001,59.75,251400,56.908142
2015-04-07,61.189999,61.290001,59.900002,59.939999,170600,57.089104
2015-04-06,60.73,61.700001,60.73,61.130001,185400,58.222507
2015-04-02,60.009998,60.84,60.00,60.720001,162700,57.832007
2015-04-01,60.23,60.599998,59.560001,60.110001,240700,57.25102
2015-03-31,60.150002,60.419998,59.73,60.029999,206100,57.174823
2015-03-30,59.700001,60.360001,59.419998,60.32,265900,57.451031
2015-03-27,59.389999,59.73,59.02,59.41,262500,56.584313
2015-03-26,59.669998,60.00,59.049999,59.459999,205300,56.344296
2015-03-25,60.689999,61.169998,59.419998,59.759998,395300,56.628575
2015-03-24,61.34,61.549999,60.650002,60.720001,301000,57.538274
2015-03-23,61.689999,62.18,61.369999,61.59,228200,58.362685
2015-03-20,60.509998,61.84,60.369999,61.779999,812700,58.542727
2015-03-19,60.259998,60.919998,59.950001,60.310001,273300,57.149758
2015-03-18,59.150002,60.900002,58.790001,60.529999,378000,57.358227
2015-03-17,59.220001,59.68,58.740002,59.41,289300,56.296916
2015-03-16,58.889999,59.93,58.610001,59.310001,214100,56.202158
2015-03-13,59.07,59.639999,58.259998,58.82,230300,55.737832
2015-03-12,58.810001,59.68,58.57,59.060001,574000,55.965258
2015-03-11,58.779999,58.84,58.09,58.470001,412300,55.406174
2015-03-10,57.98,58.599998,57.830002,58.540001,312300,55.472505
2015-03-09,57.66,58.259998,57.560001,58.040001,267700,54.998705
2015-03-06,58.900002,58.900002,56.639999,57.240002,558700,54.240626
2015-03-05,60.080002,60.43,59.720001,59.779999,166500,56.647527
2015-03-04,60.490002,60.73,59.560001,59.779999,168700,56.647527
2015-03-03,60.50,60.900002,59.84,60.540001,242900,57.367705
2015-03-02,61.169998,62.110001,60.369999,60.619999,299500,57.443511
2015-02-27,60.50,61.16,60.00,61.009998,347600,57.813075
2015-02-26,60.349998,60.82,59.919998,60.27,433600,57.111853
2015-02-25,60.619999,61.82,58.619999,60.669998,444600,57.490891
2015-02-24,62.360001,62.52,61.060001,61.619999,263800,58.103991
2015-02-23,61.93,62.73,61.779999,62.599998,289300,59.028072
2015-02-20,60.990002,61.950001,60.970001,61.790001,252800,58.264293
2015-02-19,61.860001,62.099998,60.98,61.02,167300,57.538228
2015-02-18,62.00,62.16,61.259998,62.110001,336800,58.566033
2015-02-17,61.529999,62.450001,61.52,61.880001,243400,58.349158
2015-02-13,61.970001,61.990002,61.080002,61.68,201700,58.160569
2015-02-12,61.790001,62.09,61.599998,61.98,245200,58.44345
2015-02-11,61.43,61.869999,60.919998,61.599998,234100,58.085132
2015-02-10,61.560001,61.560001,60.200001,61.439999,501000,57.934261
2015-02-09,62.799999,63.32,61.939999,62.009998,312900,58.471737
2015-02-06,65.419998,65.419998,62.66,62.990002,560900,59.395822
2015-02-05,64.449997,65.540001,64.279999,65.410004,362700,61.67774
2015-02-04,65.010002,65.190002,63.939999,64.269997,456600,60.602781
2015-02-03,64.639999,65.080002,64.290001,65.040001,407500,61.328849
2015-02-02,65.029999,65.50,62.900002,64.709999,391100,61.017677
2015-01-30,64.949997,65.739998,64.949997,65.059998,590200,61.347705
2015-01-29,64.970001,65.379997,64.589996,65.370003,247000,61.640021
2015-01-28,65.279999,65.760002,64.730003,64.839996,264000,61.140257
2015-01-27,65.349998,65.75,65.080002,65.580002,202200,61.553269
2015-01-26,64.199997,65.660004,63.900002,65.550003,298500,61.525112
2015-01-23,64.629997,64.739998,64.120003,64.360001,232700,60.408178
2015-01-22,63.48,64.629997,63.110001,64.629997,365400,60.661596
2015-01-21,62.279999,63.259998,62.009998,63.00,280800,59.131684
2015-01-20,62.82,63.220001,62.209999,62.48,257200,58.643612
2015-01-16,61.509998,62.759998,61.400002,62.639999,303100,58.793788
2015-01-15,61.189999,61.830002,61.189999,61.759998,313700,57.967821
2015-01-14,60.599998,61.23,60.529999,61.189999,340400,57.43282
2015-01-13,61.59,61.59,60.240002,60.98,355900,57.235715
2015-01-12,60.599998,61.439999,60.43,61.310001,233100,57.545454
2015-01-09,60.669998,60.779999,60.23,60.360001,216200,56.653785
2015-01-08,60.759998,61.049999,60.080002,60.75,317900,57.019838
2015-01-07,59.32,60.59,59.02,60.509998,293700,56.794573
2015-01-06,58.830002,59.34,58.66,59.200001,377500,55.565012
2015-01-05,58.50,58.900002,58.02,58.75,312600,55.142642
2015-01-02,57.98,58.740002,57.84,58.630001,198800,55.030011
2014-12-31,58.880001,59.290001,57.490002,57.630001,210800,54.091413
2014-12-30,58.959999,59.240002,58.540001,58.790001,276100,55.180186
2014-12-29,58.759998,59.200001,58.439999,59.07,286300,55.442993
2014-12-26,58.799999,59.02,58.509998,58.66,221900,54.790668
2014-12-24,58.450001,58.57,58.049999,58.50,169300,54.641222
2014-12-23,58.880001,58.880001,58.16,58.50,272600,54.641222
2014-12-22,58.09,58.75,58.09,58.57,336100,54.706604
2014-12-19,57.689999,58.459999,57.639999,58.110001,1225600,54.276948
2014-12-18,57.540001,57.560001,56.630001,57.380001,453600,53.5951
2014-12-17,55.849998,57.639999,55.279999,57.23,747400,53.454993
2014-12-16,55.07,56.080002,54.830002,55.66,364500,51.988554
2014-12-15,55.889999,55.939999,54.810001,54.91,302000,51.288026
2014-12-12,55.740002,56.25,55.700001,55.759998,377000,52.081956
2014-12-11,56.060001,56.25,55.720001,56.25,204100,52.539637
2014-12-10,56.25,56.52,55.68,55.970001,274300,52.278107
2014-12-09,55.619999,56.400002,55.619999,56.400002,451400,52.679744
2014-12-08,56.369999,57.130001,55.00,56.049999,328500,52.352828
2014-12-05,56.580002,56.810001,55.849998,56.439999,366600,52.717103
2014-12-04,56.220001,56.860001,56.099998,56.75,252500,53.006656
2014-12-03,56.419998,56.540001,55.93,56.32,206400,52.605019
2014-12-02,55.830002,56.139999,55.52,56.139999,232100,52.436892
2014-12-01,55.709999,56.200001,55.610001,55.73,344900,52.053936
2014-11-28,56.25,57.07,55.970001,55.990002,261200,52.296788
2014-11-26,55.720001,56.330002,55.66,56.240002,288600,52.530298
2014-11-25,55.959999,55.990002,55.509998,55.610001,450800,51.941853
2014-11-24,55.75,56.060001,55.700001,55.919998,397800,51.965202
2014-11-21,56.290001,56.310001,55.52,55.66,380300,51.723591
2014-11-20,55.330002,55.779999,55.310001,55.700001,354500,51.760763
2014-11-19,56.16,56.43,55.560001,55.610001,367000,51.677128
