Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,11.14,11.27,11.11,11.27,44400,11.043946
2015-10-08,10.92,11.09,10.90,11.09,24300,10.867557
2015-10-07,10.86,10.97,10.83,10.97,21600,10.749964
2015-10-06,10.80,10.86,10.76,10.86,38800,10.642169
2015-10-05,10.63,10.80,10.63,10.80,27900,10.583373
2015-10-02,10.48,10.64,10.48,10.62,19400,10.406984
2015-10-01,10.50,10.61,10.50,10.58,27300,10.367786
2015-09-30,10.65,10.66,10.56,10.56,33700,10.348188
2015-09-29,10.68,10.68,10.57,10.57,25900,10.357986
2015-09-28,10.82,10.82,10.60,10.63,27400,10.416783
2015-09-25,10.70,10.82,10.66,10.79,28600,10.573574
2015-09-24,10.68,10.68,10.64,10.67,16900,10.455981
2015-09-23,10.68,10.69,10.60,10.65,11900,10.436382
2015-09-22,10.68,10.72,10.65,10.65,12300,10.436382
2015-09-21,10.78,10.81,10.70,10.70,39800,10.485379
2015-09-18,10.65,10.78,10.65,10.69,31200,10.475579
2015-09-17,10.66,10.75,10.65,10.68,33200,10.46578
2015-09-16,10.74,10.75,10.68,10.70,25000,10.485379
2015-09-15,10.72,10.73,10.66,10.68,26700,10.46578
2015-09-14,10.68,10.69,10.62,10.66,19900,10.446181
2015-09-11,10.60,10.71,10.60,10.68,14800,10.46578
2015-09-10,10.70,10.86,10.70,10.80,23100,10.509878
2015-09-09,10.87,10.87,10.79,10.80,13500,10.509878
2015-09-08,10.74,10.83,10.74,10.82,23200,10.52934
2015-09-04,10.68,10.73,10.66,10.69,26000,10.402832
2015-09-03,10.70,10.78,10.70,10.73,16500,10.441758
2015-09-02,10.86,10.86,10.63,10.75,34700,10.461221
2015-09-01,10.80,10.83,10.74,10.79,27100,10.500146
2015-08-31,11.03,11.03,10.89,10.89,31000,10.597461
2015-08-28,11.01,11.06,10.99,10.99,21800,10.694774
2015-08-27,11.00,11.02,10.91,10.95,36500,10.655848
2015-08-26,10.73,10.86,10.69,10.82,23100,10.52934
2015-08-25,10.87,10.99,10.70,10.70,39500,10.412564
2015-08-24,11.17,11.19,10.30,10.77,106700,10.480684
2015-08-21,11.36,11.40,11.21,11.27,93300,10.967253
2015-08-20,11.43,11.43,11.36,11.37,20600,11.064566
2015-08-19,11.41,11.45,11.38,11.40,20100,11.09376
2015-08-18,11.50,11.50,11.42,11.49,11700,11.181342
2015-08-17,11.46,11.51,11.38,11.50,18500,11.191074
2015-08-14,11.45,11.54,11.41,11.54,15900,11.229999
2015-08-13,11.47,11.47,11.37,11.42,18200,11.113223
2015-08-12,11.57,11.57,11.46,11.49,22400,11.108357
2015-08-11,11.43,11.58,11.39,11.58,12100,11.195368
2015-08-10,11.55,11.57,11.31,11.49,51200,11.108357
2015-08-07,11.53,11.53,11.45,11.47,13900,11.089022
2015-08-06,11.52,11.56,11.51,11.51,7900,11.127693
2015-08-05,11.53,11.55,11.48,11.55,11800,11.166364
2015-08-04,11.58,11.66,11.53,11.55,20600,11.166364
2015-08-03,11.46,11.73,11.43,11.73,33600,11.340385
2015-07-31,11.35,11.46,11.32,11.42,7600,11.040682
2015-07-30,11.26,11.39,11.26,11.35,9300,10.973008
2015-07-29,11.23,11.35,11.23,11.27,18100,10.895665
2015-07-28,11.23,11.31,11.21,11.29,14900,10.915
2015-07-27,11.25,11.33,11.23,11.26,15500,10.885997
2015-07-24,11.24,11.33,11.24,11.25,18900,10.876329
2015-07-23,11.28,11.33,11.21,11.30,34500,10.924668
2015-07-22,11.27,11.35,11.26,11.29,15800,10.915
2015-07-21,11.39,11.39,11.28,11.35,39100,10.973008
2015-07-20,11.61,11.61,11.42,11.42,26100,11.040682
2015-07-17,11.55,11.57,11.47,11.57,10200,11.1857
2015-07-16,11.43,11.59,11.43,11.57,30300,11.1857
2015-07-15,11.44,11.48,11.44,11.46,17000,11.079354
2015-07-14,11.54,11.57,11.46,11.50,31500,11.118025
2015-07-13,11.49,11.55,11.43,11.49,33900,11.108357
2015-07-10,11.40,11.59,11.40,11.59,26800,11.132527
2015-07-09,11.47,11.53,11.39,11.40,15200,10.950026
2015-07-08,11.56,11.56,11.35,11.44,24900,10.988447
2015-07-07,11.47,11.63,11.42,11.63,29100,11.170948
2015-07-06,11.50,11.52,11.40,11.52,23900,11.06529
2015-07-02,11.42,11.48,11.42,11.48,38500,11.026868
2015-07-01,11.40,11.42,11.31,11.38,36200,10.930816
2015-06-30,11.19,11.37,11.19,11.28,27900,10.834762
2015-06-29,11.29,11.39,11.10,11.20,69800,10.75792
2015-06-26,11.56,11.59,11.44,11.44,37300,10.988447
2015-06-25,11.56,11.61,11.51,11.53,33000,11.074895
2015-06-24,11.60,11.62,11.56,11.56,36900,11.103711
2015-06-23,11.58,11.63,11.56,11.56,55900,11.103711
2015-06-22,11.62,11.70,11.56,11.60,40000,11.142132
2015-06-19,11.62,11.65,11.58,11.60,14100,11.142132
2015-06-18,11.56,11.70,11.56,11.61,25500,11.151737
2015-06-17,11.55,11.79,11.53,11.58,26600,11.122921
2015-06-16,11.44,11.59,11.44,11.52,31300,11.06529
2015-06-15,11.36,11.55,11.36,11.48,29300,11.026868
2015-06-12,11.82,11.82,11.42,11.42,83000,10.969237
2015-06-11,11.81,11.89,11.77,11.80,38000,11.334238
2015-06-10,11.95,11.96,11.83,11.95,46500,11.406277
2015-06-09,11.91,11.91,11.77,11.89,36800,11.349008
2015-06-08,12.00,12.01,11.95,11.96,19600,11.415822
2015-06-05,12.11,12.11,12.02,12.04,21200,11.492182
2015-06-04,12.15,12.16,12.08,12.11,31800,11.558997
2015-06-03,12.17,12.25,12.15,12.16,23000,11.606722
2015-06-02,12.27,12.27,12.17,12.20,24700,11.644902
2015-06-01,12.40,12.40,12.21,12.26,26000,11.702173
2015-05-29,12.31,12.34,12.25,12.33,13900,11.768987
2015-05-28,12.30,12.31,12.27,12.30,18200,11.740353
2015-05-27,12.26,12.31,12.26,12.31,16000,11.749898
2015-05-26,12.35,12.36,12.24,12.24,18000,11.683082
2015-05-22,12.41,12.42,12.35,12.36,25000,11.797622
2015-05-21,12.40,12.42,12.36,12.41,37000,11.845347
2015-05-20,12.41,12.44,12.37,12.38,19600,11.816713
2015-05-19,12.39,12.47,12.30,12.38,17600,11.816713
2015-05-18,12.42,12.45,12.35,12.36,25500,11.797622
2015-05-15,12.30,12.47,12.30,12.38,28400,11.816713
2015-05-14,12.25,12.35,12.25,12.35,40200,11.788078
2015-05-13,12.26,12.36,12.22,12.22,23300,11.663993
2015-05-12,12.30,12.41,12.25,12.30,36400,11.740353
2015-05-11,12.32,12.43,12.31,12.32,56400,11.759442
2015-05-08,12.50,12.59,12.46,12.46,35100,11.821485
