Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.89,13.99,13.89,13.93,100100,13.619746
2015-10-08,13.71,13.94,13.71,13.94,180700,13.629523
2015-10-07,13.69,13.88,13.67,13.76,153000,13.453533
2015-10-06,13.50,13.61,13.50,13.61,144400,13.306873
2015-10-05,13.47,13.55,13.44,13.49,198600,13.189546
2015-10-02,13.30,13.45,13.24,13.41,173800,13.111328
2015-10-01,13.32,13.38,13.20,13.37,170900,13.072219
2015-09-30,13.28,13.37,13.24,13.32,255700,13.023332
2015-09-29,13.36,13.43,13.21,13.23,203500,12.935336
2015-09-28,13.59,13.60,13.31,13.36,176000,13.062441
2015-09-25,13.65,13.71,13.53,13.56,222100,13.257987
2015-09-24,13.69,13.69,13.54,13.62,211100,13.316651
2015-09-23,13.87,13.90,13.71,13.72,152800,13.414424
2015-09-22,13.80,13.85,13.75,13.83,104000,13.521973
2015-09-21,14.01,14.01,13.86,13.88,75400,13.57086
2015-09-18,13.86,14.03,13.86,13.91,132800,13.600191
2015-09-17,13.67,13.92,13.67,13.91,178500,13.600191
2015-09-16,13.65,13.76,13.57,13.67,114300,13.365537
2015-09-15,13.75,13.77,13.68,13.71,147700,13.301985
2015-09-14,13.80,13.82,13.75,13.75,112300,13.340794
2015-09-11,13.87,13.87,13.77,13.80,170700,13.389306
2015-09-10,13.78,13.86,13.76,13.84,338100,13.428116
2015-09-09,13.83,13.90,13.66,13.74,190700,13.331092
2015-09-08,13.77,13.80,13.72,13.78,144300,13.369901
2015-09-04,13.69,13.76,13.54,13.69,170100,13.282579
2015-09-03,13.70,13.76,13.68,13.75,186500,13.340794
2015-09-02,13.68,13.75,13.66,13.72,187200,13.311687
2015-09-01,13.45,13.67,13.44,13.67,280800,13.263175
2015-08-31,13.75,13.76,13.59,13.59,267700,13.185556
2015-08-28,13.60,13.80,13.60,13.79,241300,13.379604
2015-08-27,13.66,13.73,13.59,13.65,268000,13.24377
2015-08-26,13.62,13.71,13.49,13.59,196600,13.185556
2015-08-25,13.51,13.59,13.46,13.56,205400,13.156449
2015-08-24,13.21,13.46,13.21,13.38,415400,12.981806
2015-08-21,13.84,13.90,13.53,13.73,369200,13.321389
2015-08-20,13.93,14.00,13.91,13.93,133400,13.515438
2015-08-19,14.08,14.10,13.94,14.06,200600,13.641569
2015-08-18,14.15,14.21,14.07,14.18,313400,13.656122
2015-08-17,14.27,14.34,14.15,14.20,194300,13.675383
2015-08-14,14.28,14.34,14.25,14.33,49000,13.80058
2015-08-13,14.36,14.36,14.25,14.30,93500,13.771689
2015-08-12,14.31,14.37,14.31,14.36,85500,13.829471
2015-08-11,14.41,14.44,14.29,14.34,73500,13.810211
2015-08-10,14.48,14.48,14.44,14.45,49000,13.916147
2015-08-07,14.51,14.55,14.43,14.47,78600,13.935408
2015-08-06,14.52,14.56,14.50,14.54,187100,14.002822
2015-08-05,14.51,14.57,14.48,14.57,161600,14.031713
2015-08-04,14.48,14.53,14.45,14.51,87200,13.97393
2015-08-03,14.40,14.49,14.40,14.48,79800,13.945038
2015-07-31,14.39,14.49,14.37,14.47,198900,13.935408
2015-07-30,14.32,14.42,14.32,14.37,198000,13.839102
2015-07-29,14.35,14.42,14.30,14.34,382000,13.810211
2015-07-28,14.33,14.42,14.29,14.34,283400,13.810211
2015-07-27,14.38,14.44,14.00,14.34,234700,13.810211
2015-07-24,14.59,14.60,14.44,14.46,180300,13.925777
2015-07-23,14.61,14.69,14.50,14.55,334000,14.012452
2015-07-22,14.57,14.68,14.53,14.54,373900,14.002822
2015-07-21,14.71,14.82,14.69,14.77,150600,14.123204
2015-07-20,14.89,14.90,14.73,14.73,240500,14.084955
2015-07-17,14.93,15.00,14.86,14.91,193000,14.257073
2015-07-16,15.01,15.01,14.91,14.94,233700,14.285759
2015-07-15,14.97,15.08,14.95,15.01,101600,14.352694
2015-07-14,15.10,15.15,14.99,15.00,138800,14.343131
2015-07-13,15.07,15.10,15.01,15.10,63300,14.438753
2015-07-10,15.08,15.10,15.02,15.10,70600,14.438753
2015-07-09,14.94,15.06,14.90,15.05,129900,14.390942
2015-07-08,14.92,14.92,14.83,14.89,68400,14.237949
2015-07-07,14.92,14.98,14.88,14.96,105100,14.304883
2015-07-06,14.90,15.00,14.90,14.98,83500,14.324007
2015-07-02,14.94,15.03,14.93,15.00,109300,14.343131
2015-07-01,14.99,15.04,14.94,14.95,101100,14.295321
2015-06-30,14.90,15.04,14.88,14.96,156600,14.304883
2015-06-29,15.00,15.00,14.81,14.88,253400,14.228387
2015-06-26,15.15,15.18,15.03,15.07,114100,14.410066
2015-06-25,15.22,15.27,15.15,15.15,89300,14.486562
2015-06-24,15.28,15.30,15.18,15.26,87600,14.591746
2015-06-23,15.15,15.27,15.09,15.27,151600,14.601308
2015-06-22,15.16,15.19,15.12,15.13,92300,14.467439
2015-06-19,15.13,15.18,15.10,15.16,78700,14.496125
2015-06-18,15.14,15.17,15.05,15.13,89200,14.467439
2015-06-17,15.18,15.18,15.05,15.14,148400,14.477001
2015-06-16,15.22,15.28,15.21,15.24,80500,14.47222
2015-06-15,15.21,15.32,15.21,15.28,88400,14.510204
2015-06-12,15.25,15.34,15.24,15.24,105600,14.47222
2015-06-11,15.42,15.42,15.29,15.29,91500,14.519701
2015-06-10,15.35,15.40,15.29,15.39,108400,14.614663
2015-06-09,15.33,15.42,15.19,15.33,79200,14.557686
2015-06-08,15.50,15.50,15.28,15.33,173500,14.557686
2015-06-05,15.80,15.80,15.43,15.56,285900,14.776099
2015-06-04,15.84,15.87,15.78,15.83,134700,15.032496
2015-06-03,15.92,15.92,15.76,15.82,92500,15.023
2015-06-02,15.84,15.90,15.83,15.90,57800,15.098969
2015-06-01,15.84,15.94,15.84,15.84,54800,15.041992
2015-05-29,16.02,16.030001,15.85,15.86,114000,15.060984
