Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,25.25,25.25,25.25,25.25,000,25.00
2015-10-08,25.25,25.25,25.25,25.25,100,25.00
2015-10-07,24.950001,24.950001,24.950001,24.950001,300,24.702971
2015-10-06,25.200001,25.200001,25.200001,25.200001,000,24.950496
2015-10-05,25.10,25.200001,25.10,25.200001,2300,24.950496
2015-10-02,25.50,25.50,24.50,25.00,1000,24.752475
2015-10-01,25.50,25.50,25.50,25.50,200,25.247525
2015-09-30,24.549999,24.549999,24.549999,24.549999,000,24.30693
2015-09-29,24.549999,25.309999,24.25,24.549999,1600,24.30693
2015-09-28,24.610001,25.360001,24.610001,25.360001,2000,25.108912
2015-09-25,24.50,24.50,24.50,24.50,800,24.257426
2015-09-24,24.549999,24.549999,24.25,24.25,500,24.009901
2015-09-23,24.799999,24.799999,24.799999,24.799999,300,24.554455
2015-09-22,24.799999,24.799999,24.799999,24.799999,300,24.554455
2015-09-21,24.91,24.91,24.91,24.91,000,24.415842
2015-09-18,24.92,24.92,24.91,24.91,1300,24.415842
2015-09-17,25.040001,25.209999,25.02,25.209999,500,24.70989
2015-09-16,25.469999,25.50,25.469999,25.50,1200,24.994138
2015-09-15,26.00,26.00,25.299999,25.41,1500,24.905923
2015-09-14,24.83,25.950001,24.41,25.950001,2800,25.435211
2015-09-11,26.00,26.00,24.75,24.809999,1200,24.317825
2015-09-10,26.299999,26.299999,26.299999,26.299999,000,25.778267
2015-09-09,26.299999,26.299999,26.299999,26.299999,300,25.778267
2015-09-08,26.450001,26.450001,25.00,25.00,1300,24.504057
2015-09-04,25.35,25.35,25.35,25.35,300,24.847114
2015-09-03,25.950001,25.99,25.00,25.99,1800,25.474417
2015-09-02,25.00,25.84,25.00,25.00,2700,24.504057
2015-09-01,24.00,25.870001,24.00,25.360001,1400,24.856916
2015-08-31,24.50,25.98,24.50,25.00,1200,24.504057
2015-08-28,25.549999,25.549999,24.120001,24.120001,2600,23.641515
2015-08-27,25.190001,25.190001,24.75,25.10,1000,24.602073
2015-08-26,25.540001,25.540001,24.26,24.26,2400,23.778737
2015-08-25,25.540001,26.00,24.67,24.67,4400,24.180603
2015-08-24,25.200001,25.700001,24.690001,24.700001,10500,24.210009
2015-08-21,25.200001,25.85,25.200001,25.85,400,25.337195
2015-08-20,25.969999,25.969999,25.969999,25.969999,000,25.454813
2015-08-19,25.969999,25.969999,25.969999,25.969999,400,25.454813
2015-08-18,26.50,26.50,26.50,26.50,000,25.9743
