Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.63,14.07,13.15,13.86,289500,13.86
2015-10-08,13.27,13.95,13.20,13.57,902400,13.57
2015-10-07,14.10,14.70,13.96,14.18,298700,14.18
2015-10-06,14.74,14.88,13.64,14.07,383900,14.07
2015-10-05,14.38,15.11,14.05,14.66,261400,14.66
2015-10-02,14.08,14.57,13.89,14.32,394200,14.32
2015-10-01,13.91,14.35,13.43,14.15,315900,14.15
2015-09-30,14.00,14.19,13.31,13.69,500800,13.69
2015-09-29,13.94,14.20,13.52,13.82,539600,13.82
2015-09-28,14.12,14.37,13.86,13.88,591600,13.88
2015-09-25,15.13,15.29,14.00,14.11,425100,14.11
2015-09-24,14.39,14.99,14.16,14.98,243800,14.98
2015-09-23,15.16,15.34,14.34,14.61,341400,14.61
2015-09-22,15.50,15.99,15.10,15.18,393400,15.18
2015-09-21,15.44,16.73,15.17,15.90,896700,15.90
2015-09-18,15.28,15.70,14.90,15.40,617200,15.40
2015-09-17,14.32,15.66,14.32,15.61,643500,15.61
2015-09-16,14.53,14.66,14.14,14.39,207300,14.39
2015-09-15,14.48,14.76,14.38,14.60,190000,14.60
2015-09-14,14.17,14.50,13.98,14.38,209400,14.38
2015-09-11,14.08,14.38,13.96,14.31,270300,14.31
2015-09-10,13.89,14.30,13.87,14.23,336400,14.23
2015-09-09,14.54,14.60,13.90,13.99,516800,13.99
2015-09-08,14.57,14.65,14.08,14.36,252400,14.36
2015-09-04,13.90,14.30,13.71,14.21,297800,14.21
2015-09-03,14.26,14.79,13.94,14.02,398400,14.02
2015-09-02,14.23,14.565,13.88,14.35,431400,14.35
2015-09-01,13.84,14.45,13.805,14.06,440700,14.06
2015-08-31,14.61,14.88,13.88,14.33,782900,14.33
2015-08-28,14.22,15.19,14.12,14.82,661500,14.82
2015-08-27,13.25,14.31,13.19,14.29,838200,14.29
2015-08-26,13.20,13.30,12.63,13.04,580900,13.04
2015-08-25,13.90,14.00,12.84,12.87,638500,12.87
2015-08-24,12.58,13.68,11.85,12.93,1002000,12.93
2015-08-21,13.91,14.11,13.25,13.46,1223600,13.46
2015-08-20,14.61,14.965,13.80,14.25,853900,14.25
2015-08-19,15.68,16.034,14.93,14.98,844600,14.98
2015-08-18,17.16,17.469999,15.78,15.86,793400,15.86
2015-08-17,17.540001,17.639999,16.50,17.35,1132300,17.35
2015-08-14,17.07,17.65,16.65,17.08,1143200,17.08
2015-08-13,16.99,17.73,16.450001,16.99,1288500,16.99
2015-08-12,16.00,18.57,15.56,16.879999,2096400,16.879999
2015-08-11,14.19,16.10,13.86,16.01,1200900,16.01
2015-08-10,13.52,14.34,13.30,14.29,679500,14.29
2015-08-07,13.54,13.77,13.21,13.44,1105000,13.44
2015-08-06,13.82,13.91,13.06,13.59,2053600,13.59
2015-08-05,15.62,16.280001,13.63,13.78,4141900,13.78
2015-08-04,20.360001,20.59,18.809999,19.23,3028600,19.23
2015-08-03,21.00,21.48,19.85,20.50,1829700,20.50
2015-07-31,21.299999,21.90,20.41,20.84,1922600,20.84
2015-07-30,18.959999,21.658001,18.902,21.200001,2323700,21.200001
2015-07-29,18.700001,19.450001,18.25,18.98,874700,18.98
2015-07-28,18.469999,19.15,18.309999,18.65,955000,18.65
2015-07-27,19.280001,19.469999,18.160999,18.299999,645500,18.299999
2015-07-24,18.309999,19.889999,18.16,19.309999,1292100,19.309999
2015-07-23,18.370001,19.139999,17.77,18.440001,1156300,18.440001
2015-07-22,18.82,19.459999,18.02,18.450001,869300,18.450001
2015-07-21,19.549999,20.379999,18.610001,18.98,1733600,18.98
2015-07-20,20.440001,20.969999,18.92,19.559999,3561300,19.559999
2015-07-17,16.940001,23.440001,16.57,21.98,11961100,21.98
2015-07-16,16.90,17.299999,16.32,16.83,988000,16.83
2015-07-15,16.58,17.15,16.41,16.82,1070600,16.82
2015-07-14,16.10,17.02,16.00,16.51,519800,16.51
2015-07-13,16.65,16.90,15.62,16.030001,715300,16.030001
2015-07-10,16.25,17.290001,15.82,16.530001,1260300,16.530001
2015-07-09,14.61,16.25,14.60,16.200001,1936500,16.200001
2015-07-08,13.17,14.56,13.10,14.55,961000,14.55
2015-07-07,13.51,13.53,13.00,13.32,1030700,13.32
