Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.18,12.30,12.06,12.06,5800,11.940289
2015-10-08,12.11,12.25,12.04,12.23,6600,12.108601
2015-10-07,12.11,12.23,12.05,12.23,13500,12.048206
2015-10-06,11.98,12.08,11.98,12.08,2600,11.900436
2015-10-05,12.02,12.07,12.00,12.02,4600,11.841328
2015-10-02,11.99,12.06,11.94,11.99,5700,11.811774
2015-10-01,12.04,12.06,11.92,11.95,5500,11.772368
2015-09-30,11.96,11.97,11.90,11.97,13500,11.792071
2015-09-29,11.98,12.01,11.92,11.95,8700,11.772368
2015-09-28,12.12,12.12,11.92,11.92,4300,11.742814
2015-09-25,12.03,12.07,11.90,12.07,6600,11.890584
2015-09-24,12.03,12.09,11.94,11.98,4500,11.801922
2015-09-23,12.07,12.12,11.92,11.97,13700,11.792071
2015-09-22,12.05,12.05,11.90,11.97,23700,11.792071
2015-09-21,12.15,12.21,11.96,11.96,12400,11.78222
2015-09-18,12.02,12.12,12.00,12.07,10500,11.890584
2015-09-17,12.10,12.12,11.96,12.02,3800,11.841328
2015-09-16,12.28,12.32,11.92,11.93,11800,11.752666
2015-09-15,12.49,12.49,12.04,12.04,3000,11.861031
2015-09-14,12.41,12.44,12.22,12.22,3100,12.038355
2015-09-11,12.15,12.44,12.10,12.34,11900,12.156571
2015-09-10,12.04,12.15,12.03,12.05,2900,11.870882
2015-09-09,12.08,12.13,12.03,12.12,5900,11.939841
2015-09-08,12.28,12.28,12.08,12.15,3500,11.909302
2015-09-04,12.15,12.15,12.00,12.14,7900,11.899501
2015-09-03,12.17,12.26,12.17,12.20,1800,11.958312
2015-09-02,12.47,12.47,12.17,12.17,3700,11.928906
2015-09-01,12.30,12.30,12.14,12.15,5400,11.909302
2015-08-31,12.16,12.58,12.16,12.39,7200,12.144548
2015-08-28,12.69,12.69,12.22,12.46,4700,12.213161
2015-08-27,12.29,12.30,12.19,12.19,2000,11.94851
2015-08-26,12.34,12.42,12.34,12.36,1400,12.115142
2015-08-25,12.15,12.74,11.99,12.30,15600,12.056331
2015-08-24,12.08,12.11,11.84,12.11,13900,11.870095
2015-08-21,12.11,12.22,12.02,12.04,7100,11.801482
2015-08-20,12.26,12.38,12.13,12.13,7100,11.889699
2015-08-19,12.22,12.36,12.16,12.35,6900,12.105341
2015-08-18,12.21,12.32,12.11,12.31,9500,12.066133
2015-08-17,12.51,12.51,12.17,12.17,7100,11.928906
2015-08-14,12.48,12.48,12.36,12.45,4200,12.203359
2015-08-13,12.88,12.88,12.36,12.36,600,12.115142
2015-08-12,12.38,12.38,12.24,12.36,6200,12.115142
2015-08-11,12.44,12.46,12.09,12.26,3900,12.017124
2015-08-10,12.40,12.68,12.30,12.30,4400,11.996539
2015-08-07,12.55,12.98,12.46,12.46,2000,12.152592
2015-08-06,12.35,12.55,12.31,12.55,1700,12.240371
2015-08-05,12.28,12.59,12.21,12.26,2700,11.957526
