Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,25.65,25.809999,25.59,25.809999,1900,25.809999
2015-10-08,25.709999,25.73,25.540001,25.700001,4400,25.700001
2015-10-07,25.40,25.60,25.32,25.540001,188500,25.540001
2015-10-06,25.35,25.50,25.24,25.34,29600,25.34
2015-10-05,25.57,25.580999,25.32,25.34,11700,25.34
2015-10-02,25.280001,25.35,25.26,25.26,15600,25.26
2015-10-01,25.35,25.35,25.309999,25.34,10200,25.34
2015-09-30,25.268999,25.34,25.26,25.34,1600,25.34
2015-09-29,25.35,25.35,25.322001,25.35,2800,25.35
2015-09-28,25.35,25.35,25.33,25.35,16200,25.35
2015-09-25,25.389999,25.40,25.389999,25.40,5400,25.40
2015-09-24,25.40,25.40,25.379999,25.40,2000,25.40
2015-09-23,25.59,25.59,25.27,25.40,3800,25.40
2015-09-22,25.790001,25.82,25.440001,25.450001,13500,25.450001
2015-09-21,25.51,25.530001,25.42,25.530001,6300,25.530001
2015-09-18,25.49,25.52,25.35,25.35,4700,25.35
2015-09-17,25.49,25.49,25.26,25.35,1300,25.35
2015-09-16,25.282,25.299999,25.27,25.299999,3000,25.299999
2015-09-15,25.207001,25.40,25.174,25.280001,2100,25.280001
2015-09-14,25.35,25.35,25.280001,25.280001,4900,25.280001
2015-09-11,25.25,25.35,25.120001,25.35,4000,25.35
2015-09-10,25.43,25.52,25.426001,25.426001,4200,25.426001
2015-09-09,25.35,25.35,25.290001,25.35,8800,25.35
2015-09-08,25.24,25.389999,25.209999,25.301001,2000,25.301001
2015-09-04,25.049999,25.290001,25.02,25.219999,8100,25.219999
2015-09-03,25.360001,25.41,25.360001,25.40,4600,25.40
2015-09-02,25.15,25.309999,25.15,25.26,4600,25.26
2015-09-01,25.309999,25.309999,25.129999,25.24,8600,25.24
2015-08-31,25.299999,25.33,25.24,25.32,21000,25.32
2015-08-28,25.27,25.309999,25.25,25.299999,1600,25.299999
2015-08-27,25.389999,25.389999,25.129999,25.280001,12400,25.280001
2015-08-26,25.16,25.66,25.02,25.50,11100,25.50
2015-08-25,25.110001,25.440001,24.879999,25.209999,9000,25.209999
2015-08-24,25.200001,25.200001,24.719999,25.059999,15100,25.059999
2015-08-21,25.365999,25.389,25.309999,25.309999,900,25.309999
2015-08-20,25.440001,25.440001,25.360001,25.360001,3900,25.360001
2015-08-19,25.379999,25.43,25.379999,25.389999,1700,25.389999
2015-08-18,25.49,25.49,25.450001,25.450001,2600,25.450001
2015-08-17,25.50,25.50,25.450001,25.50,4800,25.50
2015-08-14,25.534,25.59,25.48,25.50,7300,25.50
2015-08-13,25.50,25.540001,25.48,25.50,4700,25.50
2015-08-12,25.528999,25.528999,25.450001,25.49,4800,25.49
2015-08-11,25.540001,25.549999,25.48,25.52,7400,25.52
2015-08-10,25.511999,25.540001,25.441,25.441,15300,25.441
2015-08-07,25.389999,25.540001,25.389999,25.51,3500,25.51
2015-08-06,25.450001,25.530001,25.35,25.35,1600,25.35
2015-08-05,25.51,25.52,25.280001,25.389999,6600,25.389999
2015-08-04,25.59,25.620001,25.42,25.42,482500,25.42
2015-08-03,25.65,25.65,25.549999,25.629999,3200,25.629999
2015-07-31,25.620001,25.620001,25.450001,25.620001,57800,25.620001
2015-07-30,25.74,25.74,25.549,25.549999,5600,25.549999
2015-07-29,25.65,25.65,25.540001,25.59,2800,25.59
2015-07-28,25.459999,25.60,25.459999,25.59,10500,25.59
2015-07-27,25.530001,25.530001,25.299999,25.459999,10200,25.459999
2015-07-24,25.559999,25.57,25.50,25.530001,3200,25.530001
2015-07-23,25.561001,25.639999,25.561001,25.639999,600,25.639999
2015-07-22,25.65,25.65,25.450001,25.60,12300,25.60
2015-07-21,25.690001,25.690001,25.559999,25.639999,8000,25.639999
2015-07-20,25.66,25.690001,25.610001,25.690001,4000,25.690001
2015-07-17,25.73,25.74,25.620001,25.68,6400,25.68
2015-07-16,25.700001,25.780001,25.615,25.65,7000,25.65
2015-07-15,25.74,25.75,25.66,25.66,3700,25.66
2015-07-14,25.76,25.76,25.50,25.67,600,25.67
2015-07-13,25.790001,25.790001,25.752001,25.752001,800,25.752001
2015-07-10,25.73,25.77,25.52,25.77,2400,25.77
2015-07-09,25.68,25.77,25.639999,25.693001,7200,25.693001
2015-07-08,25.66,26.08,25.209999,25.799999,4000,25.799999
2015-07-07,25.73,25.76,25.672001,25.672001,3000,25.672001
2015-07-06,25.719999,25.719999,25.639999,25.65,2100,25.65
2015-07-02,25.620001,25.67,25.620001,25.67,600,25.67
2015-07-01,24.91,25.790001,24.91,25.790001,4600,25.790001
2015-06-30,25.43,25.450001,25.43,25.450001,4700,25.450001
2015-06-29,25.59,25.59,25.18,25.450001,8000,25.450001
2015-06-26,25.76,25.82,25.57,25.60,3800,25.60
2015-06-25,25.790001,25.799999,25.709999,25.719999,1800,25.719999
2015-06-24,25.809999,25.809999,25.700001,25.709,2000,25.709
2015-06-23,25.73,25.83,25.639999,25.809999,6800,25.809999
2015-06-22,25.775,26.00,25.775,25.90,2200,25.90
2015-06-19,26.030001,26.030001,25.888,25.90,1000,25.90
2015-06-18,25.790001,25.99,25.790001,25.93,3500,25.93
2015-06-17,26.17,26.271999,25.690001,25.82,13900,25.82
2015-06-16,26.110001,26.266001,26.110001,26.110001,5500,26.110001
2015-06-15,26.35,26.35,26.01,26.07,900,26.07
2015-06-12,26.299999,26.299999,26.110001,26.110001,1100,26.110001
2015-06-11,26.040001,26.24,26.040001,26.205999,1000,26.205999
2015-06-10,26.211,26.211,26.00,26.040001,5700,26.040001
2015-06-09,26.059999,26.23,26.049999,26.23,2400,26.23
2015-06-08,26.10,26.33,26.10,26.33,300,26.33
2015-06-05,26.326,26.326,26.268,26.268,1200,26.268
2015-06-04,26.10,26.25,26.08,26.25,3900,26.25
2015-06-03,26.40,26.40,26.110001,26.139999,2200,26.139999
2015-06-02,26.08,26.25,25.98,26.24,6700,26.24
2015-06-01,26.047001,26.047001,25.92,26.047001,1900,26.047001
2015-05-29,26.290001,26.290001,26.129999,26.139999,1400,26.139999
2015-05-28,26.26,26.26,26.049999,26.159,5600,26.159
2015-05-27,26.289,26.33,26.16,26.190001,11100,26.190001
2015-05-26,26.10,26.24,26.10,26.23,3000,26.23
2015-05-22,26.280001,26.280001,26.09,26.17,2600,26.17
2015-05-21,26.191999,26.40,26.191999,26.23,4800,26.23
2015-05-20,26.200001,26.209999,26.190001,26.190001,2100,26.190001
2015-05-19,26.23,26.290001,26.200001,26.200001,4300,26.200001
2015-05-18,26.360001,26.42,26.25,26.25,3600,26.25
2015-05-15,26.225,26.25,26.125,26.25,205700,26.25
2015-05-14,26.23,26.25,26.15,26.25,3100,26.25
2015-05-13,26.15,26.15,26.146999,26.15,4500,26.15
2015-05-12,26.120001,26.129999,26.040001,26.040001,4700,26.040001
2015-05-11,26.059999,26.10,25.879999,26.01,3900,26.01
2015-05-08,25.973,26.09,25.973,26.049999,3000,26.049999
2015-05-07,25.99,26.09,25.950001,26.09,4000,26.09
2015-05-06,26.15,26.15,26.00,26.110001,4300,26.110001
2015-05-05,26.15,26.40,26.15,26.15,6000,26.15
2015-05-04,26.17,26.17,26.16,26.16,2100,26.16
2015-05-01,26.200001,26.200001,26.110001,26.110001,1900,26.110001
2015-04-30,26.25,26.25,26.190001,26.190001,1400,26.190001
2015-04-29,26.190001,26.200001,26.139999,26.139999,2300,26.139999
2015-04-28,26.190001,26.200001,26.150999,26.150999,2900,26.150999
2015-04-27,26.200001,26.200001,26.200001,26.200001,1300,26.200001
2015-04-24,26.190001,26.190001,26.190001,26.190001,900,26.190001
2015-04-23,26.280001,26.459,26.27,26.379999,4300,26.379999
2015-04-22,26.15,26.209999,26.049999,26.139999,4000,26.139999
2015-04-21,26.15,26.15,26.096001,26.15,5100,26.15
2015-04-20,26.070999,26.096001,26.070999,26.08,2800,26.08
2015-04-17,26.049999,26.15,26.049999,26.049999,8300,26.049999
2015-04-16,26.129999,26.190001,26.120001,26.129999,3800,26.129999
2015-04-15,26.141001,26.15,26.120001,26.129,2300,26.129
2015-04-14,26.219999,26.219999,26.129999,26.139999,2000,26.139999
2015-04-13,26.139999,26.191999,26.10,26.15,114500,26.15
2015-04-10,26.120001,26.208,26.120001,26.172001,900,26.172001
2015-04-09,26.17,26.190001,26.139999,26.139999,1300,26.139999
2015-04-08,26.16,26.16,26.16,26.16,100,26.16
2015-04-07,26.200001,26.200001,26.200001,26.200001,400,26.200001
2015-04-06,26.219999,26.219999,26.10,26.10,3100,26.10
2015-04-02,26.129999,26.15,26.110001,26.110001,1100,26.110001
2015-04-01,26.209,26.209,26.049999,26.049999,1800,26.049999
2015-03-31,26.15,26.17,26.117001,26.15,6900,26.15
2015-03-30,26.219999,26.309999,26.129999,26.129999,11600,26.129999
2015-03-27,26.25,26.32,26.139999,26.280001,7900,26.280001
2015-03-26,26.327,26.327,26.15,26.15,2000,26.15
2015-03-25,26.360001,26.360001,26.08,26.08,4100,26.08
2015-03-24,26.110001,26.17,26.110001,26.139999,2200,26.139999
2015-03-23,26.190001,26.200001,25.879999,25.879999,5700,25.879999
2015-03-20,26.15,26.15,25.85,25.85,2100,25.85
2015-03-19,26.18,26.389999,26.08,26.08,5300,26.08
2015-03-18,26.27,26.440001,26.219999,26.27,4500,26.27
2015-03-17,26.406,26.406,26.23,26.320999,2400,26.320999
2015-03-16,26.469999,26.469999,26.32,26.34,1600,26.34
2015-03-13,26.309999,26.360001,26.299999,26.299999,2200,26.299999
2015-03-12,26.49,26.49,26.00,26.35,4800,26.35
2015-03-11,26.337999,26.459999,26.33,26.35,4200,26.35
2015-03-10,26.120001,26.379999,26.120001,26.379999,8400,26.379999
2015-03-09,26.16,26.24,26.10,26.200001,9700,26.200001
2015-03-06,26.33,26.33,26.049999,26.25,90100,26.25
2015-03-05,26.40,26.431,26.40,26.431,1200,26.431
2015-03-04,25.851999,26.379999,25.851999,26.370001,1500,26.370001
2015-03-03,26.40,26.40,26.190001,26.32,4400,26.32
2015-03-02,26.129999,26.40,26.129999,26.299999,6700,26.299999
2015-02-27,25.99,26.389999,25.941,26.280001,15900,26.280001
2015-02-26,25.99,25.99,25.90,25.90,5300,25.90
2015-02-25,26.00,26.00,25.950001,25.98,4600,25.98
2015-02-24,26.32,26.429001,26.309999,26.309999,1200,25.958
2015-02-23,26.379999,26.379999,26.323999,26.35,7500,25.997466
2015-02-20,26.299,26.299999,26.25,26.299999,27300,25.948134
2015-02-19,26.280001,26.299999,26.245001,26.290001,5800,25.938269
2015-02-18,26.139999,26.190001,26.049999,26.15,7500,25.800141
2015-02-17,26.299999,26.299999,26.290001,26.299999,6600,25.948134
2015-02-13,26.299999,26.299999,26.290001,26.299999,5100,25.948134
2015-02-12,26.129999,26.299999,26.129999,26.299999,32400,25.948134
2015-02-11,26.200001,26.229,26.040001,26.18,5700,25.82974
2015-02-10,26.08,26.247999,26.08,26.190001,42600,25.839607
2015-02-09,26.25,26.25,26.209999,26.209999,1700,25.859338
2015-02-06,25.92,26.40,25.92,26.139999,6200,25.790274
2015-02-05,26.440001,26.450001,26.200001,26.200001,8300,25.849473
2015-02-04,26.469999,26.469999,26.370001,26.469999,3700,26.115859
