Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.63,4.71,4.62,4.70,1016400,4.593709
2015-10-08,4.57,4.63,4.55,4.62,695900,4.515518
2015-10-07,4.55,4.60,4.54,4.57,898600,4.466649
2015-10-06,4.53,4.54,4.52,4.54,379300,4.437327
2015-10-05,4.49,4.52,4.49,4.52,492600,4.41778
2015-10-02,4.47,4.51,4.46,4.51,320900,4.408006
2015-10-01,4.50,4.50,4.46,4.50,775000,4.398232
2015-09-30,4.48,4.50,4.46,4.50,1090800,4.398232
2015-09-29,4.47,4.48,4.44,4.46,854000,4.359137
2015-09-28,4.52,4.53,4.45,4.47,596100,4.36891
2015-09-25,4.49,4.52,4.49,4.51,755300,4.408006
2015-09-24,4.50,4.50,4.47,4.49,606900,4.388458
2015-09-23,4.51,4.52,4.50,4.50,455200,4.398232
2015-09-22,4.49,4.51,4.48,4.49,399700,4.388458
2015-09-21,4.53,4.55,4.51,4.51,773300,4.408006
2015-09-18,4.52,4.54,4.51,4.53,547200,4.427554
2015-09-17,4.49,4.52,4.43,4.52,752500,4.41778
2015-09-16,4.48,4.52,4.48,4.50,550600,4.364023
2015-09-15,4.48,4.49,4.46,4.48,601300,4.344628
2015-09-14,4.50,4.52,4.48,4.48,552500,4.344628
2015-09-11,4.48,4.50,4.46,4.49,643300,4.354325
2015-09-10,4.51,4.52,4.46,4.50,968200,4.364023
2015-09-09,4.54,4.55,4.52,4.54,448400,4.402815
2015-09-08,4.49,4.56,4.49,4.54,736100,4.402815
2015-09-04,4.52,4.53,4.47,4.50,739200,4.364023
2015-09-03,4.54,4.55,4.52,4.53,725900,4.393117
2015-09-02,4.50,4.53,4.48,4.52,813500,4.383419
2015-09-01,4.49,4.50,4.46,4.49,864600,4.354325
2015-08-31,4.52,4.53,4.50,4.50,854400,4.364023
2015-08-28,4.51,4.53,4.50,4.51,373600,4.373721
2015-08-27,4.51,4.55,4.50,4.51,1056100,4.373721
2015-08-26,4.54,4.54,4.47,4.49,825100,4.354325
2015-08-25,4.50,4.54,4.47,4.50,693900,4.364023
2015-08-24,4.61,4.62,4.38,4.45,1191000,4.315534
2015-08-21,4.65,4.68,4.55,4.65,1803600,4.509491
2015-08-20,4.67,4.69,4.66,4.67,677300,4.528886
2015-08-19,4.69,4.71,4.69,4.71,631800,4.533735
2015-08-18,4.69,4.72,4.69,4.71,952600,4.533735
2015-08-17,4.72,4.73,4.69,4.72,748700,4.543361
2015-08-14,4.73,4.74,4.70,4.74,541600,4.562612
2015-08-13,4.71,4.74,4.71,4.72,399700,4.543361
2015-08-12,4.70,4.74,4.70,4.72,920400,4.543361
2015-08-11,4.74,4.75,4.70,4.72,744100,4.543361
2015-08-10,4.73,4.76,4.73,4.76,496000,4.581864
2015-08-07,4.73,4.76,4.69,4.74,807500,4.562612
2015-08-06,4.75,4.77,4.73,4.73,481200,4.552987
2015-08-05,4.75,4.77,4.75,4.77,638400,4.59149
2015-08-04,4.69,4.75,4.69,4.73,599500,4.552987
2015-08-03,4.71,4.72,4.68,4.69,1119000,4.514484
2015-07-31,4.70,4.75,4.70,4.73,620000,4.552987
2015-07-30,4.68,4.72,4.68,4.71,937700,4.533735
2015-07-29,4.68,4.73,4.67,4.70,1690600,4.524109
2015-07-28,4.71,4.75,4.71,4.75,705700,4.572238
2015-07-27,4.70,4.71,4.67,4.70,892200,4.524109
2015-07-24,4.74,4.74,4.69,4.72,887000,4.543361
2015-07-23,4.74,4.77,4.73,4.73,1013600,4.552987
2015-07-22,4.76,4.79,4.74,4.75,780200,4.572238
2015-07-21,4.76,4.80,4.72,4.80,915200,4.620367
2015-07-20,4.80,4.81,4.77,4.78,784300,4.601116
2015-07-17,4.81,4.82,4.79,4.81,673400,4.629993
2015-07-16,4.83,4.85,4.82,4.85,548100,4.634806
2015-07-15,4.83,4.85,4.81,4.81,563900,4.596581
2015-07-14,4.85,4.88,4.81,4.84,987400,4.62525
2015-07-13,4.89,4.90,4.85,4.86,812900,4.644362
2015-07-10,4.94,4.94,4.89,4.90,959900,4.682587
2015-07-09,4.87,4.91,4.86,4.91,854300,4.692143
2015-07-08,4.87,4.89,4.85,4.87,677000,4.653918
2015-07-07,4.86,4.90,4.84,4.90,802900,4.682587
2015-07-06,4.90,4.90,4.85,4.87,1669100,4.653918
2015-07-02,4.95,4.96,4.92,4.92,728800,4.7017
2015-07-01,4.95,4.97,4.94,4.97,696000,4.749481
2015-06-30,4.93,4.98,4.92,4.96,1346500,4.739925
2015-06-29,4.94,4.94,4.89,4.90,895100,4.682587
2015-06-26,4.93,4.98,4.91,4.95,1359400,4.730369
2015-06-25,5.05,5.06,4.99,5.00,1144900,4.77815
2015-06-24,5.04,5.06,5.03,5.05,889700,4.825932
2015-06-23,5.01,5.05,5.00,5.05,894600,4.825932
2015-06-22,5.04,5.06,4.99,5.00,1127800,4.77815
2015-06-19,5.03,5.06,5.02,5.03,669100,4.806819
2015-06-18,5.01,5.03,5.01,5.03,585000,4.806819
2015-06-17,5.03,5.04,5.00,5.04,1071700,4.782928
2015-06-16,5.02,5.05,5.02,5.04,755600,4.782928
2015-06-15,5.05,5.07,5.00,5.02,1249800,4.763949
2015-06-12,5.08,5.09,5.04,5.05,407400,4.792419
2015-06-11,5.05,5.09,5.04,5.06,967300,4.801908
2015-06-10,5.04,5.11,5.04,5.05,877200,4.792419
2015-06-09,5.05,5.07,5.02,5.04,1089800,4.782928
2015-06-08,5.07,5.09,5.04,5.06,1076400,4.801908
2015-06-05,5.18,5.18,5.08,5.10,954200,4.839868
2015-06-04,5.29,5.31,4.67,5.20,2143900,4.934767
2015-06-03,5.35,5.36,5.29,5.30,767100,5.029667
2015-06-02,5.30,5.33,5.29,5.33,467300,5.058137
2015-06-01,5.32,5.33,5.27,5.29,708200,5.020177
2015-05-29,5.36,5.37,5.30,5.30,626300,5.029667
2015-05-28,5.33,5.34,5.31,5.33,444100,5.058137
2015-05-27,5.37,5.38,5.31,5.34,1026300,5.067627
2015-05-26,5.40,5.44,5.37,5.37,655800,5.096096
2015-05-22,5.43,5.44,5.42,5.43,383300,5.153036
2015-05-21,5.44,5.45,5.42,5.43,537100,5.153036
2015-05-20,5.45,5.46,5.43,5.46,513400,5.181506
2015-05-19,5.48,5.49,5.47,5.49,374600,5.176761
2015-05-18,5.47,5.49,5.47,5.49,517400,5.176761
2015-05-15,5.47,5.49,5.47,5.47,324600,5.157902
2015-05-14,5.46,5.48,5.46,5.47,404300,5.157902
2015-05-13,5.45,5.49,5.45,5.45,440800,5.139043
2015-05-12,5.45,5.49,5.44,5.45,391400,5.139043
2015-05-11,5.49,5.50,5.45,5.46,357000,5.148473
2015-05-08,5.48,5.49,5.46,5.48,460100,5.167331
2015-05-07,5.50,5.50,5.47,5.48,304400,5.167331
2015-05-06,5.51,5.55,5.49,5.51,1103800,5.19562
2015-05-05,5.46,5.50,5.46,5.49,582000,5.176761
2015-05-04,5.53,5.53,5.46,5.46,684900,5.148473
2015-05-01,5.53,5.55,5.50,5.51,341400,5.19562
2015-04-30,5.58,5.59,5.53,5.55,438700,5.233338
2015-04-29,5.55,5.59,5.54,5.57,726900,5.252197
2015-04-28,5.51,5.55,5.51,5.53,791600,5.214479
2015-04-27,5.48,5.57,5.48,5.49,1059200,5.176761
2015-04-24,5.48,5.49,5.47,5.49,418200,5.176761
2015-04-23,5.49,5.50,5.47,5.47,629300,5.157902
2015-04-22,5.47,5.51,5.47,5.51,625800,5.19562
2015-04-21,5.45,5.49,5.44,5.49,618100,5.176761
2015-04-20,5.45,5.47,5.45,5.45,492000,5.139043
2015-04-17,5.43,5.46,5.42,5.45,554300,5.139043
2015-04-16,5.45,5.50,5.45,5.48,682400,5.134328
2015-04-15,5.45,5.47,5.43,5.46,513900,5.11559
2015-04-14,5.45,5.47,5.45,5.46,509500,5.11559
2015-04-13,5.48,5.48,5.44,5.44,860600,5.096852
2015-04-10,5.47,5.49,5.45,5.47,358000,5.124959
2015-04-09,5.48,5.50,5.45,5.45,277800,5.106221
2015-04-08,5.45,5.48,5.44,5.48,339200,5.134328
2015-04-07,5.46,5.49,5.42,5.45,739100,5.106221
2015-04-06,5.43,5.48,5.42,5.47,445500,5.124959
2015-04-02,5.45,5.47,5.42,5.46,1032900,5.11559
2015-04-01,5.41,5.43,5.41,5.43,700000,5.087482
2015-03-31,5.45,5.47,5.38,5.38,1302900,5.040636
2015-03-30,5.50,5.50,5.46,5.46,619700,5.11559
2015-03-27,5.49,5.50,5.47,5.48,480000,5.134328
2015-03-26,5.47,5.49,5.46,5.49,688100,5.143697
2015-03-25,5.49,5.50,5.47,5.47,606000,5.124959
2015-03-24,5.46,5.50,5.46,5.50,613100,5.153067
2015-03-23,5.42,5.49,5.42,5.46,837000,5.11559
2015-03-20,5.41,5.45,5.41,5.43,641800,5.087482
2015-03-19,5.42,5.43,5.37,5.41,624000,5.068744
2015-03-18,5.36,5.46,5.36,5.43,467600,5.05469
2015-03-17,5.42,5.42,5.36,5.38,505800,5.008146
2015-03-16,5.40,5.44,5.39,5.41,638200,5.036072
